invalid argument %s for %s	Argumento inválido %s para %s
ambiguous argument %s for %s	argumento ambíguo %s para %s
Valid arguments are:	Os argumentos válidos são:
regular empty file	arquivo vazio regular regular
regular file	Arquivo regular regular
directory	diretório directório
symbolic link	link simbólico
message queue	fila de mensagem de mensagem
semaphore	semáforo
shared memory object	Objeto de memória compartilhada
typed memory object	Objeto de memória tipado
block special file	O bloco de arquivo especial é bloqueado
character special file	arquivo especial de caracteres caracteres
contiguous data	dados contíguos
fifo	Fifo
door	A porta porta
multiplexed block special file	bloco especial de arquivo multiplexado.
multiplexed character special file	caráter especial de caracteres multiplexados.
multiplexed file	arquivo multiplexado
named file	O arquivo foi nomeado.
network special file	arquivo especial de rede de rede
migrated file with data	Migração de arquivo com dados
migrated file without data	Migração de arquivo sem dados
port	O porto é um porto.
socket	sobressalto
whiteout	Whiteout  whiteout
weird file	Arquivo estranho
program error	erro de programação do programa
stack overflow	sobrevoo de pilhas
Try '%s --help' for more information.	Tente '%s --help' para mais informações.
Unknown system error	Erro de sistema desconhecido
%s: option '%s%s' is ambiguous	%s: a opção '%s%s' é ambígua
%s: option '%s%s' is ambiguous; possibilities:	%s: a opção '%s%s' é ambígua; possibilidades:
%s: unrecognized option '%s%s'	%s: opção não reconhecida '%s%s'
%s: option '%s%s' doesn't allow an argument	%s: a opção '%s%s' não permite um argumento
%s: option '%s%s' requires an argument	%s: a opção '%s%s' requer um argumento
%s: invalid option -- '%c'	%s: opção inválida -- '%c'
%s: option requires an argument -- '%c'	%s: a opção requer um argumento -- '%c'
`	Não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não.
'	' '
Success	Sucesso
No match	Não há correspondência
Invalid regular expression	Expressão regular inválida
Invalid collation character	Características de collação inválidas
Invalid character class name	Nome de classe de caracteres inválido
Trailing backslash	Trailing backslash
Invalid back reference	Referência de volta inválida
Unmatched [, [^, [:, [., or [=	Incomparáveis [, [^, [:, [., ou [=]
Unmatched ( or \(	Inigualável (ou \()
Unmatched \{	Sem igual \{ Unmatched \{ Unmatched \{ Unmatched \{ Unmatched \{ Unmatched \{
Invalid content of \{\}	Conteúdo inválido de \{\}
Invalid range end	Range end inválido 
Memory exhausted	Memória exausta
Invalid preceding regular expression	Invalid preceding regular expression
Premature end of regular expression	Fim prematuro da expressão regular
Regular expression too big	Expressão regular muito grande
Unmatched ) or \)	Inigualável ) ou \) 
No previous regular expression	Nenhuma expressão regular anterior
Packaged by %s (%s)	Embalado por %s (%s)
Packaged by %s	Embalado por %s
(C)	(C)
License GPLv3+: GNU GPL version 3 or later <%s>.	Licença GPLv3+: GNU GPL versão 3 ou posterior <%s>.
This is free software: you are free to change and redistribute it.	Este é um software livre: você é livre para alterá-lo e redistribuí-lo.
There is NO WARRANTY, to the extent permitted by law.	Não há garantia, na medida em que a lei o permite.
Written by %s.	Escrito por %s.
Written by %s and %s.	Escrito por %s e %s.
Written by %s, %s, and %s.	Escrito por %s, %s e %s.
Written by %s, %s, %s,	Escrito por %s, %s, %s,
and %s.	%s. e %s.
Written by %s, %s, %s,	Escrito por %s, %s, %s,
%s, and %s.	%s, e %s.
Written by %s, %s, %s,	Escrito por %s, %s, %s,
%s, %s, and %s.	%s, %s e %s.
Written by %s, %s, %s,	Escrito por %s, %s, %s,
%s, %s, %s, and %s.	%s, %s, %s e %s.
Written by %s, %s, %s,	Escrito por %s, %s, %s,
%s, %s, %s, %s,	%s, %s, %s, %s, %s,
and %s.	%s. e %s.
Written by %s, %s, %s,	Escrito por %s, %s, %s,
%s, %s, %s, %s,	%s, %s, %s, %s, %s,
%s, and %s.	%s, e %s.
Written by %s, %s, %s,	Escrito por %s, %s, %s,
%s, %s, %s, %s,	%s, %s, %s, %s, %s,
%s, %s, and others.	%s, %s e outros.
