original,translated,reference,context_languages,strategy,bleu
invalid argument %s for %s,O argumento %s para o comando %s não é válido.,argumento inválido para %s: %s,"VI,ZH_CN",LLAMA,9.669265690880861
ambiguous argument %s for %s,o argumento %s para %s é ambíguo.,argumento ambíguo %s para %s,"VI,ZH_CN",LLAMA,42.7287006396234
Valid arguments are:,Os argumentos válidos são:,Argumentos válidos são:,"VI,ZH_CN",LLAMA,39.76353643835252
regular empty file,arquivo regular vazio,arquivo comum vazio,"VI,ZH_CN",LLAMA,34.66806371753173
regular file,arquivo regular,arquivo comum,"VI,ZH_CN",LLAMA,49.99999999999999
directory,diretório,diretório,"VI,ZH_CN",LLAMA,100.00000000000004
symbolic link,símbolo tautológico,link simbólico,"VI,ZH_CN",LLAMA,0.0
message queue,fila de mensagens do antrian pesan,fila de mensagem,"VI,ZH_CN",LLAMA,16.233395773754953
semaphore,semafor,semáforo,"VI,ZH_CN",LLAMA,0.0
shared memory object,objeto de memória compartilhada,objeto em memória compartilhada,"VI,ZH_CN",LLAMA,35.35533905932737
typed memory object,objeto de memória com tipo,objeto de memória tipificada,"VI,ZH_CN",LLAMA,39.76353643835252
block special file,arquivo especial bloco de dados,arquivo especial de bloco,"VI,ZH_CN",LLAMA,25.40663740773074
character special file,arquivo de caracteres especiais,arquivo especial de caractere,"VI,ZH_CN",LLAMA,18.99589214128981
contiguous data,dados sequenciais,dados contíguos,"VI,ZH_CN",LLAMA,49.99999999999999
fifo,"FIFO (vindo antes, saindo depois)",fifo,"VI,ZH_CN",LLAMA,0.0
door,porta,porta,"VI,ZH_CN",LLAMA,100.00000000000004
multiplexed block special file,bloco especial de armazenamento multiplamente associado,arquivo multiplexado especial de bloco,"VI,ZH_CN",LLAMA,17.965205598154213
multiplexed character special file,conjunto especial de caracteres polimórficos,arquivo multiplexado especial de caractere,"VI,ZH_CN",LLAMA,21.3643503198117
multiplexed file,arquivo múltiplo,arquivo multiplexado,"VI,ZH_CN",LLAMA,49.99999999999999
named file,livro de nome,arquivo nomeado,"VI,ZH_CN",LLAMA,0.0
network special file,arquivo especial de rede,arquivo especial de rede,"VI,ZH_CN",LLAMA,100.00000000000004
migrated file with data,migração de dados para o arquivo,arquivo migrado com dados,"VI,ZH_CN",LLAMA,9.652434877402245
migrated file without data,arquivo de terminação sem dados associados,arquivo migrado sem dados,"VI,ZH_CN",LLAMA,17.965205598154213
port,porta de rede,porta,"VI,ZH_CN",LLAMA,27.516060407455225
socket,soquete,soquete,"VI,ZH_CN",LLAMA,100.00000000000004
whiteout,branqueamento de texto,whiteout,"VI,ZH_CN",LLAMA,0.0
weird file,arquivo desconhecido,arquivo estranho,"VI,ZH_CN",LLAMA,49.99999999999999
program error,Erro do programa,erro do programa,"VI,ZH_CN",LLAMA,55.03212081491043
stack overflow,desborra o stack de pilha,estouro de pilha,"VI,ZH_CN",LLAMA,21.3643503198117
Try '%s --help' for more information.,Tente executar o comando '%s --help' para obter mais informações.,"Tente ""%s --help"" para mais informações.","VI,ZH_CN",LLAMA,15.727800941615351
Unknown system error,Erro do sistema não identificado,Erro desconhecido de sistema,"VI,ZH_CN",LLAMA,12.703318703865365
"%s: option '%s%s' is ambiguous
",%s: pilihan '%s%s' ambiguo.,"%s: a opção ""%s%s"" é ambígua
","VI,ZH_CN",LLAMA,19.561803044642364
%s: option '%s%s' is ambiguous; possibilities:,%s: opção '%s%s' ambígua; possível ser:,"%s: a opção ""%s%s"" é ambígua; possibilidades:","VI,ZH_CN",LLAMA,18.51565595560746
"%s: unrecognized option '%s%s'
",%s: pilihan tidak dikenal “%s%s”,"%s: opção desconhecida ""%s%s""
","VI,ZH_CN",LLAMA,23.462350320527996
"%s: option '%s%s' doesn't allow an argument
","%s: opção '%s%s' não permite argumento
","%s: a opção ""%s%s"" não permite argumento
","VI,ZH_CN",LLAMA,24.973194725900544
"%s: option '%s%s' requires an argument
","%s: opção '%s%s' deve conter um argumento
","%s: a opção ""%s%s"" exige um argumento
","VI,ZH_CN",LLAMA,20.953980708003318
"%s: invalid option -- '%c'
","%s: opção -- '%c' não é válida
","%s: opção inválida -- ""%c""
","VI,ZH_CN",LLAMA,25.965358893403383
"%s: option requires an argument -- '%c'
",%s: opção -- '%c' requer um argumento,"%s: a opção exige um argumento -- ""%c""
","VI,ZH_CN",LLAMA,16.44945005613896
`,‘,“,"VI,ZH_CN",LLAMA,0.0
',',”,"VI,ZH_CN",LLAMA,0.0
Success,Thành công,Sucesso,"VI,ZH_CN",LLAMA,0.0
No match,Não é adequado.,Nenhuma ocorrência do padrão,"VI,ZH_CN",LLAMA,0.0
Invalid regular expression,Expressão regular não válida,Expressão regular inválida,"VI,ZH_CN",LLAMA,31.947155212313625
Invalid collation character,Caracter de colação não é válido,caractere de combinação inválido,"VI,ZH_CN",LLAMA,8.116697886877475
Invalid character class name,Nome do curso de caracteres inválido,Nome inválido da classe de caracteres,"VI,ZH_CN",LLAMA,19.304869754804482
Trailing backslash,Akhiran backslash,Barra invertida no final,"VI,ZH_CN",LLAMA,0.0
Invalid back reference,Referensi balik tidak valid,Retrorreferência inválida,"VI,ZH_CN",LLAMA,0.0
"Unmatched [, [^, [:, [., or [=","Chưa khớp cặp ký tự [, [^, [:, [., hay [=","[, [^, [:, [. ou [= sem correspondente","VI,ZH_CN",LLAMA,51.84341074271376
Unmatched ( or \(,"Chão (ou 
",( ou \( sem correspondente,"VI,ZH_CN",LLAMA,20.24518585186855
Unmatched \{,\{ tanpa pasangan,\{ sem correspondente,"VI,ZH_CN",LLAMA,31.947155212313625
Invalid content of \{\},O conteúdo dentro de \{\} não é válido,Conteúdo inválido de \{\},"VI,ZH_CN",LLAMA,35.08439695638686
Invalid range end,O ponto final do período não é válido,Fim do intervalo inválido,"VI,ZH_CN",LLAMA,5.522397783539471
Memory exhausted,Memória esgotada,Memória esgotada,"VI,ZH_CN",LLAMA,100.00000000000004
