original,translated,reference,context_languages,strategy,bleu
invalid argument %s for %s,argumento %s inválido para %s,argumento inválido %s para %s,"DE,VI",LLAMA,33.437015248821105
ambiguous argument %s for %s,argumento %s ambíguo para %s,argumento ambíguo %s para %s,"DE,VI",LLAMA,33.437015248821105
Valid arguments are:,Os argumentos válidos são:,Argumentos válidos são:,"DE,VI",LLAMA,39.76353643835252
ARGP_HELP_FMT: %s value is less than or equal to %s,ARGP_HELP_FMT: o valor de %s é menor ou igual que %s,ARGP_HELP_FMT: O valor %s é menor do que ou igual a %s,"DE,VI",LLAMA,45.234747228733134
%.*s: ARGP_HELP_FMT parameter requires a value,%.*s: o parâmetro ARGP_HELP_FMT necessita de um valor,%.*s: O parâmetro ARGP_HELP_FMT exige um valor,"DE,VI",LLAMA,56.81096832337496
%.*s: Unknown ARGP_HELP_FMT parameter,%.*s: parâmetro desconhecido ARGP_HELP_FMT,%.*s: Parâmetro ARGP_HELP_FMT desconhecido,"DE,VI",LLAMA,64.93358309501976
Garbage in ARGP_HELP_FMT: %s,Incongruência em ARGP_HELP_FMT: %s,Lixo em ARGP_HELP_FMT: %s,"DE,VI",LLAMA,88.01117367933934
Mandatory or optional arguments to long options are also mandatory or optional for any corresponding short options.,Os argumentos obrigatórios ou opcionais para as opções longas também são obrigatórios ou opcionais para as opções curtas correspondentes.,Argumentos obrigatórios ou opcionais para opções longas também o são para quaisquer opções curtas correspondentes.,"DE,VI",LLAMA,30.752616970214323
Usage:,Modo de uso:,Uso:,"DE,VI",LLAMA,15.97357760615681
  or: ,ou DE, ou: ,"DE,VI",LLAMA,49.99999999999999
 [OPTION...],[OPTION...], [OPÇÃO...],"DE,VI",LLAMA,53.7284965911771
"Try '%s --help' or '%s --usage' for more information.
","Tente executar “%s --help” ou “%s --uso” para obter mais informações. Por favor, substitua '%s' pelos nomes reais dos comandos.","Tente ""%s --help"" ou ""%s --usage"" para mais informações.
","DE,VI",LLAMA,7.696339439306159
"Report bugs to %s.
",Comunicar erros a %s.,"Relate erros para %s.
","DE,VI",LLAMA,32.46679154750991
Unknown system error,Erro do sistema desconhecido,Erro desconhecido de sistema,"DE,VI",LLAMA,21.02241038134286
give this help list,Esta lista de ajuda,fornece esta lista de ajuda,"DE,VI",LLAMA,46.30777161991026
give a short usage message,um breve aviso sobre o uso do software.,fornece uma mensagem de uso curta,"DE,VI",LLAMA,4.767707020457095
NAME,NOMBRE,NOME,"DE,VI",LLAMA,0.0
set the program name,estabeleça o nome do programa,define o nome do programa,"DE,VI",LLAMA,66.87403049764218
SECS,SEGUE,SEGS,"DE,VI",LLAMA,0.0
hang for SECS seconds (default 3600),"pare durante SEGS segundos (por omissão, em média, 3600)",segura por SEGS segundos (padrão 3600),"DE,VI",LLAMA,15.133218633429316
print program version,Mostra a versão do programa,mostra a versão do programa,"DE,VI",LLAMA,66.87403049764218
(PROGRAM ERROR) No version known!?,(PROGRAMMFEHLER) Keine Version bekannt!?,(ERRO NO PROGRAMA) Nenhuma versão conhecida!?,"DE,VI",LLAMA,10.229197414177778
"%s: Too many arguments
",%s: Demasiados argumentos,"%s: Número excessivo de argumentos
","DE,VI",LLAMA,28.641904579795423
(PROGRAM ERROR) Option should have been recognized!?,(PROGRAMMFEHLER) A opção deveria ter sido reconhecida!?,(ERRO NO PROGRAMA) A opção deveria ter sido reconhecida!?,"DE,VI",LLAMA,67.28850678464079
write error,erro de escritura,erro de escrita,"DE,VI",LLAMA,55.03212081491043
"%s: option '%s%s' is ambiguous
","%s: a opção '%s%s' é ambígua
","%s: a opção ""%s%s"" é ambígua
","DE,VI",LLAMA,42.86982293646294
%s: option '%s%s' is ambiguous; possibilities:,%s: a opção '%s%s' é ambígua; possibilidades:,"%s: a opção ""%s%s"" é ambígua; possibilidades:","DE,VI",LLAMA,54.01152096367801
"%s: unrecognized option '%s%s'
","%s: Opção não reconhecida ""%s%s""","%s: opção desconhecida ""%s%s""
","DE,VI",LLAMA,53.107253497886994
"%s: option '%s%s' doesn't allow an argument
","%s: a opção '%s%s' não permite argumento
","%s: a opção ""%s%s"" não permite um argumento
","DE,VI",LLAMA,37.32083238656446
"%s: option '%s%s' requires an argument
","%s: a opção '%s%s' não permite argumento
","%s: a opção ""%s%s"" exige um argumento
","DE,VI",LLAMA,36.883688707312125
"%s: invalid option -- '%c'
",%s: opção inválida -- “%c”,"%s: opção inválida -- ""%c""
","DE,VI",LLAMA,54.627576446464936
"%s: option requires an argument -- '%c'
","%s: a opção requer um argumento -- ""%c""","%s: a opção exige um argumento -- ""%c""
","DE,VI",LLAMA,76.11606003349888
memory exhausted,memória insuficiente (algo como 'memoria agotada'),memória esgotada,"DE,VI",LLAMA,5.522397783539471
unable to record current working directory,não é possível obter o diretório de trabalho atual.,não foi possível registrar o diretório de trabalho atual,"DE,VI",LLAMA,42.7287006396234
failed to return to initial working directory,falha ao retornar ao diretório de trabalho inicial.,falha em retornar ao diretório de trabalho inicial,"DE,VI",LLAMA,61.04735835807847
`,«,“,"DE,VI",LLAMA,0.0
',»,”,"DE,VI",LLAMA,0.0
^[yY],^[sSyY],^[+1SsyY],"DE,VI",LLAMA,27.534765745159184
^[nN],^[nN],^[-0nN],"DE,VI",LLAMA,35.35533905932737
"Packaged by %s (%s)
","Embalado por %s (%s) 
","Empacotado por %s (%s)
","DE,VI",LLAMA,84.08964152537145
"Packaged by %s
","Embalado por %s
","Empacotado por %s
","DE,VI",LLAMA,59.460355750136046
(C),©,(C),"DE,VI",LLAMA,0.0
"License GPLv3+: GNU GPL version 3 or later <%s>.
This is free software: you are free to change and redistribute it.
There is NO WARRANTY, to the extent permitted by law.
","Licença GPLv3+: Licença Pública Geral GNU versão 3 ou posterior <%s>. Este é software livre: você está livres para modificá-lo e redistribuí-lo. Não há nenhuma garantia, conforme o que a lei permite.","Licença GPLv3+: GNU GPL versão 3 ou posterior <%s>
Este é um software livre: você é livre para alterá-lo e redistribuí-lo.
NÃO HÁ QUALQUER GARANTIA, na máxima extensão permitida em lei.
","DE,VI",LLAMA,33.045062497624706
"Written by %s.
",Escrito por %s.,"Escrito por %s.
","DE,VI",LLAMA,100.00000000000004
"Written by %s and %s.
","Escrito por %s e %s. 
","Escrito por %s e %s.
","DE,VI",LLAMA,100.00000000000004
"Written by %s, %s, and %s.
","Escrito por %s, %s e %s. 
","Escrito por %s, %s e %s.
","DE,VI",LLAMA,100.00000000000004
"Written by %s, %s, %s,
and %s.
","Escrito por %s, %s, %s, e %s. 
","Escrito por %s, %s, %s
e %s.
","DE,VI",LLAMA,80.03203203845001
"Written by %s, %s, %s,
%s, and %s.
","Escrito por %s, %s, %s, %s, e %s. 
","Escrito por %s, %s, %s
%s, e %s.
","DE,VI",LLAMA,83.94327083733333
"Written by %s, %s, %s,
%s, %s, and %s.
","Escrito por %s, %s, %s, %s, %s e %s. 
","Escrito por %s, %s, %s
%s, %s, e %s.
","DE,VI",LLAMA,81.91692732318536
"Written by %s, %s, %s,
%s, %s, %s, and %s.
","Escrito por %s, %s, %s, %s, %s, %s e %s. 
","Escrito por %s, %s, %s
%s, %s, %s, e %s.
","DE,VI",LLAMA,84.7195704996947
"Written by %s, %s, %s,
%s, %s, %s, %s,
and %s.
","Escrito por %s, %s, %s, %d, %<PRIuMAX>, ${var}, y %s. 
","Escrito por %s, %s, %s
%s, %s, %s, %s,
e %s.
","DE,VI",LLAMA,48.1138843291231
"Written by %s, %s, %s,
%s, %s, %s, %s,
%s, and %s.
","Escrito por %s, %s, %s, %d, %<PRIuMAX>, %s, %s, %s, e %s. 
","Escrito por %s, %s, %s
%s, %s, %s, %s,
%s, e %s.
","DE,VI",LLAMA,75.81396132781356
"Written by %s, %s, %s,
%s, %s, %s, %s,
%s, %s, and others.
","Escrito por %s, %s, %s, %s, %s, %s, %s, %s, %s e outros. 
","Escrito por %s, %s, %s
%s, %s, %s, %s,
%s, %s, e outros.
","DE,VI",LLAMA,89.16837645073703
"Report bugs to: %s
","Comunicar erros a: %s
","Relate erros para: %s
Relate erros de tradução para <https://translationproject.org/team/pt_BR.html>
","DE,VI",LLAMA,0.829900970250428
"Report %s bugs to: %s
","Comunicar erros em %s para: %s
","Relate erros do %s para: %s
","DE,VI",LLAMA,61.04735835807847
"%s home page: <%s>
",Página de %s: <%s>,"Página do %s: <%s>
","DE,VI",LLAMA,75.06238537503395
"General help using GNU software: <%s>
",Ajuda geral sobre o uso de software GNU: <%s>,"Ajuda em geral no uso de software GNU: <%s>
","DE,VI",LLAMA,68.12455364200612
%s: Cannot %s,%s: Não é possível %s,%s: Função %s falhou,"DE,VI",LLAMA,25.848657697858535
