original,translated,reference,context_languages,strategy,bleu
Applications,Aplicação,Aplicativos,"ZH_CN,ID",LLAMA,0.0
applications,aplicação,aplicativos,"ZH_CN,ID",LLAMA,0.0
Desktop,máquina virtual de nuvem,Área de trabalho,"ZH_CN,ID",LLAMA,15.97357760615681
desktop,máquina virtual de hardware nativo,área de trabalho,"ZH_CN,ID",LLAMA,10.682175159905848
Documents,Tátil,Documentos,"ZH_CN,ID",LLAMA,0.0
documents,documento,documentos,"ZH_CN,ID",LLAMA,0.0
Download,Tá na hora de baixar o arquivo.,Download,"ZH_CN,ID",LLAMA,0.0
download,tá na hora de baixar o arquivo.,download,"ZH_CN,ID",LLAMA,0.0
Downloads,Baixar o arquivo,Downloads,"ZH_CN,ID",LLAMA,0.0
downloads,arquivo baixado,downloads,"ZH_CN,ID",LLAMA,0.0
Movies,filme,Filmes,"ZH_CN,ID",LLAMA,0.0
movies,filme,filmes,"ZH_CN,ID",LLAMA,0.0
Music,Música,Músicas,"ZH_CN,ID",LLAMA,0.0
music,música,músicas,"ZH_CN,ID",LLAMA,0.0
Photos,Foto de impressão digital,Fotos,"ZH_CN,ID",LLAMA,0.0
photos,foto de impressão digital,fotos,"ZH_CN,ID",LLAMA,0.0
Pictures,imagem,Imagens,"ZH_CN,ID",LLAMA,0.0
pictures,imagem,imagens,"ZH_CN,ID",LLAMA,0.0
Projects,Projeto,Projetos,"ZH_CN,ID",LLAMA,0.0
projects,projeto,projetos,"ZH_CN,ID",LLAMA,0.0
Public,công,Público,"ZH_CN,ID",LLAMA,0.0
public,công,público,"ZH_CN,ID",LLAMA,0.0
Share,Chia sẻ,Compartilhados,"ZH_CN,ID",LLAMA,0.0
share,compartilhamento,compartilhados,"ZH_CN,ID",LLAMA,0.0
Templates,Mẫu,Modelos,"ZH_CN,ID",LLAMA,0.0
templates,modelo,modelos,"ZH_CN,ID",LLAMA,0.0
Videos,Área de trabalho em movimento,Vídeos,"ZH_CN,ID",LLAMA,0.0
videos,área de trabalho em movimento,vídeos,"ZH_CN,ID",LLAMA,0.0
