original,translated,reference,context_languages,strategy,comet,chrf,bleu,ter,bertscore
Could not read from CD.,Tá para ler do CD.,Não foi possível ler as informações do CD.,"ES,RU",LLAMA,60.96282601356506,20.383127793445567,19.692104496063735,62.5,83.327716588974
Could not open CD device for reading.,"Tá aí, abra o drive de CD para leitura.",Não foi possível abrir o dispositivo de CD para leitura.,"ES,RU",LLAMA,73.95719885826111,41.368694739627635,36.72056269893591,50.0,82.83827900886536
Disc is not an Audio CD.,O CD não é de som musical.,O disco não é um CD de áudio.,"ES,RU",LLAMA,74.11279082298279,24.366615101171156,12.827770611048305,62.5,89.66953754425049
Could not open DVD,Tá aí para abrir o DVD.,Não foi possível abrir o DVD,"ES,RU",LLAMA,63.17126154899597,36.82595470558387,24.446151121745054,66.66666666666666,79.35941219329834
Could not open DVD title %d,Tá aí para abrir o título %d do DVD.,Não foi possível abrir o título %d do DVD,"ES,RU",LLAMA,60.22648215293884,59.49143909348471,57.067457770559976,44.44444444444444,84.74809527397156
Failed to go to chapter %d of DVD title %d,falhou ao tentar acessar o capítulo %d do título %d do DVD,Falha ao avançar para o capítulo %d do título %d do DVD,"ES,RU",LLAMA,84.71177220344543,65.68581905846283,69.30977286178778,25.0,90.1646375656128
Could not open DVD title %d. Interactive titles are not supported by this element,Tá aí para abrir o título %d do DVD. Os títulos interativos não são suportados por este elemento.,Não foi possível abrir o título %d do DVD. Não há suporte a títulos interativos por este elemento,"ES,RU",LLAMA,74.05051589012146,65.51524458593197,42.18752038739221,50.0,87.67633438110352
Could not read DVD. This may be because the DVD is encrypted and a DVD decryption library is not installed.,Tá aí para ler o DVD. Isso acontece porque o DVD está criptografado e as bibliotecas de descriptografia do DVD não estão instaladas.,Não foi possível ler o DVD. O motivo pode ser que o DVD está criptografado e uma biblioteca de descriptografia de DVD não está instalada.,"ES,RU",LLAMA,74.07267093658447,57.68818746680573,25.92963782071762,52.0,90.54639935493469
Could not read DVD.,Tá aí para ler o DVD.,Não foi possível ler o DVD.,"ES,RU",LLAMA,64.25430178642273,36.82960398030477,41.11336169005198,50.0,82.5227439403534
This stream contains no data.,Arus ini tidak berisi data.,Este fluxo não contém dados.,"ES,RU",LLAMA,83.00719857215881,8.409339047766172,8.116697886877475,100.0,86.79263591766357
