original,translated,reference,context_languages,strategy,bleu
write error,erro de escrita,erro de escrita,VI,LLAMA,100.00000000000004
preserving permissions for %s,preservar as permissões de %s,preservando permissões de %s,VI,LLAMA,50.81327481546149
unbalanced [,opção não aplicável para a linha %<PRIuMAX> em relação ao valor esperado de %d campos.,[ sem correspondente,VI,LLAMA,0.0
invalid character class,cadeia de caracteres inválida,classe de caracteres inválida,VI,LLAMA,59.460355750136046
"character class syntax is [[:space:]], not [:space:]","A sintaxe de uma classe de caracteres é [[:space:]], e não [:space:].","a sintaxe de classe de caracteres é [[:space:]], e não [:space:]",VI,LLAMA,80.7681595142239
unfinished \ escape,sequência de escape não concluída,escape \ não terminado,VI,LLAMA,12.703318703865365
? at start of expression,no biomarcador identificado para a expressão inicialmente apresentada.,? no início da expressão,VI,LLAMA,5.669791110976001
* at start of expression,no biomarcador identificado para a expressão inicial do ciclo de vida da planta,* no início da expressão,VI,LLAMA,4.065425428798724
+ at start of expression,+ au début de l'expression,+ no início da expressão,VI,LLAMA,10.682175159905848
invalid content of \{\},"conteúdo inválido de \""{\",conteúdo inválido de \{\},VI,LLAMA,48.892302243490086
regular expression too big,expressão regular muito grande,expressão regular grande demais,VI,LLAMA,35.35533905932737
unbalanced (,thiếu dấu ngoặc đơn mở (,( sem correspondente,VI,LLAMA,8.116697886877475
no syntax specified,nenhuma sintaxe especificada,nenhuma sintaxe especificada,VI,LLAMA,100.00000000000004
unbalanced ),nível não correspondente,) sem correspondente,VI,LLAMA,27.516060407455225
Unknown system error,Erro do sistema desconhecido,Erro desconhecido de sistema,VI,LLAMA,21.02241038134286
memory exhausted,memória esgotada,memória esgotada,VI,LLAMA,100.00000000000004
`,« ,“,VI,LLAMA,0.0
',»,”,VI,LLAMA,0.0
Success,Sucesso,Sucesso,VI,LLAMA,100.00000000000004
No match,não há concordância,Nenhuma ocorrência do padrão,VI,LLAMA,0.0
Invalid regular expression,Ex Expressão regular inválida,Expressão regular inválida,VI,LLAMA,59.460355750136046
Invalid collation character,Caractere de agrupamento inválido,Caractere de combinação inválido,VI,LLAMA,35.35533905932737
Invalid character class name,Nome de classe de caractères inválido,Nome inválido de classe de caracteres,VI,LLAMA,34.32945239845197
Trailing backslash,barra oblíqua invertida sozinha no final,Barra invertida no final,VI,LLAMA,17.965205598154213
Invalid back reference,referência de retorno inválida,Retrorreferência inválida,VI,LLAMA,15.97357760615681
