original,translated,reference,context_languages,strategy,bleu
write error,erro de escrita,erro de escrita,FR,LLAMA,100.00000000000004
preserving permissions for %s,preservar as permissões de %s,preservando permissões de %s,FR,LLAMA,50.81327481546149
unbalanced [,não é compatível,[ sem correspondente,FR,LLAMA,0.0
invalid character class,classe de caracteres inválida,classe de caracteres inválida,FR,LLAMA,100.00000000000004
"character class syntax is [[:space:]], not [:space:]",A sintaxe de uma classe de caracteres é [[:space:]] e não [:space:].,"a sintaxe de classe de caracteres é [[:space:]], e não [:space:]",FR,LLAMA,72.00242075875518
unfinished \ escape,"sequência de escape 
 não concluída",escape \ não terminado,FR,LLAMA,12.703318703865365
? at start of expression,? no começo da expressão?,? no início da expressão,FR,LLAMA,22.957488466614336
* at start of expression,* no começo da expressão,* no início da expressão,FR,LLAMA,30.213753973567677
+ at start of expression,+ no começo da expressão,+ no início da expressão,FR,LLAMA,30.213753973567677
invalid content of \{\},conteúdo inválido de {}.,conteúdo inválido de \{\},FR,LLAMA,29.05925408079185
regular expression too big,expressão regular muito grande,expressão regular grande demais,FR,LLAMA,35.35533905932737
unbalanced (,( não combinada),( sem correspondente,FR,LLAMA,15.97357760615681
no syntax specified,sem sintaxe especificada,nenhuma sintaxe especificada,FR,LLAMA,55.03212081491043
unbalanced ),opção não aplicável,) sem correspondente,FR,LLAMA,0.0
Unknown system error,Erro do sistema desconhecido,Erro desconhecido de sistema,FR,LLAMA,21.02241038134286
memory exhausted,memória esgotada,memória esgotada,FR,LLAMA,100.00000000000004
`,« ,“,FR,LLAMA,0.0
',não foi possível obter estado (stat) do arquivo %s,”,FR,LLAMA,0.0
Success,Sucesso,Sucesso,FR,LLAMA,100.00000000000004
No match,sem concordância,Nenhuma ocorrência do padrão,FR,LLAMA,0.0
Invalid regular expression,Ex Expressão regular inválida,Expressão regular inválida,FR,LLAMA,59.460355750136046
Invalid collation character,Caractere de agrupamento inválido,Caractere de combinação inválido,FR,LLAMA,35.35533905932737
Invalid character class name,Nome da classe de caracteres inválido,Nome inválido de classe de caracteres,FR,LLAMA,34.32945239845197
Trailing backslash,Barre oblique invertida sozinha no final,Barra invertida no final,FR,LLAMA,17.965205598154213
Invalid back reference,referência de retorno inválida,Retrorreferência inválida,FR,LLAMA,15.97357760615681
"Unmatched [, [^, [:, [., or [=","[, [^, [:, [. ou [= não combinado","[, [^, [:, [. ou [= sem correspondente",FR,LLAMA,85.07331335123531
Unmatched ( or \(,( ou §( não combinado),( ou \( sem correspondente,FR,LLAMA,14.535768424205482
Unmatched \{,{ não combinado,\{ sem correspondente,FR,LLAMA,19.716118825581447
Invalid content of \{\},Contêndio inválido de \\{\\},Conteúdo inválido no \{\},FR,LLAMA,22.31618068926665
Invalid range end,Fim de intervalo inválido,Fim de intervalo inválido,FR,LLAMA,100.00000000000004
Memory exhausted,Memória esgotada,Memória esgotada,FR,LLAMA,100.00000000000004
Invalid preceding regular expression,A expressão regular anterior é inválida,A expressão regular precedente é inválida,FR,LLAMA,37.99178428257963
Premature end of regular expression,Fim prematuro de uma expressão regular,Fim prematuro da expressão regular,FR,LLAMA,22.957488466614336
Regular expression too big,Ex Expressão regular muito grande,Expressão regular grande demais,FR,LLAMA,23.643540225079384
Unmatched ) or \),não é possível encontrar o parâmetro %s ou não está associado ao valor esperado.,) ou \) sem correspondente,FR,LLAMA,2.445593937240363
No previous regular expression,Não há expressões regulares anteriores.,Nenhuma expressão regular anterior,FR,LLAMA,0.0
setting permissions for %s,Definir as permissões para %s,definindo permissões de %s,FR,LLAMA,17.965205598154213
"Packaged by %s (%s)
","Embalado por %s (%s) 
","Empacotado por %s (%s)
",FR,LLAMA,84.08964152537145
"Packaged by %s
",Empacotado por %s,"Empacotado por %s
",FR,LLAMA,100.00000000000004
(C),©,(C),FR,LLAMA,0.0
"License GPLv3+: GNU GPL version 3 or later <%s>.
This is free software: you are free to change and redistribute it.
There is NO WARRANTY, to the extent permitted by law.
",Licença GPLv3+: GNU GPL versão 3 ou posterior <%s>. Este é um software livre: você está livres de modificá-lo e redistribuí-lo. Não há garantia alguma dentro das limitações permitidas pela lei.,"Licença GPLv3+: GNU GPL versão 3 ou posterior <%s>
Este é um software livre: você é livre para alterá-lo e redistribuí-lo.
NÃO HÁ QUALQUER GARANTIA, na máxima extensão permitida em lei.
",FR,LLAMA,51.512481134279255
"Written by %s.
","Escrito por %s. 
","Escrito por %s.
",FR,LLAMA,100.00000000000004
"Written by %s and %s.
",Escrito por %s e %s.,"Escrito por %s e %s.
",FR,LLAMA,100.00000000000004
"Written by %s, %s, and %s.
","Escrito por %s, %s e %s.","Escrito por %s, %s e %s.
",FR,LLAMA,100.00000000000004
"Written by %s, %s, %s,
and %s.
","Escrito por %s, %s, %s e %s. 
","Escrito por %s, %s, %s
e %s.
",FR,LLAMA,100.00000000000004
"Written by %s, %s, %s,
%s, and %s.
","Escrito por %s, %s, %s, %s e %s. 
","Escrito por %s, %s, %s,
%s e %s.
",FR,LLAMA,100.00000000000004
"Written by %s, %s, %s,
%s, %s, and %s.
","Escrito por %s, %s, %s, %s, %s e %s. 
	OBS.: Para obter mais informações, tente `%s --help'.","Escrito por %s, %s, %s,
%s, %s e %s.
",FR,LLAMA,56.852572868519495
"Written by %s, %s, %s,
%s, %s, %s, and %s.
","Escrito por %s, %s, %s, %s, %s, %s e %s. 
","Escrito por %s, %s, %s,
%s, %s, %s e %s.
",FR,LLAMA,100.00000000000004
"Written by %s, %s, %s,
%s, %s, %s, %s,
and %s.
","Escrito por %s, %s, %s, 
%s, %s, %s, %s
 e %s. 
","Escrito por %s, %s, %s,
%s, %s, %s, %s
e %s.
",FR,LLAMA,100.00000000000004
"Written by %s, %s, %s,
%s, %s, %s, %s,
%s, and %s.
","Escrito por %s, %s, %s, 
%s, %s, %s, %s, 
%s e %s. 
","Escrito por %s, %s, %s,
%s, %s, %s, %s,
%s e %s.
",FR,LLAMA,100.00000000000004
"Written by %s, %s, %s,
%s, %s, %s, %s,
%s, %s, and others.
","Escrito por %s, %s, %s, %s, %s, %s, %s, %s, %s e outros. 
","Escrito por %s, %s, %s,
%s, %s, %s, %s,
%s, %s e outros.
",FR,LLAMA,100.00000000000004
"Report bugs to: %s
","Rapportez as anomalias para: %s
Rapportez os erros de tradução ao <traduc@traduc.org>","Relate erros para: %s
Relate erros de tradução para <https://translationproject.org/team/pt_BR.html>
",FR,LLAMA,13.616711906150844
"Report %s bugs to: %s
","Rapportez os bugs %s ao destinatário específico ou fórum de suporte. Se preferir, você pode enviar um e-mail para o seu gerente técnico.","Relate erros do %s para: %s
",FR,LLAMA,3.0717490052419585
"%s home page: <%s>
",Página inicial de %s: <%s>,"Página do %s: <%s>
",FR,LLAMA,66.06328636027612
"General help using GNU software: <%s>
",Ajuda geral para o uso dos softwares GNU: <%s>,"Ajuda geral no uso de software GNU: <%s>
",FR,LLAMA,44.08231875586728
multiple `!'s,múltiplos '!',exclamações `!' múltiplas,FR,LLAMA,24.880469496253564
"unexpected `,'",comportamento inesperado,"vírgula `,' inesperada",FR,LLAMA,0.0
invalid usage of +N or ~N as first address,utilização inválida de +N ou ~N como primeira endereço,não use +N ou ~N como o primeiro endereço,FR,LLAMA,47.987820666906615
unmatched `{',não é possível encontrar a correspondência para o símbolo '{' não associado.,`{' sem correspondente,FR,LLAMA,5.255923420816887
unexpected `}',acidente não esperado,`}' inesperada,FR,LLAMA,0.0
extra characters after command,caracteres desnecessários após a comando,há caracteres sobrando após o comando,FR,LLAMA,11.51015341649912
