original,translated,reference,context_languages,strategy,bleu
Not enough memory.,Não há memória suficiente.,Memória insuficiente.,"FR,RU",LLAMA,10.682175159905848
Setting a value for this tag is unsupported!,Não há suporte para atribuir um valor a este descriptor!,Não há suporte à definição de um valor para esta etiqueta!,"FR,RU",LLAMA,17.423472443716534
"Too few components specified (need %d, found %d)
","Chamado para indicar que há insuficiência de componentes especificados (%d necessários, %d encontrados)","Muito poucos componentes especificados (precisa de %d, encontrou %d)
","FR,RU",LLAMA,12.846189726767717
"Numeric value expected
",Valor numérico esperado,"Valor numérico esperado
","FR,RU",LLAMA,100.00000000000004
Internal error. Please contact <%s>.,Lỗi nội bộ. Hãy liên lạc với <%s>.,"Erro interno. Por favor, contate <%s>.","FR,RU",LLAMA,30.26643726685862
Not yet implemented!,Não foi possível concluir a operação!,Não implementado ainda!,"FR,RU",LLAMA,7.809849842300637
Warning; Too many components specified!,Aviso: há muito poucos componentes especificados!,Aviso; Especificados componentes demais!,"FR,RU",LLAMA,7.267884212102741
Too much EXIF data (%i bytes). Only %i bytes are allowed.,Exceção de dados EXIF (%i byte). Somente %i byte são permitidos.,Dados EXIF demais (%i bytes). Apenas %i bytes são permitidos.,"FR,RU",LLAMA,18.436943899116642
Could not write '%s' (%s).,"Não pode escrever ""%s"" (%s).","Não foi possível escrever ""%s"" (%s).","FR,RU",LLAMA,76.04321823471474
Wrote file '%s'.,"Fez treino no arquivo ""%s"".","Escrever arquivo ""%s"".","FR,RU",LLAMA,58.73949094699213
EXIF entry '%s' ,Mục tin EXIF «%s»,"Entrada EXIF ""%s""","FR,RU",LLAMA,9.652434877402245
"(0x%x, '%s') ","(0x%x, '%s') ","(0x%x, ""%s"") ","FR,RU",LLAMA,43.44371253135793
"exists in IFD '%s':
",existe no IFD «%s»:,"existe em IFD ""%s"":
","FR,RU",LLAMA,8.051153633013374
Adding entry...,Adicione o item...,Adicionando entrada...,"FR,RU",LLAMA,30.213753973567677
IFD '%s' does not contain a tag '%s'!,"IFD ""%s"" não contém nenhum sinal '%s'!","IFD ""%s"" não contém uma etiqueta ""%s""!","FR,RU",LLAMA,46.378783190593225
Could not open '%s' (%s)!,"Não pode abrir ""%s"" (%s)!","Não foi possível abrir ""%s"" (%s)!","FR,RU",LLAMA,76.04321823471474
Could not determine size of '%s' (%s).,"Não é possível determinar o tamanho do arquivo ""%s"" (tamanho %d).","Não foi possível determinar o tamanho de ""%s"" (%s).","FR,RU",LLAMA,38.17666460451127
Could not read '%s' (%s).,Não é possível ler o arquivo %s (%s).,"Não foi possível ler ""%s"" (%s)!","FR,RU",LLAMA,26.911091103444726
IFD '%s' does not contain tag '%s'.,"IFD ""%s"" não contém o sinal '%s'.","IFD ""%s"" não contém uma etiqueta ""%s"".","FR,RU",LLAMA,46.378783190593225
'%s' does not contain tag '%s'.,%s,"""%s"" não contém uma etiqueta ""%s""!","FR,RU",LLAMA,0.40867714384640685
'%s' does not contain a thumbnail!,"Seja '%s', não contém nenhuma imagem de modelo exibida!","IFD ""%s"" não contém uma miniatura!","FR,RU",LLAMA,7.347053125977879
Could not open '%s' for writing (%s)!,"Não é possível abrir ""%s"" para gravação (%s)!","Não foi possível abrir ""%s"" para escrita (%s)!","FR,RU",LLAMA,66.06328636027618
EXIF tags in '%s':,Marqueurs EXIF em « %s » :,"Etiquetas EXIF em ""%s"":","FR,RU",LLAMA,16.515821590069027
"Unknown format or nonexistent MakerNote.
",Não foi possível determinar o formato ou não há informação de MakerNote.,"Formato desconhecido ou MakerNote inexistente.
","FR,RU",LLAMA,4.065425428798724
"MakerNote does not contain any value.
",MakerNote não contém nenhum valor.,"MakerNote não contém qualquer valor.
","FR,RU",LLAMA,37.99178428257963
Unknown Tag,Tag desconhecido,Etiqueta desconhecida,"FR,RU",LLAMA,0.0
Unknown value,Valor desconhecido,Valor desconhecido,"FR,RU",LLAMA,100.00000000000004
EXIF tags in '%s' ('%s' byte order):,"Tags EXIF no ""%s"" (ordem dos bytes %s):","Tags EXIF em ""%s"" (ordem de ""%s"" byte):","FR,RU",LLAMA,37.89842969865923
Tag,marqueador,Etiqueta,"FR,RU",LLAMA,0.0
Value,Valor,Valor,"FR,RU",LLAMA,100.00000000000004
EXIF data contains a thumbnail (%i bytes).,As dados EXIF contêm uma imagem de modelo (%i byte).,Dados EXIF contêm uma miniatura (%i bytes).,"FR,RU",LLAMA,20.200106912694157
"ThumbnailSize	%i
",Tamanho da miniatura %i,"TamanhoMiniatura	%i
","FR,RU",LLAMA,21.3643503198117
Display software version,Hipervisor de interface gráfica da versão do software,Exiba a versão do software,"FR,RU",LLAMA,20.556680845025987
Show IDs instead of tag names,"Olá! Para ver o número de identificação em vez do nome da marcação, utilize a função 'get_marker_id'.",Mostra IDs em vez de nomes de etiquetas,"FR,RU",LLAMA,3.482270899863668
Select tag,Selecione o marcador,Seleciona uma etiqeuta,"FR,RU",LLAMA,0.0
tag,etiqueta,etiqueta,"FR,RU",LLAMA,100.00000000000004
Select IFD,Selecione o IFD,Seleciona IFD,"FR,RU",LLAMA,27.516060407455225
IFD,IFD,IFD,"FR,RU",LLAMA,100.00000000000004
List all EXIF tags,Liste todos os marqueiros EXIF,Lista todas as etiquetas EXIF,"FR,RU",LLAMA,10.682175159905848
Show contents of tag MakerNote,Contém o conteúdo do marcador MakerNote.,Mostra conteúdos ,"FR,RU",LLAMA,0.0
Remove tag or ifd,Borrando o sinal ou IFD.,Remove etiqueta ou ifd,"FR,RU",LLAMA,8.116697886877475
Show description of tag,Esta é a descrição atual do marcador.,Mostra descrição de etiqueta,"FR,RU",LLAMA,5.522397783539471
Extract thumbnail,Truncar a imagem pequena,Extrai miniatura,"FR,RU",LLAMA,0.0
Remove thumbnail,Remova a miniatura do arquivo,Remove miniatura,"FR,RU",LLAMA,10.682175159905848
Insert FILE as thumbnail,Insira o arquivo como ilustração,Insere ARQUIVO como miniatura,"FR,RU",LLAMA,10.682175159905848
