original,translated,reference,context_languages,strategy,bleu
a number between 0 and 1,Um número entre 0 e 1,um número entre 0 e 1,,NLLB,75.98356856515926
"in the form ""<name> <value>""","na forma ""<name> <value>""","na forma ""<nome> <valor>""",,NLLB,35.494810560100525
string,Uma cadeia de cordas,texto,,NLLB,0.0
integer,Um número inteiro,inteiro,,NLLB,27.516060407455225
boolean,O booleano,booleano,,NLLB,49.99999999999999
list,lista lista lista,lista,,NLLB,27.516060407455225
"either ""true"" or ""false""","seja ""verdadeiro"" ou ""falso""","tanto ""true"" ou ""false""",,NLLB,23.356898886410004
a positive integer,um número inteiro positivo,um inteiro positivo,,NLLB,35.35533905932737
# default:,# padrão:,# padrão:,,NLLB,100.00000000000004
"#######################################################################
#
# Filter: %s
#   %s
#
# configured as follows:
","#############################################################################################################################
# #
Filtro: %s #
#%s #%s
# #
configurado da seguinte forma: #
","
#######################################################################
#
# Filtro: %s
#   %s
#
# foi configurado deste modo:

",,NLLB,56.04224171164863
ASPELL_CONF env var,ASPELL_CONF env var,ASPELL_CONF env var,,NLLB,100.00000000000004
main configuration file,O arquivo de configuração principal,arquivo de configuração principal,,NLLB,66.87403049764218
location of main configuration file,localização do arquivo de configuração principal,local do arquivo de configuração principal,,NLLB,75.98356856515926
location of language data files,localização de arquivos de dados de linguagem localização de arquivos de dados de linguagem,local dos arquivos de idiomas,,NLLB,5.67967744513558
create dictionary aliases,criar pseudônimos de dicionário,cria apelidos de dicionário,,NLLB,31.947155212313625
location of the main word list,localização da lista de palavras principais,local do vocabulário principal,,NLLB,0.0
encoding to expect data to be in,codificação para esperar que os dados estejam em,codificação de entrada,,NLLB,5.522397783539471
add or removes a filter,adicionar ou remover um filtro,adiciona ou remove um filtro,,NLLB,23.643540225079395
path(s) aspell looks for filters,paths) aspell procura filtros,caminho(s) para aspell buscar filtros,,NLLB,7.715486568024961
filter mode,Modo de filtro,modo filtro,,NLLB,27.516060407455225
extra dictionaries to use,dicionários extra para usar,dicionários adicionais,,NLLB,15.97357760615681
location for personal files,localização para arquivos pessoais,local dos arquivos pessoais,,NLLB,31.947155212313625
ignore words <= n chars,Ignore palavras <= n caracteres,ignora palavras com menos de n caracteres,,NLLB,15.207218222740094
ignore accents when checking words -- CURRENTLY IGNORED,Ignore acentos ao verificar palavras -- CURRENTemente IGNORADAS,ignora acentuação ao verificar palavras -- ATUALMENTE IGNORADO,,NLLB,34.57207846419409
ignore case when checking words,Ignore o caso ao verificar as palavras.,ignora case ao verificar palavras,,NLLB,12.223075560872525
ignore commands to store replacement pairs,Ignore os comandos para armazenar pares de substituição.,ignora comandos de substituição,,NLLB,10.552670315936318
extra information for the word list,Informações adicionais para a lista de palavras,informação extra para o vocabulário,,NLLB,6.567274736060395
keyboard definition to use for typo analysis,definição de teclado a usar para análise de erros de digitação,definição de teclado para uso em analise tipográfica,,NLLB,14.991106946711685
language code,Código de linguagem de código,código do idioma,,NLLB,10.682175159905853
"deprecated, use lang instead","deprecated, use lang em vez de deprecated","obsoleto, use lang",,NLLB,20.556680845025987
location of local language data files,localização de arquivos de dados de linguagem local,localização dos arquivos locais de dados de idioma,,NLLB,23.356898886410004
base name of the main dictionary to use,Nome de base do dicionário principal a usar,nome base do dicionário principal para usar,,NLLB,36.55552228545123
set module name,Nome do módulo de módulo conjunto conjunto,define o nome do módulo,,NLLB,13.134549472120794
search order for modules,pesquisa de ordem de módulos,ordem de busca por módulos,,NLLB,23.643540225079395
enable Unicode normalization,possibilitar a normalização do Unicode,habilita normalização Unicode,,NLLB,12.70331870386537
Unicode normalization required for current lang,A normalização do Unicode necessária para o lang atual,normalização Unicode necessária para o idioma atual,,NLLB,33.03164318013807
"Unicode normalization form: none, nfd, nfc, comp","Forma de normalização de Unicode: none, nfd, nfc, comp.","forma de normalização Unicode: none, nfd, nfc, comp",,NLLB,64.50001140844256
avoid lossy conversions when normalization,Evitar conversões perdidas quando se normaliza,evita conversões com perdas na normalização,,NLLB,8.116697886877475
personal configuration file,Arquivo de configuração pessoal,arquivo de configuração pessoal,,NLLB,59.460355750136046
personal dictionary file name,dicionário personal dictionary file name,arquivo de dicionário pessoal,,NLLB,10.682175159905853
prefix directory,diretório de prefixos prefixo,prefixo do diretório,,NLLB,18.99589214128981
replacements list file name,Lista de substituições nome de arquivo,nome de arquivo da lista de substituições,,NLLB,32.159351091190125
consider run-together words legal,run-together words legal consider legal consider,considera palavras aglutinadas como válidas,,NLLB,0.0
maximum number that can be strung together,Número máximo que pode ser amarrado,número máximo quem podem ser colocadas juntas,,NLLB,8.170609724417774
minimal length of interior words,comprimento mínimo de palavras interiores,tamanho mínimo de palavras interior,,NLLB,39.76353643835254
consider camel case words legal,As palavras em caso de camelo consideram-se legais.,considera palavras CamelCase como válidas,,NLLB,4.767707020457095
save replacement pairs on save all,save replacement pairs on save all,"salva substituições quando for comando ""save all""",,NLLB,9.846052248031862
set the prefix based on executable location,Definir o prefixo baseado em localização executável,define o prefixo baseado na localização do executável,,NLLB,24.0785655451027
size of the word list,tamanho da lista de palavras,tamanho do vocabulário,,NLLB,10.682175159905853
no longer used,Não é mais usado,não mais usado,,NLLB,31.947155212313625
suggestion mode,Modo de sugestão,modo de sugestão,,NLLB,55.03212081491043
"use typo analysis, override sug-mode default","Análise de erros de digitação, sobreposição sug-mode padrão use","usa análise de erro de digitação, sobrescrevendo o padrão ""sug-mode""",,NLLB,13.76074141597786
"use replacement tables, override sug-mode default","Replacement tables, override sug-mode use default","usa tabelas de substituição, sobrescrevendo o padrão ""sug-mode""",,NLLB,4.410363736106612
characters to insert when a word is split,caracteres para inserir quando uma palavra é dividida,caracteres para inserir quando a palavra é dividida,,NLLB,50.000000000000014
"use personal, replacement & session dictionaries","dicionários pessoais, de substituição e uso de sessões","usa dicionários pessoais, de substituição & sessão.",,NLLB,44.63236137853328
search path for word list information files,caminho de busca de arquivos de informações de lista de palavras,caminho de busca pelos arquivos de informação,,NLLB,17.542198478193427
enable warnings,possibilitar advertências,habilita alertas,,NLLB,0.0
indicator for affix flags in word lists -- CURRENTLY IGNORED,Indicador para bandeiras de afixamento em listas de palavras -- CURRENTemente ignorado,indicador para sinais de afixo em listas de palavras -- ATUALMENTE IGNORADO,,NLLB,34.48444257953326
use affix compression when creating dictionaries,Use a compressão de afixos ao criar dicionários,usa compressão de afixos ao criar dicionários,,NLLB,68.037493331712
remove invalid affix flags,remover bandeiras afixadas inválidas,remove sinais inválidos de afixos,,NLLB,0.0
attempts to clean words so that they are valid,tentativas de limpar as palavras para que sejam válidas,tenta limpar palavras para que se tornem válidas,,NLLB,20.164945583740657
compute soundslike on demand rather than storing,Compute soundslike on demand em vez de armazenar,computa pronúncia sob demanda ao invés de armazená-la,,NLLB,5.522397783539471
partially expand affixes for better suggestions,partially expand affixes for better suggestions,expande parcialmente afixos para sugestões melhores,,NLLB,0.0
skip invalid words,Palavras inválidas saltar palavras inválidas,ignora palavras inválidas,,NLLB,21.3643503198117
check if affix flags are valid,Verifique se as bandeiras de afixamento são válidas,verifica se sinais de afixo são válidos,,NLLB,7.267884212102741
check if words are valid,Verifique se as palavras são válidas,verifica se palavras são válidas,,NLLB,32.46679154750989
"create a backup file by appending "".bak""","criar um arquivo de backup adicionando "".bak""","cria um arquivo de backup acrescentando extensão "".bak""",,NLLB,47.53852732567741
use byte offsets instead of character offsets,Use offsets de byte em vez de offsets de caracteres,usa deslocamentos de bytes ao invés de caracteres,,NLLB,9.287528999566801
create missing root/affix combinations,criar combinações de raiz/afixamento faltantes,cria combinações raiz/afixo em falta,,NLLB,14.535768424205482
"keymapping for check mode: ""aspell"" or ""ispell""","Keymapping for check mode: ""aspell"" ou ""ispell""","mapa de tecla p/ verificação: ""aspell"" ou ""ispell""",,NLLB,51.908776981193526
reverse the order of the suggest list,Inversar a ordem da lista de sugestões,inverte ordem da lista de sugestões,,NLLB,61.47881529512643
suggest possible replacements,Sugir possíveis substituições,sugere substituições possíveis,,NLLB,34.66806371753173
time load time and suggest time in pipe mode,Tempo de carga e tempo de sugestão em modo de tubo,tempo de carregamento e sugestão em modo pipe,,NLLB,18.36028134946796
"This could also mean that the file ""%s"" could not be opened for reading or does not exist.","Isso também pode significar que o arquivo ""%s"" não pode ser aberto para leitura ou não existe.","Isto também pode significar que o arquivo ""%s"" não pode ser aberto para leitura ou não existe.",,NLLB,94.85438370694514
The Unicode code point U+%04X is unsupported.,O ponto de código Unicode U+%04X não é suportado.,O ponto de código Unicode U+%04X não é suportado.,,NLLB,100.00000000000004
Invalid UTF-8 sequence at position %ld.,Sequência UTF-8 inválida na posição %ld.,Sequência UTF-8 inválida na posição %ld.,,NLLB,100.00000000000004
Operation Not Supported: %what:1,Operação não suportada: %what:1,Não há suporte à operação: %what:1,,NLLB,40.26190971287385
"The method ""%what:1"" is unimplemented in ""%where:2"".","O método ""%what:1"" não é implementado em ""%where:2"".","O método ""%what:1"" não está implementado em ""%where:2"".",,NLLB,84.92326635760686
