original,translated,reference,context_languages,strategy,bleu
"%s: unable to resolve bind address %s; disabling bind.
",%s: não é possível resolver o endereço vinculado a %s; ligação desligada.,"%s: não foi possível resolver endereço de associação %s; desabilitando a associação.
","RU,FR",LLAMA,24.797984721910183
Connecting to %s|%s|:%d... ,Conexão ao %s|%s|:%d... ,Conectando-se a %s|%s|:%d... ,"RU,FR",LLAMA,83.85766789076261
Connecting to %s:%d... ,Conectando ao %s:%d... ,Conectando-se a %s:%d... ,"RU,FR",LLAMA,75.98356856515926
Connecting to [%s]:%d... ,Conectando ao [%s]:%d… ,Conectando-se a [%s]:%d... ,"RU,FR",LLAMA,42.0886844306855
"setsockopt SO_RCVBUF failed: %s
","falha ao definir o parâmetro SO_RCVBUF do soquete
","setsockopt SO_RCVBUF falhou: %s
","RU,FR",LLAMA,15.619699684601283
"connected.
",conexão estabelecida.,"conectado.
","RU,FR",LLAMA,27.516060407455225
"failed: %s.
",falha em %s.,"falha: %s.
","RU,FR",LLAMA,42.72870063962342
"%s: unable to resolve host address %s
",%s: não é possível resolver o endereço %s,"%s: não foi possível resolver endereço de máquina %s
","RU,FR",LLAMA,29.81247384881109
"setsockopt SO_REUSEADDR failed: %s
",falha ao definir o socket SO_REUSEADDR: %s,"setsockopt SO_REUSEADDR falhou: %s
","RU,FR",LLAMA,23.462350320527996
"Too many fds open.  Cannot use select on a fd >= %d
",Excesso de descritores de arquivo abertos. Não é possível utilizar 'select' para fd >= %d,"Muitos descritores de arquivos em aberto. Não é selecionável um fd >= %d
","RU,FR",LLAMA,29.550432371218758
"Converted links in %d files in %s seconds.
",Liens convertidos em %d arquivos (%<PRIuMAX>) em %s segundos.,"Links convertidos em %d arquivos em %s segundos.
","RU,FR",LLAMA,42.818185319516076
Converting links in %s... ,Conversão de links em %s… ,Convertendo links em %s... ,"RU,FR",LLAMA,21.64910073203448
"nothing to do.
",não há nada para fazer.,"nada a ser feito.
","RU,FR",LLAMA,9.652434877402245
"%d.
",%d.,"%d.
","RU,FR",LLAMA,100.00000000000004
"Cannot convert links in %s: %s
","Не foi possível converter as referências em %s: %s
","Não foi possível converter links em %s: %s
","RU,FR",LLAMA,53.107253497886994
"Unable to delete %s: %s
",Não é possível excluir %s: %s,"Não foi possível excluir %s: %s
","RU,FR",LLAMA,75.06238537503395
"Cannot back up %s as %s: %s
",Не foi possível salvar %s com o nome %s: %s,"Não foi possível fazer uma cópia de segurança de %s como %s: %s
","RU,FR",LLAMA,27.50501077941093
"Unable to get cookie for %s
",Não é possível obter cookies para %s,"Incapaz de obter o cookie para %s
","RU,FR",LLAMA,22.089591134157878
"Syntax error in Set-Cookie: %s at position %d.
","Erro de sintaxe no Set-Cookie: %s na posição %d. 
","Erro de sintaxe em Set-Cookie: %s na posição %d.
","RU,FR",LLAMA,76.11606003349888
Cookie coming from %s attempted to set domain to ,"Cookie recebidos do %s tentaram alterar o domínio para ""%s"".",Cookie vindo de %s tentou designar domínio como,"RU,FR",LLAMA,6.250381527944883
"%s
","%s
","%s
","RU,FR",LLAMA,100.00000000000004
"Cannot open cookies file %s: %s
",não é possível abrir o arquivo de cookies %s : %s,"Não foi possível abrir o arquivo de cookies %s: %s
","RU,FR",LLAMA,82.4236750264605
"Error writing to %s: %s
","Erro de escrita no arquivo ""%s"": %s","Erro ao gravar em %s: %s.
","RU,FR",LLAMA,16.59038701421971
"Error closing %s: %s
",Erro ao fechar %s: %s,"Erro ao fechar %s: %s
","RU,FR",LLAMA,100.00000000000004
"Unsupported listing type, trying Unix listing parser.
","Formato de lista não suportado, tentarão analisá-lo com um análisador de listas para Unix.","Não há suporte para o tipo de listagem. Tentando usar interpretador de listagem UNIX.
","RU,FR",LLAMA,3.4585921141027365
Index of /%s on %s:%d,Índice /%s no %s:%d,Índice de /%s em %s:%d,"RU,FR",LLAMA,48.959148327580515
time unknown       ,o tempo é desconhecido,horário desconhecido ,"RU,FR",LLAMA,15.97357760615681
File        ,Arquivo        ,Arquivo     ,"RU,FR",LLAMA,100.00000000000004
Directory   ,Catalogo     ,Diretório   ,"RU,FR",LLAMA,0.0
Link        ,Linka      ,Link        ,"RU,FR",LLAMA,0.0
Not sure    ,Desconhecido,Incerto     ,"RU,FR",LLAMA,0.0
 (%s bytes),(%s bytes), (%s bytes),"RU,FR",LLAMA,100.00000000000004
Length: %s,Размер (байт): %s,Tamanho: %s,"RU,FR",LLAMA,24.446151121745054
", %s (%s) remaining",", %s (%s) restante",", %s (%s) restantes","RU,FR",LLAMA,84.08964152537145
", %s remaining",", %s restante",", %s restantes","RU,FR",LLAMA,59.460355750136046
" (unauthoritative)
",não é confiável," (sem autoridade)
","RU,FR",LLAMA,0.0
"Could not initialize SSL. It will be disabled.
",Não é possível inicializar o SSL. Será desligado.,"Não foi possível iniciar o SSL. Ele será desabilitado.
","RU,FR",LLAMA,16.807407519804237
Logging in as %s ... ,Executa entrada sob o nome %s… ,Acessando como %s ... ,"RU,FR",LLAMA,6.567274736060395
"Error in server response, closing control connection.
","Erro na resposta do servidor, ocorre a interrupção de conexão gerenciada.","Erro na resposta do servidor, fechando a conexão de controle.
","RU,FR",LLAMA,43.24227075463216
"Error in server greeting.
",Erro na apresentação do server. Salutation.,"Erro na saudação do servidor.
","RU,FR",LLAMA,13.134549472120788
