original,translated,reference,context_languages,strategy,comet,chrf,bleu,ter,bertscore
invalid argument %s for %s,argumento %s inválido para %s,argumento inválido %s para %s,"RU,ID",LLAMA,93.60437393188477,71.99310653115,33.437015248821105,20.0,91.94058775901794
ambiguous argument %s for %s,argumento %s ambíguo para %s,argumento ambíguo %s para %s,"RU,ID",LLAMA,92.28426814079285,70.91549278334176,33.437015248821105,20.0,92.2233521938324
Valid arguments are:,Os argumentos válidos são:,Argumentos válidos são:,"RU,ID",LLAMA,98.43652844429016,86.19589689046727,39.76353643835252,33.33333333333333,88.09451460838318
ARGP_HELP_FMT: %s value is less than or equal to %s,ARGP_HELP_FMT: o valor de %s é menor ou igual que %s,ARGP_HELP_FMT: O valor %s é menor do que ou igual a %s,"RU,ID",LLAMA,89.98690843582153,63.63218805119843,45.234747228733134,33.33333333333333,95.59028744697571
%.*s: ARGP_HELP_FMT parameter requires a value,%.*s: Para o parâmetro ARGP_HELP_FMT é necessário um valor,%.*s: O parâmetro ARGP_HELP_FMT exige um valor,"RU,ID",LLAMA,91.86092019081116,64.87915643471499,53.12583871630397,42.857142857142854,95.86008787155151
%.*s: Unknown ARGP_HELP_FMT parameter,%.*s: Parâmetro ARGP_HELP_FMT desconhecido,%.*s: Parâmetro ARGP_HELP_FMT desconhecido,"RU,ID",LLAMA,97.46114611625671,100.0,100.00000000000004,0.0,99.99999403953552
Garbage in ARGP_HELP_FMT: %s,Incongruência em ARGP_HELP_FMT: %s,Lixo em ARGP_HELP_FMT: %s,"RU,ID",LLAMA,79.40568327903748,76.3231327615967,88.01117367933934,25.0,92.60660409927368
Mandatory or optional arguments to long options are also mandatory or optional for any corresponding short options.,Os argumentos obrigatórios ou opcionais para as opções longas também são obrigatórios ou opcionais para as opções curtas correspondentes.,Argumentos obrigatórios ou opcionais para opções longas também o são para quaisquer opções curtas correspondentes.,"RU,ID",LLAMA,90.1431143283844,74.39235094412425,30.752616970214323,46.666666666666664,89.48906660079956
Usage:,Modo de uso:,Uso:,"RU,ID",LLAMA,84.59203839302063,30.087239181827524,15.97357760615681,100.0,81.51370286941528
  or: ,ou:, ou: ,"RU,ID",LLAMA,99.17113184928894,100.0,100.00000000000004,0.0,99.99997019767761
 [OPTION...],[OPCIÓN...] [OPÇÃO...], [OPÇÃO...],"RU,ID",LLAMA,93.22283864021301,77.2436552226124,41.72261448611505,100.0,87.12446689605713
"Try '%s --help' or '%s --usage' for more information.
",Tente `%s --help' ou `%s --usage' para obter mais informações.,"Tente ""%s --help"" ou ""%s --usage"" para mais informações.
","RU,ID",LLAMA,95.07507681846619,60.785306148462205,14.705119569961715,55.55555555555556,89.28859233856201
"Report bugs to %s.
","Comunicar erros a %s. 
","Relate erros para %s.
","RU,ID",LLAMA,90.86431860923767,31.445348972922503,32.46679154750991,50.0,87.31091618537903
Unknown system error,Erro do sistema desconhecido,Erro desconhecido de sistema,"RU,ID",LLAMA,94.79895234107971,63.385693111236584,21.02241038134286,50.0,90.22597670555115
give this help list,da esta lista de ajuda,fornece esta lista de ajuda,"RU,ID",LLAMA,91.3024365901947,71.28094955057833,66.87403049764218,20.0,89.03724551200867
give a short usage message,da un mensagem de uso corto,fornece uma mensagem de uso curta,"RU,ID",LLAMA,76.14681124687195,50.40376387827242,30.213753973567677,50.0,86.76753044128418
NAME,Nome,NOME,"RU,ID",LLAMA,78.7127435207367,5.0,0.0,0.0,81.87203407287598
set the program name,define o nome do programa,define o nome do programa,"RU,ID",LLAMA,98.97524118423462,100.0,100.00000000000004,0.0,99.99994039535522
SECS,SEGS,SEGS,"RU,ID",LLAMA,99.14334416389465,100.0,100.00000000000004,0.0,99.99996423721313
hang for SECS seconds (default 3600),"espera por SEGS segundos (por omissão, até que seja de 3600)",segura por SEGS segundos (padrão 3600),"RU,ID",LLAMA,61.898982524871826,59.86987792365331,21.142141714303076,100.0,85.21446585655212
print program version,exibe a versão do programa,mostra a versão do programa,"RU,ID",LLAMA,92.64746904373169,72.79864720427304,66.87403049764218,20.0,88.43916654586792
(PROGRAM ERROR) No version known!?,(ERRO DEL PROGRAMA) Não se sabe qual é a versão!?,(ERRO NO PROGRAMA) Nenhuma versão conhecida!?,"RU,ID",LLAMA,81.81818127632141,40.49194307947653,10.224003680109194,100.0,88.68816494941711
"%s: Too many arguments
",%s: Demasiados argumentos,"%s: Número excessivo de argumentos
","RU,ID",LLAMA,91.31154417991638,36.95879312679573,28.641904579795423,60.0,84.96776819229126
(PROGRAM ERROR) Option should have been recognized!?,(ERRO DE PROGRAMA) Por que a opção não foi reconhecida?!,(ERRO NO PROGRAMA) A opção deveria ter sido reconhecida!?,"RU,ID",LLAMA,90.3723418712616,41.6032408243073,9.55204080682377,77.77777777777779,92.99510717391968
write error,erro de escritura,erro de escrita,"RU,ID",LLAMA,96.1126983165741,80.71001833901845,55.03212081491043,33.33333333333333,96.32450342178345
"%s: option '%s%s' is ambiguous
","%s: a opção '%s%s' é ambígua
","%s: a opção ""%s%s"" é ambígua
","RU,ID",LLAMA,96.71453833580017,65.36890851965222,42.86982293646294,16.666666666666664,92.61655807495117
