original,translated,reference,context_languages,strategy,bleu
Print the GStreamer version,Imprimir a versão do GStreamer,Exibe a versão do GStreamer,"ZH_CN,ES",LLAMA,66.87403049764218
Make all warnings fatal,Tratar todas as advertências como problemas graves,Trata todos avisos como fatais,"ZH_CN,ES",LLAMA,6.567274736060395
Print available debug categories and exit,Imprimir categorias de diagnóstico disponíveis e encerrar o programa.,Exibe as categorias de depuração disponíveis e sair,"ZH_CN,ES",LLAMA,11.868405219520975
Default debug level from 1 (only error) to 9 (anything) or 0 for no output,Vorgegebene Fehlerdiagnosestufe von 1 (nur Fehler) bis 9 (Alles) oder 0 für keine Ausgabe.,Níveis de depuração predefinidos de 1 (apenas erros) até 9 (tudo) ou 0 para nenhuma saída,"ZH_CN,ES",LLAMA,6.248174575604716
LEVEL,Estágio,NÍVEL,"ZH_CN,ES",LLAMA,0.0
"Comma-separated list of category_name:level pairs to set specific levels for the individual categories. Example: GST_AUTOPLUG:5,GST_ELEMENT_*:3","Lista separada por vírgulas de pares 'Categoria_Nome:Nível' para atribuir níveis específicos a cada categoria. Exemplo: GST_AUTOPLUG:5,GST_ELEMENT_*:3","Lista de ""categoria_nome:nível"" separados por vírgulas, para definir níveis específicos para as categorias individuais. Exemplo: GST_AUTOPLUG:5,GST_ELEMENT_*:3","ZH_CN,ES",LLAMA,47.47086886341709
LIST,LISTA,LISTA,"ZH_CN,ES",LLAMA,100.00000000000004
Disable colored debugging output,Desactivar a exibição de mensagens de erro em cores,Desabilita saída de depuração colorida,"ZH_CN,ES",LLAMA,4.767707020457095
"Changes coloring mode of the debug log. Possible modes: off, on, disable, auto, unix","Altere o modo de cores do protocolo de diagnóstico de erro. Possíveis modos: off (desligado), on (ligado), disable (deactivado), auto e unix","Altera o modo de cor do log de depuração. Modos possíveis: off (desligado), on (ligado), disable (desabilitado), auto (automático) e unix","ZH_CN,ES",LLAMA,46.76853039551567
Disable debugging,Desativar diagnóstico de erros,Desabilita depuração,"ZH_CN,ES",LLAMA,0.0
Colon-separated paths containing plugins,"Por meio de dois pontos, separados por vírgula, são indicadas as caminhos para os plugins.","Caminhos, separados por dois-pontos, de plug-ins","ZH_CN,ES",LLAMA,9.083627868206413
PATHS,PFADE,CAMINHOS,"ZH_CN,ES",LLAMA,0.0
Comma-separated list of plugins to preload in addition to the list stored in environment variable GST_PLUGIN_PATH,"Lista de plugins separados por vírgula, além dos presentes na variável GST_PLUGIN_PATH da ambiente.","Lista, separada por vírgulas, de plug-ins para pré-carregar além da lista armazenada na variável de ambiente GST_PLUGIN_PATH","ZH_CN,ES",LLAMA,21.100458606251173
PLUGINS,PLUGINS,PLUG-INS,"ZH_CN,ES",LLAMA,0.0
Disable trapping of segmentation faults during plugin loading,Desativar a vigilância de falhas de acesso ao armazenamento durante o carregamento de plugins,Desabilita intercepção das falhas de segmentação durante o carregamento do plug-in,"ZH_CN,ES",LLAMA,13.292417883329383
Disable updating the registry,Desactivar a actualização da Registry,Desabilita atualização do registro,"ZH_CN,ES",LLAMA,0.0
Disable spawning a helper process while scanning the registry,Desabilitar o processamento auxiliar ao ler a Registry desativada.,Desabilita a criação de um processo auxiliar durante a análise do registro,"ZH_CN,ES",LLAMA,4.085507150363302
GStreamer Options,Opciones de GStreamer,Opções do GStreamer,"ZH_CN,ES",LLAMA,27.516060407455225
Show GStreamer Options,Mostrar as opções de GStreamer,Exibe opções do GStreamer,"ZH_CN,ES",LLAMA,12.703318703865365
Unknown option,Opção desconhecida,Opção desconhecida,"ZH_CN,ES",LLAMA,100.00000000000004
GStreamer encountered a general core library error.,GStreamer detectou um erro genérico na biblioteca de kernel.,O GStreamer encontrou um erro geral na biblioteca principal.,"ZH_CN,ES",LLAMA,13.134549472120794
GStreamer developers were too lazy to assign an error code to this error.,"Os desenvolvedores de GStreamer foram muito preguiçosos, não atribuindo um número a este erro.",Os desenvolvedores do GStreamer são muito preguiçosos para definir um código de erro para esse erro.,"ZH_CN,ES",LLAMA,8.807535082379216
Internal GStreamer error: code not implemented.,Erro interno do GStreamer: código não implementado.,Erro interno no GStreamer: código não implementado.,"ZH_CN,ES",LLAMA,66.06328636027612
GStreamer error: state change failed and some element failed to post a proper error message with the reason for the failure.,Erro de GStreamer: falha no alteração do estado e alguns elementos não conseguiram enviar uma mensagem de erro correta com a justificativa para o erro.,Erro no GStreamer: falha ao alterar estado e algum elemento falhou ao enviar uma mensagem de erro apropriada com a razão da falha.,"ZH_CN,ES",LLAMA,21.84971203531727
Internal GStreamer error: pad problem.,Erro interno do GStreamer: problema de padding.,Erro interno no GStreamer: problema no Pad.,"ZH_CN,ES",LLAMA,23.356898886410015
Internal GStreamer error: thread problem.,Erro interno do GStreamer: problema com a thread.,Erro interno no GStreamer: problema na thread.,"ZH_CN,ES",LLAMA,22.957488466614326
GStreamer error: negotiation problem.,Erro de GStreamer: problema na negociação.,Erro no GStreamer: problema de negociação.,"ZH_CN,ES",LLAMA,28.117066259517458
Internal GStreamer error: event problem.,Erro interno do GStreamer: problema com os eventos.,Erro interno no GStreamer: problema no evento.,"ZH_CN,ES",LLAMA,20.556680845025987
Internal GStreamer error: seek problem.,Erro interno do GStreamer: problema com a busca.,Erro interno no GStreamer: problema na busca.,"ZH_CN,ES",LLAMA,22.957488466614326
Internal GStreamer error: caps problem.,Erro interno do GStreamer: problema com as capacidades.,Erro interno no GStreamer: problema no Caps.,"ZH_CN,ES",LLAMA,20.556680845025987
Internal GStreamer error: tag problem.,Erro interno do GStreamer: problema com as etiquetas.,Erro interno no GStreamer: problema na etiqueta.,"ZH_CN,ES",LLAMA,20.556680845025987
Your GStreamer installation is missing a plug-in.,Sua instalação do GStreamer fica com um plugin ausente.,Sua instalação do GStreamer está com um plug-in faltando.,"ZH_CN,ES",LLAMA,32.46679154750989
GStreamer error: clock problem.,Erro de GStreamer: problema com o relógio.,Erro no GStreamer: problema no temporizador.,"ZH_CN,ES",LLAMA,20.164945583740657
This application is trying to use GStreamer functionality that has been disabled.,Esta aplicação tenta utilizar a funcionalidade do GStreamer que foi desabilitada.,Este aplicativo está tentando usar uma funcionalidade do GStreamer que foi desabilitada.,"ZH_CN,ES",LLAMA,47.44325794453767
GStreamer encountered a general supporting library error.,"Erro do GStreamer de rede: Problema com a biblioteca suporte. Por favor, envie um relatório de erro.",O GStreamer encontrou um erro geral na biblioteca de suporte.,"ZH_CN,ES",LLAMA,4.968018039415939
Could not initialize supporting library.,A biblioteca de suporte não pôde ser inicializada.,Não foi possível iniciar a biblioteca de suporte.,"ZH_CN,ES",LLAMA,19.070828081828378
Could not close supporting library.,A biblioteca de suporte não pôde ser fechada.,Não foi possível fechar a biblioteca de suporte.,"ZH_CN,ES",LLAMA,19.070828081828378
Could not configure supporting library.,A biblioteca de suporte não pôde ser configurada.,Não foi possível configurar a biblioteca de suporte.,"ZH_CN,ES",LLAMA,19.070828081828378
Encoding error.,Erro de codificação.,Erro de codificação.,"ZH_CN,ES",LLAMA,100.00000000000004
GStreamer encountered a general resource error.,GStreamer detectou um erro de recursos gerais.,O GStreamer encontrou um erro geral nos recursos.,"ZH_CN,ES",LLAMA,12.256200970377108
Resource not found.,Recurso não encontrado.,Recurso não encontrado.,"ZH_CN,ES",LLAMA,100.00000000000004
Resource busy or not available.,Recurso em uso ou não disponível.,O recurso está ocupado ou não disponível.,"ZH_CN,ES",LLAMA,35.64026463354184
Could not open resource for reading.,A fonte não pôde ser aberta para leitura.,Não foi possível abrir o recurso para leitura.,"ZH_CN,ES",LLAMA,17.747405280050266
Could not open resource for writing.,A fonte não pôde ser aberta para escrita.,Não foi possível abrir o recurso para escrita.,"ZH_CN,ES",LLAMA,17.747405280050266
Could not open resource for reading and writing.,A fonte não pôde ser aberta para leitura e escrita.,Não foi possível abrir o recurso para leitura e escrita.,"ZH_CN,ES",LLAMA,35.08439695638686
Could not close resource.,A fonte não pôde ser fechada.,Não foi possível fechar o recurso.,"ZH_CN,ES",LLAMA,6.567274736060395
Could not read from resource.,Não foi possível ler da fonte.,Não foi possível ler do recurso.,"ZH_CN,ES",LLAMA,43.47208719449914
Could not write to resource.,Não foi possível escrever na recurso.,Não foi possível escrever no recurso.,"ZH_CN,ES",LLAMA,48.892302243490086
Could not perform seek on resource.,Não foi possível executar um laço de pesquisa na recurso.,Não foi possível realizar uma busca no recurso.,"ZH_CN,ES",LLAMA,17.542198478193427
Could not synchronize on resource.,A fonte não pôde ser sincronizada.,Não foi possível sincronizar no recurso.,"ZH_CN,ES",LLAMA,6.567274736060395
Could not get/set settings from/on resource.,As configurações não puderam ser lidas ou gravadas na recurso.,Não foi possível obter/definir configurações para/do recurso.,"ZH_CN,ES",LLAMA,7.574347133041985
