original,translated,reference,context_languages,strategy,bleu
OpenCV failed to load template image,O OpenCV não conseguiu carregar imagem de modelo,O OpenCV falhou ao carregar a imagem modelo,,NLLB,13.888095170058955
Could not read title information for DVD.,Não consegui ler as informações do título para o DVD.,Não foi possível ler as informações de título do DVD.,,NLLB,19.72940627795883
Failed to open DVD device '%s'.,Não conseguiu abrir o dispositivo de DVD '%s'.,"Falha ao abrir o dispositivo de DVD ""%s"".",,NLLB,34.84694488743307
Failed to set PGC based seeking.,Não conseguiu definir a busca baseada no PGC.,Falha ao definir busca baseada em PGC.,,NLLB,14.25876976452075
Could not read DVD. This may be because the DVD is encrypted and a DVD decryption library is not installed.,Não consegui ler o DVD. Isso pode ser porque o DVD está criptografado e uma biblioteca de desciframento de DVD não está instalada.,Não foi possível ler o DVD. O motivo pode ser que o DVD está criptografado ou uma biblioteca de descriptografia não está instalada.,,NLLB,34.961722361745295
Could not read DVD.,Não consegui ler o DVD.,Não foi possível ler o DVD.,,NLLB,45.48019047027906
This file contains no playable streams.,Este arquivo não contém fluxos jogáveis.,Este arquivo não contém fluxos reproduzíveis.,,NLLB,64.34588841607616
Could not open sndfile stream for reading.,Não consegui abrir o fluxo de arquivo snd para leitura.,Não foi possível abrir o fluxo sndfile para leitura.,,NLLB,24.384183193426086
Generated file has a larger preroll time than its streams duration,O arquivo gerado tem um tempo de pré-rol maior do que a duração de seus fluxos,O arquivo gerado tem um tempo de preparação maior que a sua duração de fluxo,,NLLB,45.788313721339826
Missing element '%s' - check your GStreamer installation.,Falta o elemento '%s' - verifique a instalação do GStreamer.,"O elemento ""%s"" está faltando, verifique a sua instalação do GStreamer.",,NLLB,19.619768066701138
"File location is set to NULL, please set it to a valid filename","Localização do arquivo é definido para NULL, por favor, definir para um nome de arquivo válido","A localização do arquivo está NULA, favor definir um nome de arquivo válido",,NLLB,25.28116869739495
Digitalzoom element couldn't be created,O elemento digitalzoom não pode ser criado.,O elemento Digitalzoom não pôde ser criado,,NLLB,16.515821590069034
Subpicture format was not configured before data flow,O formato da imagem não foi configurado antes do fluxo de dados,O formato de sub-imagem não foi configurado antes do fluxo de dados,,NLLB,67.0422683816333
Failed to get fragment URL.,Não conseguiu encontrar a URL do fragmento.,Falha ao obter um fragmento de URL.,,NLLB,7.267884212102741
Couldn't download fragments,Não conseguiu baixar fragmentos.,Não foi possível baixar os fragmentos,,NLLB,11.51015341649912
Internal data stream error.,Erro de fluxo de dados interno.,Erro interno de fluxo de dados.,,NLLB,47.2870804501588
"Device ""%s"" does not exist.","O dispositivo ""%s"" não existe.","O dispositivo ""%s"" não existe.",,NLLB,100.00000000000004
"Could not open frontend device ""%s"".","Não conseguiu abrir o dispositivo frontend ""%s"".","Não foi possível abrir o dispositivo de interface ""%s"".",,NLLB,40.292759186936564
"Could not get settings from frontend device ""%s"".","Não conseguiu obter configurações do dispositivo frontend ""%s"".","Não foi possível obter as configurações do dispositivo de interface ""%s"".",,NLLB,34.91665073071338
"Cannot enumerate delivery systems from frontend device ""%s"".","Não pode enumerar sistemas de entrega do dispositivo frontend ""%s"".","Não foi possível listar os sistemas de entrega do dispositivo de interface ""%s"".",,NLLB,43.94900482337442
"Could not open file ""%s"" for reading.","Não consegui abrir o arquivo ""%s"" para leitura.","Não foi possível abrir o arquivo ""%s"" para leitura.",,NLLB,76.04321823471474
Couldn't find channel configuration file,Não conseguiu encontrar o arquivo de configuração do canal,Não foi possível encontrar o arquivo de configuração de canal,,NLLB,43.44371253135792
Couldn't load channel configuration file: '%s',Não conseguiu carregar o arquivo de configuração do canal: '%s',"Não foi possível carregar o arquivo de configuração de canal: ""%s""",,NLLB,30.36666402577616
Couldn't find details for channel '%s',Não conseguiu encontrar detalhes para o canal '%s',"Não foi possível encontrar detalhes para o canal ""%s""",,NLLB,34.98330125272251
No properties for channel '%s',Nenhuma propriedade para o canal '%s',"Não há propriedades para o canal ""%s""",,NLLB,17.20339087300932
Failed to set properties for channel '%s',Não conseguiu definir propriedades para o canal '%s',"Falha ao definir propriedades para o canal ""%s""",,NLLB,37.20090803840517
Couldn't find channel configuration file: '%s',Não conseguiu encontrar o arquivo de configuração do canal: '%s',"Não foi possível encontrar o arquivo de configuração de canal: ""%s""",,NLLB,30.36666402577616
Channel configuration file doesn't contain any channels,O arquivo de configuração do canal não contém quaisquer canais,Nenhum canal foi encontrado no arquivo de configuração de canal,,NLLB,16.784459625186194
