original,translated,reference,context_languages,strategy,bleu
Applications,Aplicações,Aplicativos,"DE,ZH_CN",LLAMA,0.0
applications,aplicativo,aplicativos,"DE,ZH_CN",LLAMA,0.0
Desktop,máquina de trabalho horizontal,Área de trabalho,"DE,ZH_CN",LLAMA,31.947155212313625
desktop,mão de obra natal,área de trabalho,"DE,ZH_CN",LLAMA,15.97357760615681
Documents,Tài liệu,Documentos,"DE,ZH_CN",LLAMA,0.0
documents,documentos,documentos,"DE,ZH_CN",LLAMA,100.00000000000004
Download,Downloadar,Download,"DE,ZH_CN",LLAMA,0.0
download,tá na hora de baixar o arquivo.,download,"DE,ZH_CN",LLAMA,0.0
Downloads,Baixar,Downloads,"DE,ZH_CN",LLAMA,0.0
downloads,Arquivos baixados,downloads,"DE,ZH_CN",LLAMA,0.0
Movies,Filme,Filmes,"DE,ZH_CN",LLAMA,0.0
movies,filme,filmes,"DE,ZH_CN",LLAMA,0.0
Music,Música,Músicas,"DE,ZH_CN",LLAMA,0.0
music,música,músicas,"DE,ZH_CN",LLAMA,0.0
Photos,Foto,Fotos,"DE,ZH_CN",LLAMA,0.0
photos,foto digital,fotos,"DE,ZH_CN",LLAMA,0.0
Pictures,imagem,Imagens,"DE,ZH_CN",LLAMA,0.0
pictures,imagem,imagens,"DE,ZH_CN",LLAMA,0.0
Projects,Projeto,Projetos,"DE,ZH_CN",LLAMA,0.0
projects,projeto,projetos,"DE,ZH_CN",LLAMA,0.0
Public,Công,Público,"DE,ZH_CN",LLAMA,0.0
public,công,público,"DE,ZH_CN",LLAMA,0.0
Share,A liberação está concluída.,Compartilhados,"DE,ZH_CN",LLAMA,0.0
share,freigabe de chia seca,compartilhados,"DE,ZH_CN",LLAMA,0.0
Templates,Mẫu,Modelos,"DE,ZH_CN",LLAMA,0.0
templates,modelo,modelos,"DE,ZH_CN",LLAMA,0.0
Videos,Vídeos em movimento,Vídeos,"DE,ZH_CN",LLAMA,27.516060407455225
videos,área de trabalho em movimento,vídeos,"DE,ZH_CN",LLAMA,0.0
