original,translated,reference,context_languages,strategy,bleu
Not enough memory.,Não há memória suficiente.,Memória insuficiente.,"ID,ZH_CN",LLAMA,10.682175159905848
Setting a value for this tag is unsupported!,Não há suporte para gerenciar um valor para este atributo!,Não há suporte à definição de um valor para esta etiqueta!,"ID,ZH_CN",LLAMA,22.265215139875263
"Too few components specified (need %d, found %d)
","Chamado de quota insuficiente para o número mínimo necessário (requer %d, encontrar %d)","Muito poucos componentes especificados (precisa de %d, encontrou %d)
","ID,ZH_CN",LLAMA,14.44788670919441
"Numeric value expected
","bem vindo ao sistema de controle remoto para ações em tempo real. Para iniciar, você precisa inserir o ID do seu dispositivo.","Valor numérico esperado
","ID,ZH_CN",LLAMA,0.0
Internal error. Please contact <%s>.,"Erro interno. Por favor, conecte-se ao <%s>.","Erro interno. Por favor, contate <%s>.","ID,ZH_CN",LLAMA,67.03420896351791
Not yet implemented!,Não foi possível executar a operação!,Não implementado ainda!,"ID,ZH_CN",LLAMA,7.809849842300637
Warning; Too many components specified!,Aviso: o número de componentes especificados é excessivo!,Aviso; Especificados componentes demais!,"ID,ZH_CN",LLAMA,5.522397783539471
Too much EXIF data (%i bytes). Only %i bytes are allowed.,Existe muito dado EXIF (%i byte). Só %i byte é permitido.,Dados EXIF demais (%i bytes). Apenas %i bytes são permitidos.,"ID,ZH_CN",LLAMA,13.32358437599213
Could not write '%s' (%s).,Não é possível gravar '%s' (%s).,"Não foi possível escrever ""%s"" (%s).","ID,ZH_CN",LLAMA,32.80424072511114
Wrote file '%s'.,Fez treino e escreveu no arquivo '%s'.,"Escrever arquivo ""%s"".","ID,ZH_CN",LLAMA,5.522397783539471
EXIF entry '%s' ,Lema EXIF '%s' ,"Entrada EXIF ""%s""","ID,ZH_CN",LLAMA,10.400597689005304
"(0x%x, '%s') ","(0x%x, '%s') ","(0x%x, ""%s"") ","ID,ZH_CN",LLAMA,43.44371253135793
"exists in IFD '%s':
",ada di IFD '%s':,"existe em IFD ""%s"":
","ID,ZH_CN",LLAMA,7.492442692259767
Adding entry...,Adicionar entradas...,Adicionando entrada...,"ID,ZH_CN",LLAMA,39.76353643835252
IFD '%s' does not contain a tag '%s'!,IFD '%s' não contém o tag '%s'!,"IFD ""%s"" não contém uma etiqueta ""%s""!","ID,ZH_CN",LLAMA,7.545339613823573
Could not open '%s' (%s)!,Não é possível abrir '%s' (%s)!,"Não foi possível abrir ""%s"" (%s)!","ID,ZH_CN",LLAMA,35.72281085191041
Could not determine size of '%s' (%s).,Não é possível determinar o tamanho do arquivo '%s' (%s).,"Não foi possível determinar o tamanho de ""%s"" (%s).","ID,ZH_CN",LLAMA,40.325042950627804
Could not read '%s' (%s).,Não é possível ler o arquivo '%s' (%s).,"Não foi possível ler ""%s"" (%s)!","ID,ZH_CN",LLAMA,22.718709780542323
IFD '%s' does not contain tag '%s'.,IFD '%s' não contém o símbolo '%s'.,"IFD ""%s"" não contém uma etiqueta ""%s"".","ID,ZH_CN",LLAMA,7.545339613823573
'%s' does not contain tag '%s'.,'%s' não contém o código '%s'.,"""%s"" não contém uma etiqueta ""%s""!","ID,ZH_CN",LLAMA,7.431878014503621
'%s' does not contain a thumbnail!,'%s' não possui imagens de miniatura!,"IFD ""%s"" não contém uma miniatura!","ID,ZH_CN",LLAMA,10.147104008451905
Could not open '%s' for writing (%s)!,Não é possível abrir '%s' para escrever (%s)!,"Não foi possível abrir ""%s"" para escrita (%s)!","ID,ZH_CN",LLAMA,31.124182233206028
