original,translated,reference,context_languages,strategy,bleu
Print the GStreamer version,Imprimir a versão do GStreamer,Exibe a versão do GStreamer,"ZH_CN,RU",LLAMA,66.87403049764218
Make all warnings fatal,Tratar todas as advertências como problemas graves,Trata todos avisos como fatais,"ZH_CN,RU",LLAMA,6.567274736060395
Print available debug categories and exit,Exibir categorias de diagnóstico disponíveis e encerrar o programa.,Exibe as categorias de depuração disponíveis e sair,"ZH_CN,RU",LLAMA,11.868405219520975
Default debug level from 1 (only error) to 9 (anything) or 0 for no output,Vorgegebene Fehlerdiagnosestufe von 1 (nur Fehler) bis 9 (Alles) oder 0 für keine Ausgabe.,Níveis de depuração predefinidos de 1 (apenas erros) até 9 (tudo) ou 0 para nenhuma saída,"ZH_CN,RU",LLAMA,6.248174575604716
LEVEL,Estágio,NÍVEL,"ZH_CN,RU",LLAMA,0.0
"Comma-separated list of category_name:level pairs to set specific levels for the individual categories. Example: GST_AUTOPLUG:5,GST_ELEMENT_*:3","Lista separada por vírgula de pares em 'Categoria_Nome:Nível' para atribuir níveis específicos a cada categoria. Exemplo: GST_AUTOPLUG:5,GST_ELEMENT_*:3","Lista de ""categoria_nome:nível"" separados por vírgulas, para definir níveis específicos para as categorias individuais. Exemplo: GST_AUTOPLUG:5,GST_ELEMENT_*:3","ZH_CN,RU",LLAMA,46.33544063681682
LIST,LISTA,LISTA,"ZH_CN,RU",LLAMA,100.00000000000004
Disable colored debugging output,Desabilitar a exibição de mensagens de erro em cores,Desabilita saída de depuração colorida,"ZH_CN,RU",LLAMA,4.767707020457095
"Changes coloring mode of the debug log. Possible modes: off, on, disable, auto, unix","Alterar o modo de cores do protocolo de diagnóstico de erro. Possíveis modos: off (desligado), on (ligado), disable (deactivado), auto e unix","Altera o modo de cor do log de depuração. Modos possíveis: off (desligado), on (ligado), disable (desabilitado), auto (automático) e unix","ZH_CN,RU",LLAMA,46.76853039551567
Disable debugging,Desabilitar diagnóstico de erros,Desabilita depuração,"ZH_CN,RU",LLAMA,0.0
Colon-separated paths containing plugins,"Por meio de dois pontos, separados por espaços, listam os caminhos para as extensões do sistema operacional.","Caminhos, separados por dois-pontos, de plug-ins","ZH_CN,RU",LLAMA,8.097785064266205
PATHS,PFADE,CAMINHOS,"ZH_CN,RU",LLAMA,0.0
Comma-separated list of plugins to preload in addition to the list stored in environment variable GST_PLUGIN_PATH,"Lista de plugins separados por vírgula, que além dos plugins listados na variável GST_PLUGIN_PATH serão carregados","Lista, separada por vírgulas, de plug-ins para pré-carregar além da lista armazenada na variável de ambiente GST_PLUGIN_PATH","ZH_CN,RU",LLAMA,20.34208182228193
PLUGINS,Plugins,PLUG-INS,"ZH_CN,RU",LLAMA,0.0
Disable trapping of segmentation faults during plugin loading,Desligue o rastreamento de acessos ao armazenamento durante a carregamento de plugins para evitar falhas graves no tratamento do cache.,Desabilita intercepção das falhas de segmentação durante o carregamento do plug-in,"ZH_CN,RU",LLAMA,2.8423265381137037
Disable updating the registry,Desabilitar a atualização da Registry,Desabilita atualização do registro,"ZH_CN,RU",LLAMA,10.682175159905848
Disable spawning a helper process while scanning the registry,Desligue o processo auxiliar ao ler a Registry desativada.,Desabilita a criação de um processo auxiliar durante a análise do registro,"ZH_CN,RU",LLAMA,7.603985612048923
GStreamer Options,Opções do GStreamer,Opções do GStreamer,"ZH_CN,RU",LLAMA,100.00000000000004
Show GStreamer Options,Exibir as opções de GStreamer,Exibe opções do GStreamer,"ZH_CN,RU",LLAMA,12.703318703865365
Unknown option,opção desconhecida,Opção desconhecida,"ZH_CN,RU",LLAMA,49.99999999999999
GStreamer encountered a general core library error.,GStreamer detectou um erro genérico na biblioteca GStreamer.,O GStreamer encontrou um erro geral na biblioteca principal.,"ZH_CN,RU",LLAMA,13.354339892249618
GStreamer developers were too lazy to assign an error code to this error.,"Os desenvolvedores de GStreamer foram considerados preguiçosos, não atribuindo um número a este erro.",Os desenvolvedores do GStreamer são muito preguiçosos para definir um código de erro para esse erro.,"ZH_CN,RU",LLAMA,7.727578693391118
Internal GStreamer error: code not implemented.,Erro interno do GStreamer: código não implementado.,Erro interno no GStreamer: código não implementado.,"ZH_CN,RU",LLAMA,66.06328636027612
GStreamer error: state change failed and some element failed to post a proper error message with the reason for the failure.,Erro GStreamer: não foi possível alterar o estado e alguns elementos não conseguiram enviar uma mensagem de erro com a justificativa da causa.,Erro no GStreamer: falha ao alterar estado e algum elemento falhou ao enviar uma mensagem de erro apropriada com a razão da falha.,"ZH_CN,RU",LLAMA,21.343207938331098
Internal GStreamer error: pad problem.,Erro interno do GStreamer: problema de preenchimento.,Erro interno no GStreamer: problema no Pad.,"ZH_CN,RU",LLAMA,23.356898886410015
Internal GStreamer error: thread problem.,Erro interno do GStreamer: problema com a thread.,Erro interno no GStreamer: problema na thread.,"ZH_CN,RU",LLAMA,22.957488466614326
GStreamer error: negotiation problem.,Erro GStreamer: problema de negociação.,Erro no GStreamer: problema de negociação.,"ZH_CN,RU",LLAMA,72.89545183625967
Internal GStreamer error: event problem.,Erro interno do GStreamer: problema com o evento.,Erro interno no GStreamer: problema no evento.,"ZH_CN,RU",LLAMA,22.957488466614326
Internal GStreamer error: seek problem.,Erro interno do GStreamer: problema de pesquisa.,Erro interno no GStreamer: problema na busca.,"ZH_CN,RU",LLAMA,23.356898886410015
Internal GStreamer error: caps problem.,Erro interno do GStreamer: problema de capacidades.,Erro interno no GStreamer: problema no Caps.,"ZH_CN,RU",LLAMA,23.356898886410015
Internal GStreamer error: tag problem.,Erro interno do GStreamer: problema com os rótulos.,Erro interno no GStreamer: problema na etiqueta.,"ZH_CN,RU",LLAMA,20.556680845025987
Your GStreamer installation is missing a plug-in.,Sua instalação de GStreamer fica com um plugin ausente.,Sua instalação do GStreamer está com um plug-in faltando.,"ZH_CN,RU",LLAMA,13.134549472120794
GStreamer error: clock problem.,Erro GStreamer de tempo.,Erro no GStreamer: problema no temporizador.,"ZH_CN,RU",LLAMA,7.715486568024961
This application is trying to use GStreamer functionality that has been disabled.,Esta aplicação tenta utilizar a funcionalidade do GStreamer que foi desabilitada.,Este aplicativo está tentando usar uma funcionalidade do GStreamer que foi desabilitada.,"ZH_CN,RU",LLAMA,47.44325794453767
GStreamer encountered a general supporting library error.,"Erro do GStreamer na Internet: Problema com a biblioteca de suporte. Por favor, envie um relatório de erro.",O GStreamer encontrou um erro geral na biblioteca de suporte.,"ZH_CN,RU",LLAMA,12.858902882463452
Could not initialize supporting library.,A biblioteca de suporte não pôde ser inicializada.,Não foi possível iniciar a biblioteca de suporte.,"ZH_CN,RU",LLAMA,19.070828081828378
Could not close supporting library.,A biblioteca de suporte não pôde ser fechada.,Não foi possível fechar a biblioteca de suporte.,"ZH_CN,RU",LLAMA,19.070828081828378
