original,translated,reference,context_languages,strategy,bleu
"%s: unable to resolve bind address %s; disabling bind.
",%s: não foi possível resolver a direção bind %s; desativando bind.,"%s: não foi possível resolver endereço de associação %s; desabilitando a associação.
",ES,LLAMA,45.0201104503466
Connecting to %s|%s|:%d... ,Conectando con %s[%s]:%d... ,Conectando-se a %s|%s|:%d... ,ES,LLAMA,43.24227075463216
Connecting to %s:%d... ,Conectando ao soquete %s:%d... ,Conectando-se a %s:%d... ,ES,LLAMA,67.86502681586727
Connecting to [%s]:%d... ,Conectando con [%s]:%d... ,Conectando-se a [%s]:%d... ,ES,LLAMA,80.70557274927978
"setsockopt SO_RCVBUF failed: %s
",falha ao definir o parâmetro SO_RCVBUF do soquete: %s,"setsockopt SO_RCVBUF falhou: %s
",ES,LLAMA,19.338531381761715
"connected.
",conexão estabelecida.,"conectado.
",ES,LLAMA,27.516060407455225
"failed: %s.
",falha: %s.,"falha: %s.
",ES,LLAMA,100.00000000000004
"%s: unable to resolve host address %s
",%s: não foi possível resolver a endereço do equipamento %s,"%s: não foi possível resolver endereço de máquina %s
",ES,LLAMA,53.44445934790542
"setsockopt SO_REUSEADDR failed: %s
",falha ao chamar setsockopt SO_REUSEADDR: %s,"setsockopt SO_REUSEADDR falhou: %s
",ES,LLAMA,37.99178428257963
"Too many fds open.  Cannot use select on a fd >= %d
","Excedeu o limite de descriptores de ficheros abertos. Não é possível utilizar select com descriptor >= %d
","Muitos descritores de arquivos em aberto. Não é selecionável um fd >= %d
",ES,LLAMA,17.92334464048543
"Converted links in %d files in %s seconds.
",Links convertidos em %d arquivos em %s segundos.,"Links convertidos em %d arquivos em %s segundos.
",ES,LLAMA,100.00000000000004
Converting links in %s... ,Converting links to %s... ,Convertendo links em %s... ,ES,LLAMA,54.10822690539397
"nothing to do.
",não há nada que fazer.,"nada a ser feito.
",ES,LLAMA,9.652434877402245
"%d.
",%d.,"%d.
",ES,LLAMA,100.00000000000004
"Cannot convert links in %s: %s
","Не foi possível converter as referências em %s: %s
","Não foi possível converter links em %s: %s
",ES,LLAMA,53.107253497886994
"Unable to delete %s: %s
","Não foi possível excluir %s: %s
","Não foi possível excluir %s: %s
",ES,LLAMA,100.00000000000004
"Cannot back up %s as %s: %s
","Não foi possível fazer uma cópia de segurança do arquivo %s com o nome %s: %s
","Não foi possível fazer uma cópia de segurança de %s como %s: %s
",ES,LLAMA,55.882651974144544
"Unable to get cookie for %s
",Не foi possível obter cookie para %s,"Incapaz de obter o cookie para %s
",ES,LLAMA,36.55552228545123
"Syntax error in Set-Cookie: %s at position %d.
","Erro de sintaxe no Set-Cookie: %s na posição %d. 
","Erro de sintaxe em Set-Cookie: %s na posição %d.
",ES,LLAMA,76.11606003349888
Cookie coming from %s attempted to set domain to ,"Cookie recebido de %s tentou alterar o domínio para ""%s"".",Cookie vindo de %s tentou designar domínio como,ES,LLAMA,18.20705281109213
"%s
","%s
","%s
",ES,LLAMA,100.00000000000004
"Cannot open cookies file %s: %s
","não foi possível abrir o arquivo de cookies %s: %s
","Não foi possível abrir o arquivo de cookies %s: %s
",ES,LLAMA,91.21679090703874
"Error writing to %s: %s
","Erro ao escrever no arquivo %s: %s
","Erro ao gravar em %s: %s.
",ES,LLAMA,45.180100180492246
"Error closing %s: %s
","Erro ao fechar %s: %s
","Erro ao fechar %s: %s
",ES,LLAMA,100.00000000000004
"Unsupported listing type, trying Unix listing parser.
","Não suportado o formato de lista, tentaríamos com um analisador para listas do Unix.","Não há suporte para o tipo de listagem. Tentando usar interpretador de listagem UNIX.
",ES,LLAMA,3.6570159134143823
Index of /%s on %s:%d,Índice de /%s em %s:%d,Índice de /%s em %s:%d,ES,LLAMA,100.00000000000004
time unknown       ,tempo desconhecido   ,horário desconhecido ,ES,LLAMA,49.99999999999999
File        ,Ficheiro        ,Arquivo     ,ES,LLAMA,0.0
Directory   ,Catalogo ES Directorio  ,Diretório   ,ES,LLAMA,0.0
Link        ,Enlace      ,Link        ,ES,LLAMA,0.0
Not sure    ,Inconhecido    ,Incerto     ,ES,LLAMA,0.0
 (%s bytes),(%s bytes), (%s bytes),ES,LLAMA,100.00000000000004
Length: %s,Tamanho (byte): %s,Tamanho: %s,ES,LLAMA,26.269098944241588
", %s (%s) remaining",", %s (%s) restante.",", %s (%s) restantes",ES,LLAMA,72.59795291154772
", %s remaining",", %s restante
",", %s restantes",ES,LLAMA,59.460355750136046
" (unauthoritative)
", (provavelmente)," (sem autoridade)
",ES,LLAMA,24.840753130578644
"Could not initialize SSL. It will be disabled.
",Não foi possível iniciar o SSL. Será desligado.,"Não foi possível iniciar o SSL. Ele será desabilitado.
",ES,LLAMA,59.77653345720247
Logging in as %s ... ,Identificando-se como %s ... ,Acessando como %s ... ,ES,LLAMA,80.91067115702207
"Error in server response, closing control connection.
","Erro na resposta do servidor, encerrando o controle de conexão.","Erro na resposta do servidor, fechando a conexão de controle.
",ES,LLAMA,47.40604259878137
"Error in server greeting.
",Erro no saludo do servidor.,"Erro na saudação do servidor.
",ES,LLAMA,32.46679154750991
"Write failed, closing control connection.
","Erro de escrita, encerrando conexão controladora.","Falha de escrita, fechando a conexão de controle.
",ES,LLAMA,18.190371142855746
"The server refuses login.
",O servidor negou o acesso ao login.,"O servidor recusou o acesso.
",ES,LLAMA,16.515821590069027
"Login incorrect.
",Usuário de login inválido.,"Identificação incorreta.
",ES,LLAMA,10.682175159905848
"Logged in!
",Entrada bem-sucedida na sistema!,"Acesso autorizado!
",ES,LLAMA,10.682175159905848
"Server did not accept the 'PBSZ 0' command.
",O servidor não aceitou a comando 'PBSZ 0'.,"O servidor não aceitou o comando ""PBSZ 0"".
",ES,LLAMA,26.449672174138467
"Server did not accept the 'PROT %c' command.
",O servidor não aceitou a comando 'PROT %c'.,"O servidor não aceitou o comando ""PROT %c"".
",ES,LLAMA,24.736929544091943
"Server error, can't determine system type.
","Erro do servidor, não foi possível determinar o tipo de sistema.","Erro do servidor, não foi possível determinar tipo de sistema.
",ES,LLAMA,76.11606003349888
done.    ,pronto.,feito.   ,ES,LLAMA,49.99999999999999
"done.
",pronto.,"feito.
",ES,LLAMA,49.99999999999999
"Unknown type `%c', closing control connection.
","Tipo desconhecido `%c', conexão de controle encerrada.","Tipo ""%c"" é desconhecido, fechando a conexão de controle.
",ES,LLAMA,13.572106276731308
done.  ,pronto.,feito. ,ES,LLAMA,49.99999999999999
"==> CWD not needed.
",==> no se necessita de um diretório temporário.,"==> CWD não é necessário.
",ES,LLAMA,14.991106946711685
Logically impossible section reached in getftp(),Em getftp() alcançou uma seção lógicamente impossível,Seção logicamente impossível foi alcançada em getftp(),ES,LLAMA,19.070828081828378
"cwd_count: %d
cwd_start: %d
cwd_end: %d
","cwd_count: %d
cwd_start: %d
cwd_end: %d
","cwd_count: %d
cwd_start: %d
cwd_end: %d
",ES,LLAMA,100.00000000000004
"No such directory %s.

",No existe el directorio %s.,"O diretório %s não foi encontrado.

",ES,LLAMA,12.600736402830258
"==> CWD not required.
",==> no se requer CWD.,"==> CWD não exigido.
",ES,LLAMA,23.356898886410015
"File has already been retrieved.
",Arquivo já foi carregado.,"O arquivo já foi obtido.
",ES,LLAMA,19.3576934939088
"Cannot initiate PASV transfer.
",Não foi possível iniciar a transferência PASV.,"Não é possível iniciar transferência PASV.
",ES,LLAMA,27.054113452696992
"Cannot parse PASV response.
",Não foi possível analisar a resposta PASV.,"Não foi possível entender resposta do comando PASV.
",ES,LLAMA,23.87517132417733
"couldn't connect to %s port %d: %s
","não foi possível conectar ao %s porta %d:%s
","não foi possível se conectar a %s porta %d: %s
",ES,LLAMA,63.436083375358535
"Bind error (%s).
",Erro na chamada de bind (%s).,"Erro na associação (%s).
",ES,LLAMA,45.180100180492246
"Invalid PORT.
",Porto inválido.,"PORT é inválido.
",ES,LLAMA,39.43223765116288
"
REST failed, starting from scratch.
","Erro REST, iniciar desde o começo.","
REST falhou, recomeçando do zero.
",ES,LLAMA,7.267884212102741
"File %s exists.
",O arquivo %s existe.,"O arquivo %s existe.
",ES,LLAMA,100.00000000000004
"No such file %s.
",No existe tal fichero %s.,"O arquivo %s não foi encontrado.

",ES,LLAMA,12.600736402830258
"No such file %s.

",No existe tal fichero %s.,"O arquivo %s não foi encontrado.

",ES,LLAMA,12.600736402830258
"No such file or directory %s.

",Não existe tal arquivo ou diretório %s.,"O arquivo ou diretório %s não foi encontrado.

",ES,LLAMA,41.80134288483487
"%s has sprung into existence.
",%s surgiu de repente.,"%s surgiu do nada.
",ES,LLAMA,32.46679154750991
"%s: %s, closing control connection.
",%s: a conexão de controle foi encerrada. Ainda não é possível continuar o processo.,"%s: %s, fechando conexão de controle.
",ES,LLAMA,13.973536728747975
%s (%s) - Data connection: %s; ,%s (%s) - Conexão de dados: %s; ,%s (%s) - Conexão de dados: %s; ,ES,LLAMA,100.00000000000004
"Control connection closed.
",Conexão de controle encerrada.,"A conexão de controle está fechada.
",ES,LLAMA,15.848738972120703
"Data transfer aborted.
",Transferência de dados interrompida.,"A transferência dos dados foi abortada.
",ES,LLAMA,8.51528917838043
"File %s already there; not retrieving.
",Arquivo %s já existe; não é carregado.,"O arquivo %s já existe, não será baixado.
",ES,LLAMA,26.305014340253436
(try:%2d),(intento:%2d),(tentativa:%2d),ES,LLAMA,53.7284965911771
"%s (%s) - written to stdout %s[%s]

",%s (%s) - escritos na saída padrão %s[%s],"%s (%s) - escrito para a saída padrão %s[%s]

",ES,LLAMA,71.89085812023326
"%s (%s) - %s saved [%s]

",%s (%s) - %s salvo [%s],"%s (%s) - %s salvo [%s]

",ES,LLAMA,100.00000000000004
"Removing %s.
",Eliminando %s.,"Removendo %s.
",ES,LLAMA,59.460355750136046
"Using %s as listing tmp file.
",Usando %s como fichero temporal de listado.,"Usando %s como arquivo temporário de listagem.
",ES,LLAMA,33.03164318013809
"Removed %s.
",O arquivo %s foi excluído.,"Removeu %s.
",ES,LLAMA,14.535768424205482
"Recursion depth %d exceeded max. depth %d.
",A profundidade de recursião %d ultrapassou a máxima permitida de %d.,"Nível de recursão %d excedeu o nível máximo %d.
",ES,LLAMA,13.912311644176565
"Remote file no newer than local file %s -- not retrieving.
",O arquivo remoto não é mais recente do que o arquivo local %s -- ele não será carregado.,"O arquivo remoto não é mais novo que o local %s -- ignorando.
",ES,LLAMA,39.42058093215872
"Remote file is newer than local file %s -- retrieving.

",O arquivo remoto do %s -- carregando.,"O arquivo remoto é mais novo que o local %s -- baixando.

",ES,LLAMA,17.797924042156883
"The sizes do not match (local %s) -- retrieving.

",Os tamanhos não concordam (%s local) -- carregando.,"Os tamanhos não coincidem (local %s) -- baixando.

",ES,LLAMA,20.255986027125637
"Invalid name of the symlink, skipping.
","Nome inválido do link simbólico, ignorado.","Nome inválido da ligação simbólica, ignorando.
",ES,LLAMA,13.134549472120788
"Already have correct symlink %s -> %s

",A ligação simbólica correta %s -> %s já existe.,"Ligação simbólica já está correta %s -> %s

",ES,LLAMA,50.08718428920986
"Creating symlink %s -> %s
",Criando enlace simbólico %s -> %s,"Criando ligação simbólica %s -> %s
",ES,LLAMA,61.04735835807847
"Symlinks not supported, skipping symlink %s.
","Símbolos de ligação não são suportados, a referência simbólica %s é ignorada.","Não há suporte para ligações simbólicas, ignorando a ligação %s.
",ES,LLAMA,6.917184228205472
"Skipping directory %s.
",Omitindo o diretório %s.,"Ignorando o diretório %s.
",ES,LLAMA,75.98356856515926
"%s: unknown/unsupported file type.
",%s: tipo de arquivo desconhecido/não suportado.,"%s: o tipo de arquivo é desconhecido ou não possui suporte.
",ES,LLAMA,19.767437766271104
"Failed to set permissions for %s.
",Não foi possível definir permissões para %s.,"Falhou em obter permissões para %s.
",ES,LLAMA,44.63236137853326
"%s: corrupt time-stamp.
",%s: marca de tempo danificada.,"%s: horário (timestamp) corrompido.
",ES,LLAMA,19.493995755254467
"Will not retrieve dirs since depth is %d (max %d).
","Os catálogos não serão carregados, pois a profundidade é %d (máximo %d).","Não serão baixados os diretórios, pois o nível de recursão é %d (máx. %d).
",ES,LLAMA,25.617078395508244
"Not descending to %s as it is excluded/not-included.
","Acesso ao diretório ""%s"" não é permitido, pois ele está excluído/no-incluso.","Não descendo para %s, pois está excluído/não incluído.
",ES,LLAMA,12.512236921161914
"Rejecting %s.
",Rejeitando %s.,"Rejeitando %s.
",ES,LLAMA,100.00000000000004
"Rejecting %s (Invalid Entry).
",Rejeitando %s (entrada inválida).,"Rejeitando %s (entrada inválida).
",ES,LLAMA,100.00000000000004
"%s is excluded/not-included through regex.
",%s está excluído/no-incluso por regex.,"%s está excluído/não-incluído pela expressão regular.
",ES,LLAMA,41.80134288483487
"Error matching %s against %s: %s
",Erro ao ajustar %s para %s: %s,"Erro ao comparar %s com %s: %s.
",ES,LLAMA,41.06517147271933
"No matches on pattern %s.
",Não há nada que se ajuste ao padrão %s.,"Não há ocorrências para o padrão %s.
",ES,LLAMA,27.901593935858266
"Wrote HTML-ized index to %s [%s].
","Índice em HTML foi escrito no arquivo ""%s"" [%s].","Escrito índice em formato HTML em %s [%s].
",ES,LLAMA,28.039501199940027
"Wrote HTML-ized index to %s.
",Índice em HTML foi escrito no arquivo %s.,"Escrito índice em formato HTML em %s.
",ES,LLAMA,17.747405280050266
