original,translated,reference,context_languages,strategy,bleu
invalid argument %s for %s,argumento %s invÃ¡lido para %s,argumento inválido %s para %s,"ES,ZH_CN",LLAMA,32.17294420803808
ambiguous argument %s for %s,argumento %s ambíguo para %s,argumento ambíguo %s para %s,"ES,ZH_CN",LLAMA,33.437015248821105
Valid arguments are:,Os argumentos válidos são:,Argumentos válidos são:,"ES,ZH_CN",LLAMA,39.76353643835252
write error,erro de escritura,erro de escrita,"ES,ZH_CN",LLAMA,55.03212081491043
Unknown system error,Erro de sistema desconhecido,Erro desconhecido de sistema,"ES,ZH_CN",LLAMA,37.99178428257963
"%s: option '%s%s' is ambiguous
",%s: a opciÃ³n '%s%s' tem ambiguidade,"%s: a opção ""%s%s"" é ambígua
","ES,ZH_CN",LLAMA,28.209929953276795
%s: option '%s%s' is ambiguous; possibilities:,%s: a opciÃ³n '%s%s' tem ambiguidade; possÃ­veis:,"%s: a opção ""%s%s"" é ambígua; possibilidades:","ES,ZH_CN",LLAMA,23.70251900062618
"%s: unrecognized option '%s%s'
","%s: opção '%s%s' não reconhecida
","%s: opção desconhecida ""%s%s""
","ES,ZH_CN",LLAMA,33.932513407933634
"%s: option '%s%s' doesn't allow an argument
","%s: a opciÃ³n '%s%s' não permite argumento
","%s: a opção ""%s%s"" não permite um argumento
","ES,ZH_CN",LLAMA,27.43937845663834
"%s: option '%s%s' requires an argument
","%s: a opciÃ³n '%s%s' requer um argumento
","%s: a opção ""%s%s"" exige um argumento
","ES,ZH_CN",LLAMA,28.863046226018728
"%s: invalid option -- '%c'
",%s: opção invÃ¡lida -- '%c',"%s: opção inválida -- ""%c""
","ES,ZH_CN",LLAMA,18.04438612975343
"%s: option requires an argument -- '%c'
",%s: a opciÃ³n requer um argumento -- '%c',"%s: a opção exige um argumento -- ""%c""
","ES,ZH_CN",LLAMA,29.167552921712726
`,`,“,"ES,ZH_CN",LLAMA,0.0
',',”,"ES,ZH_CN",LLAMA,0.0
Success,Conseguido,Sucesso,"ES,ZH_CN",LLAMA,0.0
No match,Sem coincidência,Nenhuma ocorrência do padrão,"ES,ZH_CN",LLAMA,0.0
Invalid regular expression,Ex ExpressÃ£o regular inválida,Expressão regular inválida,"ES,ZH_CN",LLAMA,31.947155212313625
Invalid collation character,Caracter de colação inválido,Caractere de combinação inválido,"ES,ZH_CN",LLAMA,18.99589214128981
Invalid character class name,Nome da classe de caracteres inválido,Nome inválido de categoria de caracteres,"ES,ZH_CN",LLAMA,19.304869754804482
Trailing backslash,barra invertida no final,Barra invertida no final,"ES,ZH_CN",LLAMA,59.460355750136046
Invalid back reference,Referência inválida para atrÃ¡s,Retrorreferência inválida,"ES,ZH_CN",LLAMA,15.97357760615681
"Unmatched [, [^, [:, [., or [=","[, [^, [:, [., o [= desemparejado","[, [^, [:, [. ou [= sem correspondente","ES,ZH_CN",LLAMA,67.29864884660302
Unmatched ( or \(,( o //( desemparelhado),( ou \( sem correspondente,"ES,ZH_CN",LLAMA,7.809849842300637
Unmatched \{,\{ desemparelhado,\{ sem correspondente,"ES,ZH_CN",LLAMA,39.43223765116288
Invalid content of \{\},Contenido invÃ¡lido de \{\},Conteúdo inválido de \{\},"ES,ZH_CN",LLAMA,61.47881529512643
Invalid range end,Fim de rango inválido,Fim de intervalo inválido,"ES,ZH_CN",LLAMA,35.35533905932737
Memory exhausted,Memória esgotada,Memória esgotada,"ES,ZH_CN",LLAMA,100.00000000000004
Invalid preceding regular expression,A expressÃ£o regular anterior é inválida,A expressão regular precedente é inválida,"ES,ZH_CN",LLAMA,19.304869754804482
Premature end of regular expression,Fim prematuro da expressão regular,Fim prematuro da expressão regular,"ES,ZH_CN",LLAMA,100.00000000000004
Regular expression too big,A expressÃ£o regular é muito grande.,Expressão regular grande demais,"ES,ZH_CN",LLAMA,7.809849842300637
Unmatched ) or \),) o ) desemparelhado,) ou \) sem correspondente,"ES,ZH_CN",LLAMA,11.521590992286539
No previous regular expression,Não há nenhuma expressÃ£o regular anterior,Nenhuma expressão regular anterior,"ES,ZH_CN",LLAMA,16.233395773754953
^[yY],^[sS],^[+1SsyY],"ES,ZH_CN",LLAMA,27.534765745159184
^[nN],^[nN] Sim ou não?,^[-0nN],"ES,ZH_CN",LLAMA,12.22307556087252
"Packaged by %s (%s)
","Empacotado por %s (%s) 
","Empacotado por %s (%s)
","ES,ZH_CN",LLAMA,100.00000000000004
"Packaged by %s
",Empacotado por %s,"Empacotado por %s
","ES,ZH_CN",LLAMA,100.00000000000004
(C),©,(C),"ES,ZH_CN",LLAMA,0.0
"License GPLv3+: GNU GPL version 3 or later <%s>.
This is free software: you are free to change and redistribute it.
There is NO WARRANTY, to the extent permitted by law.
","Licenciamento GPLv3+: GPL de GNU versão 3 ou posterior <%s>. Este é software livre: você está livres para modificar e redistribuir. Não há nenhuma garantia, até onde a lei permite.","Licença GPLv3+: GNU GPL versão 3 ou posterior <%s>
Este é um software livre: você é livre para alterá-lo e redistribuí-lo.
NÃO HÁ QUALQUER GARANTIA, na máxima extensão permitida em lei.
","ES,ZH_CN",LLAMA,29.90830497104953
"Written by %s.
",Escrito por %s.,"Escrito por %s.
","ES,ZH_CN",LLAMA,100.00000000000004
"Written by %s and %s.
",Escrito por %s e %s.,"Escrito por %s e %s.
","ES,ZH_CN",LLAMA,100.00000000000004
"Written by %s, %s, and %s.
","Escrito por %s, %s e %s. 
","Escrito por %s, %s, e %s.
","ES,ZH_CN",LLAMA,74.26141117870938
"Written by %s, %s, %s,
and %s.
","Escrito por %s, %s, %s e %s. 
","Escrito por %s, %s, %s,
e %s.
","ES,ZH_CN",LLAMA,80.52253761904356
"Written by %s, %s, %s,
%s, and %s.
","Escrito por %s, %s, %s
%s e %s. 
","Escrito por %s, %s, %s,
%s, e %s.
","ES,ZH_CN",LLAMA,69.3315425419104
"Written by %s, %s, %s,
%s, %s, and %s.
","Escrito por %s, %s, %s
%s, %s e %s.
","Escrito por %s, %s, %s,
%s, %s, e %s.
","ES,ZH_CN",LLAMA,72.66750895801559
"Written by %s, %s, %s,
%s, %s, %s, and %s.
","Escrito por %s, %s, %s
%s, %s, %s e %s.
","Escrito por %s, %s, %s,
%s, %s, %s, e %s.
","ES,ZH_CN",LLAMA,76.59884031836235
"Written by %s, %s, %s,
%s, %s, %s, %s,
and %s.
","Escrito por %s, %s, %s
%s, %s, %s, %s
y %s.
","Escrito por %s, %s, %s,
%s, %s, %s, %s,
e %s.
","ES,ZH_CN",LLAMA,75.53175483185653
"Written by %s, %s, %s,
%s, %s, %s, %s,
%s, and %s.
","Escrito por %s, %s, %s
%s, %s, %s, %s
%s y %s.
","Escrito por %s, %s, %s,
%s, %s, %s, %s,
%s, e %s.
","ES,ZH_CN",LLAMA,69.63264868551505
"Written by %s, %s, %s,
%s, %s, %s, %s,
%s, %s, and others.
","Escrito por %s, %s, %s
%s, %s, %s, %s
%s, %s y otros.
","Escrito por %s, %s, %s,
%s, %s, %s, %s,
%s, %s, e outros.
","ES,ZH_CN",LLAMA,70.34647311962888
"Report bugs to: %s
",Comunicar erros no programa para: %s,"Relate erros para: %s
Relate erros de tradução para <https://translationproject.org/team/pt_BR.html>
","ES,ZH_CN",LLAMA,3.0006599964971663
"Report %s bugs to: %s
","Comunicar erros sobre %s para a: %s
","Relate erros do %s para: %s
","ES,ZH_CN",LLAMA,27.301208627090666
"%s home page: <%s>
",Página inicial de %s: <%s>,"Página do %s: <%s>
","ES,ZH_CN",LLAMA,66.06328636027612
"General help using GNU software: <%s>
",Ajuda geral sobre o uso de software GNU: <%s>,"Ajuda geral no uso de softwares GNU: <%s>
","ES,ZH_CN",LLAMA,47.037095938668976
memory exhausted,memória esgotada,memória esgotada,"ES,ZH_CN",LLAMA,100.00000000000004
Disk Image,Imagem de disco,Imagem de disco,"ES,ZH_CN",LLAMA,100.00000000000004
Error opening %s: %s,Erro ao abrir %s: %s,Erro ao abrir %s: %s,"ES,ZH_CN",LLAMA,100.00000000000004
Unable to open %s read-write (%s).  %s has been opened read-only.,"Não é possível abrir %s em modo de leitura e escrita (%d). O arquivo foi aberto no modo somente leitura.
",Não foi possível abrir %s para leitura e escrita (%s). %s foi aberto somente-leitura.,"ES,ZH_CN",LLAMA,27.40899731303482
%s during seek for read on %s,%s durante a preparaÃ§Ã£o para leitura em %s,%s durante busca para leitura em %s,"ES,ZH_CN",LLAMA,52.53819788848316
%s during read on %s,%s durante a leitura em %s,%s durante leitura em %s,"ES,ZH_CN",LLAMA,50.000000000000014
"Can't write to %s, because it is opened read-only.","Não se pode escrever em %s, porque está aberto para leitura apenas.","Não é possível escrever em %s, pois foi aberto como somente-leitura.","ES,ZH_CN",LLAMA,27.668736912821906
%s during seek for write on %s,%s durante a preparaÃ§Ã£o para a escrita em %s,%s durante busca para escrita em %s,"ES,ZH_CN",LLAMA,35.08439695638686
%s during write on %s,%s durante a escrita em %s,%s durante escrita em %s,"ES,ZH_CN",LLAMA,50.000000000000014
"Try `%s --help' for more information.
",Tente `%s --help' para mais informações.,"Tente ""%s --help"" para mais informações.
","ES,ZH_CN",LLAMA,33.010083098515025
"Usage: %s [OPTION] [DEVICE]...
","Modo de uso: %s [OPÇÃO] [DISPOSITIVOS]...
","Uso: %s [OPÇÃO] [DISPOSITIVO]...
","ES,ZH_CN",LLAMA,57.02822264405544
"Inform the operating system about partition table changes.

  -d, --dry-run    do not actually inform the operating system
  -s, --summary    print a summary of contents
  -h, --help       display this help and exit
  -v, --version    output version information and exit
","Informa ao sistema operacional sobre alterações na tabela de particionamento. 

 -d, --dry-run    não informa ao sistema operacional.
 -s, --summary     mostra um resumo do conteúdo.
 -h, --help       exibe esta mensagem e termina a execução.
 -v, --version   mostra informações sobre a versão e encerra o programa.","Informa ao sistema operacional sobre alterações na tabela de partição.

  -d, --dry-run    não chega a informar ao sistema operacional
  -s, --summary    exibe um resumo do conteúdo
  -h, --help       exibe esta ajuda e sai
  -v, --version    mostra informações da versão e sai
","ES,ZH_CN",LLAMA,44.54242891333924
"
When no DEVICE is given, probe all partitions.
","Quando nenhum dispositivo for fornecido, examina todas as partições.","
Quando nenhum DISPOSITIVO é informado, investiga todas as partições.
","ES,ZH_CN",LLAMA,28.997844147152072
"
Report bugs to <%s>.
",Comunicar erros a <%s>.,"
Relate erros para <%s>.
","ES,ZH_CN",LLAMA,54.10822690539397
Unable to open %s.,Não é possível abrir %s.,Não foi possível abrir %s.,"ES,ZH_CN",LLAMA,64.34588841607616
Unable to probe store.,Não é possível sondear o armazenamento.,Não foi possível investigar armazenamento.,"ES,ZH_CN",LLAMA,15.619699684601283
%s trying to sync %s to disk,%s tentando sincronizar %s no disco local,%s tentando sincronizar %s ao disco,"ES,ZH_CN",LLAMA,61.04735835807847
Could not stat device %s - %s.,Não é possível executar o comando `stat` no dispositivo %s - %s.,Não foi possível obter estado do dispositivo %s - %s.,"ES,ZH_CN",LLAMA,37.08163623065085
Unable to determine the dm type of %s.,Não é possível determinar o tipo de DM do %s.,Não foi possível determinar o tipo dm de %s.,"ES,ZH_CN",LLAMA,32.649710286280516
"Could not determine sector size for %s: %s.
Using the default sector size (%lld).","NÃO foi possível determinar o tamanho do setor para %s: %s. Utiliza-se, por omissão, um tamanho de sector (%lld).","Não foi possível determinar o tamanho do setor para %s: %s.
Utilizando tamanho padrão do setor (%lld).","ES,ZH_CN",LLAMA,58.398957811690124
"Could not determine physical sector size for %s.
Using the logical sector size (%lld).",NÃO foi possível determinar o tamanho do sector físico para %s. Será utilizado o tamanho do sector lógico (%lld).,"Não foi possível determinar o tamanho do setor físico para %s.
Utilizando tamanho do setor lógico (%lld).","ES,ZH_CN",LLAMA,53.611312694955046
Unable to determine the size of %s (%s).,Não é possível determinar o tamanho de %s (%s).,Não foi possível determinar tamanho de %s (%s).,"ES,ZH_CN",LLAMA,65.91844162499147
Generic IDE,IDE genÃ©rico,IDE genérico,"ES,ZH_CN",LLAMA,49.99999999999999
Could not get identity of device %s - %s,Não é possível obter a identidade do dispositivo %s - %s.,Não foi possível obter a identificação do dispositivo %s - %s,"ES,ZH_CN",LLAMA,54.45178846139407
"Device %s has multiple (%d) logical sectors per physical sector.
GNU Parted supports this EXPERIMENTALLY for some special disk label/file system combinations, e.g. GPT and ext2/3.
Please consult the web site for up-to-date information.","O dispositivo %s possui vários (%d) setores lógicos por cada setor físico. GNU Parted implementa isso de forma EXPERIMENTAL para algumas combinações especiais de etiquetas de disco/sistema de arquivos, como GPT e ext2/3. Por favor consulte o site web para informações atualizadas.","O dispositivo %s possui múltiplos setores lógicos (%d) por setores físicos.
GNU Parted suporta isto de forma EXPERIMENTAL para alguns rótulos de disco/combinações de sistema de arquivos especiais, ex.: GPT e ext2/3.
Por gentileza, consulte o site para informações atualizadas.","ES,ZH_CN",LLAMA,39.303578860799306
Error initialising SCSI device %s - %s,Erro ao iniciar o dispositivo SCSI %s - %s,Erro ao inicializar dispositivo SCSI %s - %s,"ES,ZH_CN",LLAMA,63.15552371794039
