original,translated,reference,context_languages,strategy,bleu
Applications,Aplicação de software,Aplicativos,"VI,ID",LLAMA,0.0
applications,aplicação,aplicativos,"VI,ID",LLAMA,0.0
Desktop,Màn hình nền,Área de trabalho,"VI,ID",LLAMA,0.0
desktop,mão de obra digital,área de trabalho,"VI,ID",LLAMA,15.97357760615681
Documents,Tài liệu,Documentos,"VI,ID",LLAMA,0.0
documents,documento,documentos,"VI,ID",LLAMA,0.0
Download,Tá na hora de baixar o arquivo.,Download,"VI,ID",LLAMA,0.0
download,tarefa concluída com sucesso.,download,"VI,ID",LLAMA,0.0
Downloads,Bancar transferido,Downloads,"VI,ID",LLAMA,0.0
downloads,arquivo baixado,downloads,"VI,ID",LLAMA,0.0
Movies,Filme,Filmes,"VI,ID",LLAMA,0.0
movies,filme,filmes,"VI,ID",LLAMA,0.0
Music,Nhạc,Músicas,"VI,ID",LLAMA,0.0
music,nhạc,músicas,"VI,ID",LLAMA,0.0
Photos,Foto digital,Fotos,"VI,ID",LLAMA,0.0
photos,imagem digitalizada,fotos,"VI,ID",LLAMA,0.0
Pictures,Área de trabalho,Imagens,"VI,ID",LLAMA,0.0
pictures,ảnh,imagens,"VI,ID",LLAMA,0.0
Projects,Projeto,Projetos,"VI,ID",LLAMA,0.0
projects,projeto,projetos,"VI,ID",LLAMA,0.0
Public,Công,Público,"VI,ID",LLAMA,0.0
public,công,público,"VI,ID",LLAMA,0.0
Share,Chia sẻ,Compartilhados,"VI,ID",LLAMA,0.0
share,VI,compartilhados,"VI,ID",LLAMA,0.0
Templates,MẪU,Modelos,"VI,ID",LLAMA,0.0
templates,mẫu,modelos,"VI,ID",LLAMA,0.0
Videos,Área de vídeo em movimento,Vídeos,"VI,ID",LLAMA,0.0
videos,área de trabalho,vídeos,"VI,ID",LLAMA,0.0
