original,translated,reference,context_languages,strategy,bleu
invalid argument %s for %s,argumento %s inválido para %s,argumento inválido para %s: %s,"FR,ES",LLAMA,44.04890495145606
ambiguous argument %s for %s,argumento %s ambiguo para %s,argumento ambíguo %s para %s,"FR,ES",LLAMA,32.17294420803808
Valid arguments are:,Os argumentos válidos são:,Argumentos válidos são:,"FR,ES",LLAMA,39.76353643835252
regular empty file,fichê regular vazio,arquivo comum vazio,"FR,ES",LLAMA,27.516060407455225
regular file,ficheiro regular,arquivo comum,"FR,ES",LLAMA,0.0
directory,diretório,diretório,"FR,ES",LLAMA,100.00000000000004
symbolic link,simbolo tautológico,link simbólico,"FR,ES",LLAMA,0.0
message queue,fila de mensagens,fila de mensagem,"FR,ES",LLAMA,55.03212081491043
semaphore,semafor,semáforo,"FR,ES",LLAMA,0.0
shared memory object,objeto de memória compartilhada,objeto em memória compartilhada,"FR,ES",LLAMA,35.35533905932737
typed memory object,objeto de memória tipado,objeto de memória tipificada,"FR,ES",LLAMA,59.460355750136046
block special file,arquivo bloco especial,arquivo especial de bloco,"FR,ES",LLAMA,28.435563904324646
character special file,ficheiro de caracteres especiais,arquivo especial de caractere,"FR,ES",LLAMA,15.97357760615681
contiguous data,dados que seguem na sequência,dados contíguos,"FR,ES",LLAMA,10.682175159905848
fifo,FIFO,fifo,"FR,ES",LLAMA,0.0
door,porta,porta,"FR,ES",LLAMA,100.00000000000004
multiplexed block special file,bloco especial de blocos multiplexados,arquivo multiplexado especial de bloco,"FR,ES",LLAMA,23.643540225079384
multiplexed character special file,fichero especial com caracteres multiplexados,arquivo multiplexado especial de caractere,"FR,ES",LLAMA,10.682175159905848
multiplexed file,arquivo múltiplo,arquivo multiplexado,"FR,ES",LLAMA,49.99999999999999
named file,capa de nome,arquivo nomeado,"FR,ES",LLAMA,0.0
network special file,arquivo especial de janelas,arquivo especial de rede,"FR,ES",LLAMA,59.460355750136046
migrated file with data,arquivo termigravado com dados,arquivo migrado com dados,"FR,ES",LLAMA,35.35533905932737
migrated file without data,ficheiro migrado sem dados,arquivo migrado sem dados,"FR,ES",LLAMA,59.460355750136046
port,porta,porta,"FR,ES",LLAMA,100.00000000000004
socket,soquete,soquete,"FR,ES",LLAMA,100.00000000000004
whiteout,escurecimento (whiteout),whiteout,"FR,ES",LLAMA,15.97357760615681
weird file,capa de livro,arquivo estranho,"FR,ES",LLAMA,0.0
program error,erro do programa,erro do programa,"FR,ES",LLAMA,100.00000000000004
stack overflow,pilha de sobrecarga,estouro de pilha,"FR,ES",LLAMA,34.66806371753173
Try '%s --help' for more information.,Tente '%s --help' para mais informações.,"Tente ""%s --help"" para mais informações.","FR,ES",LLAMA,33.010083098515025
Unknown system error,Erro do sistema desconhecido,Erro desconhecido de sistema,"FR,ES",LLAMA,21.02241038134286
"%s: option '%s%s' is ambiguous
","%s: a opção '%s%s' não permite argumento
","%s: a opção ""%s%s"" é ambígua
","FR,ES",LLAMA,38.67706276352344
%s: option '%s%s' is ambiguous; possibilities:,%s: a opção '%s%s' é ambigua; as possibilidades são :,"%s: a opção ""%s%s"" é ambígua; possibilidades:","FR,ES",LLAMA,31.689002674537868
"%s: unrecognized option '%s%s'
",%s: opção não reconhecida '%s%s',"%s: opção desconhecida ""%s%s""
","FR,ES",LLAMA,33.932513407933634
"%s: option '%s%s' doesn't allow an argument
","%s: a opção '%s%s' não permite argumento
","%s: a opção ""%s%s"" não permite argumento
","FR,ES",LLAMA,44.06401630925027
"%s: option '%s%s' requires an argument
","%s: a opção '%s%s' requer um argumento
","%s: a opção ""%s%s"" exige um argumento
","FR,ES",LLAMA,39.355951621009716
"%s: invalid option -- '%c'
",%s: opção -- '%c' não é válida,"%s: opção inválida -- ""%c""
","FR,ES",LLAMA,25.965358893403383
"%s: option requires an argument -- '%c'
",%s: a opção -- '%c' requer um argumento.,"%s: a opção exige um argumento -- ""%c""
","FR,ES",LLAMA,35.416987661440594
`,',“,"FR,ES",LLAMA,0.0
',',”,"FR,ES",LLAMA,0.0
Success,Succès,Sucesso,"FR,ES",LLAMA,0.0
No match,não é adequado,Nenhuma ocorrência do padrão,"FR,ES",LLAMA,0.0
Invalid regular expression,expressão regular inválida,Expressão regular inválida,"FR,ES",LLAMA,55.03212081491043
Invalid collation character,Caractere de colisão não é válido,caractere de combinação inválido,"FR,ES",LLAMA,8.116697886877475
Invalid character class name,O nome do conjunto de caracteres não é válido.,Nome inválido da classe de caracteres,"FR,ES",LLAMA,8.392229812593097
Trailing backslash,barra invertida final de Akhiran,Barra invertida no final,"FR,ES",LLAMA,12.703318703865365
Invalid back reference,A referência balik é inválida,Retrorreferência inválida,"FR,ES",LLAMA,10.682175159905848
"Unmatched [, [^, [:, [., or [=","[, [^, [:, [. ou [= sans vis-à-vis","[, [^, [:, [. ou [= sem correspondente","FR,ES",LLAMA,85.07331335123531
Unmatched ( or \(,( ou \( sans vis-à-vis,( ou \( sem correspondente,"FR,ES",LLAMA,50.81327481546149
Unmatched \{,{ sem parceiro},\{ sem correspondente,"FR,ES",LLAMA,31.947155212313625
Invalid content of \{\},O conteúdo de \{\} não é válido,Conteúdo inválido de \{\},"FR,ES",LLAMA,39.281465090051306
Invalid range end,Akhir rentang tidak valid,Fim do intervalo inválido,"FR,ES",LLAMA,0.0
Memory exhausted,Memória esgotada,Memória esgotada,"FR,ES",LLAMA,100.00000000000004
Invalid preceding regular expression,expressão regular que impede a validade não está correta,A expressão regular precedente é inválida,"FR,ES",LLAMA,9.535414040914192
Premature end of regular expression,Regular expression terminated prematurely.,Fim prematuro da expressão regular,"FR,ES",LLAMA,0.0
Regular expression too big,Expressão regular excessivamente grande.,Expressão regular grande demais,"FR,ES",LLAMA,23.643540225079384
Unmatched ) or \),ou) sem visa a vista,) ou \) sem correspondente,"FR,ES",LLAMA,17.965205598154213
No previous regular expression,Não há expressões regulares anteriores.,Nenhuma expressão regular anterior,"FR,ES",LLAMA,0.0
"Packaged by %s (%s)
",Empaquetado por %s (%s),"Empacotado por %s (%s)
","FR,ES",LLAMA,84.08964152537145
"Packaged by %s
",Empaquetado por %s,"Empacotado por %s
","FR,ES",LLAMA,59.460355750136046
(C),(C),(C),"FR,ES",LLAMA,100.00000000000004
"License GPLv3+: GNU GPL version 3 or later <%s>.
This is free software: you are free to change and redistribute it.
There is NO WARRANTY, to the extent permitted by law.
","Licença GPLv3+: GNU GPL versão 3 ou posterior <%s>. Este é um software livre. Você está autorizado a modificá-lo e distribuí-lo. Não há garantia, dentro das limitações legais.","Licença GPLv3+: GNU GPL versão 3 ou posterior <%s>.
Este é um software livre: você é livre para alterá-lo e redistribuí-lo.
NÃO HÁ QUALQUER GARANTIA, na máxima extensão permitida em lei.
","FR,ES",LLAMA,48.95490299814588
"Written by %s.
",Escrito por %s.,"Escrito por %s.
","FR,ES",LLAMA,100.00000000000004
"Written by %s and %s.
",Escrito por %s e %s.,"Escrito por %s e %s.
","FR,ES",LLAMA,100.00000000000004
"Written by %s, %s, and %s.
","Escrito por %s, %s e %s.","Escrito por %s, %s e %s.
","FR,ES",LLAMA,100.00000000000004
"Written by %s, %s, %s,
and %s.
","Escrito por %s, %s, %s, e %s. 
","Escrito por %s, %s, %s
e %s.
","FR,ES",LLAMA,80.03203203845001
"Written by %s, %s, %s,
%s, and %s.
","Escrito por %s, %s, %s, %s e %s. 
","Escrito por %s, %s, %s
%s e %s.
","FR,ES",LLAMA,82.82477531331043
"Written by %s, %s, %s,
%s, %s, and %s.
","Escrito por %s, %s, %s, 
%s, %s e %s. 
","Escrito por %s, %s, %s
%s, %s e %s.
","FR,ES",LLAMA,85.78928092681438
"Written by %s, %s, %s,
%s, %s, %s, and %s.
","Escrito por %s, %s, %s, 
%s, %s, %s e %s. 
","Escrito por %s, %s, %s
%s, %s, %s e %s.
","FR,ES",LLAMA,87.87419089273847
"Written by %s, %s, %s,
%s, %s, %s, %s,
and %s.
","Escrito por %s, %s, %s, 
%s, %s, %s, %s, 
et %s. 
","Escrito por %s, %s, %s
%s, %s, %s, %s
e %s.
","FR,ES",LLAMA,75.39221180326287
"Written by %s, %s, %s,
%s, %s, %s, %s,
%s, and %s.
","Escrito por %s, %s, %s, 
%s, %s, %s, %s,
%s e %s. 

","Escrito por %s, %s, %s
%s, %s, %s, %s
%s e %s.
","FR,ES",LLAMA,80.96427216101601
"Written by %s, %s, %s,
%s, %s, %s, %s,
%s, %s, and others.
","Escrito por %s, %s, %s, 
%s, %s, %s, %s,
%s, %s e outros.","Escrito por %s, %s, %s
%s, %s, %s, %s,
%s, %s e outros.
","FR,ES",LLAMA,91.27592114472296
"Report bugs to: %s
","Laporkan kutu ke: %s
","Relate erros para: %s
Relate erros de tradução para <http://translationproject.org/team/pt_BR.html>
","FR,ES",LLAMA,0.7723098754885949
"Report %s bugs to: %s
","Laporkan kutu %s ke: %s
","Relate os erros do %s para: %s
","FR,ES",LLAMA,20.130954856436926
"%s home page: <%s>
",%s homepage: <%s>,"Página do %s: <%s>
","FR,ES",LLAMA,52.47357977607325
"General help using GNU software: <%s>
",Ajuda geral para utilizar o software GNU: <%s>,"Ajuda em geral no uso de software GNU: <%s>
","FR,ES",LLAMA,50.51968359286048
memory exhausted,memória esgotada,memória esgotada,"FR,ES",LLAMA,100.00000000000004
stdin,entrada padrão,entrada padrão (stdin),"FR,ES",LLAMA,22.31301601484299
stdout,saída padrão,saída padrão (stdout),"FR,ES",LLAMA,22.31301601484299
stderr,fluxo de erro padrão,erro padrão (stderr),"FR,ES",LLAMA,24.880469496253564
unknown stream,fluxo desconhecido,fluxo desconhecido,"FR,ES",LLAMA,100.00000000000004
failed to reopen %s with mode %s,impossível abrir %s novamente com o modo %s,falha ao reabrir %s com modo %s,"FR,ES",LLAMA,20.556680845025987
"Files %s and %s differ
",As pastas %s e %s contêm arquivos diferentes,"Os arquivos %s e %s são diferentes
","FR,ES",LLAMA,42.7287006396234
"Binary files %s and %s differ
",Os arquivos binários %s e %s são diferentes,"Os arquivos binários %s e %s são diferentes
","FR,ES",LLAMA,100.00000000000004
No newline at end of file,Não há linhas novas no final do arquivo.,Nenhum caractere de nova linha no final do arquivo,"FR,ES",LLAMA,29.84745896009822
Torbjorn Granlund,Torbjörn Granlund,Torbjorn Granlund,"FR,ES",LLAMA,49.99999999999999
David MacKenzie,David MacKenzie,David MacKenzie,"FR,ES",LLAMA,100.00000000000004
invalid --ignore-initial value %s,valor --ignore-initial inválido '%s',valor inválido --ignore-initial %s,"FR,ES",LLAMA,11.478744233307168
options -l and -s are incompatible,As opções -l e -s não são compatíveis,as opções -l e -s são incompatíveis,"FR,ES",LLAMA,36.55552228545123
write failed,falha na escrita,erro de escrita,"FR,ES",LLAMA,27.516060407455225
standard output,saída padrão,saída padrão,"FR,ES",LLAMA,100.00000000000004
"-b, --print-bytes          print differing bytes",-b --print-bytes           Mostrar bytes que são diferentes.,"-b, --print-bytes          imprime os bytes diferentes","FR,ES",LLAMA,7.809849842300637
"-i, --ignore-initial=SKIP         skip first SKIP bytes of both inputs","-i, --ignore-initial=SKIP         lewati SKIP byte awal dari kedua masukan","-i, --ignore-initial=SALTO        ignora os primeiros SALTO bytes da entrada","FR,ES",LLAMA,21.200626759025184
"-i, --ignore-initial=SKIP1:SKIP2  skip first SKIP1 bytes of FILE1 and
                                      first SKIP2 bytes of FILE2","-i, --ignore-initial=SKIP1:SKIP2 
                    Ignora os SKIP1 primeiros bytes do arquivo FILE1 e dos SKIP2 primeiros bytes de arquivo FILE2.","-i, --ignore-initial=SALTO1:SALTO2
                                  ignora os primeiros SALTO1 bytes do ARQUIVO1
                                    e os primeiros SALTO2 bytes do ARQUIVO2","FR,ES",LLAMA,13.929083599454664
"-l, --verbose              output byte numbers and differing byte values","-l, --verbose              exibe os números de bytes e valores dos bytes que diferem.","-l, --verbose              emite os números de bytes e os valores de
                             todos os bytes diferentes","FR,ES",LLAMA,32.54777991021598
"-n, --bytes=LIMIT          compare at most LIMIT bytes","-n, --bytes=LIMITE          limitar o número de bytes para LIMIT byte","-n, --bytes=LIMITE         compara no máximo LIMITE bytes","FR,ES",LLAMA,30.26643726685862
"-s, --quiet, --silent      suppress all normal output","-s, --quiet, --silent      suprime todas as mensagens normais.","-s, --quiet, --silent      suprime todas saídas normais","FR,ES",LLAMA,59.00468726392806
    --help                 display this help and exit,    --help                 Mostrar ajuda deste assistente e sair,    --help                 mostra esta ajuda e sai,"FR,ES",LLAMA,8.643019616048525
"-v, --version              output version information and exit","-v, --version              Mostrar versão e sair do programa.","-v, --version              mostra informação sobre a versão e sai","FR,ES",LLAMA,19.64073254502565
"Usage: %s [OPTION]... FILE1 [FILE2 [SKIP1 [SKIP2]]]
",Utilização: %s [PILIHAN]... BERKAS1 [BERKAS2 [SKIP1 [SKIP2]]],"Uso: %s [OPÇÃO]... ARQUIVO1 [ARQUIVO2 [SALTO1 [SALTO2]]]
","FR,ES",LLAMA,31.327681146619366
Compare two files byte by byte.,Bandingkan dua berkas byte per byte.,Compara dois arquivos byte por byte.,"FR,ES",LLAMA,14.535768424205482
"The optional SKIP1 and SKIP2 specify the number of bytes to skip
at the beginning of each file (zero by default).",SKIP1 dan SKIP2 sao o numero de bytes que devem ser saltados no inicio de cada baca (valor padrão eh zero).,"Os argumentos opcionais SALTO1 e SALTO2 especificam o número de
bytes para ignorar no começo de cada arquivo (zero por padrão).","FR,ES",LLAMA,6.34177347084289
"Mandatory arguments to long options are mandatory for short options too.
",Os argumentos obrigatórios para as opções longas também são necessários para as opções curtas.,"Argumentos obrigatórios para opções longas também o são para opções curtas.
","FR,ES",LLAMA,19.765441873349218
"SKIP values may be followed by the following multiplicative suffixes:
kB 1000, K 1024, MB 1,000,000, M 1,048,576,
GB 1,000,000,000, G 1,073,741,824, and so on for T, P, E, Z, Y.","Nilai SKIP dapat serap oleh suffiks perkalian berikut:
KB 1000, K 1024, MB 1.000.000, M 1.048.576,
GB 1.000.000.000, G 1.073.741.824, dan seterusnya para T, P, E, Z, Y.","Os valores do SALTO podem ser seguidos por sufixos multiplicativos a seguir:
kB 1000, K 1024, MB 1,000,000, M 1,048,576,
GB 1,000,000,000, G 1,073,741,824,
e assim por diante para T, P, E, Z, Y.","FR,ES",LLAMA,35.62176922625719
"If a FILE is '-' or missing, read standard input.","Se um arquivo for '-' ou não existir, ler da entrada padrão.","Se ARQUIVO for igual a ""-"" ou for omitido, ler da entrada padrão.","FR,ES",LLAMA,31.25172592246403
"Exit status is 0 if inputs are the same, 1 if different, 2 if trouble.","O status de saída é 0 se as entradas forem idênticas, 1 caso contrário e 2 em caso de erro.","Status de saída é 0 se as entradas forem iguais, 1 se diferente e 2 se problema.","FR,ES",LLAMA,37.60281742680291
invalid --bytes value %s,valor --bytes inválido '%s',valor inválido de --bytes %s,"FR,ES",LLAMA,11.478744233307168
missing operand after %s,falta um operando após %s,faltando operando após %s,"FR,ES",LLAMA,50.81327481546149
extra operand %s,operando extra '%s',operando extra %s,"FR,ES",LLAMA,23.643540225079384
"%s %s differ: byte %<PRIdMAX>, line %<PRIdMAX>
","%s %s são diferentes: byte %<PRIdMAX>, linha %<PRIdMAX>","%s e %s são diferentes: byte %<PRIdMAX>, linha %<PRIdMAX>
","FR,ES",LLAMA,86.94714592281682
"%s %s differ: byte %<PRIdMAX>, line %<PRIdMAX> is %3o %s %3o %s
","%s %s diferem: byte %<PRIdMAX>, linha %<PRIdMAX> é %3o %s %3o %s","%s e %s são diferentes: byte %<PRIdMAX>, linha %<PRIdMAX> é %3o %s %3o %s
","FR,ES",LLAMA,78.7910380917199
"cmp: EOF on %s which is empty
",cmp: EOF em %s que está vazio,"cmp: Fim de arquivo (EOF) em %s que está vazio
","FR,ES",LLAMA,39.03674453747003
"cmp: EOF on %s after byte %<PRIdMAX>
",cmp: EOF em %s após byte %<PRIdMAX>,"cmp: Fim de arquivo (EOF) em %s após byte %<PRIdMAX>
","FR,ES",LLAMA,51.82127775756747
"cmp: EOF on %s after byte %<PRIdMAX>, line %<PRIdMAX>
","cmp: EOF em %s após byte %<PRIdMAX>, linha %<PRIdMAX>","cmp: Fim de arquivo (EOF) em %s após byte %<PRIdMAX>, linha %<PRIdMAX>
","FR,ES",LLAMA,65.91762744000306
"cmp: EOF on %s after byte %<PRIdMAX>, in line %<PRIdMAX>
","cmp: EOF em %s após o byte %<PRIdMAX>, na linha %<PRIdMAX>","cmp: Fim de arquivo (EOF) em %s após byte %<PRIdMAX>, na linha %<PRIdMAX>
","FR,ES",LLAMA,60.29362206559125
Paul Eggert,Paul Eggert,Paul Eggert,"FR,ES",LLAMA,100.00000000000004
Mike Haertel,Mike Haertel,Mike Haertel,"FR,ES",LLAMA,100.00000000000004
David Hayes,David Hayes,David Hayes,"FR,ES",LLAMA,100.00000000000004
Richard Stallman,Richard Stallman,Richard Stallman,"FR,ES",LLAMA,100.00000000000004
Len Tower,Torre de Len,Len Tower,"FR,ES",LLAMA,27.516060407455225
invalid context length %s,longitude do contexto %s inválida,o comprimento do contexto não é válido %s,"FR,ES",LLAMA,13.924420625000767
pagination not supported on this host,a paginasi não é suportada neste host,sem suporte a paginação neste computador,"FR,ES",LLAMA,7.809849842300637
too many file label options,demasiadas opções de etiqueta de arquivo,número excessivo de opções de rótulo de arquivo,"FR,ES",LLAMA,16.44975929846582
invalid width %s,largura %s inválida,largura inválida %s,"FR,ES",LLAMA,37.99178428257963
conflicting width options,opções de largura conflitantes,opções de largura conflitantes,"FR,ES",LLAMA,100.00000000000004
invalid horizon length %s,panjang horizon %s não é válido,comprimento do horizonte inválido %s,"FR,ES",LLAMA,13.134549472120788
invalid tabsize %s,tamanho de tabulação %s inválido,tamanho de tabulação inválido %s,"FR,ES",LLAMA,39.76353643835254
