original,translated,reference,context_languages,strategy,bleu
(dir),(cadeado),(dir),"RU,FR",LLAMA,34.66806371753173
(parent dir),(род. кат.),(dir acima),"RU,FR",LLAMA,9.652434877402245
(huge),(> 1TB),gigante,"RU,FR",LLAMA,0.0
Search Wrapped,A pesquisa continuou desde o começo,Pesquisa recomeçou,"RU,FR",LLAMA,0.0
This is the only occurrence,Este é o único coincidente.,Esta é a única ocorrência,"RU,FR",LLAMA,8.116697886877475
Search,Pesquisar,Pesquisa,"RU,FR",LLAMA,0.0
 [Backwards],Voltar, [Retroceder],"RU,FR",LLAMA,0.0
Cancelled,Отменено,Cancelado,"RU,FR",LLAMA,0.0
No current search pattern,Não há motivo de busca definido.,Nenhum padrão de pesquisa atualmente,"RU,FR",LLAMA,6.567274736060395
Cannot open directory: %s,Não é possível abrir o diretório : %s,Não foi possível abrir o diretório: %s,"RU,FR",LLAMA,75.06238537503395
Go To Directory,para o diretório,Ir para o diretório,"RU,FR",LLAMA,71.65313105737896
Can't go outside of %s,Não é possível sair de %s,Não é possível sair de %s,"RU,FR",LLAMA,100.00000000000004
Can't move up a directory,não foi possível mover o diretório,Não é possível subir um diretório,"RU,FR",LLAMA,9.652434877402245
Error reading %s: %s,Erro de leitura do arquivo %s: %s,Erro ao ler %s: %s,"RU,FR",LLAMA,41.11336169005198
The working directory has disappeared,O catálogo de trabalho desapareceu,O diretório de trabalho desapareceu,"RU,FR",LLAMA,42.72870063962342
Unknown syntax name: %s,Nome desconhecido de sintaxe : %s,Nome de sintaxe desconhecido: %s,"RU,FR",LLAMA,33.437015248821105
magic_load() failed: %s,Erro ao carregar o magic_load(): %s,magic_load() falhou: %s,"RU,FR",LLAMA,42.40125351805035
magic_file(%s) failed: %s,Erro em magic_file(%s): %s,magic_file(%s) falhou: %s,"RU,FR",LLAMA,63.40466277046863
Nothing was cut,Nenhum elemento foi cortado,Nada foi cortado,"RU,FR",LLAMA,31.947155212313625
Copied nothing,Nada foi copiado,Nada foi copiado,"RU,FR",LLAMA,100.00000000000004
Cutbuffer is empty,O buffer de transferência está vazio,buffer-de-transferência está vazio,"RU,FR",LLAMA,16.233395773754953
Error deleting lock file %s: %s,Erro ao remover o arquivo bloqueado %s: %s,Erro ao excluir o arquivo de trava %s: %s,"RU,FR",LLAMA,41.06517147271933
Couldn't determine my identity for lock file,não foi possível determinar o arquivo de bloqueio pessoal atual,Falha ao determinar minha ID para arquivo de trava,"RU,FR",LLAMA,9.287528999566801
Couldn't determine hostname: %s,Não foi possível identificar o nome do nó : %s,Falha ao determinar nome de máquina: %s,"RU,FR",LLAMA,14.991106946711685
Error writing lock file %s: %s,Erro de escrita no arquivo bloqueado %s: %s,Erro ao escrever o arquivo de trava %s: %s,"RU,FR",LLAMA,36.029870008455966
Someone else is also editing this file,Alguém está atualmente editando este arquivo,Outra pessoa também está editando esse arquivo,"RU,FR",LLAMA,9.042266054940777
Error opening lock file %s: %s,Erro ao abrir o arquivo bloqueado %s: %s,Erro ao abrir o arquivo de trava %s: %s,"RU,FR",LLAMA,64.07117598241614
Bad lock file is ignored: %s,Arquivo bloqueável inválido: %s,Arquivo de trava inválido é ignorado: %s,"RU,FR",LLAMA,20.82186541080652
"File %s is being edited by %s (with %s, PID %s); open anyway?","Ficheiro %s está sendo editado pelo usuário %s (com o auxílio de %s, PID %s); ainda assim, abrir?","Arquivo %s sendo editado (por %s com %s, PID %s). Abrir mesmo assim?","RU,FR",LLAMA,28.091282586130962
Directory '%s' does not exist,"Catalogo ""%s"" não existe","O diretório ""%s"" não existe","RU,FR",LLAMA,70.1396726799769
Path '%s': %s,Caminho «%s»: %s,"Caminho ""%s"": %s","RU,FR",LLAMA,24.0785655451027
Path '%s' is not a directory,"O caminho ""%s"" não é um diretório","O caminho ""%s"" não é um diretório","RU,FR",LLAMA,100.00000000000004
Path '%s' is not accessible,"O caminho ""%s"" não está disponível.","O caminho ""%s"" não é acessível","RU,FR",LLAMA,63.894310424627285
Directory '%s' is not writable,"Catalogo ""%s"" não está disponível para gravação.","O diretório ""%s"" não é gravável","RU,FR",LLAMA,35.08439695638686
Can't read file from outside of %s,não foi possível obter estado (stat) do arquivo %s,Não foi possível ler arquivo de fora de %s,"RU,FR",LLAMA,10.127993013562818
"""%s"" is a directory","Arquivo ""%s"" é um diretório.","""%s"" é um diretório","RU,FR",LLAMA,72.59795291154772
"""%s"" is a device file","Arquivo ""%s"" é um arquivo de dispositivo.","""%s"" é um arquivo dispositivo","RU,FR",LLAMA,59.00468726392806
"""%s"" is a FIFO","Arquivo ""%s"" é FIFO","""%s"" é um FIFO","RU,FR",LLAMA,64.34588841607616
%s is meant to be read-only,%s considerado como de acesso somente para leitura,%s tem a intenção de ser somente leitura,"RU,FR",LLAMA,11.99014838091355
New Buffer,novo buffer,Novo buffer,"RU,FR",LLAMA,49.99999999999999
DOS,DOS,DOS,"RU,FR",LLAMA,100.00000000000004
Mac,Mac,Mac,"RU,FR",LLAMA,100.00000000000004
No more open file buffers,Não há mais buffers de arquivo abertos.,Não há mais nenhum buffer de arquivos abertos,"RU,FR",LLAMA,23.356898886410015
Interrupted,Interrompido,Interrompido,"RU,FR",LLAMA,100.00000000000004
File '%s' is unwritable,"Arquivo ""%s"" não está disponível para escrita.","O arquivo ""%s"" não é gravável","RU,FR",LLAMA,35.08439695638686
New File,Novo arquivo,Novo arquivo,"RU,FR",LLAMA,100.00000000000004
"File ""%s"" not found","Arquivo ""%s"" não encontrado","Arquivo ""%s"" não encontrado","RU,FR",LLAMA,100.00000000000004
Reading from FIFO...,Lectura de FIFO...,Lendo de FIFO...,"RU,FR",LLAMA,75.98356856515926
Reading...,Leitura...,Lendo...,"RU,FR",LLAMA,59.460355750136046
Could not create pipe: %s,Não foi possível criar o canal de entrada/saída padrão (%s),Não foi possível criar o pipe: %s,"RU,FR",LLAMA,28.295596283263514
Could not fork: %s,Não foi possível criar um processo filho: %s,Não foi possível bifurcar: %s,"RU,FR",LLAMA,26.269098944241577
Executing...,Використовуючи...,Executando...,"RU,FR",LLAMA,59.460355750136046
filtering,filtragem,filtragem,"RU,FR",LLAMA,100.00000000000004
Failed to open pipe: %s,Não foi possível abrir o canal de entrada/saída padrão: %s,Falha ao abrir o pipe: %s,"RU,FR",LLAMA,13.292417883329383
Error: %s,Erro de leitura %s: %s,Erro: %s,"RU,FR",LLAMA,22.089591134157878
Command to execute in new buffer,Comando para execução no novo buffer,Comando para execução no novo buffer,"RU,FR",LLAMA,100.00000000000004
Command to execute,Comando para execução,Comando para execução,"RU,FR",LLAMA,100.00000000000004
File to read unconverted into new buffer [from %s],Arquivo para leitura sem conversão em novo buffer [de %s],Arquivo para ler não convertido no novo buffer [de %s],"RU,FR",LLAMA,52.055103630534376
File to read into new buffer [from %s],Arquivo para leitura em novo buffer [de %s],Arquivo para leitura no novo buffer [de %s],"RU,FR",LLAMA,70.16879391277372
File to insert unconverted [from %s],Arquivo para inserção sem conversão [de %s],Arquivo para inserção não convertido [de %s],"RU,FR",LLAMA,52.53819788848316
File to insert [from %s],Arquivo para inserção [de %s],Arquivo para inserção [de %s],"RU,FR",LLAMA,100.00000000000004
"Invalid operating directory: %s
",Caminho de trabalho inválido: %s,"Diretório de operação inválido: %s
","RU,FR",LLAMA,43.47208719449914
"Invalid backup directory: %s
",Não é permitido acessar o diretório de backup inválido: %s,"Diretório reserva inválido: %s
","RU,FR",LLAMA,21.200626759025184
Making backup...,Cria uma cópia de segurança...,Criando arquivo reserva...,"RU,FR",LLAMA,20.556680845025987
Too many existing backup files,Excesso de arquivos de backup,Muitos arquivos reserva existentes,"RU,FR",LLAMA,10.682175159905848
Cannot read original file,não foi possível ler o arquivo original,Não é possível ler o arquivo original,"RU,FR",LLAMA,61.47881529512643
Cannot make regular backup,Não é possível criar uma cópia de backup padrão,Não é possível criar um arquivo reserva comum,"RU,FR",LLAMA,29.84745896009822
Trying again in your home directory,Novamente tentar em seu diretório pessoal local.,Tentando novamente em seu diretório pessoal,"RU,FR",LLAMA,34.57207846419409
