original,translated,reference,context_languages,strategy,bleu
(dir),(cadeia),(dir),VI,LLAMA,34.66806371753173
(parent dir),(nível católico),(dir acima),VI,LLAMA,18.99589214128981
(huge),(grande),gigante,VI,LLAMA,0.0
Search Wrapped,O <span style='color:#007B8E;'>busca continua desde o início</span>.,Pesquisa recomeçou,VI,LLAMA,0.0
This is the only occurrence,É a única ocorrência coincidente.,Esta é a única ocorrência,VI,LLAMA,30.213753973567677
Search,Procuração,Pesquisa,VI,LLAMA,0.0
 [Backwards],[Naos], [Retroceder],VI,LLAMA,34.66806371753173
Cancelled,Отменено,Cancelado,VI,LLAMA,0.0
No current search pattern,Не há motivo para buscar,Nenhum padrão de pesquisa atualmente,VI,LLAMA,0.0
Cannot open directory: %s,Не foi possível abrir o diretório %s,Não foi possível abrir o diretório: %s,VI,LLAMA,52.47357977607325
Go To Directory,Caminho para o diretório,Ir para o diretório,VI,LLAMA,59.460355750136046
Can't go outside of %s,Невозможно вийти з'{variable}далеш за рамки %s,Não é possível sair de %s,VI,LLAMA,7.495553473355842
Can't move up a directory,Не foi possível mover o diretório %s,Não é possível subir um diretório,VI,LLAMA,6.567274736060395
Error reading %s: %s,Erro de leitura %s: %s,Erro ao ler %s: %s,VI,LLAMA,54.10822690539397
The working directory has disappeared,O catálogo de trabalho desapareceu,O diretório de trabalho desapareceu,VI,LLAMA,42.72870063962342
Unknown syntax name: %s,Não é conhecido o nome do sintaxe: %s,Nome de sintaxe desconhecido: %s,VI,LLAMA,16.784459625186194
magic_load() failed: %s,falha ao carregar o arquivo mágico: %s,magic_load() falhou: %s,VI,LLAMA,17.747405280050266
magic_file(%s) failed: %s,"falha ao acessar o arquivo %s
",magic_file(%s) falhou: %s,VI,LLAMA,7.417318111314057
Nothing was cut,Não há nada cortado,Nada foi cortado,VI,LLAMA,15.97357760615681
Copied nothing,Nada foi copiado,Nada foi copiado,VI,LLAMA,100.00000000000004
Cutbuffer is empty,O buffer de troca está vazio,buffer-de-transferência está vazio,VI,LLAMA,16.233395773754953
Error deleting lock file %s: %s,Erro ao remover o arquivo bloqueado %s: %s,Erro ao excluir o arquivo de trava %s: %s,VI,LLAMA,41.06517147271933
Couldn't determine my identity for lock file,Не foi possível determinar o arquivo de bloqueio pessoal,Falha ao determinar minha ID para arquivo de trava,VI,LLAMA,10.552670315936318
Couldn't determine hostname: %s,Не foi possível determinar o nome do nó: %s,Falha ao determinar nome de máquina: %s,VI,LLAMA,15.851165692617148
Error writing lock file %s: %s,Erro de escrita no arquivo bloqueado %s: %s,Erro ao escrever o arquivo de trava %s: %s,VI,LLAMA,36.029870008455966
Someone else is also editing this file,Alguém mais está editando este arquivo agora,Outra pessoa também está editando esse arquivo,VI,LLAMA,14.535768424205482
Error opening lock file %s: %s,Erro ao abrir o arquivo bloqueado %s: %s,Erro ao abrir o arquivo de trava %s: %s,VI,LLAMA,64.07117598241614
Bad lock file is ignored: %s,Arquivo de bloqueio ruim ignorado: %s,Arquivo de trava inválido é ignorado: %s,VI,LLAMA,36.28241434631104
"File %s is being edited by %s (with %s, PID %s); open anyway?","Arquivo %s está atualmente sendo editado pelo usuário %s (com a ferramenta %s, PID %d); ainda assim, deseja-se abrir?","Arquivo %s sendo editado (por %s com %s, PID %s). Abrir mesmo assim?",VI,LLAMA,20.90181206308033
Directory '%s' does not exist,Catalogo “%s” não existe,"O diretório ""%s"" não existe",VI,LLAMA,12.872632311973014
Path '%s': %s,"Đường dẫn ""%s"": %s","Caminho ""%s"": %s",VI,LLAMA,72.59795291154772
Path '%s' is not a directory,O caminho “%s” não é um diretório,"O caminho ""%s"" não é um diretório",VI,LLAMA,33.010083098515025
Path '%s' is not accessible,O caminho “%s” não está acessível,"O caminho ""%s"" não é acessível",VI,LLAMA,12.256200970377108
Directory '%s' is not writable,"Catalogo ""%s"" não está disponível para gravação.","O diretório ""%s"" não é gravável",VI,LLAMA,35.08439695638686
Can't read file from outside of %s,não foi possível obter estado (stat) do arquivo %s,Não foi possível ler arquivo de fora de %s,VI,LLAMA,10.127993013562818
"""%s"" is a directory","O arquivo ""%s"" é um diretório","""%s"" é um diretório",VI,LLAMA,72.59795291154772
"""%s"" is a device file","O arquivo ""%s"" é um arquivo de dispositivo","""%s"" é um arquivo dispositivo",VI,LLAMA,59.00468726392806
"""%s"" is a FIFO","Arquivo ""%s"" é FIFO","""%s"" é um FIFO",VI,LLAMA,64.34588841607616
%s is meant to be read-only,%s considerado como leitura somente,%s tem a intenção de ser somente leitura,VI,LLAMA,11.708995388048026
New Buffer,novo buffer,Novo buffer,VI,LLAMA,49.99999999999999
DOS,DOS,DOS,VI,LLAMA,100.00000000000004
Mac,Mac,Mac,VI,LLAMA,100.00000000000004
No more open file buffers,Não há mais buffers de arquivos abertos,Não há mais nenhum buffer de arquivos abertos,VI,LLAMA,35.640264633541825
Interrupted,Interrompido,Interrompido,VI,LLAMA,100.00000000000004
File '%s' is unwritable,"Arquivo ""%s"" não está disponível para escrita.","O arquivo ""%s"" não é gravável",VI,LLAMA,35.08439695638686
New File,Novo arquivo,Novo arquivo,VI,LLAMA,100.00000000000004
"File ""%s"" not found","Arquivo ""%s"" não encontrado","Arquivo ""%s"" não encontrado",VI,LLAMA,100.00000000000004
Reading from FIFO...,Lendo do FIFO...,Lendo de FIFO...,VI,LLAMA,53.7284965911771
Reading...,Leitura...,Lendo...,VI,LLAMA,59.460355750136046
Could not create pipe: %s,Не foi possível criar đường ống: %s,Não foi possível criar o pipe: %s,VI,LLAMA,29.84745896009822
Could not fork: %s,Не foi possível criar processo filho: %s,Não foi possível bifurcar: %s,VI,LLAMA,22.31618068926665
Executing...,Thiago está executando o processo...,Executando...,VI,LLAMA,20.556680845025987
filtering,filtragem,filtragem,VI,LLAMA,100.00000000000004
Failed to open pipe: %s,não foi possível abrir o canal de entrada/saída padrão: %s,Falha ao abrir o pipe: %s,VI,LLAMA,13.292417883329383
Error: %s,Erro de leitura %s: %s,Erro: %s,VI,LLAMA,22.089591134157878
Command to execute in new buffer,Comando para executar no novo buffer,Comando para execução no novo buffer,VI,LLAMA,37.99178428257963
Command to execute,Comando para execução,Comando para execução,VI,LLAMA,100.00000000000004
File to read unconverted into new buffer [from %s],Arquivo para leitura sem conversão em novo buffer [de %s],Arquivo para ler não convertido no novo buffer [de %s],VI,LLAMA,52.055103630534376
File to read into new buffer [from %s],Arquivo para leitura em novo buffer [de %s],Arquivo para leitura no novo buffer [de %s],VI,LLAMA,70.16879391277372
File to insert unconverted [from %s],Arquivo para inserção sem conversão [de %s],Arquivo para inserção não convertido [de %s],VI,LLAMA,52.53819788848316
File to insert [from %s],Arquivo para inserção [de %s],Arquivo para inserção [de %s],VI,LLAMA,100.00000000000004
"Invalid operating directory: %s
",Thư mục thao tác không hợp lệ: %s,"Diretório de operação inválido: %s
",VI,LLAMA,15.619699684601283
"Invalid backup directory: %s
",Não é permitido o uso do seguinte diretório de backup não seguro: %s,"Diretório reserva inválido: %s
",VI,LLAMA,9.78237574896145
Making backup...,Создається резервная копия...,Criando arquivo reserva...,VI,LLAMA,30.213753973567677
Too many existing backup files,Existe um excesso de arquivos de backup,Muitos arquivos reserva existentes,VI,LLAMA,6.567274736060395
Cannot read original file,Не удаётся прочитать исходный файл,Não é possível ler o arquivo original,VI,LLAMA,0.0
Cannot make regular backup,Не foi possível criar uma cópia de segurança padrão,Não é possível criar um arquivo reserva comum,VI,LLAMA,9.535414040914192
Trying again in your home directory,Tente novamente no seu diretório pessoal.,Tentando novamente em seu diretório pessoal,VI,LLAMA,26.269098944241588
Cannot make backup,Não foi possível criar uma cópia de segurança do arquivo %s,Não foi possível criar o arquivo reserva,VI,LLAMA,22.416933501922287
Cannot make backup; continue and save actual file? ,Não foi possível criar uma cópia de segurança; deseja continuar e salvar o arquivo original? ,Não foi possível criar o arquivo reserva; continuar e salvar o arquivo atual? ,VI,LLAMA,37.709297891717654
Cannot make backup: %s,Не foi possível criar uma cópia de segurança do arquivo %s,Não foi possível criar o arquivo reserva: %s,VI,LLAMA,16.59038701421971
Can't write outside of %s,Не foi possível salvar dados fora do limite de %s,Não foi possível escrever fora de %s,VI,LLAMA,18.36028134946796
Error writing %s: %s,Erro de escrita %s: %s,Erro ao escrever %s: %s,VI,LLAMA,54.10822690539397
Error writing temp file: %s,Erro ao gravar no arquivo temporário: %s,Erro ao escrever o arquivo temporário: %s,VI,LLAMA,51.33450480401705
Writing to FIFO...,Escribiendo en FIFO...,Escrevendo para FIFO...,VI,LLAMA,50.81327481546149
Writing...,A escrita está em andamento.,Escrevendo...,VI,LLAMA,8.116697886877475
Error reading temp file: %s,Erro de leitura do arquivo temporário: %s,Erro ao ler o arquivo temporário: %s,VI,LLAMA,46.713797772819994
File on disk has been truncated!,O arquivo no disco foi modificado.,O arquivo no disco foi truncado!,VI,LLAMA,61.47881529512643
