Print the GStreamer version	Imprima a versão GStreamer
Make all warnings fatal	Torne todos os avisos fatais
Print available debug categories and exit	Imprima as categorias debug disponíveis e saída.
Default debug level from 1 (only error) to 9 (anything) or 0 for no output	Nível de depuração padrão de 1 (só erro) para 9 (qualquer coisa) ou 0 para nenhuma saída
LEVEL	LEVEL LEVEL
Comma-separated list of category_name:level pairs to set specific levels for the individual categories. Example: GST_AUTOPLUG:5,GST_ELEMENT_*:3	Lista comma-separada de categorias_nome: pares de níveis para definir níveis específicos para as categorias individuais.Exemplo: GST_AUTOPLUG:5,GST_ELEMENT_*:3
LIST	LIST LIST LIST
Disable colored debugging output	Desabilitar a saída de depuração colorida
Changes coloring mode of the debug log. Possible modes: off, on, disable, auto, unix	Os modos possíveis são: desligado, ligado, desativado, automático, unix.
Disable debugging	Desabilitar o depuração
Colon-separated paths containing plugins	Caminhos separados por colunas contendo plugins
PATHS	PATES
Comma-separated list of plugins to preload in addition to the list stored in environment variable GST_PLUGIN_PATH	Lista com comma-separada de plugins a pré-carregar, além da lista armazenada na variável ambiente GST_PLUGIN_PATH.
PLUGINS	Plugins  Plugins
Disable trapping of segmentation faults during plugin loading	Desabilitar a captura de falhas de segmentação durante o carregamento do plugin
Disable updating the registry	Desativar a atualização do registo
Disable spawning a helper process while scanning the registry	Desative a criação de um processo auxiliar ao escanear o registo.
GStreamer Options	Opções de GStreamer
Show GStreamer Options	Mostre Opções de GStreamer
Unknown option	Opção desconhecida
GStreamer encountered a general core library error.	O GStreamer encontrou um erro geral da biblioteca do núcleo.
GStreamer developers were too lazy to assign an error code to this error.	Os desenvolvedores da GStreamer foram preguiçosos demais para atribuir um código de erro a esse erro.
Internal GStreamer error: code not implemented.	Erro interno do GStreamer: código não implementado.
GStreamer error: state change failed and some element failed to post a proper error message with the reason for the failure.	Erro GStreamer: a mudança de estado falhou e algum elemento não conseguiu publicar uma mensagem de erro adequada com a razão da falha.
Internal GStreamer error: pad problem.	Erro interno do GStreamer: problema com o pad.
Internal GStreamer error: thread problem.	Erro interno do GStreamer: problema de thread.
GStreamer error: negotiation problem.	Erro GStreamer: problema de negociação.
Internal GStreamer error: event problem.	Erro interno do GStreamer: problema de evento.
Internal GStreamer error: seek problem.	Erro interno do GStreamer: procura o problema.
Internal GStreamer error: caps problem.	Erro interno do GStreamer: problema com as tampas.
Internal GStreamer error: tag problem.	Erro interno do GStreamer: problema de tag.
Your GStreamer installation is missing a plug-in.	Sua instalação do GStreamer está faltando um plug-in.
GStreamer error: clock problem.	Erro GStreamer: problema com o relógio.
This application is trying to use GStreamer functionality that has been disabled.	Este aplicativo está tentando usar a funcionalidade GStreamer que foi desativada.
GStreamer encountered a general supporting library error.	O GStreamer encontrou um erro de biblioteca de suporte geral.
Could not initialize supporting library.	Não conseguiu inicializar a biblioteca de suporte.
Could not close supporting library.	Não conseguiu fechar a biblioteca de suporte.
Could not configure supporting library.	Não conseguiu configurar a biblioteca de suporte.
Encoding error.	Erro de codificação.
GStreamer encountered a general resource error.	O GStreamer encontrou um erro de recurso geral.
Resource not found.	Recursos não encontrados.
Resource busy or not available.	O recurso está ocupado ou não está disponível.
Could not open resource for reading.	Não conseguiu abrir um recurso para leitura.
Could not open resource for writing.	Não consegui abrir um recurso para escrever.
Could not open resource for reading and writing.	Não conseguiu abrir um recurso para ler e escrever.
Could not close resource.	Não conseguiu fechar o recurso.
Could not read from resource.	Não consegui ler do recurso.
Could not write to resource.	Não conseguiu escrever para recurso.
Could not perform seek on resource.	Não conseguiu executar a busca no recurso.
Could not synchronize on resource.	Não conseguiu sincronizar o recurso.
