original,translated,reference,context_languages,strategy,comet,chrf,bleu,ter,bertscore
"%s: unable to resolve bind address %s; disabling bind.
",%s: não é possível resolver o endereço vinculado %s; desligamento do bind.,"%s: não foi possível resolver endereço de associação %s; desabilitando a associação.
","VI,FR",LLAMA,79.53380942344666,44.37958583614518,24.26438274389041,58.333333333333336,86.38213276863098
Connecting to %s|%s|:%d... ,Conectar ao %s|%s|:%d… ,Conectando-se a %s|%s|:%d... ,"VI,FR",LLAMA,92.53806471824646,37.33686365632868,51.665671158113454,100.0,88.05875182151794
Connecting to %s:%d... ,Conectando ao %s:%d… ,Conectando-se a %s:%d... ,"VI,FR",LLAMA,89.88428711891174,39.76911465420191,26.78284959130087,100.0,85.03184914588928
Connecting to [%s]:%d... ,Conectando ao [%s]:%d… ,Conectando-se a [%s]:%d... ,"VI,FR",LLAMA,89.70780968666077,43.285227328714825,42.0886844306855,100.0,86.08036041259766
"setsockopt SO_RCVBUF failed: %s
",falha ao chamar setsockopt SO_RCVBUF: %s,"setsockopt SO_RCVBUF falhou: %s
","VI,FR",LLAMA,64.36847448348999,70.05462550996477,37.99178428257963,100.0,89.60050940513611
"connected.
",conexão estabelecida.,"conectado.
","VI,FR",LLAMA,68.81881356239319,25.790900644210062,27.516060407455225,100.0,83.81248712539673
"failed: %s.
",gặp lỗi: %s.,"falha: %s.
","VI,FR",LLAMA,91.45271182060242,33.62635193571904,50.81327481546149,100.0,82.53772854804993
"%s: unable to resolve host address %s
",%s: não é possível resolver o endereço %s,"%s: não foi possível resolver endereço de máquina %s
","VI,FR",LLAMA,92.63839721679688,57.98528629509697,29.81247384881109,44.44444444444444,94.29179430007935
"setsockopt SO_REUSEADDR failed: %s
",falha ao chamar setsockopt SO_REUSEADDR: %s,"setsockopt SO_REUSEADDR falhou: %s
","VI,FR",LLAMA,63.33419680595398,72.29509085512834,37.99178428257963,100.0,90.34605622291565
"Too many fds open.  Cannot use select on a fd >= %d
","Excesso de descriptores de ficheiro abertos. Não é possível utilizar 'select' para um descriptor >= %d
","Muitos descritores de arquivos em aberto. Não é selecionável um fd >= %d
","VI,FR",LLAMA,74.60286021232605,38.20658239525405,19.51797195341104,84.61538461538461,79.12195324897766
"Converted links in %d files in %s seconds.
",Ligações convertidas em %d arquivos (%s segundos).,"Links convertidos em %d arquivos em %s segundos.
","VI,FR",LLAMA,82.17278718948364,59.73962714451208,31.702331385234313,62.5,90.83590507507324
Converting links in %s... ,Conversão de links em %s… ,Convertendo links em %s... ,"VI,FR",LLAMA,94.35741305351257,46.02341556028192,21.64910073203448,75.0,82.38587379455566
"nothing to do.
",não há nada para fazer.,"nada a ser feito.
","VI,FR",LLAMA,87.18186020851135,19.691449671058397,9.652434877402245,100.0,81.4858078956604
"%d.
",%d.,"%d.
","VI,FR",LLAMA,98.91770482063293,100.0,100.00000000000004,0.0,100.0
