original,translated,reference,context_languages,strategy,bleu
Usage: iconv [-c] [-s] [-f fromcode] [-t tocode] [file ...],Usagem: iconv [-c] [-s] [-f codificação_entrada] [-t codificação_saída] [arquivo ...],Uso: iconv [-c] [-s] [-f fromcode] [-t tocode] [arquivo ...],"FR,ES",LLAMA,59.378308100734984
or:    iconv -l,"ou:
iconv -l",ou:  iconv -l,"FR,ES",LLAMA,100.00000000000004
"Try '%s --help' for more information.
",Tente '%s --help' para mais informações.,"Tente ""%s --help"" para mais informações.
","FR,ES",LLAMA,33.010083098515025
"Usage: %s [OPTION...] [-f ENCODING] [-t ENCODING] [INPUTFILE...]
","Uso: %s [OPÇÃO...] [-f CODIFICAÇÃO] [-t CODIFICAÇÃ§��] [ARQUIVOENTRADA...]
","Uso: %s [OPÇÃO...] [-f CODIFICAÇÃO] [-t CODIFICAÇÃO] [ENTRADA...]
","FR,ES",LLAMA,77.84143109109205
"or:    %s -l
","ou:    %s -l
","ou:    %s -l
","FR,ES",LLAMA,100.00000000000004
"Converts text from one encoding to another encoding.
",Converta o texto de um código para outro código.,"Converte texto de uma codificação para outra.
","FR,ES",LLAMA,9.980099403873663
"Options controlling the input and output format:
","Opções para controlar o formato de entrada e saída:
	%s - Formatar a entrada como texto plano.
	%d - Configurar um número específico de campos por linha (linhas com menos do que %<PRIuMAX> campos serão ignoradas).","Opções para controlar os formatos de entrada e saída:
","FR,ES",LLAMA,9.950844432597743
"  -f ENCODING, --from-code=ENCODING
                              the encoding of the input
","  -f ENCODING, --from-code=ENCODING
                              codificação de entrada","  -f CODIFICAÇÃO, --from-code=CODIFICAÇÃO
                              a codificação de entrada
","FR,ES",LLAMA,27.75806054476853
"  -t ENCODING, --to-code=ENCODING
                              the encoding of the output
","  -t ENCODING, --to_code=ENCODING
                              codificação de saída","  -t CODIFICAÇÃO, --to-code=CODIFICAÇÃO
                              a codificação da saída
","FR,ES",LLAMA,5.604233375480572
"Options controlling conversion problems:
",Opções para controlar os problemas de conversão:,"Opções para controlar problemas de conversão:
","FR,ES",LLAMA,50.000000000000014
