original,translated,reference,context_languages,strategy,comet,chrf,bleu,ter,bertscore
Could not read from CD.,Tenha por favor lido do CD.,Não foi possível ler as informações do CD.,"ID,FR",LLAMA,44.65644657611847,19.91962533616895,18.370727471078336,75.0,77.73904800415039
Could not open CD device for reading.,Tenha em mente abrir o leitor de CD para ler.,Não foi possível abrir o dispositivo de CD para leitura.,"ID,FR",LLAMA,60.83599925041199,33.9044171641983,18.36028134946796,50.0,84.413743019104
Disc is not an Audio CD.,Cakram bukan CD Audio.,O disco não é um CD de áudio.,"ID,FR",LLAMA,70.45664191246033,16.02757609585423,5.70796903405875,87.5,79.78289127349854
Could not open DVD,Tá aí para abrir o DVD.,Não foi possível abrir o DVD,"ID,FR",LLAMA,63.17126154899597,36.82595470558387,24.446151121745054,66.66666666666666,79.35941219329834
Could not open DVD title %d,Tenha em mente que o DVD com número de lote %d não pode ser aberto.,Não foi possível abrir o título %d do DVD,"ID,FR",LLAMA,65.20488262176514,18.60094099202398,5.439330544349821,100.0,76.54622793197632
Failed to go to chapter %d of DVD title %d,Não foi possível percorrer o bab %d do DVD intitulado %d.,Falha ao avançar para o capítulo %d do título %d do DVD,"ID,FR",LLAMA,68.95186305046082,23.8485641188962,21.97281387499715,75.0,74.01846647262573
Could not open DVD title %d. Interactive titles are not supported by this element,Tak dapat abrir o título do DVD %d. Os títulos interativos não são suportados por este elemento,Não foi possível abrir o título %d do DVD. Não há suporte a títulos interativos por este elemento,"ID,FR",LLAMA,85.45982241630554,57.24558487699625,16.778533186570783,61.111111111111114,87.5268042087555
Could not read DVD. This may be because the DVD is encrypted and a DVD decryption library is not installed.,Tenha de ler o DVD. Isso acontece porque o DVD possui criptografia e a biblioteca para descriptografar discos não está instalada.,Não foi possível ler o DVD. O motivo pode ser que o DVD está criptografado e uma biblioteca de descriptografia de DVD não está instalada.,"ID,FR",LLAMA,74.9607264995575,51.11475478205823,20.330750836901917,60.0,87.29820251464844
Could not read DVD.,Tá aí para ler o DVD.,Não foi possível ler o DVD.,"ID,FR",LLAMA,64.25430178642273,36.82960398030477,41.11336169005198,50.0,82.5227439403534
This stream contains no data.,Arus ini não contém dados.,Este fluxo não contém dados.,"ID,FR",LLAMA,86.94292902946472,61.13895808254026,50.81327481546149,40.0,83.6692214012146
