original,translated,reference,context_languages,strategy,comet,chrf,bleu,ter,bertscore
(dir),(cadeia),(dir),"RU,ZH_CN",LLAMA,79.48163747787476,17.520215633423177,34.66806371753173,100.0,72.12778329849243
(parent dir),(род. кат.),(dir acima),"RU,ZH_CN",LLAMA,61.37151122093201,5.624999999999999,9.652434877402245,100.0,63.45964074134827
(huge),(о велике),gigante,"RU,ZH_CN",LLAMA,68.20028424263,0.0,0.0,100.0,72.6091742515564
Search Wrapped,Pesquisa continuada desde o começo,Pesquisa recomeçou,"RU,ZH_CN",LLAMA,77.47673392295837,44.53849750803861,10.682175159905848,100.0,83.13843011856079
This is the only occurrence,Este é o único coincidente.,Esta é a única ocorrência,"RU,ZH_CN",LLAMA,72.41179347038269,19.99994027579782,8.116697886877475,80.0,75.73404312133789
Search,Pesquisar,Pesquisa,"RU,ZH_CN",LLAMA,86.88403964042664,82.4341755492997,0.0,100.0,95.4071044921875
 [Backwards],Voltar, [Retroceder],"RU,ZH_CN",LLAMA,50.77241659164429,3.9682539682539675,0.0,100.0,74.6791660785675
Cancelled,Отменено,Cancelado,"RU,ZH_CN",LLAMA,88.23511004447937,0.0,0.0,100.0,83.62112641334534
No current search pattern,Não há necessidade de buscar nada.,Nenhum padrão de pesquisa atualmente,"RU,ZH_CN",LLAMA,72.11534976959229,12.376251689723064,6.567274736060395,100.0,73.71085286140442
Cannot open directory: %s,Não foi possível abrir o diretório: %s,Não foi possível abrir o diretório: %s,"RU,ZH_CN",LLAMA,97.61074185371399,100.0,100.00000000000004,0.0,100.0
Go To Directory,no se puede acceder al directorio,Ir para o diretório,"RU,ZH_CN",LLAMA,56.27532601356506,16.242669941653805,0.0,100.0,75.42575597763062
Can't go outside of %s,Não é possível sair do %s,Não é possível sair de %s,"RU,ZH_CN",LLAMA,89.42485451698303,82.97386388766033,48.892302243490086,16.666666666666664,98.24702143669128
Can't move up a directory,Não é possível mover o diretório,Não é possível subir um diretório,"RU,ZH_CN",LLAMA,71.6038167476654,61.19498964985024,32.46679154750991,33.33333333333333,92.10647344589233
Error reading %s: %s,Erro de leitura %s: %s,Erro ao ler %s: %s,"RU,ZH_CN",LLAMA,88.53557705879211,42.75418891309098,54.10822690539397,40.0,90.97763895988464
The working directory has disappeared,O catálogo de trabalho desapareceu.,O diretório de trabalho desapareceu,"RU,ZH_CN",LLAMA,88.44119906425476,67.68269130102334,32.46679154750991,40.0,85.72518825531006
Unknown syntax name: %s,Nome desconhecido do sintaxe: %s,Nome de sintaxe desconhecido: %s,"RU,ZH_CN",LLAMA,94.71059441566467,70.03229570349133,29.071536848410968,60.0,93.80616545677185
magic_load() failed: %s,Erro ao carregar o magic_load(): %s,magic_load() falhou: %s,"RU,ZH_CN",LLAMA,81.76313638687134,49.810013720184664,42.40125351805035,100.0,85.55804491043091
magic_file(%s) failed: %s,Erro em magic_file(%s): %s,magic_file(%s) falhou: %s,"RU,ZH_CN",LLAMA,81.07072710990906,56.99737857489574,63.40466277046863,100.0,88.99827003479004
Nothing was cut,Nenhum pedaço foi cortado.,Nada foi cortado,"RU,ZH_CN",LLAMA,80.33008575439453,57.58150065785467,21.3643503198117,100.0,77.71096229553223
Copied nothing,Nenhum conteúdo foi copiado.,Nada foi copiado,"RU,ZH_CN",LLAMA,88.12156915664673,54.707383900748155,21.3643503198117,100.0,83.58816504478455
Cutbuffer is empty,O buffer de transferência está vazio.,buffer-de-transferência está vazio,"RU,ZH_CN",LLAMA,86.1201822757721,71.95715879450023,13.134549472120788,100.0,84.95382070541382
Error deleting lock file %s: %s,Erro ao remover o arquivo bloqueado %s: %s,Erro ao excluir o arquivo de trava %s: %s,"RU,ZH_CN",LLAMA,89.02061581611633,48.417391405729404,41.06517147271933,33.33333333333333,90.07803201675415
Couldn't determine my identity for lock file,falha na determinação do arquivo de bloqueio pessoal,Falha ao determinar minha ID para arquivo de trava,"RU,ZH_CN",LLAMA,83.73417258262634,33.6210114893616,9.746997877627233,77.77777777777779,78.38426232337952
Couldn't determine hostname: %s,Não foi possível determinar o nome do nó: %s,Falha ao determinar nome de máquina: %s,"RU,ZH_CN",LLAMA,67.59412884712219,37.51464173383149,15.851165692617148,85.71428571428571,84.36586856842041
Error writing lock file %s: %s,Erro de escrita no arquivo bloqueado %s: %s,Erro ao escrever o arquivo de trava %s: %s,"RU,ZH_CN",LLAMA,87.71825432777405,41.56351812727177,36.029870008455966,55.55555555555556,86.199951171875
Someone else is also editing this file,Alguém mais está atualmente editando este arquivo,Outra pessoa também está editando esse arquivo,"RU,ZH_CN",LLAMA,85.54375767707825,38.50923410375032,8.643019616048525,71.42857142857143,88.81371021270752
Error opening lock file %s: %s,Erro ao abrir o arquivo de bloqueio %s: %s,Erro ao abrir o arquivo de trava %s: %s,"RU,ZH_CN",LLAMA,92.44574904441833,75.18084754509074,73.48889200874659,11.11111111111111,95.39848566055298
Bad lock file is ignored: %s,Arquivo de bloqueio ruim ignorado: %s,Arquivo de trava inválido é ignorado: %s,"RU,ZH_CN",LLAMA,73.81702065467834,52.627682782447174,36.28241434631104,42.857142857142854,88.8986885547638
"File %s is being edited by %s (with %s, PID %s); open anyway?","Arquivo %s está atualmente sendo editado pelo usuário %s (com o auxílio de %s, PID %s); ainda assim, abrir?","Arquivo %s sendo editado (por %s com %s, PID %s). Abrir mesmo assim?","RU,ZH_CN",LLAMA,81.19654059410095,51.391607366554545,29.505138076099747,92.3076923076923,84.45538282394409
Directory '%s' does not exist,"Catalogo ""%s"" não existe","O diretório ""%s"" não existe","RU,ZH_CN",LLAMA,86.16767525672913,59.68090808273282,70.1396726799769,40.0,91.09911322593689
Path '%s': %s,Caminho «%s»: %s,"Caminho ""%s"": %s","RU,ZH_CN",LLAMA,96.27118706703186,52.941364191364194,24.0785655451027,33.33333333333333,97.57636785507202
Path '%s' is not a directory,"O caminho ""%s"" não é um diretório","O caminho ""%s"" não é um diretório","RU,ZH_CN",LLAMA,96.9670832157135,100.0,100.00000000000004,0.0,100.00002384185791
Path '%s' is not accessible,"O caminho ""%s"" não está disponível.","O caminho ""%s"" não é acessível","RU,ZH_CN",LLAMA,92.33841300010681,63.41070739213457,63.894310424627285,33.33333333333333,92.24478006362915
Directory '%s' is not writable,"Catalogo ""%s"" não está disponível para gravação.","O diretório ""%s"" não é gravável","RU,ZH_CN",LLAMA,63.347941637039185,34.33753343344561,35.08439695638686,100.0,82.63711929321289
Can't read file from outside of %s,não foi possível obter estado (stat) do arquivo %s,Não foi possível ler arquivo de fora de %s,"RU,ZH_CN",LLAMA,67.74148344993591,46.78738002901647,10.127993013562818,55.55555555555556,83.20690989494324
"""%s"" is a directory","Arquivo ""%s"" é um diretório.","""%s"" é um diretório","RU,ZH_CN",LLAMA,84.0786874294281,89.95729071087541,72.59795291154772,50.0,90.27185440063477
"""%s"" is a device file","Arquivo ""%s"" é um arquivo de dispositivo.","""%s"" é um arquivo dispositivo","RU,ZH_CN",LLAMA,95.14729976654053,83.71914241308961,59.00468726392806,60.0,89.5531952381134
"""%s"" is a FIFO","Arquivo ""%s"" é um FIFO (fila de entrada/saída)","""%s"" é um FIFO","RU,ZH_CN",LLAMA,69.26442384719849,66.06123747258195,40.016016019225006,100.0,85.32364964485168
%s is meant to be read-only,%s considerado como acessível apenas para leitura,%s tem a intenção de ser somente leitura,"RU,ZH_CN",LLAMA,75.16201734542847,24.839376427473297,10.786826322527466,75.0,79.61611747741699
New Buffer,Novo buffer,Novo buffer,"RU,ZH_CN",LLAMA,99.16696548461914,100.0,100.00000000000004,0.0,100.00001192092896
DOS,DOS,DOS,"RU,ZH_CN",LLAMA,99.14367198944092,100.0,100.00000000000004,0.0,100.0
Mac,Mac,Mac,"RU,ZH_CN",LLAMA,98.87203574180603,100.0,100.00000000000004,0.0,99.99998807907104
No more open file buffers,Não há mais buffers de arquivos abertos disponíveis para uso.,Não há mais nenhum buffer de arquivos abertos,"RU,ZH_CN",LLAMA,90.45237898826599,63.84507074207871,23.462350320527996,62.5,86.99775338172913
Interrupted,Interrompido,Interrompido,"RU,ZH_CN",LLAMA,99.34042692184448,100.0,100.00000000000004,0.0,99.99998807907104
File '%s' is unwritable,"Arquivo ""%s"" não está disponível para escrita.","O arquivo ""%s"" não é gravável","RU,ZH_CN",LLAMA,86.06110215187073,46.39893187005742,35.08439695638686,83.33333333333334,86.57413125038147
