original,translated,reference,context_languages,strategy,comet,chrf,bleu,ter,bertscore
write error,erro de escrita,erro de escrita,"FR,DE",LLAMA,98.75631928443909,100.0,100.00000000000004,0.0,100.00001192092896
preserving permissions for %s,preservar as permissões de %s,preservando permissões de %s,"FR,DE",LLAMA,87.13856339454651,74.76256538834086,50.81327481546149,50.0,95.59170007705688
unbalanced [,não está alinhada,[ sem correspondente,"FR,DE",LLAMA,62.08166480064392,5.790943967632659,0.0,100.0,63.89058232307434
invalid character class,Classe de caracteres inválida,classe de caracteres inválida,"FR,DE",LLAMA,87.37833499908447,89.49983259494131,59.460355750136046,0.0,97.65955805778503
"character class syntax is [[:space:]], not [:space:]",A sintaxe de uma classe de caracteres é [[:space:]] e não [:space:].,"a sintaxe de classe de caracteres é [[:space:]], e não [:space:]","FR,DE",LLAMA,92.0819342136383,77.7616482849441,72.00242075875518,27.27272727272727,93.26432347297668
unfinished \ escape,"sequência de escape 
 não concluída",escape \ não terminado,"FR,DE",LLAMA,82.03967213630676,27.55730548105143,12.703318703865365,100.0,77.17410326004028
? at start of expression,? no começo da expressão,? no início da expressão,"FR,DE",LLAMA,97.22118973731995,61.14250085999312,30.213753973567677,20.0,99.19877052307129
* at start of expression,* no começo da expressão,* no início da expressão,"FR,DE",LLAMA,97.99142479896545,61.14250085999312,30.213753973567677,20.0,99.12762641906738
+ at start of expression,+ ao início da expressão,+ no início da expressão,"FR,DE",LLAMA,96.63800001144409,83.22056673546611,42.72870063962342,20.0,96.98848128318787
invalid content of \{\},conteúdo inválido de {},conteúdo inválido de \{\},"FR,DE",LLAMA,82.24337697029114,78.18074065287938,30.28512683288236,25.0,87.19398975372314
regular expression too big,expressão regular muito grande,expressão regular grande demais,"FR,DE",LLAMA,93.03708076477051,64.38143936124148,35.35533905932737,50.0,90.13787508010864
unbalanced (,não é uma correspondência,( sem correspondente,"FR,DE",LLAMA,64.09381031990051,35.389193279973,0.0,100.0,69.5029616355896
no syntax specified,nenhuma sintaxe especificada,nenhuma sintaxe especificada,"FR,DE",LLAMA,98.92600774765015,100.0,100.00000000000004,0.0,99.99998211860657
unbalanced ),nível não alcançado,) sem correspondente,"FR,DE",LLAMA,53.62878441810608,4.915730337078652,0.0,100.0,66.815847158432
Unknown system error,Erro do sistema desconhecido,Erro desconhecido de sistema,"FR,DE",LLAMA,94.79895234107971,63.385693111236584,21.02241038134286,50.0,90.22595882415771
memory exhausted,memória esgotada,memória esgotada,"FR,DE",LLAMA,99.05359148979187,100.0,100.00000000000004,0.0,100.00001192092896
`,« ,“,"FR,DE",LLAMA,96.10572457313538,0.0,0.0,100.0,70.93611359596252
', »,”,"FR,DE",LLAMA,92.98118948936462,0.0,0.0,100.0,64.94231820106506
Success,Sucesso,Sucesso,"FR,DE",LLAMA,99.38357472419739,100.0,100.00000000000004,0.0,99.99996423721313
No match,sem concordância,Nenhuma ocorrência do padrão,"FR,DE",LLAMA,54.7247588634491,11.774384507621093,0.0,100.0,71.6760516166687
Invalid regular expression,expressão regular inválida,Expressão regular inválida,"FR,DE",LLAMA,91.11607670783997,86.07270708886843,55.03212081491043,0.0,82.11776614189148
Invalid collation character,Caractere de agrupamento inválido,Caractere de combinação inválido,"FR,DE",LLAMA,77.59578824043274,56.518576287262434,35.35533905932737,25.0,92.88955926895142
Invalid character class name,Nome da classe de caracteres inválido,Nome inválido de classe de caracteres,"FR,DE",LLAMA,89.89562392234802,72.90798427191294,34.32945239845197,33.33333333333333,91.13592505455017
Trailing backslash,Barre oblique invertida sozinha no final,Barra invertida no final,"FR,DE",LLAMA,65.45444130897522,59.293802171637054,17.965205598154213,75.0,85.54968237876892
Invalid back reference,referência de volta inválida,Retrorreferência inválida,"FR,DE",LLAMA,78.53943705558777,54.337397199649885,15.97357760615681,100.0,83.03282856941223
"Unmatched [, [^, [:, [., or [=","[, [^, [:, [. ou [= não parecido]}","[, [^, [:, [. ou [= sem correspondente","FR,DE",LLAMA,84.09900069236755,55.47421739568169,74.03418011389233,25.0,90.57520031929016
Unmatched ( or \(,( ou §( não parecido),( ou \( sem correspondente,"FR,DE",LLAMA,68.8669204711914,18.25347016000644,14.535768424205482,60.0,78.51369380950928
Unmatched \{,{ não parecido},\{ sem correspondente,"FR,DE",LLAMA,67.54854321479797,10.232133121395716,15.97357760615681,100.0,72.18815088272095
Invalid content of \{\},Contêndio inválido de \\{\\},Conteúdo inválido no \{\},"FR,DE",LLAMA,61.96431517601013,40.912400162466966,22.31618068926665,75.0,85.70866584777832
Invalid range end,Fim de intervalo inválido,Fim de intervalo inválido,"FR,DE",LLAMA,98.16741943359375,100.0,100.00000000000004,0.0,100.0
Memory exhausted,Memória esgotada,Memória esgotada,"FR,DE",LLAMA,98.39257597923279,100.0,100.00000000000004,0.0,99.99997019767761
Invalid preceding regular expression,A expressão regular anterior é inválida,A expressão regular precedente é inválida,"FR,DE",LLAMA,96.6994047164917,67.732663489083,37.99178428257963,16.666666666666664,97.15375304222107
Premature end of regular expression,Fim prematuro de uma expressão regular,Fim prematuro da expressão regular,"FR,DE",LLAMA,93.18518042564392,82.00498401340222,22.957488466614336,40.0,95.65619230270386
Regular expression too big,Expressão regular muito grande,Expressão regular grande demais,"FR,DE",LLAMA,90.61204791069031,64.38143936124148,35.35533905932737,50.0,91.71562790870667
Unmatched ) or \),não é par,) ou \) sem correspondente,"FR,DE",LLAMA,46.22985124588013,2.6315789473684212,0.0,100.0,67.6973819732666
No previous regular expression,Não há nenhuma expressão regular anterior.,Nenhuma expressão regular anterior,"FR,DE",LLAMA,92.20549464225769,85.35375337867202,24.446151121745054,75.0,83.95970463752747
setting permissions for %s,Definir as permissões para %s,definindo permissões de %s,"FR,DE",LLAMA,90.21643400192261,46.94376553976796,17.965205598154213,75.0,90.09881019592285
"Packaged by %s (%s)
","Empacotado por %s (%s) 
","Empacotado por %s (%s)
","FR,DE",LLAMA,97.31995463371277,100.0,100.00000000000004,0.0,100.0
"Packaged by %s
","Empacotado por %s
","Empacotado por %s
","FR,DE",LLAMA,98.29272627830505,100.0,100.00000000000004,0.0,99.99998807907104
(C),©,(C),"FR,DE",LLAMA,75.47771334648132,0.0,0.0,100.0,65.65548181533813
"License GPLv3+: GNU GPL version 3 or later <%s>.
This is free software: you are free to change and redistribute it.
There is NO WARRANTY, to the extent permitted by law.
",Licença GPLv3+: GNU GPL versão 3 ou posterior <%s>. Este é um software livre: você está livres para modificá-lo e redistribuí-lo. Não há garantia alguma dentro das limitações permitidas pela lei.,"Licença GPLv3+: GNU GPL versão 3 ou posterior <%s>
Este é um software livre: você é livre para alterá-lo e redistribuí-lo.
NÃO HÁ QUALQUER GARANTIA, na máxima extensão permitida em lei.
","FR,DE",LLAMA,86.8251621723175,60.74506451063252,52.000805686096825,35.483870967741936,86.57223582267761
"Written by %s.
","Escrito por %s. 
","Escrito por %s.
","FR,DE",LLAMA,98.86448979377747,100.0,100.00000000000004,0.0,100.00001192092896
"Written by %s and %s.
","Escrito por %s e %s. 
","Escrito por %s e %s.
","FR,DE",LLAMA,98.28445315361023,100.0,100.00000000000004,0.0,100.00001192092896
"Written by %s, %s, and %s.
","Escrito por %s, %s e %s.","Escrito por %s, %s e %s.
","FR,DE",LLAMA,98.24709296226501,100.0,100.00000000000004,0.0,99.99998807907104
"Written by %s, %s, %s,
and %s.
","Escrito por %s, %s, %s e %s. 
","Escrito por %s, %s, %s
e %s.
","FR,DE",LLAMA,98.12408089637756,100.0,100.00000000000004,0.0,100.0
"Written by %s, %s, %s,
%s, and %s.
","Escrito por %s, %s, %s, %s e %s. 
","Escrito por %s, %s, %s,
%s e %s.
","FR,DE",LLAMA,97.7337658405304,100.0,100.00000000000004,0.0,100.0
"Written by %s, %s, %s,
%s, %s, and %s.
","Escrito por %s, %s, %s, %s, %s e %s. 
","Escrito por %s, %s, %s,
%s, %s e %s.
","FR,DE",LLAMA,97.7772057056427,100.0,100.00000000000004,0.0,99.99998807907104
"Written by %s, %s, %s,
%s, %s, %s, and %s.
","Escrito por %s, %s, %s, %s, %s, %s e %s. 
","Escrito por %s, %s, %s,
%s, %s, %s e %s.
","FR,DE",LLAMA,97.78333306312561,100.0,100.00000000000004,0.0,99.99998807907104
"Written by %s, %s, %s,
%s, %s, %s, %s,
and %s.
","Escrito por %s, %s, %s, %s, %s, %s, %s e %s. 
","Escrito por %s, %s, %s,
%s, %s, %s, %s
e %s.
","FR,DE",LLAMA,97.71764278411865,100.0,100.00000000000004,0.0,100.0
"Written by %s, %s, %s,
%s, %s, %s, %s,
%s, and %s.
","Escrito por %s, %s, %s, %s, %s, %s, %s, %s e %s. 
","Escrito por %s, %s, %s,
%s, %s, %s, %s,
%s e %s.
","FR,DE",LLAMA,97.66207337379456,100.0,100.00000000000004,0.0,99.99999403953552
"Written by %s, %s, %s,
%s, %s, %s, %s,
%s, %s, and others.
","Escrito por %s, %s, %s, %s, %s, %s, %s, %s, %s e outros.","Escrito por %s, %s, %s,
%s, %s, %s, %s,
%s, %s e outros.
","FR,DE",LLAMA,97.51210808753967,100.0,100.00000000000004,0.0,99.99997615814209
"Report bugs to: %s
","Rapportez as anomalias para: %s
Rapportez os erros de tradução a <traduc@traduc.org>","Relate erros para: %s
Relate erros de tradução para <https://translationproject.org/team/pt_BR.html>
","FR,DE",LLAMA,73.63545298576355,37.01998211120481,13.616711906150844,70.0,77.6358425617218
"Report %s bugs to: %s
",Relate os bugs %s para: %s,"Relate erros do %s para: %s
","FR,DE",LLAMA,88.72438073158264,57.26554568333463,61.04735835807847,33.33333333333333,89.1169786453247
"%s home page: <%s>
",Página inicial de %s: <%s>,"Página do %s: <%s>
","FR,DE",LLAMA,94.49840188026428,59.75105980509466,66.06328636027612,50.0,95.61856985092163
"General help using GNU software: <%s>
",Ajuda geral para o uso dos softwares GNU: <%s>.,"Ajuda geral no uso de software GNU: <%s>
","FR,DE",LLAMA,94.11627054214478,58.18462473510081,40.52587697205425,62.5,94.21865940093994
multiple `!'s,Múltiplos '!',exclamações `!' múltiplas,"FR,DE",LLAMA,55.34823536872864,19.597500518711126,24.880469496253564,100.0,79.00408506393433
"unexpected `,'",comportamento inesperado,"vírgula `,' inesperada","FR,DE",LLAMA,64.51497077941895,27.713626556901787,0.0,100.0,74.88042116165161
invalid usage of +N or ~N as first address,utilização inválida de +N ou ~N como primeira endereço,não use +N ou ~N como o primeiro endereço,"FR,DE",LLAMA,83.204185962677,59.57078487452846,47.987820666906615,55.55555555555556,87.9423975944519
unmatched `{',Não é uma correspondência não associada à marcação '{' '{'} non appariée,`{' sem correspondente,"FR,DE",LLAMA,43.90476644039154,26.88384252598302,4.5739135561238005,100.0,73.60877394676208
unexpected `}',Evento inesperado,`}' inesperada,"FR,DE",LLAMA,78.34359407424927,43.16228625375496,0.0,100.0,77.3186981678009
extra characters after command,caracteres desnecessários após a comando,há caracteres sobrando após o comando,"FR,DE",LLAMA,75.05289912223816,43.273074726408396,11.51015341649912,50.0,82.4433982372284
"expected \ after `a', `c' or `i'","
	Opcionais após 'a', 'c' ou 'i'
","deve haver um escape \ depois dos comandos `a', `c' e `i'","FR,DE",LLAMA,56.38135075569153,10.553982753263146,1.8155431088372649,100.0,77.25841999053955
`}' doesn't want any addresses,não tem necessidade de nenhuma endereço para o operador '} '.,`}' não recebe endereços,"FR,DE",LLAMA,56.656354665756226,29.333255682113744,6.837203339116283,100.0,78.06627154350281
: doesn't want any addresses,: nenhuma adresse é necessária.,`:' não recebe endereços,"FR,DE",LLAMA,64.42897915840149,10.297207214704008,8.116697886877475,100.0,68.9828634262085
comments don't accept any addresses,Os comentários não aceitam nenhuma endereço (célula de texto),comentários não aceitam endereços,"FR,DE",LLAMA,73.60329031944275,69.39373453853463,13.950796967929138,100.0,87.14939951896667
missing command,comando ausente,falta especificar um comando,"FR,DE",LLAMA,55.36044239997864,22.97909629150737,18.393972058572114,100.0,69.9984610080719
command only uses one address,a comando utiliza apenas uma endereço,este comando usa apenas um endereço,"FR,DE",LLAMA,90.90673327445984,53.037575385255245,10.682175159905853,50.0,95.18699645996094
unterminated address regex,expressão regular não concluída para a adição de endereços,a expressão regular do endereço está inacabada (falta a /),"FR,DE",LLAMA,62.86933422088623,39.243848193755845,7.561318691530973,80.0,76.74600481987
unterminated `s' command,comando não concluído,comando `s' inacabado (s/// - faltou delimitador),"FR,DE",LLAMA,58.059436082839966,13.726125959336219,0.9816077559181531,85.71428571428571,66.32882356643677
unterminated `y' command,comando não concluído de 'y',comando `y' inacabado (y/// - faltou delimitador),"FR,DE",LLAMA,71.53841853141785,16.582754018037164,2.156693969393992,85.71428571428571,70.19371390342712
unknown option to `s',opção desconhecida para 's',opção desconhecida para o comando `s' (s///?),"FR,DE",LLAMA,77.2200882434845,51.96753322568739,4.880803219926451,57.14285714285714,83.72423052787781
multiple `p' options to `s' command,plusieurs options « p » à la commande « s »,opções `p' múltiplas para o comando `s',"FR,DE",LLAMA,64.17842507362366,13.47530241935484,0.0,100.0,74.59786534309387
multiple `g' options to `s' command,Mais de várias opções 'g' na comando 's',opções `g' múltiplas para o comando `s',"FR,DE",LLAMA,78.43260169029236,29.663789139165647,5.795599612995366,100.0,76.25166177749634
multiple number options to `s' command,Mais de umas opções numéricas à commando 's'.,opções numéricas múltiplas para o comando `s' (s///n),"FR,DE",LLAMA,67.75688529014587,34.882610510693155,4.895644805669091,87.5,76.43033862113953
number option to `s' command may not be zero,A opção numérica da comando 's' não pode ser nula,a opção numérica para o comando `s' não pode ser zero (s///0),"FR,DE",LLAMA,89.58461880683899,51.20771401558065,8.357722736558308,41.66666666666667,85.99998354911804
strings for `y' command are different lengths,As cadeias destinadas à comando 'y' possuem comprimentos diferentes.,os textos para o comando `y' têm tamanhos diferentes (y/abc/z/),"FR,DE",LLAMA,57.79227614402771,28.443516842731615,2.242173863464727,90.0,79.55653071403503
delimiter character is not a single-byte character,O caractere delimitador não é um único byte de caracteres.,"o delimitador deve ser um caractere normal, ASCII","FR,DE",LLAMA,61.991316080093384,36.205947640032754,4.9323515694897075,87.5,80.44565320014954
expected newer version of sed,uma versão mais recente do sed é esperada,esperada uma versão mais recente do sed,"FR,DE",LLAMA,95.60754895210266,90.41790213515195,70.71067811865478,28.57142857142857,91.00284576416016
invalid usage of line address 0,utilização inválida da linha de endereço 0,uso incorreto do endereço de linha 0,"FR,DE",LLAMA,85.40335297584534,32.90078691818188,9.287528999566801,71.42857142857143,86.55469417572021
unknown command: `%c',comando desconhecido: « %c »,comando desconhecido: `%c',"FR,DE",LLAMA,94.88173127174377,75.40820773006885,26.269098944241588,100.0,89.77120518684387
incomplete command,comando inválido ou incompleto,comando incompleto,"FR,DE",LLAMA,87.83787488937378,71.18279232676016,18.99589214128981,100.0,86.4085853099823
""":"" lacks a label",uma etiqueta está faltando para ':',""":"" carece de uma marcação","FR,DE",LLAMA,72.39125967025757,11.147735763987667,6.567274736060395,100.0,75.19940733909607
recursive escaping after \c not allowed,"um escapamento recursivo após \""não é permitido",escape recursivo após \c não permitido,"FR,DE",LLAMA,77.76939272880554,60.9570765453813,20.164945583740657,66.66666666666666,87.30606436729431
e/r/w commands disabled in sandbox mode,As operações de leitura/escrita são desabilitadas na área do bac a areia.,comandos e/r/w desabilitados no modo sandbox,"FR,DE",LLAMA,41.77893102169037,21.177230941009366,2.627961710408444,100.0,72.25903272628784
"%s: file %s line %lu: %s
","%s: fichier %s linha %lu: %s
","%s: arquivo %s linha %lu: %s
","FR,DE",LLAMA,96.94449305534363,63.5788417024115,73.48889200874659,16.666666666666664,92.59411692619324
