original,translated,reference,context_languages,strategy,bleu
Not enough memory.,Não há memória suficiente.,Memória insuficiente.,DE,LLAMA,10.682175159905848
Setting a value for this tag is unsupported!,Não há suporte para a definição de um valor para esta marcação!,Não há suporte à definição de um valor para esta etiqueta!,DE,LLAMA,49.73567356124543
"Too few components specified (need %d, found %d)
","Chamado para indicar insuficiência de componentes (%d necessitados, %d identificados)","Muito poucos componentes especificados (precisa de %d, encontrou %d)
",DE,LLAMA,9.103526405546068
"Numeric value expected
",É necessário um valor numérico,"Valor numérico esperado
",DE,LLAMA,10.682175159905848
Internal error. Please contact <%s>.,"Erro de nível inferior. Por favor, entre em contato com <%s>.","Erro interno. Por favor, contate <%s>.",DE,LLAMA,36.821398145189974
Not yet implemented!,Não foi possível concluir a operação!,Não implementado ainda!,DE,LLAMA,7.809849842300637
Warning; Too many components specified!,CANALHA BAO: Há muito pouco informações sobre os componentes!,Aviso; Especificados componentes demais!,DE,LLAMA,4.456882760699063
Too much EXIF data (%i bytes). Only %i bytes are allowed.,Existe muito dado EXIF (%i byte). O máximo é %i byte.,Dados EXIF demais (%i bytes). Apenas %i bytes são permitidos.,DE,LLAMA,13.32358437599213
Could not write '%s' (%s).,Não foi possível escrever '%s' (%s).,"Não foi possível escrever ""%s"" (%s).",DE,LLAMA,50.16513759455242
Wrote file '%s'.,Foi feito treino na pasta %s.,"Escrever arquivo ""%s"".",DE,LLAMA,12.22307556087252
EXIF entry '%s' ,Mục tin EXIF »%s« ,"Entrada EXIF ""%s""",DE,LLAMA,9.652434877402245
"(0x%x, '%s') ","(0x%x, »%s«) ","(0x%x, ""%s"") ",DE,LLAMA,43.44371253135793
"exists in IFD '%s':
",existiu no IFD »%s«:,"existe em IFD ""%s"":
",DE,LLAMA,7.492442692259767
Adding entry...,Adicionar item...,Adicionando entrada...,DE,LLAMA,39.76353643835252
IFD '%s' does not contain a tag '%s'!,"IFD ""%s"" não contém nenhuma marcação de '%s'!","IFD ""%s"" não contém uma etiqueta ""%s""!",DE,LLAMA,46.0462862587273
Could not open '%s' (%s)!,Não foi possível abrir o arquivo %s (%s)!,"Não foi possível abrir ""%s"" (%s)!",DE,LLAMA,52.664038784792666
Could not determine size of '%s' (%s).,Não foi possível determinar o tamanho do arquivo %s (%d).,"Não foi possível determinar o tamanho de ""%s"" (%s).",DE,LLAMA,40.51111355130968
Could not read '%s' (%s).,Não foi possível ler o arquivo %s (%s).,"Não foi possível ler ""%s"" (%s)!",DE,LLAMA,42.50281413416977
IFD '%s' does not contain tag '%s'.,"IFD ""%s"" não contém a marcação '%s'.","IFD ""%s"" não contém uma etiqueta ""%s"".",DE,LLAMA,46.378783190593225
'%s' does not contain tag '%s'.,O arquivo '%s' não contém a marcação de 'DE'.,"""%s"" não contém uma etiqueta ""%s""!",DE,LLAMA,6.8962421077164695
'%s' does not contain a thumbnail!,"Se o IFD ""%s"" não contém nenhuma imagem de exemplo!","IFD ""%s"" não contém uma miniatura!",DE,LLAMA,44.71018619258421
Could not open '%s' for writing (%s)!,Não foi possível abrir o arquivo %s para gravar (%s)!,"Não foi possível abrir ""%s"" para escrita (%s)!",DE,LLAMA,45.788313721339826
EXIF tags in '%s':,Thêm EXIF trong »%s«:,"Etiquetas EXIF em ""%s"":",DE,LLAMA,7.492442692259767
