original,translated,reference,context_languages,strategy,bleu
invalid argument %s for %s,argumento %s inválido para %s,argumento inválido %s para %s,"FR,ID",LLAMA,33.437015248821105
ambiguous argument %s for %s,argumento %s ambíguo para %s,argumento ambíguo %s para %s,"FR,ID",LLAMA,33.437015248821105
Valid arguments are:,Os argumentos válidos são:,Argumentos válidos são:,"FR,ID",LLAMA,39.76353643835252
ARGP_HELP_FMT: %s value is less than or equal to %s,ARGP_HELP_FMT: o valor de %s é menor ou igual que %s,ARGP_HELP_FMT: O valor %s é menor do que ou igual a %s,"FR,ID",LLAMA,45.234747228733134
%.*s: ARGP_HELP_FMT parameter requires a value,%.*s: o parâmetro ARGP_HELP_FMT precisa de um valor,%.*s: O parâmetro ARGP_HELP_FMT exige um valor,"FR,ID",LLAMA,56.81096832337496
%.*s: Unknown ARGP_HELP_FMT parameter,%.*s : o parâmetro ARGP_HELP_FMT não é reconhecido,%.*s: Parâmetro ARGP_HELP_FMT desconhecido,"FR,ID",LLAMA,49.202745153855076
Garbage in ARGP_HELP_FMT: %s,Incongruência em ARGP_HELP_FMT : %s,Lixo em ARGP_HELP_FMT: %s,"FR,ID",LLAMA,88.01117367933934
Mandatory or optional arguments to long options are also mandatory or optional for any corresponding short options.,Os argumentos obrigatórios ou opcionais para as opções longas também são obrigatórios ou opcionais para as opções curtas correspondentes.,Argumentos obrigatórios ou opcionais para opções longas também o são para quaisquer opções curtas correspondentes.,"FR,ID",LLAMA,30.752616970214323
Usage:,Modo de utilização:,Uso:,"FR,ID",LLAMA,15.97357760615681
  or: ,ou :, ou: ,"FR,ID",LLAMA,100.00000000000004
 [OPTION...],[OPÇÃO...], [OPÇÃO...],"FR,ID",LLAMA,100.00000000000004
"Try '%s --help' or '%s --usage' for more information.
",Tente '%s --help' ou '%s --usage' para mais informações.,"Tente ""%s --help"" ou ""%s --usage"" para mais informações.
","FR,ID",LLAMA,22.0189498013509
"Report bugs to %s.
",Comunicar erros a %s.,"Relate erros para %s.
","FR,ID",LLAMA,32.46679154750991
Unknown system error,Erro do sistema desconhecido,Erro desconhecido de sistema,"FR,ID",LLAMA,21.02241038134286
give this help list,da esta lista de ajuda,fornece esta lista de ajuda,"FR,ID",LLAMA,66.87403049764218
give a short usage message,envie um aviso breve de uso.,fornece uma mensagem de uso curta,"FR,ID",LLAMA,13.134549472120788
NAME,Nome,NOME,"FR,ID",LLAMA,0.0
set the program name,defina o nome do programa,define o nome do programa,"FR,ID",LLAMA,66.87403049764218
SECS,SEGS,SEGS,"FR,ID",LLAMA,100.00000000000004
hang for SECS seconds (default 3600),"Bloqueia por SEGS segundos (por omissão, padrão é 3600)",segura por SEGS segundos (padrão 3600),"FR,ID",LLAMA,26.20251007173262
print program version,exibe a versão do programa,mostra a versão do programa,"FR,ID",LLAMA,66.87403049764218
(PROGRAM ERROR) No version known!?,(PROGRAMA ERRO) Qual é a versão desconhecida?,(ERRO NO PROGRAMA) Nenhuma versão conhecida!?,"FR,ID",LLAMA,6.567274736060395
"%s: Too many arguments
",%s : Demasiados argumentos,"%s: Número excessivo de argumentos
","FR,ID",LLAMA,28.641904579795423
(PROGRAM ERROR) Option should have been recognized!?,(PROGRAMA ERRO) A opção deveria ter sido reconhecida!,(ERRO NO PROGRAMA) A opção deveria ter sido reconhecida!?,"FR,ID",LLAMA,61.27157815840428
write error,erro de escritura,erro de escrita,"FR,ID",LLAMA,55.03212081491043
"%s: option '%s%s' is ambiguous
","%s: a opção '%s%s' é ambígua
","%s: a opção ""%s%s"" é ambígua
","FR,ID",LLAMA,42.86982293646294
%s: option '%s%s' is ambiguous; possibilities:,%s : a opção « %s%s » é ambígua; possibilidades:,"%s: a opção ""%s%s"" é ambígua; possibilidades:","FR,ID",LLAMA,61.28081331864041
"%s: unrecognized option '%s%s'
","%s: a opção '%s%s' não reconhecida
","%s: opção desconhecida ""%s%s""
","FR,ID",LLAMA,22.03359678996931
"%s: option '%s%s' doesn't allow an argument
","%s: a opção '%s%s' não permite argumento
","%s: a opção ""%s%s"" não permite um argumento
","FR,ID",LLAMA,37.32083238656446
"%s: option '%s%s' requires an argument
","%s: a opção '%s%s' não permite argumento
","%s: a opção ""%s%s"" exige um argumento
","FR,ID",LLAMA,36.883688707312125
"%s: invalid option -- '%c'
","%s: a opção -- '%c' não permite argumento
","%s: opção inválida -- ""%c""
","FR,ID",LLAMA,14.991106946711685
"%s: option requires an argument -- '%c'
","%s : a opção -- '%c' não permite argumento
","%s: a opção exige um argumento -- ""%c""
","FR,ID",LLAMA,32.80424072511114
memory exhausted,memória esgotada,memória esgotada,"FR,ID",LLAMA,100.00000000000004
unable to record current working directory,não é possível obter o diretório de trabalho atual,não foi possível registrar o diretório de trabalho atual,"FR,ID",LLAMA,48.54917717073236
failed to return to initial working directory,falha ao retornar ao diretório de trabalho inicial,falha em retornar ao diretório de trabalho inicial,"FR,ID",LLAMA,70.71067811865478
`,«,“,"FR,ID",LLAMA,0.0
',»,”,"FR,ID",LLAMA,0.0
^[yY],^[sSyY],^[+1SsyY],"FR,ID",LLAMA,27.534765745159184
^[nN],^[nN],^[-0nN],"FR,ID",LLAMA,35.35533905932737
"Packaged by %s (%s)
","Empaquetado por %s (%s) 
","Empacotado por %s (%s)
","FR,ID",LLAMA,84.08964152537145
"Packaged by %s
","Embalado por %s
","Empacotado por %s
","FR,ID",LLAMA,59.460355750136046
(C),©,(C),"FR,ID",LLAMA,0.0
"License GPLv3+: GNU GPL version 3 or later <%s>.
This is free software: you are free to change and redistribute it.
There is NO WARRANTY, to the extent permitted by law.
","Licença GPLv3+: GNU GPL versão 3 ou posterior <%s>.
Este é software livre: você está livres para modificá-lo e redistribuí-lo. Não há nenhuma garantia, até onde a lei permite.","Licença GPLv3+: GNU GPL versão 3 ou posterior <%s>
Este é um software livre: você é livre para alterá-lo e redistribuí-lo.
NÃO HÁ QUALQUER GARANTIA, na máxima extensão permitida em lei.
","FR,ID",LLAMA,45.328735545012975
"Written by %s.
",Escrito por %s.,"Escrito por %s.
","FR,ID",LLAMA,100.00000000000004
"Written by %s and %s.
","Escrito por %s e %s. 
","Escrito por %s e %s.
","FR,ID",LLAMA,100.00000000000004
"Written by %s, %s, and %s.
","Escrito por %s, %s e %s. 
","Escrito por %s, %s e %s.
","FR,ID",LLAMA,100.00000000000004
"Written by %s, %s, %s,
and %s.
","Escrito por %s, %s, %s, e %s. 
","Escrito por %s, %s, %s
e %s.
","FR,ID",LLAMA,80.03203203845001
"Written by %s, %s, %s,
%s, and %s.
","Escrito por %s, %s, %s, %s e %s. 
","Escrito por %s, %s, %s
%s, e %s.
","FR,ID",LLAMA,77.81581271306615
"Written by %s, %s, %s,
%s, %s, and %s.
","Escrito por %s, %s, %s, %s, %s e %s. 
","Escrito por %s, %s, %s
%s, %s, e %s.
","FR,ID",LLAMA,81.91692732318536
"Written by %s, %s, %s,
%s, %s, %s, and %s.
","Escrito por %s, %s, %s, %s, %s, %s e %s. 
","Escrito por %s, %s, %s
%s, %s, %s, e %s.
","FR,ID",LLAMA,84.7195704996947
"Written by %s, %s, %s,
%s, %s, %s, %s,
and %s.
","Escrito por %s, %s, %s, %s, %s, %s, %s, e %s. 
","Escrito por %s, %s, %s
%s, %s, %s, %s,
e %s.
","FR,ID",LLAMA,89.85396083419644
"Written by %s, %s, %s,
%s, %s, %s, %s,
%s, and %s.
","Escrito por %s, %s, %s, %d, %<PRIuMAX>, %s, %s, %s et %s. 
","Escrito por %s, %s, %s
%s, %s, %s, %s,
%s, e %s.
","FR,ID",LLAMA,66.47056300615424
"Written by %s, %s, %s,
%s, %s, %s, %s,
%s, %s, and others.
","Escrito por %s, %s, %s, 
%s, %s, %s, %s, 
%s, %s e outros. 
","Escrito por %s, %s, %s
%s, %s, %s, %s,
%s, %s, e outros.
","FR,ID",LLAMA,89.16837645073703
"Report bugs to: %s
",Comunicar erros a: %s,"Relate erros para: %s
Relate erros de tradução para <https://translationproject.org/team/pt_BR.html>
","FR,ID",LLAMA,0.829900970250428
"Report %s bugs to: %s
","Comunicar erros em %s para : %s
","Relate erros do %s para: %s
","FR,ID",LLAMA,61.04735835807847
"%s home page: <%s>
",Página de %s : <%s>,"Página do %s: <%s>
","FR,ID",LLAMA,75.06238537503395
"General help using GNU software: <%s>
",Ajuda geral sobre o uso de software de GNU : <%s>,"Ajuda em geral no uso de software GNU: <%s>
","FR,ID",LLAMA,46.825687910244035
%s: Cannot %s,%s : %s impossível,%s: Função %s falhou,"FR,ID",LLAMA,32.159351091190125
%s: Warning: Cannot %s,%s : Atenção: %s impossível,%s: Atenção: Função %s falhou,"FR,ID",LLAMA,52.47357977607325
%s: Cannot change mode to %s,%s: Não é possível mudar o modo para %s,%s: Não foi possível mudar modo para %s,"FR,ID",LLAMA,46.59538415189962
"%s: Cannot change ownership to uid %ju, gid %ju","%s: Não pode ser alterado o proprietário para uid %ju, gid %ju","%s: Não foi possível alterar o dono para uid %ju, gid %ju","FR,ID",LLAMA,57.49089871602278
%s: Cannot hard link to %s,%s: impossível criar um link simbólico para %s,%s: Não foi possível criar um link físico para %s,"FR,ID",LLAMA,26.51412663804001
