original,translated,reference,context_languages,strategy,bleu
write error,erro de escrita,erro de escrita,ID,LLAMA,100.00000000000004
preserving permissions for %s,preservar as permissões de %s,preservando permissões de %s,ID,LLAMA,50.81327481546149
unbalanced [,[ não se equilibra,[ sem correspondente,ID,LLAMA,15.97357760615681
invalid character class,categoria de caracteres inválida,classe de caracteres inválida,ID,LLAMA,59.460355750136046
"character class syntax is [[:space:]], not [:space:]","A sintaxe de uma classe de caracteres é [[:space:]], e não [:space:].","a sintaxe de classe de caracteres é [[:space:]], e não [:space:]",ID,LLAMA,80.7681595142239
unfinished \ escape,"sequência de escape 
 não concluída.",escape \ não terminado,ID,LLAMA,9.652434877402245
? at start of expression,? di abertura da expressão?,? no início da expressão,ID,LLAMA,17.965205598154213
* at start of expression,* di a primeira vez e expressão,* no início da expressão,ID,LLAMA,7.809849842300637
+ at start of expression,+ di a primeira linha e exprimiões,+ no início da expressão,ID,LLAMA,6.567274736060395
invalid content of \{\},conteúdo de {} inválido,conteúdo inválido de \{\},ID,LLAMA,10.707409276312891
regular expression too big,expressão regular muito grande,expressão regular grande demais,ID,LLAMA,35.35533905932737
unbalanced (,( desbalanceada),( sem correspondente,ID,LLAMA,27.516060407455225
no syntax specified,não há sintaxe especificada,nenhuma sintaxe especificada,ID,LLAMA,31.947155212313625
unbalanced ),ID não correspondente,) sem correspondente,ID,LLAMA,27.516060407455225
Unknown system error,Erro do sistema desconhecido,Erro desconhecido de sistema,ID,LLAMA,21.02241038134286
memory exhausted,memória esgotada,memória esgotada,ID,LLAMA,100.00000000000004
`,ID,“,ID,LLAMA,0.0
',ID,”,ID,LLAMA,0.0
Success,Sucesso,Sucesso,ID,LLAMA,100.00000000000004
No match,não há concordância,Nenhuma ocorrência do padrão,ID,LLAMA,0.0
Invalid regular expression,Ex Expressão regular inválida,Expressão regular inválida,ID,LLAMA,59.460355750136046
Invalid collation character,Caractere de agrupamento inválido,Caractere de combinação inválido,ID,LLAMA,35.35533905932737
Invalid character class name,Nome da classe de caracteres inválido,Nome inválido de classe de caracteres,ID,LLAMA,34.32945239845197
Trailing backslash,barra oblíqua invertida apenas no final,Barra invertida no final,ID,LLAMA,17.965205598154213
Invalid back reference,Referência aritmética inválida,Retrorreferência inválida,ID,LLAMA,27.516060407455225
"Unmatched [, [^, [:, [., or [=","[, [^, [:, [., ou [= sem parángulo]}","[, [^, [:, [. ou [= sem correspondente",ID,LLAMA,65.40585844910977
Unmatched ( or \(,( ou ( atau %s) não está associado a nenhum outro elemento.,( ou \( sem correspondente,ID,LLAMA,5.816635421147513
Unmatched \{,{ não há parâmetro correspondente},\{ sem correspondente,ID,LLAMA,9.652434877402245
Invalid content of \{\},Contenu de \\{\} inválido,Conteúdo inválido no \{\},ID,LLAMA,36.55552228545123
Invalid range end,Fim de intervalo inválido,Fim de intervalo inválido,ID,LLAMA,100.00000000000004
Memory exhausted,Memória esgotada,Memória esgotada,ID,LLAMA,100.00000000000004
Invalid preceding regular expression,A expressão regular anterior é inválida,A expressão regular precedente é inválida,ID,LLAMA,37.99178428257963
Premature end of regular expression,cadeia precoce de uma expressão regular,Fim prematuro da expressão regular,ID,LLAMA,16.233395773754953
Regular expression too big,Ex Expressão regular muito grande,Expressão regular grande demais,ID,LLAMA,23.643540225079384
Unmatched ) or \),ou não estávamos associados.,) ou \) sem correspondente,ID,LLAMA,8.745825313180626
No previous regular expression,não há expressões regulares anteriores,Nenhuma expressão regular anterior,ID,LLAMA,0.0
setting permissions for %s,defini as permissões para %s,definindo permissões de %s,ID,LLAMA,17.965205598154213
"Packaged by %s (%s)
",Empacotado por %s (%s),"Empacotado por %s (%s)
",ID,LLAMA,100.00000000000004
"Packaged by %s
",Empacotado por %s,"Empacotado por %s
",ID,LLAMA,100.00000000000004
(C),©,(C),ID,LLAMA,0.0
"License GPLv3+: GNU GPL version 3 or later <%s>.
This is free software: you are free to change and redistribute it.
There is NO WARRANTY, to the extent permitted by law.
","Licença GPLv3+: GNU GPL versão 3 ou posterior <%s>. Este é um software livre: você está livres para modificá-lo e redistribuí-lo. Não há garantias, exceto as expressas por esta licença.","Licença GPLv3+: GNU GPL versão 3 ou posterior <%s>
Este é um software livre: você é livre para alterá-lo e redistribuí-lo.
NÃO HÁ QUALQUER GARANTIA, na máxima extensão permitida em lei.
",ID,LLAMA,51.399539255289746
"Written by %s.
",Escrito por %s.,"Escrito por %s.
",ID,LLAMA,100.00000000000004
"Written by %s and %s.
","Escrito por %s e %s. 
","Escrito por %s e %s.
",ID,LLAMA,100.00000000000004
"Written by %s, %s, and %s.
","Escrito por %s, %s e %s. 
	(C) Copyright (c) %d.","Escrito por %s, %s e %s.
",ID,LLAMA,48.4576608785328
"Written by %s, %s, %s,
and %s.
","Escrito por %s, %s, %s e %d. Dan %<PRIuMAX>.
","Escrito por %s, %s, %s
e %s.
",ID,LLAMA,57.67908748024407
"Written by %s, %s, %s,
%s, and %s.
","Escrito por %s, %s, %s, %s e %s. 
","Escrito por %s, %s, %s,
%s e %s.
",ID,LLAMA,100.00000000000004
"Written by %s, %s, %s,
%s, %s, and %s.
","Escrito por %s, %s, %s, %s, %s e %s. 
","Escrito por %s, %s, %s,
%s, %s e %s.
",ID,LLAMA,100.00000000000004
"Written by %s, %s, %s,
%s, %s, %s, and %s.
","Escrito por %s, %s, %s, %s, %s, %s e %s. 
","Escrito por %s, %s, %s,
%s, %s, %s e %s.
",ID,LLAMA,100.00000000000004
