original,translated,reference,context_languages,strategy,bleu
"Usage: fuser [-fIMuvw] [-a|-s] [-4|-6] [-c|-m|-n SPACE]
             [-k [-i] [-SIGNAL]] NAME...
       fuser -l
       fuser -V
Show which processes use the named files, sockets, or filesystems.

  -a,--all              display unused files too
  -i,--interactive      ask before killing (ignored without -k)
  -I,--inode            use always inodes to compare files
  -k,--kill             kill processes accessing the named file
  -l,--list-signals     list available signal names
  -m,--mount            show all processes using the named filesystems or
                        block device
  -M,--ismountpoint     fulfill request only if NAME is a mount point
  -n,--namespace SPACE  search in this name space (file, udp, or tcp)
  -s,--silent           silent operation
  -SIGNAL               send this signal instead of SIGKILL
  -u,--user             display user IDs
  -v,--verbose          verbose output
  -w,--writeonly        kill only processes with write access
  -V,--version          display version information
",Cách dùng: fuser [-fIMuvw] [-a|-s] [-4|-6] [-c|-m|-n RAUM] \\n[-k [-i] [-SIGNAL]] NAME... \\nfuser -l \\nfuser -V,"Uso:   fuser [-fMuv] [-a|-s] [-4|-6] [-c|-m|-n ESPAÇO]
             [-k [-i] [-SINAL]] NOME...
       fuser -l
       fuser -V
Mostra quais processos usam os arquivos, sockets ou sistema de arquivos especificados.

  -a,--all              exibe também arquivos sem uso
  -i,--interactive      pergunta antes de matar (ignorado sem -k)
  -k,--kill             mata processos acessando o arquivo especificado
  -l,--list-signals     lista os nomes de sinal disponíveis
  -m,--mount            mostra todos processos usando o sistema de arquivos
                        ou dispositivo de bloco especificado
  -M,--ismountpoint     realiza solicitação apenas se NOME for um ponto
                        de montagem
  -n,--namespace ESPAÇO pesquisa neste espaço de nome (file, udp ou tcp)
  -s,--silent           operação silenciosa
  -SINAL                envia este sinal em vez de SIGKILL
  -u,--user             exibe IDs de usuário
  -v,--verbose          saída detalhada
  -w,--writeonly        mata apenas processos com acesso de gravação
  -V,--version          exibe informações de versão
",DE,LLAMA,3.444560887179619
"  -4,--ipv4             search IPv4 sockets only
  -6,--ipv6             search IPv6 sockets only
","  -4,--ipv4             apenas buscar soquetes IPv4
  -6,--ipv6             apenas buscar soquetes IPv6
","  -4,--ipv4             pesquisa apenas sockets IPv4
  -6,--ipv6             pesquisa apenas sockets IPv6
",DE,LLAMA,28.110041382951884
"  udp/tcp names: [local_port][,[rmt_host][,[rmt_port]]]

","Ccnc tên udp/tcp: [cổng_cục_bộ][,[máy_chủ][,[cổng_máy_chủ]]]","  -                     redefine opções

  nomes udp/tcp: [porta_local][,[maq_rmt][,[porta_rmt]]]

",DE,LLAMA,31.351726500517874
"fuser (PSmisc) %s
","fuser (PSmisc) %s
","fuser (PSmisc) %s
",DE,LLAMA,100.00000000000004
"Copyright (C) 1993-2024 Werner Almesberger and Craig Small

","Privilégio de cópia (C) Werner Almesberger e Craig Small, desde 1993 até 2024.","Copyright (C) 1993-2020 Werner Almesberger and Craig Small

",DE,LLAMA,12.936981168384865
"PSmisc comes with ABSOLUTELY NO WARRANTY.
This is free software, and you are welcome to redistribute it under
the terms of the GNU General Public License.
For more information about these matters, see the files named COPYING.
","PSmisc NÃO PROVIDE ANY LEGAL GUARANTEES. É SOFTWARE FREE, e você pode distribuí-la livremente de acordo com as condições da GNU General Public License (GPL). Para obter mais informações, consulte a pasta COPYING.","PSmisc vem com ABSOLUTAMENTE NENHUMA GARANTIA.
Este é um software livre, e você é bem-vindo em redistribuí-lo dentro
dos termos da Licença Pública Geral GNU (GPL).
Para mais informações a respeito, veja os arquivos com o nome COPYING.
",DE,LLAMA,13.541572640217717
"Cannot open /proc directory: %s
",Não é possível abrir o diretório /proc: %s,"Não foi possível abrir o diretório /proc: %s
",DE,LLAMA,80.70557274927978
"Cannot allocate memory for matched proc: %s
",Não há mais espaço de armazenamento disponível para o processo associado ao cache da memória: %s,"Não foi possível alocar memória ao proc equiparado: %s
",DE,LLAMA,9.507244120026236
"Specified filename %s does not exist.
",O nome do arquivo %s não está presente.,"O nome de arquivo especificado %s não existe.
",DE,LLAMA,21.36435031981171
"Cannot stat %s: %s
",Não é possível obter informações sobre o estado de %s: %s,"Não foi possível analisar %s: %s
",DE,LLAMA,28.917849332325716
"Cannot resolve local port %s: %s
",Não foi possível resolver o nome do localizador de porto %s: %s,"Não foi possível resolver a porta local %s: %s
",DE,LLAMA,41.211837513230265
"Unknown local port AF %d
",Desconhecido localizador AF %d,"Família de endereços da porta local %d desconhecida
",DE,LLAMA,9.599621398238423
"Cannot open protocol file ""%s"": %s
",Não é possível abrir a tabela de jogos %s: %s,"Não foi possível abrir o arquivo de protocolo ""%s"": %s
",DE,LLAMA,15.430296443705515
"Specified filename %s is not a mountpoint.
",O nome do arquivo %s não é um ponto de anexo válido.,"O nome de arquivo especificado %s não é um ponto de montagem.
",DE,LLAMA,50.317476265301394
"%s: Invalid option %s
","%s: Opção %s inválida
","%s: Opção inválida %s
",DE,LLAMA,50.81327481546149
Namespace option requires an argument.,"Para selecionar o espaço de nomes 'DE', é necessário um argumento.","A opção de ""--namespace"" requer um argumento.",DE,LLAMA,12.35622127262679
Invalid namespace name,Tên miền tên không hợp lệ,Nome de espaço de nomes inválido,DE,LLAMA,0.0
You can only use files with mountpoint options,É possível utilizar arquivos apenas com a opção de anexo pontual.,Você pode apenas usar arquivos com opções de pontos de montagem,DE,LLAMA,4.789232204309912
No process specification given,Não foi possível obter estado (stat) do arquivo %s,Nenhuma especificação de processo fornecida,DE,LLAMA,0.0
all option cannot be used with silent option.,todos os campos de seleção não permitem o uso da opção 'quiet'.,"a opção ""--all"" não pode ser usada com a opção ""--silent"".",DE,LLAMA,3.227633361592567
