original,translated,reference,context_languages,strategy,bleu
write error,erro de escrita,erro de escrita,,LLAMA,100.00000000000004
preserving permissions for %s,preservar as permissões de %s,preservando permissões de %s,,LLAMA,50.81327481546149
unbalanced [,falha na correspondência não resolvida.,[ sem correspondente,,LLAMA,0.0
invalid character class,caractere inválido de classe,classe de caracteres inválida,,LLAMA,18.99589214128981
"character class syntax is [[:space:]], not [:space:]",A sintaxe de uma classe de caracteres é [[:space:]] e não [:space:].,"a sintaxe de classe de caracteres é [[:space:]], e não [:space:]",,LLAMA,72.00242075875518
unfinished \ escape,sequência de escape não concluída,escape \ não terminado,,LLAMA,12.703318703865365
? at start of expression,no contexto inicial da expressão?,? no início da expressão,,LLAMA,19.304869754804482
* at start of expression,no começo da expressão,* no início da expressão,,LLAMA,27.534765745159184
+ at start of expression,+ ao começo da expressão,+ no início da expressão,,LLAMA,23.643540225079384
invalid content of \{\},conteúdo inválido do {}.,conteúdo inválido de \{\},,LLAMA,16.341219448835542
regular expression too big,expressão regular excessivamente grande,expressão regular grande demais,,LLAMA,35.35533905932737
unbalanced (,linha não correspondente,( sem correspondente,,LLAMA,27.516060407455225
no syntax specified,sem sintaxe especificada,nenhuma sintaxe especificada,,LLAMA,55.03212081491043
unbalanced ),opção inválida -- '%c',) sem correspondente,,LLAMA,0.0
Unknown system error,Erro do sistema desconhecido,Erro desconhecido de sistema,,LLAMA,21.02241038134286
memory exhausted,Memória esgotada,memória esgotada,,LLAMA,49.99999999999999
`,"""
",“,,LLAMA,0.0
',falha na verificação: a linha %<PRIuMAX> possui %<PRIuMAX> campos (esperado %<PRIuMAX>),”,,LLAMA,0.0
Success,Sucesso,Sucesso,,LLAMA,100.00000000000004
No match,sem concordância,Nenhuma ocorrência do padrão,,LLAMA,0.0
Invalid regular expression,Ex Expressão regular inválida,Expressão regular inválida,,LLAMA,59.460355750136046
Invalid collation character,caractere de agrupamento inválido,Caractere de combinação inválido,,LLAMA,18.99589214128981
Invalid character class name,Nome de classe inválido,Nome inválido de classe de caracteres,,LLAMA,23.04318198457308
Trailing backslash,barra oblíqua invertida sozinha no final,Barra invertida no final,,LLAMA,17.965205598154213
Invalid back reference,referência de retorno inválida,Retrorreferência inválida,,LLAMA,15.97357760615681
"Unmatched [, [^, [:, [., or [=","sem correspondência não aplicada [, [^, [:, . ou = non apparição","[, [^, [:, [. ou [= sem correspondente",,LLAMA,47.386111527486165
Unmatched ( or \(,ou ( ou §não correspondido),( ou \( sem correspondente,,LLAMA,16.233395773754953
Unmatched \{,campo não correspondente,\{ sem correspondente,,LLAMA,19.716118825581447
Invalid content of \{\},Contênu de {} inválido.,Conteúdo inválido no \{\},,LLAMA,9.042266054940777
Invalid range end,Fim de intervalo inválido,Fim de intervalo inválido,,LLAMA,100.00000000000004
Memory exhausted,Memória esgotada,Memória esgotada,,LLAMA,100.00000000000004
Invalid preceding regular expression,A expressão regular anterior é inválida,A expressão regular precedente é inválida,,LLAMA,37.99178428257963
