original,translated,reference,context_languages,strategy,bleu
Applications,Aplicativos,Aplicativos,ES,LLAMA,100.00000000000004
applications,aplicação,aplicativos,ES,LLAMA,0.0
Desktop,Máquina de trabalho virtual,Área de trabalho,ES,LLAMA,31.947155212313625
desktop,máquina virtual de nuvem,área de trabalho,ES,LLAMA,15.97357760615681
Documents,Tátiles,Documentos,ES,LLAMA,0.0
documents,documentos,documentos,ES,LLAMA,100.00000000000004
Download,Tá na hora de baixar as descargas.,Download,ES,LLAMA,0.0
download,tá na hora de baixar as últimas atualizações.,download,ES,LLAMA,0.0
Downloads,Bancar transferências,Downloads,ES,LLAMA,0.0
downloads,básicas de transferência,downloads,ES,LLAMA,0.0
Movies,Filmes,Filmes,ES,LLAMA,100.00000000000004
movies,filmes,filmes,ES,LLAMA,100.00000000000004
Music,Música,Músicas,ES,LLAMA,0.0
music,música,músicas,ES,LLAMA,0.0
Photos,Área de upload para imagens,Fotos,ES,LLAMA,0.0
photos,foto digital,fotos,ES,LLAMA,0.0
Pictures,Área de trabalho do Windows,Imagens,ES,LLAMA,0.0
pictures,imagem,imagens,ES,LLAMA,0.0
Projects,Projeto,Projetos,ES,LLAMA,0.0
projects,projeto,projetos,ES,LLAMA,0.0
Public,Công,Público,ES,LLAMA,0.0
public,công,público,ES,LLAMA,0.0
Share,Compartilhado por Chia seja qual for o seu país de origem.,Compartilhados,ES,LLAMA,0.0
share,compartilhado por chia seca,compartilhados,ES,LLAMA,0.0
Templates,Mẫu,Modelos,ES,LLAMA,0.0
templates,plantillas,modelos,ES,LLAMA,0.0
Videos,Vídeos em movimento,Vídeos,ES,LLAMA,27.516060407455225
videos,área de trabalho,vídeos,ES,LLAMA,0.0
