original,translated,reference,context_languages,strategy,bleu
write error,erro de escrita,erro de escrita,"ZH_CN,ID",LLAMA,100.00000000000004
preserving permissions for %s,preservar as permissões de %s,preservando permissões de %s,"ZH_CN,ID",LLAMA,50.81327481546149
unbalanced [,não é equilibrada [ não correspondente ],[ sem correspondente,"ZH_CN,ID",LLAMA,7.809849842300637
invalid character class,caractere inválido,classe de caracteres inválida,"ZH_CN,ID",LLAMA,0.0
"character class syntax is [[:space:]], not [:space:]",A sintaxe de uma classe de caracteres é [[:space:]] e não [:space:].,"a sintaxe de classe de caracteres é [[:space:]], e não [:space:]","ZH_CN,ID",LLAMA,72.00242075875518
unfinished \ escape,sequência de escape não concluída,escape \ não terminado,"ZH_CN,ID",LLAMA,12.703318703865365
? at start of expression,? no começo da expressão?,? no início da expressão,"ZH_CN,ID",LLAMA,22.957488466614336
* at start of expression,no começo da expressão *,* no início da expressão,"ZH_CN,ID",LLAMA,25.40663740773074
+ at start of expression,+ no começo da expressão,+ no início da expressão,"ZH_CN,ID",LLAMA,30.213753973567677
invalid content of \{\},conteúdo inválido de \{\},conteúdo inválido de \{\},"ZH_CN,ID",LLAMA,100.00000000000004
regular expression too big,expressão regular muito grande,expressão regular grande demais,"ZH_CN,ID",LLAMA,35.35533905932737
unbalanced (,não é simétrica (,( sem correspondente,"ZH_CN,ID",LLAMA,15.97357760615681
no syntax specified,não há uma sintaxe especificada,nenhuma sintaxe especificada,"ZH_CN,ID",LLAMA,21.3643503198117
unbalanced ),não é equilibrada,) sem correspondente,"ZH_CN,ID",LLAMA,0.0
Unknown system error,Erro do sistema desconhecido,Erro desconhecido de sistema,"ZH_CN,ID",LLAMA,21.02241038134286
memory exhausted,memória esgotada,memória esgotada,"ZH_CN,ID",LLAMA,100.00000000000004
`,“,“,"ZH_CN,ID",LLAMA,100.00000000000004
',»,”,"ZH_CN,ID",LLAMA,0.0
Success,Sucesso,Sucesso,"ZH_CN,ID",LLAMA,100.00000000000004
No match,não há concordância,Nenhuma ocorrência do padrão,"ZH_CN,ID",LLAMA,0.0
Invalid regular expression,Ex Expressão regular inválida,Expressão regular inválida,"ZH_CN,ID",LLAMA,59.460355750136046
Invalid collation character,Caractere de agrupamento inválido,Caractere de combinação inválido,"ZH_CN,ID",LLAMA,35.35533905932737
Invalid character class name,Nome da classe de caracteres inválido,Nome inválido de classe de caracteres,"ZH_CN,ID",LLAMA,34.32945239845197
Trailing backslash,barra invertida oblíqua única na extremidade da linha de código.,Barra invertida no final,"ZH_CN,ID",LLAMA,3.7477767366779213
Invalid back reference,Referência arriscada inválida,Retrorreferência inválida,"ZH_CN,ID",LLAMA,27.516060407455225
"Unmatched [, [^, [:, [., or [=",não foi possível obter estado (stat) do arquivo %s,"[, [^, [:, [. ou [= sem correspondente","ZH_CN,ID",LLAMA,0.0
Unmatched ( or \(,( ou \( não combinado\),( ou \( sem correspondente,"ZH_CN,ID",LLAMA,34.57207846419409
Unmatched \{,{ non apparié,\{ sem correspondente,"ZH_CN,ID",LLAMA,19.716118825581447
Invalid content of \{\},Contêndio de \\{\} inválido,Conteúdo inválido no \{\},"ZH_CN,ID",LLAMA,36.55552228545123
Invalid range end,Fim de intervalo inválido,Fim de intervalo inválido,"ZH_CN,ID",LLAMA,100.00000000000004
Memory exhausted,Memória esgotada,Memória esgotada,"ZH_CN,ID",LLAMA,100.00000000000004
Invalid preceding regular expression,A expressão regular anterior é inválida,A expressão regular precedente é inválida,"ZH_CN,ID",LLAMA,37.99178428257963
Premature end of regular expression,expressão regular prematuro fim,Fim prematuro da expressão regular,"ZH_CN,ID",LLAMA,27.534765745159184
Regular expression too big,expressão regular muito grande,Expressão regular grande demais,"ZH_CN,ID",LLAMA,18.99589214128981
Unmatched ) or \),não é um par ou não tem pareamento de símbolo de fechamento ')',) ou \) sem correspondente,"ZH_CN,ID",LLAMA,3.1251907639724417
No previous regular expression,não há expressões regulares anteriores,Nenhuma expressão regular anterior,"ZH_CN,ID",LLAMA,0.0
setting permissions for %s,Defini as permissões para %s,definindo permissões de %s,"ZH_CN,ID",LLAMA,17.965205598154213
"Packaged by %s (%s)
",Empacotado por %s (%s),"Empacotado por %s (%s)
","ZH_CN,ID",LLAMA,100.00000000000004
"Packaged by %s
",Empacotado por %s,"Empacotado por %s
","ZH_CN,ID",LLAMA,100.00000000000004
(C),©,(C),"ZH_CN,ID",LLAMA,0.0
"License GPLv3+: GNU GPL version 3 or later <%s>.
This is free software: you are free to change and redistribute it.
There is NO WARRANTY, to the extent permitted by law.
",Licença GPLv3+: GNU GPL versão 3 ou posterior <%s>. Este é um software livre: você está livres para modificá-lo e redistribuí-lo. Não há nenhuma garantia dentro do escopo da lei.,"Licença GPLv3+: GNU GPL versão 3 ou posterior <%s>
Este é um software livre: você é livre para alterá-lo e redistribuí-lo.
NÃO HÁ QUALQUER GARANTIA, na máxima extensão permitida em lei.
","ZH_CN,ID",LLAMA,52.03717233011182
"Written by %s.
",Escrito por %s.,"Escrito por %s.
","ZH_CN,ID",LLAMA,100.00000000000004
"Written by %s and %s.
",Escrito por %s e %s.,"Escrito por %s e %s.
","ZH_CN,ID",LLAMA,100.00000000000004
"Written by %s, %s, and %s.
","Escrito por %s, %s e %s. 
	(Clique aqui para mais informações.)","Escrito por %s, %s e %s.
","ZH_CN,ID",LLAMA,54.017258985951415
"Written by %s, %s, %s,
and %s.
","Escrito por %s, %s, %s e %s. 
	","Escrito por %s, %s, %s
e %s.
","ZH_CN,ID",LLAMA,100.00000000000004
"Written by %s, %s, %s,
%s, and %s.
","Escrito por %s, %s, %s, %s e %s. 

","Escrito por %s, %s, %s,
%s e %s.
","ZH_CN,ID",LLAMA,100.00000000000004
"Written by %s, %s, %s,
%s, %s, and %s.
","Escrito por %s, %s, %s, %s, %s e %s. 
	","Escrito por %s, %s, %s,
%s, %s e %s.
","ZH_CN,ID",LLAMA,100.00000000000004
"Written by %s, %s, %s,
%s, %s, %s, and %s.
","Escrito por %s, %s, %s, %s, %s, %s e %s. 

","Escrito por %s, %s, %s,
%s, %s, %s e %s.
","ZH_CN,ID",LLAMA,100.00000000000004
"Written by %s, %s, %s,
%s, %s, %s, %s,
and %s.
","Escrito por %s, %s, %s, %s, %s, %s, %s e %s. 
","Escrito por %s, %s, %s,
%s, %s, %s, %s
e %s.
","ZH_CN,ID",LLAMA,100.00000000000004
"Written by %s, %s, %s,
%s, %s, %s, %s,
%s, and %s.
","Escrito por %s, %s, %s, %s, %s, %s, %s, %s e %s. 
","Escrito por %s, %s, %s,
%s, %s, %s, %s,
%s e %s.
","ZH_CN,ID",LLAMA,100.00000000000004
"Written by %s, %s, %s,
%s, %s, %s, %s,
%s, %s, and others.
","Escrito por %s, %s, %s, %s, %s, %s, %s, %s, %s e outros.","Escrito por %s, %s, %s,
%s, %s, %s, %s,
%s, %s e outros.
","ZH_CN,ID",LLAMA,100.00000000000004
"Report bugs to: %s
","Rapportez as anomalias para: %s
","Relate erros para: %s
Relate erros de tradução para <https://translationproject.org/team/pt_BR.html>
","ZH_CN,ID",LLAMA,2.0469137492953364
"Report %s bugs to: %s
",Rapportez os bugs %s ao fim do jogo para o desenvolvedor.,"Relate erros do %s para: %s
","ZH_CN,ID",LLAMA,7.347053125977879
"%s home page: <%s>
",%s 的主页：<%s>,"Página do %s: <%s>
","ZH_CN,ID",LLAMA,36.74145494215666
"General help using GNU software: <%s>
",Ajuda geral para o uso dos softwares GNU: <%s>,"Ajuda geral no uso de software GNU: <%s>
","ZH_CN,ID",LLAMA,44.08231875586728
multiple `!'s,multiplos ‘!’,exclamações `!' múltiplas,"ZH_CN,ID",LLAMA,12.44023474812678
"unexpected `,'",comma unexpectedly found,"vírgula `,' inesperada","ZH_CN,ID",LLAMA,0.0
invalid usage of +N or ~N as first address,utilização inválida de +N ou ~N como primeira endereço,não use +N ou ~N como o primeiro endereço,"ZH_CN,ID",LLAMA,47.987820666906615
unmatched `{',não foi possível encontrar a correspondência para '{' não associada,`{' sem correspondente,"ZH_CN,ID",LLAMA,6.772997136689072
unexpected `}',fecha de exceção não esperada,`}' inesperada,"ZH_CN,ID",LLAMA,0.0
extra characters after command,caracteres desnecessários após a comando,há caracteres sobrando após o comando,"ZH_CN,ID",LLAMA,11.51015341649912
"expected \ after `a', `c' or `i'","esperado após 'a', 'c' ou 'i'","deve haver um escape \ depois dos comandos `a', `c' e `i'","ZH_CN,ID",LLAMA,1.8155431088372649
`}' doesn't want any addresses,« } » n'a besoin d'aucune adresse,`}' não recebe endereços,"ZH_CN,ID",LLAMA,6.567274736060395
: doesn't want any addresses,: não é necessária nenhuma endereço.,`:' não recebe endereços,"ZH_CN,ID",LLAMA,7.809849842300637
comments don't accept any addresses,os comentários não aceitam nenhuma direção (endereço),comentários não aceitam endereços,"ZH_CN,ID",LLAMA,17.747405280050266
missing command,comando ausente,falta especificar um comando,"ZH_CN,ID",LLAMA,18.393972058572114
command only uses one address,a comando utiliza apenas uma endereço,este comando usa apenas um endereço,"ZH_CN,ID",LLAMA,10.682175159905853
unterminated address regex,expressão regular de endereço não concluída,a expressão regular do endereço está inacabada (falta a /),"ZH_CN,ID",LLAMA,6.60902979597904
unterminated `s' command,comando ‘s’ não concluído,comando `s' inacabado (s/// - faltou delimitador),"ZH_CN,ID",LLAMA,1.683602693167689
unterminated `y' command,comando ‘y’ não concluído,comando `y' inacabado (y/// - faltou delimitador),"ZH_CN,ID",LLAMA,1.683602693167689
unknown option to `s',opção desconhecida para 's',opção desconhecida para o comando `s' (s///?),"ZH_CN,ID",LLAMA,4.880803219926451
multiple `p' options to `s' command,plusieurs options 'p' para a comando 's',opções `p' múltiplas para o comando `s',"ZH_CN,ID",LLAMA,5.868924818816531
multiple `g' options to `s' command,plusieurs options 'g' para a comando 's',opções `g' múltiplas para o comando `s',"ZH_CN,ID",LLAMA,5.868924818816531
multiple number options to `s' command,múltiplas opções numéricas para a comando 's',opções numéricas múltiplas para o comando `s' (s///n),"ZH_CN,ID",LLAMA,5.267003804665819
