original,translated,reference,context_languages,strategy,comet,chrf,bleu,ter,bertscore
Could not read from CD.,Tá aí para ler do CD.,Não foi possível ler as informações do CD.,RU,LLAMA,54.65503931045532,20.437494369403034,19.740631366145518,62.5,79.86117005348206
Could not open CD device for reading.,Tenha em mente abrir o dispositivo de CD para leitura.,Não foi possível abrir o dispositivo de CD para leitura.,RU,LLAMA,74.27933812141418,69.94955648245042,67.86502681586727,30.0,90.27080535888672
Disc is not an Audio CD.,Cakram não é um CD de áudio.,O disco não é um CD de áudio.,RU,LLAMA,87.465900182724,71.33748987942054,74.20884818558928,25.0,91.25087261199951
Could not open DVD,Tá aí para abrir o DVD.,Não foi possível abrir o DVD,RU,LLAMA,63.17126154899597,36.82595470558387,24.446151121745054,66.66666666666666,79.35941219329834
Could not open DVD title %d,Tá aí para abrir o título do DVD %d.,Não foi possível abrir o título %d do DVD,RU,LLAMA,56.333523988723755,42.524667171811906,20.504572236241867,55.55555555555556,80.87310791015625
Failed to go to chapter %d of DVD title %d,falha ao navegar para o episódio %d do DVD-capa %d,Falha ao avançar para o capítulo %d do título %d do DVD,RU,LLAMA,74.651700258255,40.096811174318766,16.21599014882373,41.66666666666667,87.81117796897888
Could not open DVD title %d. Interactive titles are not supported by this element,"Tenha em mente que o DVD com número de registro %d não suporta interatividade. Para abrir a capa do DVD, digite 'klik pengenalan'.",Não foi possível abrir o título %d do DVD. Não há suporte a títulos interativos por este elemento,RU,LLAMA,61.25919222831726,26.45657013189058,4.668049023095242,100.0,73.8955020904541
Could not read DVD. This may be because the DVD is encrypted and a DVD decryption library is not installed.,Tá aí para ler o DVD. Isso acontece porque o DVD está codificado e não há instalação da biblioteca de decodificação do DVD.,Não foi possível ler o DVD. O motivo pode ser que o DVD está criptografado e uma biblioteca de descriptografia de DVD não está instalada.,RU,LLAMA,65.94404578208923,39.593496661001524,15.381013877235738,68.0,83.94182920455933
Could not read DVD.,Tá aí para ler o DVD.,Não foi possível ler o DVD.,RU,LLAMA,64.25430178642273,36.82960398030477,41.11336169005198,50.0,82.5227439403534
This stream contains no data.,O Arus não contém dados.,Este fluxo não contém dados.,RU,LLAMA,82.38793611526489,62.07115101352589,50.81327481546149,40.0,86.8451178073883
