original,translated,reference,context_languages,strategy,bleu
(dir),(catálogo),(dir),ES,LLAMA,34.66806371753173
(parent dir),(região católica),(dir acima),ES,LLAMA,18.99589214128981
(huge),enorme,gigante,ES,LLAMA,0.0
Search Wrapped,Pesquisa continuada desde o começo,Pesquisa recomeçou,ES,LLAMA,10.682175159905848
This is the only occurrence,Ésta é a única coincidencia,Esta é a única ocorrência,ES,LLAMA,39.76353643835252
Search,Buscar,Pesquisa,ES,LLAMA,0.0
 [Backwards],[Atrás], [Retroceder],ES,LLAMA,34.66806371753173
Cancelled,Cancelado,Cancelado,ES,LLAMA,100.00000000000004
No current search pattern,Não há motivo para buscar.,Nenhum padrão de pesquisa atualmente,ES,LLAMA,0.0
Cannot open directory: %s,Não é possível abrir o diretório: %s,Não foi possível abrir o diretório: %s,ES,LLAMA,75.06238537503395
Go To Directory,Para o diretório,Ir para o diretório,ES,LLAMA,39.43223765116288
Can't go outside of %s,não é possível sair de %s,Não é possível sair de %s,ES,LLAMA,80.91067115702207
Can't move up a directory,Não é possível mover o diretório,Não é possível subir um diretório,ES,LLAMA,32.46679154750991
Error reading %s: %s,Erro lendo «%s»: %s,Erro ao ler %s: %s,ES,LLAMA,23.356898886410015
The working directory has disappeared,O catálogo de trabalho desapareceu,O diretório de trabalho desapareceu,ES,LLAMA,42.72870063962342
Unknown syntax name: %s,Nome de sintaxe desconhecido: %s,Nome de sintaxe desconhecido: %s,ES,LLAMA,100.00000000000004
magic_load() failed: %s,falha na função magic_load(): %s,magic_load() falhou: %s,ES,LLAMA,46.92470064105599
magic_file(%s) failed: %s,falha no arquivo %s (arquivo de magic): %s,magic_file(%s) falhou: %s,ES,LLAMA,16.26170171519489
Nothing was cut,Não foi cortado nada,Nada foi cortado,ES,LLAMA,31.947155212313625
Copied nothing,Não foi possível copiar nada,Nada foi copiado,ES,LLAMA,10.682175159905848
Cutbuffer is empty,O buffer de troca está vazio,buffer-de-transferência está vazio,ES,LLAMA,16.233395773754953
Error deleting lock file %s: %s,"Erro ao remover o arquivo de bloqueio ""%s"": %s",Erro ao excluir o arquivo de trava %s: %s,ES,LLAMA,22.355093096292105
Couldn't determine my identity for lock file,não foi possível determinar o arquivo de bloqueio para a identidade pessoal,Falha ao determinar minha ID para arquivo de trava,ES,LLAMA,8.054496384843702
Couldn't determine hostname: %s,não foi possível determinar o nome do nó: %s,Falha ao determinar nome de máquina: %s,ES,LLAMA,15.851165692617148
Error writing lock file %s: %s,Erro ao escrever no arquivo de bloqueio '%s': %s,Erro ao escrever o arquivo de trava %s: %s,ES,LLAMA,22.62944003945279
Someone else is also editing this file,Alguém mais está atualmente editando este mesmo arquivo.,Outra pessoa também está editando esse arquivo,ES,LLAMA,6.27465531099474
Error opening lock file %s: %s,Erro ao abrir o arquivo de bloqueio '%s': %s,Erro ao abrir o arquivo de trava %s: %s,ES,LLAMA,49.73567356124543
Bad lock file is ignored: %s,Ficheiro de bloqueio inválido ignorado: %s,Arquivo de trava inválido é ignorado: %s,ES,LLAMA,33.764591090632756
"File %s is being edited by %s (with %s, PID %s); open anyway?","O arquivo ""%s"" está sendo editado pelo usuário %s (com o programa '%s', PID %d); abrir de qualquer forma?","Arquivo %s sendo editado (por %s com %s, PID %s). Abrir mesmo assim?",ES,LLAMA,8.25101291002796
Directory '%s' does not exist,"O catálogo ""%s"" não existe.","O diretório ""%s"" não existe",ES,LLAMA,61.04735835807847
Path '%s': %s,"Rota ""%s"": %s","Caminho ""%s"": %s",ES,LLAMA,84.08964152537145
Path '%s' is not a directory,"O caminho ""%s"" não é um diretório","O caminho ""%s"" não é um diretório",ES,LLAMA,100.00000000000004
Path '%s' is not accessible,"O caminho ""%s"" não está disponível.","O caminho ""%s"" não é acessível",ES,LLAMA,63.894310424627285
Directory '%s' is not writable,"Catalogo ""%s"" não é de acesso para escrita.","O diretório ""%s"" não é gravável",ES,LLAMA,41.72261448611505
Can't read file from outside of %s,não foi possível ler o arquivo fora de %s,Não foi possível ler arquivo de fora de %s,ES,LLAMA,39.281465090051285
"""%s"" is a directory","O arquivo ""%s"" é um diretório","""%s"" é um diretório",ES,LLAMA,72.59795291154772
"""%s"" is a device file","O arquivo ""%s"" é um arquivo de dispositivo","""%s"" é um arquivo dispositivo",ES,LLAMA,59.00468726392806
"""%s"" is a FIFO","Arquivo ""%s"" é um FIFO","""%s"" é um FIFO",ES,LLAMA,84.08964152537145
%s is meant to be read-only,%s considerado para leitura somente (RO),%s tem a intenção de ser somente leitura,ES,LLAMA,11.339582221952005
New Buffer,BUFFER NUEVO,Novo buffer,ES,LLAMA,0.0
DOS,DOS,DOS,ES,LLAMA,100.00000000000004
Mac,Mac,Mac,ES,LLAMA,100.00000000000004
No more open file buffers,Não há mais buffers de arquivos abertos,Não há mais nenhum buffer de arquivos abertos,ES,LLAMA,35.640264633541825
Interrupted,Interrumpido,Interrompido,ES,LLAMA,0.0
File '%s' is unwritable,"Arquivo ""%s"" não está disponível para escrita.","O arquivo ""%s"" não é gravável",ES,LLAMA,35.08439695638686
New File,Novo arquivo,Novo arquivo,ES,LLAMA,100.00000000000004
"File ""%s"" not found",Arquivo não encontrado,"Arquivo ""%s"" não encontrado",ES,LLAMA,16.605579150202516
Reading from FIFO...,Lendo de FIFO...,Lendo de FIFO...,ES,LLAMA,100.00000000000004
Reading...,Lendo...,Lendo...,ES,LLAMA,100.00000000000004
Could not create pipe: %s,não foi possível criar um canal de fluxo (pipe): %s,Não foi possível criar o pipe: %s,ES,LLAMA,18.476860420522186
Could not fork: %s,Não foi possível criar um processo filho: %s,Não foi possível bifurcar: %s,ES,LLAMA,26.269098944241577
Executing...,Ejecutando...,Executando...,ES,LLAMA,59.460355750136046
filtering,filtragem,filtragem,ES,LLAMA,100.00000000000004
Failed to open pipe: %s,não foi possível abrir a tubería %s,Falha ao abrir o pipe: %s,ES,LLAMA,12.22307556087252
Error: %s,Erro de leitura %s: %s,Erro: %s,ES,LLAMA,22.089591134157878
Command to execute in new buffer,Comando para executar na nova pilha de dados,Comando para execução no novo buffer,ES,LLAMA,11.044795567078939
Command to execute,Comando para execução,Comando para execução,ES,LLAMA,100.00000000000004
File to read unconverted into new buffer [from %s],Arquivo para ler sem conversão em novo buffer [desde %s],Arquivo para ler não convertido no novo buffer [de %s],ES,LLAMA,26.211503555147623
File to read into new buffer [from %s],Arquivo para ler em um novo buffer [desde %s],Arquivo para leitura no novo buffer [de %s],ES,LLAMA,24.08856270485351
File to insert unconverted [from %s],Ficheiro para inserir sem converter [desde %s],Arquivo para inserção não convertido [de %s],ES,LLAMA,17.747405280050266
File to insert [from %s],Ficheiro para inserção [desde %s],Arquivo para inserção [de %s],ES,LLAMA,34.57207846419412
"Invalid operating directory: %s
",Directorio de operação no inválido: %s,"Diretório de operação inválido: %s
",ES,LLAMA,41.11336169005198
"Invalid backup directory: %s
",Directorio de backup inválido: %s,"Diretório reserva inválido: %s
",ES,LLAMA,41.11336169005198
Making backup...,Criando cópias de backup...,Criando arquivo reserva...,ES,LLAMA,26.269098944241588
Too many existing backup files,Demais ficheros de respaldo existentes,Muitos arquivos reserva existentes,ES,LLAMA,10.682175159905848
Cannot read original file,não é possível ler o arquivo original,Não é possível ler o arquivo original,ES,LLAMA,80.91067115702207
Cannot make regular backup,não é possível criar uma cópia de backup padrão,Não é possível criar um arquivo reserva comum,ES,LLAMA,17.747405280050266
Trying again in your home directory,Tentando de novo no seu diretório doméstico.,Tentando novamente em seu diretório pessoal,ES,LLAMA,12.22307556087252
Cannot make backup,falha ao criar backup de segurança,Não foi possível criar o arquivo reserva,ES,LLAMA,6.870636427700047
Cannot make backup; continue and save actual file? ,"Não foi possível criar uma cópia de segurança; deseja continuar e salvar o arquivo original?
",Não foi possível criar o arquivo reserva; continuar e salvar o arquivo atual? ,ES,LLAMA,37.709297891717654
Cannot make backup: %s,Não foi possível criar backup de segurança do arquivo %s,Não foi possível criar o arquivo reserva: %s,ES,LLAMA,28.997844147152072
Can't write outside of %s,Não é possível escrever fora de %s,Não foi possível escrever fora de %s,ES,LLAMA,70.71067811865478
Error writing %s: %s,Erro ao escrever '%s': %s,Erro ao escrever %s: %s,ES,LLAMA,31.02016197007
Error writing temp file: %s,Erro ao escrever no arquivo temporário: %s,Erro ao escrever o arquivo temporário: %s,ES,LLAMA,59.694917920196445
Writing to FIFO...,Escrevendo em FIFO...,Escrevendo para FIFO...,ES,LLAMA,53.7284965911771
Writing...,Escribiendo...,Escrevendo...,ES,LLAMA,59.460355750136046
Error reading temp file: %s,falha ao ler o arquivo temporário: %s,Erro ao ler o arquivo temporário: %s,ES,LLAMA,86.33400213704509
File on disk has been truncated!,O arquivo no disco foi modificado.,O arquivo no disco foi truncado!,ES,LLAMA,61.47881529512643
 [DOS Format],[Formato DOS], [Formato DOS],ES,LLAMA,100.00000000000004
 [Mac Format],[Formato Mac], [Formato Mac],ES,LLAMA,100.00000000000004
 [Backup],[Respaldo], [Arq reserva],ES,LLAMA,24.840753130578644
Prepend Selection to File,Adicionar seleção no começo do arquivo,Pré-adicionar seleção para o arquivo,ES,LLAMA,9.652434877402245
Append Selection to File,Adicionar seleção ao final do arquivo,Adicionar seleção para o arquivo,ES,LLAMA,17.965205598154213
Write Selection to File,escrever seleção no arquivo,Escrever a seleção para o arquivo,ES,LLAMA,11.521590992286539
Prepend to File,Adicionar ao início do arquivo alocado,Pré-adicionar para o arquivo,ES,LLAMA,8.116697886877475
Append to File,Adicionar ao final do arquivo %s,Adicionar para o arquivo,ES,LLAMA,7.809849842300637
Write to File,escrever no arquivo,Escrever para o arquivo,ES,LLAMA,19.716118825581447
Too tiny,Demasiado pequeno,Pequena demais,ES,LLAMA,0.0
File exists -- cannot overwrite,Ficheiro existe -- não se pode sobrescrever.,O arquivo existe -- não é possível sobrescrevê-lo,ES,LLAMA,20.556680845025987
Save file under DIFFERENT NAME? ,Você quer salvar o arquivo com um nome diferente? ,Salvar o arquivo com um NOME DIFERENTE? ,ES,LLAMA,27.77619034011791
"File ""%s"" exists; OVERWRITE? ","O arquivo ""%s"" já existe. Deseja sobrescrevê-lo? ","Arquivo ""%s"" já existe; SOBRESCREVER? ",ES,LLAMA,43.36189090348677
File on disk has changed,O arquivo no disco foi alterado.,Arquivo no disco foi alterado,ES,LLAMA,41.11336169005198
File was modified since you opened it; continue saving? ,O arquivo foi modificado após sua abertura por você. Deseja continuar salvando? ,O arquivo foi modificado desde a última vez que você abriu; continuar salvamento? ,ES,LLAMA,19.03837857221325
(more),(más),(mais),ES,LLAMA,34.66806371753173
Exit,Saída,Sair,ES,LLAMA,0.0
Close,fechar,Fechar,ES,LLAMA,0.0
Cancel the current function,Cancelar a função atual,Cancela a função atual,ES,LLAMA,59.460355750136046
Display this help text,Mostrar esta ajuda.,Exibe este texto de ajuda,ES,LLAMA,12.44023474812678
Close the current buffer / Exit from nano,Fechar o buffer atual / Sair de nano,Fecha o buffer atual / Sai do nano,ES,LLAMA,36.55552228545123
Write the current buffer (or the marked region) to disk,Salvar o buffer atual (ou região marcada) no disco.,Escreve o buffer atual (ou a região marcada) no disco,ES,LLAMA,63.40466277046863
Insert another file into current buffer (or into new buffer),Inserir outro arquivo no buffer atual (ou em um novo buffer),Insere outro arquivo no buffer atual (ou em um novo buffer),ES,LLAMA,91.21679090703874
Search forward for a string or a regular expression,Buscar uma string ou expressão regular,Procura para frente por um texto ou uma expressão regular,ES,LLAMA,9.911450612811139
Search backward for a string or a regular expression,Pesquisa retroativa de uma string ou expressão regular,Procura para trás por um texto ou uma expressão regular,ES,LLAMA,10.229197414177778
Cut current line (or marked region) and store it in cutbuffer,cortar a linha atual (ou região marcada) e salvar na área de transferência do buffer,Recorta a linha atual (ou região marcada) e guarda-a no buffer-de-transferência,ES,LLAMA,47.9676449968321
Copy current line (or marked region) and store it in cutbuffer,Copiar a linha atual (ou região marcada) para o buffer de corte,Copia a linha atual (ou região marcada) e armazena-a no buffer-de-transferência,ES,LLAMA,51.424016050282646
Paste the contents of cutbuffer at current cursor position,Inserir o conteúdo do seu copymemory na posição atual do cursor.,Cola o conteúdo do buffer-de-transferência na posição do cursor,ES,LLAMA,18.52797255583095
Display the position of the cursor,Mostrar a posição do cursor,Mostra a posição do cursor,ES,LLAMA,66.87403049764218
"Invoke the spell checker, if available","Verificar ortografia, se disponível.","Chama o verificador ortográfico, se disponível",ES,LLAMA,25.57539057896621
Replace a string or a regular expression,Reemplacei o texto ou a expressão regular,Substitui um texto ou expressão regular,ES,LLAMA,18.575057999133602
Go to line and column number,Ir ao número da linha e do nome da coluna especificados.,Vai para linha e coluna número,ES,LLAMA,8.054496384843702
Go to the matching bracket,na laje correspondente,Vai para o fechamento do parênteses/colchetes/chaves,ES,LLAMA,0.0
Mark text starting from the cursor position,Marcar texto a partir da posição atual do cursor,Marca o texto iniciando na posição do cursor,ES,LLAMA,11.339582221952005
Throw away the current line (or marked region),Remover a linha atual (ou região marcada),Descarta a linha atual (ou região marcada),ES,LLAMA,86.33400213704509
Indent the current line (or marked lines),aumentar o espaçamento da linha atual (ou das regiões marcadas),Recua a linha atual (ou linhas marcadas),ES,LLAMA,25.211936184349828
Unindent the current line (or marked lines),diminuir o espaço em branco da linha atual (ou das linhas marcadas),Remove recuo da linha atual (ou linhas marcadas),ES,LLAMA,35.55670235668696
Undo the last operation,Cancelar a última operação,Desfaz a última operação,ES,LLAMA,59.460355750136046
Redo the last undone operation,Rehacer a última operação desfeita.,Refaz a última operação desfeita,ES,LLAMA,50.81327481546149
Go back one character,Desfazer um caractere para trás,Volta em um caractere,ES,LLAMA,21.3643503198117
Go forward one character,avançar um caractere para frente,Avança em um caractere,ES,LLAMA,21.3643503198117
Go back one word,retroceder uma palavra,Retrocede em uma palavra,ES,LLAMA,39.43223765116288
Go forward one word,Adiante uma palavra,Avança em uma palavra,ES,LLAMA,39.43223765116288
Go to previous line,na linha anterior,Vai para a anterior linha,ES,LLAMA,17.799177396293473
Go to next line,na próxima linha,Vai para a próxima linha,ES,LLAMA,28.254432923044853
Go to beginning of current line,no começo da linha atual,Vai para o início da linha atual,ES,LLAMA,26.65429557589628
Go to end of current line,no final da linha atual,Vai para o fim da linha atual,ES,LLAMA,26.65429557589628
Go to previous block of text,Acerte em Ctrl+U para voltar ao bloco de texto anterior.,Vai para o bloco de texto anterior,ES,LLAMA,20.448007360218387
