original,translated,reference,context_languages,strategy,bleu
Usage: iconv [-c] [-s] [-f fromcode] [-t tocode] [file ...],Penggunaan: iconv [-c] [-s] [-f fromcode] [-t tocode] [berkas ...],Uso: iconv [-c] [-s] [-f fromcode] [-t tocode] [arquivo ...],"ID,DE",LLAMA,83.18180062062373
or:    iconv -l,"ou:
    iconv -l",ou:  iconv -l,"ID,DE",LLAMA,100.00000000000004
"Try '%s --help' for more information.
",Tente '%s --help' para mais informações.,"Tente ""%s --help"" para mais informações.
","ID,DE",LLAMA,33.010083098515025
"Usage: %s [OPTION...] [-f ENCODING] [-t ENCODING] [INPUTFILE...]
",Penggunaan: %s [OPSI...] [-f PENGKODEAN] [-e PENGKODEAN] [BERKAS MASUKAN...],"Uso: %s [OPÇÃO...] [-f CODIFICAÇÃO] [-t CODIFICAÇÃO] [ENTRADA...]
","ID,DE",LLAMA,41.902845957302084
"or:    %s -l
","ou também: %s -l
","ou:    %s -l
","ID,DE",LLAMA,53.7284965911771
"Converts text from one encoding to another encoding.
",Converta o texto de uma codificação para outra.,"Converte texto de uma codificação para outra.
","ID,DE",LLAMA,72.59795291154772
"Options controlling the input and output format:
",Opciones para controlar o formato de entrada e saída: 'DE',"Opções para controlar os formatos de entrada e saída:
","ID,DE",LLAMA,40.35278637463991
"  -f ENCODING, --from-code=ENCODING
                              the encoding of the input
","  -f ENCODING, --from-code=ENCODING
                              Entrada em codificação","  -f CODIFICAÇÃO, --from-code=CODIFICAÇÃO
                              a codificação de entrada
","ID,DE",LLAMA,18.04438612975343
"  -t ENCODING, --to-code=ENCODING
                              the encoding of the output
","  -t ENCODING, --to-code=ENCODING
                              Saída em codificação","  -t CODIFICAÇÃO, --to-code=CODIFICAÇÃO
                              a codificação da saída
","ID,DE",LLAMA,18.04438612975343
"Options controlling conversion problems:
","Opcões de controle para a transformação dos caracteres: 'ID', 'DE'","Opções para controlar problemas de conversão:
","ID,DE",LLAMA,4.456882760699063
"  -c                          discard unconvertible characters
", -c                           ignorar caracteres que não podem ser convertidos,"  -c                          descarta caracteres não conversíveis
","ID,DE",LLAMA,7.267884212102741
"  --unicode-subst=FORMATSTRING
                              substitution for unconvertible Unicode characters
","--unicode-subst=FORMATSTRING
                              Substituição para caracteres Unicode que não podem ser convertidos.","  --unicode-subst=TEXTOFORMATO
                              substituição de caracteres Unicode no conversíveis
","ID,DE",LLAMA,8.73716785171588
"  --byte-subst=FORMATSTRING   substitution for unconvertible bytes
","--byte-subst=FORMATSTRING   substitui bytes que não podem ser convertidos para string
","  --byte-subst=TEXTOFORMATO   substituição para bytes não conversíveis
","ID,DE",LLAMA,8.516593018819643
"  --widechar-subst=FORMATSTRING
                              substitution for unconvertible wide characters
","substituição de caracteres em largura --widechar-subst=FORMATSTRING
                              para caractere que não pode ser convertido.","  --widechar-subst=TEXTOFORMATO
                              substituição para caracteres amplos não conversíveis
","ID,DE",LLAMA,6.437165254072419
"Options controlling error output:
","Opciones para controlar la salida de errores: 'ID', 'DE'.","Opções para controlar saída de erro:
","ID,DE",LLAMA,8.054496384843702
"  -s, --silent                suppress error messages about conversion problems
","  -s, --silent                Não exibir mensagens relacionadas a problemas de conversão
","  -s, --silent                suprime mensagens de erro sobre problemas de conversão
","ID,DE",LLAMA,24.384183193426086
"Informative output:
",Keluaran informasi:,"Saída informativa:
","ID,DE",LLAMA,27.516060407455225
"  -l, --list                  list the supported encodings
","  -l, --list                   listagem de códigos suportados","  -l, --list                  lista das codificações com suporte
","ID,DE",LLAMA,21.191828141393902
"  --help                      display this help and exit
"," --help                       Mostrar este comando de ajuda e sair
","  --help                      exibe esta ajuda e sai
","ID,DE",LLAMA,12.22307556087252
"  --version                   output version information and exit
","--versao                    Exibir versão e sair
","  --version                   exibe informação da versão e sai
","ID,DE",LLAMA,14.320952289897704
