original,translated,reference,context_languages,strategy,bleu
Print the GStreamer version,Exibir a versão do GStreamer em português,Exibe a versão do GStreamer,"DE,RU",LLAMA,41.11336169005198
Make all warnings fatal,Trate todas as advertências como erros,Trata todos avisos como fatais,"DE,RU",LLAMA,8.116697886877475
Print available debug categories and exit,Exibir categorias de diagnóstico de erros disponíveis e encerrar o programa.,Exibe as categorias de depuração disponíveis e sair,"DE,RU",LLAMA,9.578464408619821
Default debug level from 1 (only error) to 9 (anything) or 0 for no output,"Vorgegebene Fehlerdiagnosestufe von 1 (nur Fehler) até 9 (tudo incluindo erros de sintaxe e lógica), ou 0 para nenhum resultado",Níveis de depuração predefinidos de 1 (apenas erros) até 9 (tudo) ou 0 para nenhuma saída,"DE,RU",LLAMA,22.128776529156546
LEVEL,estagio,NÍVEL,"DE,RU",LLAMA,0.0
"Comma-separated list of category_name:level pairs to set specific levels for the individual categories. Example: GST_AUTOPLUG:5,GST_ELEMENT_*:3","lista separada por vírgula de pares, no formato 'Categoria_Nome:Nível', para atribuir níveis específicos a cada categoria. Exemplo: GST_AUTOPLUG:5,GST_ELEMENT_*:3","Lista de ""categoria_nome:nível"" separados por vírgulas, para definir níveis específicos para as categorias individuais. Exemplo: GST_AUTOPLUG:5,GST_ELEMENT_*:3","DE,RU",LLAMA,45.711567402921155
LIST,LISTE,LISTA,"DE,RU",LLAMA,0.0
Disable colored debugging output,Desabilitar a exibição de mensagens de diagnóstico em cores,Desabilita saída de depuração colorida,"DE,RU",LLAMA,4.767707020457095
"Changes coloring mode of the debug log. Possible modes: off, on, disable, auto, unix","Modificar o modo de cores do protocolo de diagnóstico de erros. Modos possíveis: off (ausente), on (ativo), disable (desligado), auto e unix","Altera o modo de cor do log de depuração. Modos possíveis: off (desligado), on (ligado), disable (desabilitado), auto (automático) e unix","DE,RU",LLAMA,41.34653282617901
Disable debugging,Desabilitar diagnóstico de erros,Desabilita depuração,"DE,RU",LLAMA,0.0
Colon-separated paths containing plugins,"Por meio de dois pontos, separados por espaços em branco, listam os caminhos para encontrar as extensões do sistema.","Caminhos, separados por dois-pontos, de plug-ins","DE,RU",LLAMA,7.305267243289862
PATHS,PFADE,CAMINHOS,"DE,RU",LLAMA,0.0
Comma-separated list of plugins to preload in addition to the list stored in environment variable GST_PLUGIN_PATH,"Lista separada por vírgula de plugins, que adiciona ao conjunto dos plugins definidos na variável ambiente GST_PLUGIN_PATH.","Lista, separada por vírgulas, de plug-ins para pré-carregar além da lista armazenada na variável de ambiente GST_PLUGIN_PATH","DE,RU",LLAMA,26.773534472711976
PLUGINS,PLUGINS,PLUG-INS,"DE,RU",LLAMA,0.0
Disable trapping of segmentation faults during plugin loading,Desligue o rastreamento de acessos ao armazenamento falhos durante o carregamento de plugins,Desabilita intercepção das falhas de segmentação durante o carregamento do plug-in,"DE,RU",LLAMA,12.35622127262679
Disable updating the registry,Desabilitar a actualização da Registry,Desabilita atualização do registro,"DE,RU",LLAMA,0.0
Disable spawning a helper process while scanning the registry,Desligue o processo auxiliar enquanto a leitura da Registry é realizada.,Desabilita a criação de um processo auxiliar durante a análise do registro,"DE,RU",LLAMA,7.495553473355845
GStreamer Options,Opções de GStreamer,Opções do GStreamer,"DE,RU",LLAMA,34.66806371753173
Show GStreamer Options,Mostrar as opções de GStreamer,Exibe opções do GStreamer,"DE,RU",LLAMA,12.703318703865365
Unknown option,opção desconhecida,Opção desconhecida,"DE,RU",LLAMA,49.99999999999999
GStreamer encountered a general core library error.,GStreamer detectou um erro genérico na biblioteca central.,O GStreamer encontrou um erro geral na biblioteca principal.,"DE,RU",LLAMA,13.354339892249618
GStreamer developers were too lazy to assign an error code to this error.,"Os desenvolvedores de GStreamer foram muito preguiçosos, não atribuindo um número a este erro.",Os desenvolvedores do GStreamer são muito preguiçosos para definir um código de erro para esse erro.,"DE,RU",LLAMA,8.807535082379216
Internal GStreamer error: code not implemented.,Erro interno do GStreamer: código não implementado.,Erro interno no GStreamer: código não implementado.,"DE,RU",LLAMA,66.06328636027612
GStreamer error: state change failed and some element failed to post a proper error message with the reason for the failure.,Erro GStreamer: não foi possível alterar o estado e alguns elementos não conseguiram enviar uma mensagem de erro correta com uma justificativa.,Erro no GStreamer: falha ao alterar estado e algum elemento falhou ao enviar uma mensagem de erro apropriada com a razão da falha.,"DE,RU",LLAMA,19.852746473769834
Internal GStreamer error: pad problem.,Erro interno do GStreamer: problema de preenchimento.,Erro interno no GStreamer: problema no Pad.,"DE,RU",LLAMA,23.356898886410015
Internal GStreamer error: thread problem.,Erro interno do GStreamer: problema com a thread.,Erro interno no GStreamer: problema na thread.,"DE,RU",LLAMA,22.957488466614326
GStreamer error: negotiation problem.,Erro GStreamer: problema de ligação.,Erro no GStreamer: problema de negociação.,"DE,RU",LLAMA,39.44243648327556
Internal GStreamer error: event problem.,Erro interno do GStreamer: problema com o evento.,Erro interno no GStreamer: problema no evento.,"DE,RU",LLAMA,22.957488466614326
Internal GStreamer error: seek problem.,Erro interno do GStreamer: problema de busca.,Erro interno no GStreamer: problema na busca.,"DE,RU",LLAMA,26.084743001221455
Internal GStreamer error: caps problem.,Erro interno do GStreamer: problema de permissões.,Erro interno no GStreamer: problema no Caps.,"DE,RU",LLAMA,23.356898886410015
Internal GStreamer error: tag problem.,Erro interno do GStreamer: problema com os rótulos.,Erro interno no GStreamer: problema na etiqueta.,"DE,RU",LLAMA,20.556680845025987
Your GStreamer installation is missing a plug-in.,Sua instalação de GStreamer fica com um plugin ausente.,Sua instalação do GStreamer está com um plug-in faltando.,"DE,RU",LLAMA,13.134549472120794
GStreamer error: clock problem.,Erro GStreamer de tempo.,Erro no GStreamer: problema no temporizador.,"DE,RU",LLAMA,7.715486568024961
This application is trying to use GStreamer functionality that has been disabled.,Esta aplicação tenta utilizar a funcionalidade de GStreamer que foi desativada.,Este aplicativo está tentando usar uma funcionalidade do GStreamer que foi desabilitada.,"DE,RU",LLAMA,13.177929630227897
GStreamer encountered a general supporting library error.,"Erro do GStreamer da Internet: Problema com a biblioteca de suporte. Por favor, envie um relatório de erro.",O GStreamer encontrou um erro geral na biblioteca de suporte.,"DE,RU",LLAMA,12.436722085116983
Could not initialize supporting library.,A biblioteca de suporte não pôde ser inicializada.,Não foi possível iniciar a biblioteca de suporte.,"DE,RU",LLAMA,19.070828081828378
Could not close supporting library.,A biblioteca de suporte não pôde ser fechada.,Não foi possível fechar a biblioteca de suporte.,"DE,RU",LLAMA,19.070828081828378
Could not configure supporting library.,A biblioteca de suporte não pôde ser configurada.,Não foi possível configurar a biblioteca de suporte.,"DE,RU",LLAMA,19.070828081828378
Encoding error.,Erro de codificação.,Erro de codificação.,"DE,RU",LLAMA,100.00000000000004
GStreamer encountered a general resource error.,GStreamer detectou um erro de recursos gerais.,O GStreamer encontrou um erro geral nos recursos.,"DE,RU",LLAMA,12.256200970377108
Resource not found.,Recursos não encontrados.,Recurso não encontrado.,"DE,RU",LLAMA,18.99589214128981
Resource busy or not available.,Recurso em uso ou não disponível.,O recurso está ocupado ou não disponível.,"DE,RU",LLAMA,35.64026463354184
Could not open resource for reading.,A fonte não pôde ser aberta para leitura.,Não foi possível abrir o recurso para leitura.,"DE,RU",LLAMA,17.747405280050266
Could not open resource for writing.,A fonte não pôde ser aberta para escrita.,Não foi possível abrir o recurso para escrita.,"DE,RU",LLAMA,17.747405280050266
Could not open resource for reading and writing.,A fonte não pôde ser aberta para leitura e escrita.,Não foi possível abrir o recurso para leitura e escrita.,"DE,RU",LLAMA,35.08439695638686
Could not close resource.,A ferramenta não pode ser fechada.,Não foi possível fechar o recurso.,"DE,RU",LLAMA,6.567274736060395
Could not read from resource.,Não foi possível ler da fonte.,Não foi possível ler do recurso.,"DE,RU",LLAMA,43.47208719449914
Could not write to resource.,Não foi possível escrever na recurso.,Não foi possível escrever no recurso.,"DE,RU",LLAMA,48.892302243490086
Could not perform seek on resource.,Não foi possível executar o processo de pesquisa na recurso.,Não foi possível realizar uma busca no recurso.,"DE,RU",LLAMA,17.542198478193427
Could not synchronize on resource.,A fonte não pôde ser sincronizada.,Não foi possível sincronizar no recurso.,"DE,RU",LLAMA,6.567274736060395
Could not get/set settings from/on resource.,As configurações não podem ser lidas nem gravadas na recurso.,Não foi possível obter/definir configurações para/do recurso.,"DE,RU",LLAMA,7.574347133041985
No space left on the resource.,Não há mais espaço disponível na recurso.,Não foi deixado espaço no recurso.,"DE,RU",LLAMA,13.134549472120788
Not authorized to access resource.,Não tem permissão para acessar a recurso.,O acesso ao recurso não foi autorizado.,"DE,RU",LLAMA,6.567274736060395
GStreamer encountered a general stream error.,GStreamer detectou um erro de fluxo geral.,O GStreamer encontrou um erro geral no fluxo.,"DE,RU",LLAMA,12.827770611048305
Element doesn't implement handling of this stream. Please file a bug.,"O Elemento não pode processar este fluxo de dados. Por favor, envie um relatório de erro.","O elemento não implementa a manipulação desse fluxo. Por favor, relate o erro.","DE,RU",LLAMA,16.67955161379731
Could not determine type of stream.,A natureza do fluxo de dados não pôde ser determinada.,Não foi possível determinar o tipo do fluxo.,"DE,RU",LLAMA,8.29519350710986
The stream is of a different type than handled by this element.,O fluxo de dados é da mesma espécie que o processado por este elemento.,O fluxo é de um tipo diferente do que o manipulado por esse elemento.,"DE,RU",LLAMA,10.074708078532293
There is no codec present that can handle the stream's type.,Não há nenhum codec disponível que possa processar esse tipo de fluxo de dados.,Não há um CODEC presente que possa manipular esse tipo de fluxo.,"DE,RU",LLAMA,22.894156860669913
Could not decode stream.,O fluxo de dados não pôde ser decodificado.,Não foi possível decodificar o fluxo.,"DE,RU",LLAMA,5.669791110976001
Could not encode stream.,O fluxo de dados não pôde ser codificado.,Não foi possível codificar o fluxo.,"DE,RU",LLAMA,5.669791110976001
Could not demultiplex stream.,O fluxo de dados não pôde ser demultiplexado.,Não foi possível demultiplexar o fluxo.,"DE,RU",LLAMA,5.669791110976001
Could not multiplex stream.,O fluxo de dados não pôde ser multiplexado.,Não foi possível multiplexar o fluxo.,"DE,RU",LLAMA,5.669791110976001
