original,translated,reference,context_languages,strategy,bleu
(dir),(catálogo),(dir),ID,LLAMA,34.66806371753173
(parent dir),(ID do católico),(dir acima),ID,LLAMA,12.703318703865365
(huge),(максимальний),gigante,ID,LLAMA,0.0
Search Wrapped,O <span style='color:#007bff;'>pesquisa continuou desde o início</span>.,Pesquisa recomeçou,ID,LLAMA,0.0
This is the only occurrence,É apenas este ocorrido único.,Esta é a única ocorrência,ID,LLAMA,0.0
Search,Pesquisar,Pesquisa,ID,LLAMA,0.0
 [Backwards],Voltar, [Retroceder],ID,LLAMA,0.0
Cancelled,Cancelado,Cancelado,ID,LLAMA,100.00000000000004
No current search pattern,Não há necessidade de buscar nada atualmente,Nenhum padrão de pesquisa atualmente,ID,LLAMA,7.809849842300637
Cannot open directory: %s,Não é possível abrir o diretório: %s,Não foi possível abrir o diretório: %s,ID,LLAMA,75.06238537503395
Go To Directory,No catálogo,Ir para o diretório,ID,LLAMA,0.0
Can't go outside of %s,Não é possível sair do %s,Não é possível sair de %s,ID,LLAMA,48.892302243490086
Can't move up a directory,não é possível mover o diretório,Não é possível subir um diretório,ID,LLAMA,17.965205598154213
Error reading %s: %s,falha na leitura do arquivo %s: %s,Erro ao ler %s: %s,ID,LLAMA,39.281465090051306
The working directory has disappeared,O catálogo de trabalho desapareceu,O diretório de trabalho desapareceu,ID,LLAMA,42.72870063962342
Unknown syntax name: %s,Nome sintaxe desconhecido: %s,Nome de sintaxe desconhecido: %s,ID,LLAMA,67.31821382417488
magic_load() failed: %s,Erro ao carregar o arquivo mágico: %s,magic_load() falhou: %s,ID,LLAMA,17.747405280050266
magic_file(%s) failed: %s,"Erro ao acessar o arquivo %s
",magic_file(%s) falhou: %s,ID,LLAMA,7.417318111314057
Nothing was cut,Não há nada cortado,Nada foi cortado,ID,LLAMA,15.97357760615681
Copied nothing,Não foi possível copiar nada.,Nada foi copiado,ID,LLAMA,8.116697886877475
Cutbuffer is empty,O buffer de troca está vazio,buffer-de-transferência está vazio,ID,LLAMA,16.233395773754953
Error deleting lock file %s: %s,falha na exclusão do arquivo bloqueado %s: %s,Erro ao excluir o arquivo de trava %s: %s,ID,LLAMA,33.5295721026861
Couldn't determine my identity for lock file,não foi possível determinar o arquivo de bloqueio pessoal,Falha ao determinar minha ID para arquivo de trava,ID,LLAMA,10.552670315936318
Couldn't determine hostname: %s,Не foi possível determinar o nome do nó: %s,Falha ao determinar nome de máquina: %s,ID,LLAMA,15.851165692617148
Error writing lock file %s: %s,Erro de escrita no arquivo bloqueado %s: %s,Erro ao escrever o arquivo de trava %s: %s,ID,LLAMA,36.029870008455966
Someone else is also editing this file,Alguém ainda está editando este arquivo,Outra pessoa também está editando esse arquivo,ID,LLAMA,15.207218222740094
Error opening lock file %s: %s,Erro ao abrir arquivo bloqueado %s: %s,Erro ao abrir o arquivo de trava %s: %s,ID,LLAMA,44.30006936196753
Bad lock file is ignored: %s,Berkas kunci buruk diabaixo: %s,Arquivo de trava inválido é ignorado: %s,ID,LLAMA,18.370727471078336
"File %s is being edited by %s (with %s, PID %s); open anyway?","Arquivo %s atualmente está sendo editado pelo usuário %s (com a ajuda de %s, PID %s); abra se quiser?","Arquivo %s sendo editado (por %s com %s, PID %s). Abrir mesmo assim?",ID,LLAMA,30.1860476134146
