original,translated,reference,context_languages,strategy,bleu
Not enough memory.,Não há blocos de memória suficientes.,Memória insuficiente.,"VI,FR",LLAMA,6.567274736060395
Setting a value for this tag is unsupported!,Não há suporte para atribuir um valor a este descriptor!,Não há suporte à definição de um valor para esta etiqueta!,"VI,FR",LLAMA,17.423472443716534
"Too few components specified (need %d, found %d)
","Chamamento para ajuste excessivo de componentes (%d necessários, %d identificados)","Muito poucos componentes especificados (precisa de %d, encontrou %d)
","VI,FR",LLAMA,9.103526405546068
"Numeric value expected
",Cần một giá trị bằng số,"Valor numérico esperado
","VI,FR",LLAMA,0.0
Internal error. Please contact <%s>.,Lỗi nội bộ. Hãy liên lạc với <%s>.,"Erro interno. Por favor, contate <%s>.","VI,FR",LLAMA,30.26643726685862
Not yet implemented!,Não foi possível concluir a operação!,Não implementado ainda!,"VI,FR",LLAMA,7.809849842300637
Warning; Too many components specified!,CANAL DE RENDA: pouco de informação especificada no componente!,Aviso; Especificados componentes demais!,"VI,FR",LLAMA,3.7477767366779213
Too much EXIF data (%i bytes). Only %i bytes are allowed.,Excepcional quantidade de dados EXIF (%i byte). Permite apenas %i byte.,Dados EXIF demais (%i bytes). Apenas %i bytes são permitidos.,"VI,FR",LLAMA,13.32358437599213
Could not write '%s' (%s).,Não é possível gravar '%s' (%s).,"Não foi possível escrever ""%s"" (%s).","VI,FR",LLAMA,32.80424072511114
Wrote file '%s'.,"Giti para o arquivo ""%s"".","Escrever arquivo ""%s"".","VI,FR",LLAMA,58.73949094699213
EXIF entry '%s' ,"Mục tin EXIF ""%s""","Entrada EXIF ""%s""","VI,FR",LLAMA,61.47881529512643
"(0x%x, '%s') ","(0x%x, '%s') ","(0x%x, ""%s"") ","VI,FR",LLAMA,43.44371253135793
"exists in IFD '%s':
","está presente no IFD ""%s"":","existe em IFD ""%s"":
","VI,FR",LLAMA,58.73949094699213
Adding entry...,Adicione o item...,Adicionando entrada...,"VI,FR",LLAMA,30.213753973567677
IFD '%s' does not contain a tag '%s'!,"IFD ""%s"" não contém nenhum sinal de falha para o termo '%s'!","IFD ""%s"" não contém uma etiqueta ""%s""!","VI,FR",LLAMA,34.82352832757854
Could not open '%s' (%s)!,"Não é possível abrir ""%s"" (%s)!","Não foi possível abrir ""%s"" (%s)!","VI,FR",LLAMA,84.23626743789745
Could not determine size of '%s' (%s).,Não é possível determinar o tamanho do arquivo '%s' (%s).,"Não foi possível determinar o tamanho de ""%s"" (%s).","VI,FR",LLAMA,40.325042950627804
Could not read '%s' (%s).,Não é possível ler o arquivo %s (%s).,"Não foi possível ler ""%s"" (%s)!","VI,FR",LLAMA,26.911091103444726
IFD '%s' does not contain tag '%s'.,"Se o IFD ""%s"" não contém a etiqueta ""%s"".","IFD ""%s"" não contém uma etiqueta ""%s"".","VI,FR",LLAMA,67.39047062564734
'%s' does not contain tag '%s'.,%s,"""%s"" não contém uma etiqueta ""%s""!","VI,FR",LLAMA,0.40867714384640685
'%s' does not contain a thumbnail!,"IFD ""%s"" não possui imagens de modelo exibidas!","IFD ""%s"" não contém uma miniatura!","VI,FR",LLAMA,43.36189090348677
Could not open '%s' for writing (%s)!,Không thêm nenhum arquivo %s%d para gravação!,"Não foi possível abrir ""%s"" para escrita (%s)!","VI,FR",LLAMA,6.551842408522355
EXIF tags in '%s':,"Thêm thể EXIF trong ""%s"":","Etiquetas EXIF em ""%s"":","VI,FR",LLAMA,46.713797772819994
"Unknown format or nonexistent MakerNote.
",Não é possível determinar o formato ou não há informações no MakerNote.,"Formato desconhecido ou MakerNote inexistente.
","VI,FR",LLAMA,4.065425428798724
"MakerNote does not contain any value.
",MakerNote não contém valor.,"MakerNote não contém qualquer valor.
","VI,FR",LLAMA,40.93653765389909
Unknown Tag,Sem identificação do chip (Thẻ),Etiqueta desconhecida,"VI,FR",LLAMA,0.0
Unknown value,Valor desconhecido,Valor desconhecido,"VI,FR",LLAMA,100.00000000000004
EXIF tags in '%s' ('%s' byte order):,"Thẻ EXIF trong ""%s"" (thứ tự byte %d):","Tags EXIF em ""%s"" (ordem de ""%s"" byte):","VI,FR",LLAMA,27.073126310761644
Tag,Thẻ,Etiqueta,"VI,FR",LLAMA,0.0
Value,Valor,Valor,"VI,FR",LLAMA,100.00000000000004
EXIF data contains a thumbnail (%i bytes).,As dados EXIF contêm uma imagem de modelo (%i byte).,Dados EXIF contêm uma miniatura (%i bytes).,"VI,FR",LLAMA,20.200106912694157
"ThumbnailSize	%i
",Kích cỡ ảnh mẫu	%i,"TamanhoMiniatura	%i
","VI,FR",LLAMA,16.233395773754953
Display software version,Filtragem de vídeo,Exiba a versão do software,"VI,FR",LLAMA,0.0
Show IDs instead of tag names,"Olá! Seja bem vindo ao nosso sistema. Para ver o seu número de identificação, você pode digitar 'Hiển thị mã số'.",Mostra IDs em vez de nomes de etiquetas,"VI,FR",LLAMA,1.506189323093867
Select tag,Selecione o sinal,Seleciona uma etiqeuta,"VI,FR",LLAMA,0.0
tag,thẻ,etiqueta,"VI,FR",LLAMA,0.0
Select IFD,Chose IFD,Seleciona IFD,"VI,FR",LLAMA,49.99999999999999
IFD,IFD,IFD,"VI,FR",LLAMA,100.00000000000004
List all EXIF tags,Liste todos os marcadores EXIF,Lista todas as etiquetas EXIF,"VI,FR",LLAMA,10.682175159905848
Show contents of tag MakerNote,Contenido atual do marcação MakerNote,Mostra conteúdos ,"VI,FR",LLAMA,0.0
Remove tag or ifd,Borra o sinal ou IFD,Remove etiqueta ou ifd,"VI,FR",LLAMA,10.682175159905848
Show description of tag,Esta é a descrição atual do marcador.,Mostra descrição de etiqueta,"VI,FR",LLAMA,5.522397783539471
Extract thumbnail,Trincheir de imagem pequena,Extrai miniatura,"VI,FR",LLAMA,0.0
Remove thumbnail,Remova a miniatura do arquivo,Remove miniatura,"VI,FR",LLAMA,10.682175159905848
Insert FILE as thumbnail,Inscreva o arquivo como imagem de modelo.,Insere ARQUIVO como miniatura,"VI,FR",LLAMA,5.522397783539471
FILE,TÁ PENSANDO?,ARQUIVO,"VI,FR",LLAMA,0.0
Do not fix existing tags in files,Não faça alterações em marcadores já existentes no arquivo,Não fixa etiquetas existentes em arquivos,"VI,FR",LLAMA,6.27465531099474
Write data to FILE,Ghi dữ liệu vào TẬP TIN,Escreve dados para ARQUIVO,"VI,FR",LLAMA,0.0
Value of tag,Valor do sinal,Valor de uma etiqueta,"VI,FR",LLAMA,19.716118825581447
STRING,CHUỖI,STRING,"VI,FR",LLAMA,0.0
Create EXIF data if not existing,Táo dữ liệu EXIF nếu không có.,"Cria dados EXIF, se não existentes","VI,FR",LLAMA,5.522397783539471
Output in a machine-readable (tab delimited) format,Saída em um padrão legível para computador (delimitado por espaços),"Saída em um formato legível por máquina (delimitado por ""tab"")","VI,FR",LLAMA,19.284170861795207
Width of output,largura da saída de produto finalizado,Largura da saída,"VI,FR",LLAMA,16.233395773754953
WIDTH,RỘNG,LARGURA,"VI,FR",LLAMA,0.0
Output in a XML format,Saída em formato XML,Saída em um formato XML,"VI,FR",LLAMA,35.1862973998119
Show debugging messages,Hiện thông tin gỡ lỗi,Mostra mensagens de depuração,"VI,FR",LLAMA,0.0
Help options:,Escolha ajuda:,Opções de ajuda:,"VI,FR",LLAMA,39.43223765116288
Show this help message,Olá! Estou aqui para ajudar.,Mostra esta mensagem de ajuda,"VI,FR",LLAMA,0.0
Display brief usage message,Olá! Aqui está uma breve nota de uso.,Exibe uma breve mensagem de uso,"VI,FR",LLAMA,11.868405219520975
[OPTION...] file,[TÙY_CHỌN...] tập_tin,[OPÇÃO...] arquivo,"VI,FR",LLAMA,24.808415001701817
"Invalid IFD '%s'. Valid IFDs are '0', '1', 'EXIF', 'GPS', and 'Interoperability'.","IFD não é hora lê %s. Os IFD válidos são: 
 • 0
 • 1
 • EXIF
 • GPS
 • Interoperabilidade","IFD inválido ""%s"". IFDs válidos são ""0"", ""1"", ""EXIF"", ""GPS"" e ""Interoperability"".","VI,FR",LLAMA,4.3197485637583535
Invalid tag '%s'!,"Thẻ không hợp lệ ""%s""!","Etiqueta inválida ""%s""!","VI,FR",LLAMA,44.63236137853326
You need to specify a tag!,Você precisa especificar um marcador!,Você precisa especificar uma etiqueta!,"VI,FR",LLAMA,32.46679154750991
You need to specify an IFD!,Você precisa especificar um IFD!,Você precisa especificar um IFD!,"VI,FR",LLAMA,100.00000000000004
Tag '%s' ,"Thẻ ""%s"" ","Tag ""%s""","VI,FR",LLAMA,66.87403049764218
"(0x%04x, '%s'): ","(0x%04x, '%s'): ","(0x%04x, ""%s""): ","VI,FR",LLAMA,42.2683921634124
Specify input file or --create-exif,Chia em disco ou --create-exif para adicionar metadados EXIF ao arquivo.,Especifique um arquivo de entrada ou --create-exif,"VI,FR",LLAMA,7.495553473355845
'%s' is not readable or does not contain EXIF data!,%s,"""%s"" não é legível ou não contém dados EXIF!","VI,FR",LLAMA,0.40867714384640685
XML format is not available for Maker Notes,O formato XML não está disponível para notas do criador.,Formato XML não está disponível para Maker Notes,"VI,FR",LLAMA,35.08439695638686
