original,translated,reference,context_languages,strategy,bleu
Print the GStreamer version,Imprimir a versão GStreamer,Exibe a versão do GStreamer,,NLLB,27.534765745159184
Make all warnings fatal,Tornem todos os avisos fatais .,Trata todos avisos como fatais,,NLLB,10.682175159905853
Print available debug categories and exit,Impressão de categorias debug disponíveis e saída,Exibe as categorias de depuração disponíveis e sair,,NLLB,13.540372457315735
Default debug level from 1 (only error) to 9 (anything) or 0 for no output,Nível de depuração padrão de 1 (só erro) para 9 (qualquer coisa) ou 0 para nenhuma saída,Níveis de depuração predefinidos de 1 (apenas erros) até 9 (tudo) ou 0 para nenhuma saída,,NLLB,33.86854985606571
LEVEL,Nível,NÍVEL,,NLLB,0.0
"Comma-separated list of category_name:level pairs to set specific levels for the individual categories. Example: GST_AUTOPLUG:5,GST_ELEMENT_*:3","Lista com coma separada de categorias_nome: pares de níveis para definir níveis específicos para as categorias individuais.Exemplo: GST_AUTOPLUG:5,GST_ELEMENT_*:3","Lista de ""categoria_nome:nível"" separados por vírgulas, para definir níveis específicos para as categorias individuais. Exemplo: GST_AUTOPLUG:5,GST_ELEMENT_*:3",,NLLB,68.6146256450251
LIST,LISTA,LISTA,,NLLB,100.00000000000004
Disable colored debugging output,Desativar saída de depuração colorida,Desabilita saída de depuração colorida,,NLLB,66.87403049764218
"Changes coloring mode of the debug log. Possible modes: off, on, disable, auto, unix","Altera o modo de coloração do log de depuração. Modos possíveis: desligado, ligado, desativado, automático, unix","Altera o modo de cor do log de depuração. Modos possíveis: off (desligado), on (ligado), disable (desabilitado), auto (automático) e unix",,NLLB,27.669697888172745
Disable debugging,Desativar depuração,Desabilita depuração,,NLLB,49.99999999999999
Colon-separated paths containing plugins,Caminhos separados por coluna contendo plugins,"Caminhos, separados por dois-pontos, de plug-ins",,NLLB,12.872632311973014
PATHS,Caminhos,CAMINHOS,,NLLB,0.0
