original,translated,reference,context_languages,strategy,bleu
invalid argument %s for %s,argumento inválido %s para %s,argumento inválido para %s: %s,,NLLB,31.14727939501627
ambiguous argument %s for %s,argumento ambíguo %s para %s,argumento ambíguo %s para %s,,NLLB,100.00000000000004
Valid arguments are:,Os argumentos válidos são:,Argumentos válidos são:,,NLLB,39.76353643835254
regular empty file,arquivo vazio regular,arquivo comum vazio,,NLLB,34.66806371753173
regular file,arquivo regular,arquivo comum,,NLLB,49.99999999999999
directory,diretório,diretório,,NLLB,100.00000000000004
symbolic link,ligação simbólica,link simbólico,,NLLB,0.0
message queue,fila de mensagens,fila de mensagem,,NLLB,55.03212081491043
semaphore,semáforo,semáforo,,NLLB,100.00000000000004
shared memory object,Objeto de memória compartilhada,objeto em memória compartilhada,,NLLB,31.947155212313625
typed memory object,Objeto de memória digitado,objeto de memória tipificada,,NLLB,31.947155212313625
block special file,Bloquear arquivo especial,arquivo especial de bloco,,NLLB,39.43223765116288
character special file,arquivo especial de caracteres,arquivo especial de caractere,,NLLB,59.460355750136046
contiguous data,dados contíguos,dados contíguos,,NLLB,100.00000000000004
fifo,FIFO,fifo,,NLLB,0.0
door,porta,porta,,NLLB,100.00000000000004
multiplexed block special file,arquivo especial do bloco multiplexado,arquivo multiplexado especial de bloco,,NLLB,15.106876986783837
multiplexed character special file,arquivo especial de caracteres múltiplos,arquivo multiplexado especial de caractere,,NLLB,23.643540225079395
multiplexed file,arquivo multiplexado,arquivo multiplexado,,NLLB,100.00000000000004
named file,arquivo denominado,arquivo nomeado,,NLLB,49.99999999999999
network special file,arquivo especial da rede,arquivo especial de rede,,NLLB,35.35533905932737
migrated file with data,Migração de arquivo com dados,arquivo migrado com dados,,NLLB,23.643540225079395
migrated file without data,ficheiro migrado sem dados,arquivo migrado sem dados,,NLLB,59.460355750136046
port,porto,porta,,NLLB,0.0
socket,soquete,soquete,,NLLB,100.00000000000004
whiteout,em branco,whiteout,,NLLB,0.0
weird file,Arquivo estranho,arquivo estranho,,NLLB,49.99999999999999
program error,erro de programa,erro do programa,,NLLB,34.66806371753173
stack overflow,transbordamento de pilhas,estouro de pilha,,NLLB,27.516060407455225
Try '%s --help' for more information.,Tente '%s --help' para mais informações.,"Tente ""%s --help"" para mais informações.",,NLLB,33.010083098515025
Unknown system error,Erro de sistema desconhecido,Erro desconhecido de sistema,,NLLB,37.99178428257963
"%s: option '%s%s' is ambiguous
",%s: a opção '%s%s' é ambígua,"%s: a opção ""%s%s"" é ambígua
",,NLLB,42.86982293646294
%s: option '%s%s' is ambiguous; possibilities:,%s: a opção '%s%s' é ambígua; possibilidades:,"%s: a opção ""%s%s"" é ambígua; possibilidades:",,NLLB,54.01152096367797
"%s: unrecognized option '%s%s'
",%s: opção não reconhecida '%s%s',"%s: opção desconhecida ""%s%s""
",,NLLB,33.932513407933634
"%s: option '%s%s' doesn't allow an argument
",%s: opção '%s%s' não permite um argumento,"%s: a opção ""%s%s"" não permite argumento
",,NLLB,21.51324446636554
"%s: option '%s%s' requires an argument
",%s: a opção '%s%s' requer um argumento,"%s: a opção ""%s%s"" exige um argumento
",,NLLB,39.355951621009716
"%s: invalid option -- '%c'
",%s: opção inválida -- '%c',"%s: opção inválida -- ""%c""
",,NLLB,54.627576446464936
"%s: option requires an argument -- '%c'
",%s: opção requer um argumento -- '%c',"%s: a opção exige um argumento -- ""%c""
",,NLLB,21.0205253640269
`,`,“,,NLLB,0.0
,"- Não , não , não .",”,,NLLB,0.0
Success,Sucesso,Sucesso,,NLLB,100.00000000000004
No match,Não há coincidência.,Nenhuma ocorrência do padrão,,NLLB,0.0
Invalid regular expression,Expressão regular inválida,Expressão regular inválida,,NLLB,100.00000000000004
Invalid collation character,Características inválidas da colheita,caractere de combinação inválido,,NLLB,0.0
Invalid character class name,Nome inválido da classe de caracteres,Nome inválido da classe de caracteres,,NLLB,100.00000000000004
Trailing backslash,Ressaca atrás,Barra invertida no final,,NLLB,0.0
Invalid back reference,Referência de volta inválida,Retrorreferência inválida,,NLLB,15.97357760615681
"Unmatched [, [^, [:, [., or [=","Não igualado [, [^, [:, [., ou [=]","[, [^, [:, [. ou [= sem correspondente",,NLLB,63.019085559238604
Unmatched ( or \(,Inigualável (ou \(,( ou \( sem correspondente,,NLLB,54.75182535069452
Unmatched \{,Inigualável .,\{ sem correspondente,,NLLB,0.0
Invalid content of \{\},Conteúdo inválido de \{\},Conteúdo inválido de \{\},,NLLB,100.00000000000004
Invalid range end,Fim de faixa inválido,Fim do intervalo inválido,,NLLB,18.99589214128981
Memory exhausted,Memória esgotada,Memória esgotada,,NLLB,100.00000000000004
Invalid preceding regular expression,Invalida anterior à expressão regular,A expressão regular precedente é inválida,,NLLB,17.491650626361256
Premature end of regular expression,Fim prematuro da expressão regular,Fim prematuro da expressão regular,,NLLB,100.00000000000004
Regular expression too big,A expressão regular é grande demais.,Expressão regular grande demais,,NLLB,14.535768424205482
Unmatched ) or \),Inigualável) ou \),) ou \) sem correspondente,,NLLB,54.75182535069452
No previous regular expression,Nenhuma expressão regular anterior,Nenhuma expressão regular anterior,,NLLB,100.00000000000004
"Packaged by %s (%s)
",Embalado por %s (%s),"Empacotado por %s (%s)
",,NLLB,84.08964152537145
"Packaged by %s
",Embalado por %s,"Empacotado por %s
",,NLLB,59.460355750136046
(C),(C),(C),,NLLB,100.00000000000004
"License GPLv3+: GNU GPL version 3 or later <%s>.
This is free software: you are free to change and redistribute it.
There is NO WARRANTY, to the extent permitted by law.
","Licença GPLv3+: GNU GPL versão 3 ou posterior <%s>.
Este é um software livre: você é livre para alterá-lo e redistribuí-lo.
Não há garantia, na medida permitida pela lei.","Licença GPLv3+: GNU GPL versão 3 ou posterior <%s>.
Este é um software livre: você é livre para alterá-lo e redistribuí-lo.
NÃO HÁ QUALQUER GARANTIA, na máxima extensão permitida em lei.
",,NLLB,73.72668414459815
"Written by %s.
",Escrito por %s.,"Escrito por %s.
",,NLLB,100.00000000000004
"Written by %s and %s.
",Escrito por %s e %s.,"Escrito por %s e %s.
",,NLLB,100.00000000000004
"Written by %s, %s, and %s.
","Escrito por %s, %s e %s.","Escrito por %s, %s e %s.
",,NLLB,100.00000000000004
"Written by %s, %s, %s,
and %s.
","Escrito por %s, %s, %s,
e %s.","Escrito por %s, %s, %s
e %s.
",,NLLB,80.03203203845001
"Written by %s, %s, %s,
%s, and %s.
","Escrito por %s, %s, %s,
%s e %s.","Escrito por %s, %s, %s
%s e %s.
",,NLLB,82.82477531331043
"Written by %s, %s, %s,
%s, %s, and %s.
","Escrito por %s, %s, %s,
%s, %s e %s.","Escrito por %s, %s, %s
%s, %s e %s.
",,NLLB,85.78928092681431
"Written by %s, %s, %s,
%s, %s, %s, and %s.
","Escrito por %s, %s, %s,
%s, %s, %s e %s.","Escrito por %s, %s, %s
%s, %s, %s e %s.
",,NLLB,87.87419089273847
"Written by %s, %s, %s,
%s, %s, %s, %s,
and %s.
","Escrito por %s, %s, %s,
%s, %s, %s, %s, %s,
e %s.","Escrito por %s, %s, %s
%s, %s, %s, %s
e %s.
",,NLLB,71.00661444783827
"Written by %s, %s, %s,
%s, %s, %s, %s,
%s, and %s.
","Escrito por %s, %s, %s,
%s, %s, %s, %s, %s,
%s e %s.","Escrito por %s, %s, %s
%s, %s, %s, %s
%s e %s.
",,NLLB,72.98926162113924
"Written by %s, %s, %s,
%s, %s, %s, %s,
%s, %s, and others.
","Escrito por %s, %s, %s,
%s, %s, %s, %s, %s,
%s, %s e outros.","Escrito por %s, %s, %s
%s, %s, %s, %s,
%s, %s e outros.
",,NLLB,82.83995163558046
"Report bugs to: %s
",Relatar erros para: %s,"Relate erros para: %s
Relate erros de tradução para <http://translationproject.org/team/pt_BR.html>
",,NLLB,1.9422565110272496
"Report %s bugs to: %s
",Relatar bugs de %s para: %s,"Relate os erros do %s para: %s
",,NLLB,52.562405949030286
"%s home page: <%s>
",Página inicial do %s: <%s>,"Página do %s: <%s>
",,NLLB,78.25422900366438
"General help using GNU software: <%s>
",Ajuda geral usando o software GNU: <%s>,"Ajuda em geral no uso de software GNU: <%s>
",,NLLB,50.66546237581824
memory exhausted,Memória esgotada,memória esgotada,,NLLB,49.99999999999999
stdin,O que é isso?,entrada padrão (stdin),,NLLB,0.0
stdout,O que é isso?,saída padrão (stdout),,NLLB,0.0
stderr,S.r.r.r.r.,erro padrão (stderr),,NLLB,0.0
unknown stream,fluxo desconhecido,fluxo desconhecido,,NLLB,100.00000000000004
failed to reopen %s with mode %s,falhou em reabrir %s com o modo %s,falha ao reabrir %s com modo %s,,NLLB,37.99178428257963
"Files %s and %s differ
",Arquivos %s e %s diferem,"Os arquivos %s e %s são diferentes
",,NLLB,46.19993369945709
"Binary files %s and %s differ
",Arquivos binários %s e %s diferem,"Os arquivos binários %s e %s são diferentes
",,NLLB,52.98765308495279
No newline at end of file,Não há linha nova no final do arquivo,Nenhum caractere de nova linha no final do arquivo,,NLLB,33.76459109063278
Torbjorn Granlund,Torbjorn Granlund,Torbjorn Granlund,,NLLB,100.00000000000004
David MacKenzie,David MacKenzie,David MacKenzie,,NLLB,100.00000000000004
invalid --ignore-initial value %s,inválido --ignore-valor inicial %s,valor inválido --ignore-initial %s,,NLLB,23.643540225079395
options -l and -s are incompatible,As opções -l e -s são incompatíveis,as opções -l e -s são incompatíveis,,NLLB,80.91067115702207
write failed,escrever falhou,erro de escrita,,NLLB,0.0
standard output,saída padrão,saída padrão,,NLLB,100.00000000000004
"-b, --print-bytes          print differing bytes","-b, --print-bytes imprimir bytes diferentes","-b, --print-bytes          imprime os bytes diferentes",,NLLB,32.159351091190125
"-i, --ignore-initial=SKIP         skip first SKIP bytes of both inputs","-i, --ignore-initial=SKIP saltar os primeiros bytes SKIP de ambas as entradas","-i, --ignore-initial=SALTO        ignora os primeiros SALTO bytes da entrada",,NLLB,21.97281387499716
"-i, --ignore-initial=SKIP1:SKIP2  skip first SKIP1 bytes of FILE1 and
                                      first SKIP2 bytes of FILE2","-i, --ignore-initial=SKIP1:SKIP2 saltar os primeiros bytes SKIP1 do FILE1 e
primeiro byte SKIP2 do FILE2","-i, --ignore-initial=SALTO1:SALTO2
                                  ignora os primeiros SALTO1 bytes do ARQUIVO1
                                    e os primeiros SALTO2 bytes do ARQUIVO2",,NLLB,15.777191181545202
"-l, --verbose              output byte numbers and differing byte values","-l, --verbose números de byte de saída e valores de byte diferentes","-l, --verbose              emite os números de bytes e os valores de
                             todos os bytes diferentes",,NLLB,14.287853938784258
"-n, --bytes=LIMIT          compare at most LIMIT bytes","-n, --bytes=LIMIT comparar no máximo bytes LIMIT","-n, --bytes=LIMITE         compara no máximo LIMITE bytes",,NLLB,32.46679154750989
"-s, --quiet, --silent      suppress all normal output","-s, --quiet, --silent suprimir todas as saídas normais","-s, --quiet, --silent      suprime todas saídas normais",,NLLB,46.713797772819994
