original,translated,reference,context_languages,strategy,bleu
invalid argument %s for %s,argumento %s para %s não é válido,argumento inválido para %s: %s,"VI,FR",LLAMA,23.356898886410015
ambiguous argument %s for %s,argumento %s ambíguo para %s,argumento ambíguo %s para %s,"VI,FR",LLAMA,33.437015248821105
Valid arguments are:,Os argumentos válidos são:,Argumentos válidos são:,"VI,FR",LLAMA,39.76353643835252
regular empty file,ficheiro regular vazio,arquivo comum vazio,"VI,FR",LLAMA,27.516060407455225
regular file,arquivo regular,arquivo comum,"VI,FR",LLAMA,49.99999999999999
directory,diretório,diretório,"VI,FR",LLAMA,100.00000000000004
symbolic link,símbolo tautológico,link simbólico,"VI,FR",LLAMA,0.0
message queue,fila de mensagens em espera para transmissão,fila de mensagem,"VI,FR",LLAMA,13.134549472120788
semaphore,semafor,semáforo,"VI,FR",LLAMA,0.0
shared memory object,objeto de memória compartilhada,objeto em memória compartilhada,"VI,FR",LLAMA,35.35533905932737
typed memory object,objeto de memória tipado,objeto de memória tipificada,"VI,FR",LLAMA,59.460355750136046
block special file,arquivo bloco especial,arquivo especial de bloco,"VI,FR",LLAMA,28.435563904324646
character special file,arquivo de caracteres especiais,arquivo especial de caractere,"VI,FR",LLAMA,18.99589214128981
contiguous data,dados sequenciais,dados contíguos,"VI,FR",LLAMA,49.99999999999999
fifo,"FIFO (primeiro a entrar, primeiro a sair)",fifo,"VI,FR",LLAMA,0.0
door,porta,porta,"VI,FR",LLAMA,100.00000000000004
multiplexed block special file,bloco especial de arquivo com múltiplos blocos multiplexados,arquivo multiplexado especial de bloco,"VI,FR",LLAMA,13.134549472120788
multiplexed character special file,berkas spesial karakter ter-multipleks,arquivo multiplexado especial de caractere,"VI,FR",LLAMA,0.0
multiplexed file,arquivo múltiplo,arquivo multiplexado,"VI,FR",LLAMA,49.99999999999999
named file,cabecalho do arquivo,arquivo nomeado,"VI,FR",LLAMA,27.516060407455225
network special file,arquivo especial de rede,arquivo especial de rede,"VI,FR",LLAMA,100.00000000000004
migrated file with data,migração de arquivo com dados,arquivo migrado com dados,"VI,FR",LLAMA,23.643540225079384
migrated file without data,arquivo termigravado sem dados,arquivo migrado sem dados,"VI,FR",LLAMA,35.35533905932737
port,porta,porta,"VI,FR",LLAMA,100.00000000000004
socket,soquete,soquete,"VI,FR",LLAMA,100.00000000000004
whiteout,branqueamento (whiteout),whiteout,"VI,FR",LLAMA,15.97357760615681
weird file,cabeca desfeita,arquivo estranho,"VI,FR",LLAMA,0.0
program error,erro do programa,erro do programa,"VI,FR",LLAMA,100.00000000000004
stack overflow,pilha de sobrecarga,estouro de pilha,"VI,FR",LLAMA,34.66806371753173
Try '%s --help' for more information.,"Crie um comando que, quando digitado em linha de comando, exiba informações adicionais sobre o uso do programa.","Tente ""%s --help"" para mais informações.","VI,FR",LLAMA,2.159701133933343
Unknown system error,Erro do sistema não reconhecido,Erro desconhecido de sistema,"VI,FR",LLAMA,12.703318703865365
"%s: option '%s%s' is ambiguous
","%s: opção ""%s%s"" ambígua
","%s: a opção ""%s%s"" é ambígua
","VI,FR",LLAMA,59.91417036512659
%s: option '%s%s' is ambiguous; possibilities:,"%s: a opção ""%s%s"" é ambígua; as possibilidades são :","%s: a opção ""%s%s"" é ambígua; possibilidades:","VI,FR",LLAMA,78.1944896501312
"%s: unrecognized option '%s%s'
",%s: pilihan tidak dikenal “%s%s”,"%s: opção desconhecida ""%s%s""
","VI,FR",LLAMA,23.462350320527996
"%s: option '%s%s' doesn't allow an argument
","%s: a opção '%s%s' não permite argumento
","%s: a opção ""%s%s"" não permite argumento
","VI,FR",LLAMA,44.06401630925027
"%s: option '%s%s' requires an argument
","%s: a opção '%s%s' não permite argumento
","%s: a opção ""%s%s"" exige um argumento
","VI,FR",LLAMA,36.883688707312125
"%s: invalid option -- '%c'
",%s: opção -- “%c” não é válida,"%s: opção inválida -- ""%c""
","VI,FR",LLAMA,25.965358893403383
"%s: option requires an argument -- '%c'
","%s: opção -- “%c” requer um argumento
","%s: a opção exige um argumento -- ""%c""
","VI,FR",LLAMA,16.44945005613896
`,‘,“,"VI,FR",LLAMA,0.0
',"""",”,"VI,FR",LLAMA,0.0
Success,Thành công,Sucesso,"VI,FR",LLAMA,0.0
No match,Não é adequado.,Nenhuma ocorrência do padrão,"VI,FR",LLAMA,0.0
Invalid regular expression,A expressão regular não é válida,Expressão regular inválida,"VI,FR",LLAMA,8.116697886877475
Invalid collation character,Caractere de colação não é válido,caractere de combinação inválido,"VI,FR",LLAMA,8.116697886877475
Invalid character class name,Nome do curso de caracteres não é válido,Nome inválido da classe de caracteres,"VI,FR",LLAMA,12.22307556087252
Trailing backslash,Akhiran backslash,Barra invertida no final,"VI,FR",LLAMA,0.0
Invalid back reference,A referência balik não é válida,Retrorreferência inválida,"VI,FR",LLAMA,0.0
"Unmatched [, [^, [:, [., or [=","Chão ou nenhum par de caracteres [, [^, [:, [., ou [=","[, [^, [:, [. ou [= sem correspondente","VI,FR",LLAMA,52.75855485130294
Unmatched ( or \(,( ou \(,( ou \( sem correspondente,"VI,FR",LLAMA,60.653065971263366
Unmatched \{,"\{ sans pasange 
",\{ sem correspondente,"VI,FR",LLAMA,31.947155212313625
Invalid content of \{\},O conteúdo de \{\} não é válido,Conteúdo inválido de \{\},"VI,FR",LLAMA,39.281465090051306
Invalid range end,Akhir rentang tidak valid,Fim do intervalo inválido,"VI,FR",LLAMA,0.0
Memory exhausted,Memória esgotada,Memória esgotada,"VI,FR",LLAMA,100.00000000000004
Invalid preceding regular expression,Expressão regular que impede a validade não é permitida,A expressão regular precedente é inválida,"VI,FR",LLAMA,5.669791110976001
Premature end of regular expression,A expressão regular termina prematuramente.,Fim prematuro da expressão regular,"VI,FR",LLAMA,16.233395773754953
Regular expression too big,Expressão regular muito grande,Expressão regular grande demais,"VI,FR",LLAMA,35.35533905932737
Unmatched ) or \),ou sem visa a vista (}),) ou \) sem correspondente,"VI,FR",LLAMA,7.267884212102741
No previous regular expression,Não há expressão regular padrão anterior,Nenhuma expressão regular anterior,"VI,FR",LLAMA,17.965205598154213
