original,translated,reference,context_languages,strategy,bleu
OpenCV failed to load template image,falha ao carregar modelo de imagem com OpenCV,O OpenCV falhou ao carregar a imagem modelo,"RU,ES",LLAMA,13.888095170058955
Could not read title information for DVD.,não foi possível obter o título do DVD.,Não foi possível ler as informações de título do DVD.,"RU,ES",LLAMA,28.422022424918996
Failed to open DVD device '%s'.,"Não foi possível abrir o dispositivo de DVD ""%s"".","Falha ao abrir o dispositivo de DVD ""%s"".","RU,ES",LLAMA,73.61703354503862
Failed to set PGC based seeking.,não foi possível configurar a pesquisa baseada em PGC.,Falha ao definir busca baseada em PGC.,"RU,ES",LLAMA,26.269098944241588
Could not read DVD. This may be because the DVD is encrypted and a DVD decryption library is not installed.,Não foi possível ler o DVD. Isso pode acontecer porque o DVD está criptografado e a biblioteca necessária para decodificá-lo não foi instalada.,Não foi possível ler o DVD. O motivo pode ser que o DVD está criptografado ou uma biblioteca de descriptografia não está instalada.,"RU,ES",LLAMA,36.852891195185464
Could not read DVD.,não foi possível obter estado (stat) do arquivo DVD.,Não foi possível ler o DVD.,"RU,ES",LLAMA,9.578464408619821
This file contains no playable streams.,Este arquivo contém fluxos que não podem ser reproduzidos.,Este arquivo não contém fluxos reproduzíveis.,"RU,ES",LLAMA,13.134549472120794
Could not open sndfile stream for reading.,não foi possível abrir e ler o fluxo sndfile.,Não foi possível abrir o fluxo sndfile para leitura.,"RU,ES",LLAMA,27.301208627090666
Generated file has a larger preroll time than its streams duration,O preenrollamento do arquivo gerado ultrapassa a duração de seus fluxos.,O arquivo gerado tem um tempo de preparação maior que a sua duração de fluxo,"RU,ES",LLAMA,8.255532360766697
Missing element '%s' - check your GStreamer installation.,"Falta o componente ""%s"" - por favor, verifique a instalação do GStreamer.","O elemento ""%s"" está faltando, verifique a sua instalação do GStreamer.","RU,ES",LLAMA,35.23089031737454
"File location is set to NULL, please set it to a valid filename","O local do arquivo é nulo, por favor defina um nome de arquivo válido.","A localização do arquivo está NULA, favor definir um nome de arquivo válido","RU,ES",LLAMA,28.039501199940027
Digitalzoom element couldn't be created,não foi possível criar o componente Digitalzoom,O elemento Digitalzoom não pôde ser criado,"RU,ES",LLAMA,7.809849842300637
Subpicture format was not configured before data flow,O formato do painel de crianças não foi configurado antes da configuração dos dados fluindo.,O formato de sub-imagem não foi configurado antes do fluxo de dados,"RU,ES",LLAMA,20.14941615706457
Failed to get fragment URL.,não foi possível obter o URL do fragmento.,Falha ao obter um fragmento de URL.,"RU,ES",LLAMA,6.742555929751843
Couldn't download fragments,falha na transferência de dados. Anexar o caminho correto do arquivo.,Não foi possível baixar os fragmentos,"RU,ES",LLAMA,0.0
Internal data stream error.,Erro interno de fluxo de dados.,Erro interno de fluxo de dados.,"RU,ES",LLAMA,100.00000000000004
"Device ""%s"" does not exist.","O dispositivo ""%s"" não existe.","O dispositivo ""%s"" não existe.","RU,ES",LLAMA,100.00000000000004
"Could not open frontend device ""%s"".","Não foi possível abrir o dispositivo frontend ""%s"".","Não foi possível abrir o dispositivo de interface ""%s"".","RU,ES",LLAMA,67.61304462994481
"Could not get settings from frontend device ""%s"".","Não foi possível obter configurações do dispositivo frontend ""%s"".","Não foi possível obter as configurações do dispositivo de interface ""%s"".","RU,ES",LLAMA,49.74279779258904
"Cannot enumerate delivery systems from frontend device ""%s"".","Não foi possível enumerar os sistemas de entrega do dispositivo frontend ""%s"".","Não foi possível listar os sistemas de entrega do dispositivo de interface ""%s"".","RU,ES",LLAMA,57.56799653136483
"Could not open file ""%s"" for reading.",Não foi possível abrir o arquivo %s para leitura.,"Não foi possível abrir o arquivo ""%s"" para leitura.","RU,ES",LLAMA,53.27206776493443
Couldn't find channel configuration file,não foi possível encontrar o arquivo de configuração do canal,Não foi possível encontrar o arquivo de configuração de canal,"RU,ES",LLAMA,66.06328636027612
Couldn't load channel configuration file: '%s',Não foi possível carregar o arquivo de configuração do canal: '%s'.,"Não foi possível carregar o arquivo de configuração de canal: ""%s""","RU,ES",LLAMA,53.2800971987552
Couldn't find details for channel '%s',"não foi possível obter informações detalhadas sobre o canal ""%s""","Não foi possível encontrar detalhes para o canal ""%s""","RU,ES",LLAMA,42.803206067505954
No properties for channel '%s',o canal '%s' não possui atributos,"Não há propriedades para o canal ""%s""","RU,ES",LLAMA,9.51934081834847
Failed to set properties for channel '%s',"Não foi possível configurar as propriedades do canal ""%s"".","Falha ao definir propriedades para o canal ""%s""","RU,ES",LLAMA,30.26643726685862
Couldn't find channel configuration file: '%s',Não foi possível encontrar o arquivo de configuração do canal: '%s'.,"Não foi possível encontrar o arquivo de configuração de canal: ""%s""","RU,ES",LLAMA,53.2800971987552
Channel configuration file doesn't contain any channels,No arquivo de configuração do canal contém nenhum canal.,Nenhum canal foi encontrado no arquivo de configuração de canal,"RU,ES",LLAMA,17.747405280050266
