original,translated,reference,context_languages,strategy,bleu
invalid argument %s for %s,argumento %s para %s não é válido,argumento inválido para %s: %s,"FR,RU",LLAMA,23.356898886410015
ambiguous argument %s for %s,argumento %s ambigu para %s,argumento ambíguo %s para %s,"FR,RU",LLAMA,32.17294420803808
Valid arguments are:,Os argumentos válidos são:,Argumentos válidos são:,"FR,RU",LLAMA,39.76353643835252
regular empty file,ficheiro regular vazio,arquivo comum vazio,"FR,RU",LLAMA,27.516060407455225
regular file,arquivo regular,arquivo comum,"FR,RU",LLAMA,49.99999999999999
directory,diretório,diretório,"FR,RU",LLAMA,100.00000000000004
symbolic link,simbolo tautológico,link simbólico,"FR,RU",LLAMA,0.0
message queue,fila de mensagens,fila de mensagem,"FR,RU",LLAMA,55.03212081491043
semaphore,semafor,semáforo,"FR,RU",LLAMA,0.0
shared memory object,objeto em memória compartilhada,objeto em memória compartilhada,"FR,RU",LLAMA,100.00000000000004
typed memory object,objeto de memória tipificada,objeto de memória tipificada,"FR,RU",LLAMA,100.00000000000004
block special file,arquivo especial bloco,arquivo especial de bloco,"FR,RU",LLAMA,45.13864405503391
character special file,ficheiro de caracteres especiais,arquivo especial de caractere,"FR,RU",LLAMA,15.97357760615681
contiguous data,dados que seguem na sequência,dados contíguos,"FR,RU",LLAMA,10.682175159905848
fifo,fila de entrada/saída,fifo,"FR,RU",LLAMA,0.0
door,porta,porta,"FR,RU",LLAMA,100.00000000000004
multiplexed block special file,fichário especial com blocos multiplexados,arquivo multiplexado especial de bloco,"FR,RU",LLAMA,10.682175159905848
multiplexed character special file,fichéier especial com caracteres multiplexés,arquivo multiplexado especial de caractere,"FR,RU",LLAMA,10.682175159905848
multiplexed file,arquivo multiplano,arquivo multiplexado,"FR,RU",LLAMA,49.99999999999999
named file,cabecalho do arquivo,arquivo nomeado,"FR,RU",LLAMA,27.516060407455225
network special file,fichier especial de rede,arquivo especial de rede,"FR,RU",LLAMA,59.460355750136046
migrated file with data,arquivo termigravado com os dados,arquivo migrado com dados,"FR,RU",LLAMA,14.058533129758727
migrated file without data,ficheiro termigrasi sem dados,arquivo migrado sem dados,"FR,RU",LLAMA,31.947155212313625
port,porta,porta,"FR,RU",LLAMA,100.00000000000004
socket,soquete,soquete,"FR,RU",LLAMA,100.00000000000004
whiteout,escurecimento (whiteout),whiteout,"FR,RU",LLAMA,15.97357760615681
weird file,ficheiro anônimo,arquivo estranho,"FR,RU",LLAMA,0.0
program error,erro do programa,erro do programa,"FR,RU",LLAMA,100.00000000000004
stack overflow,pilha de sobrecarga,estouro de pilha,"FR,RU",LLAMA,34.66806371753173
Try '%s --help' for more information.,Coba '%s --help' para informações adicionais.,"Tente ""%s --help"" para mais informações.","FR,RU",LLAMA,10.729256185679601
Unknown system error,Erro do sistema desconhecido,Erro desconhecido de sistema,"FR,RU",LLAMA,21.02241038134286
"%s: option '%s%s' is ambiguous
","%s: a opção '%s%s' é ambígua
","%s: a opção ""%s%s"" é ambígua
","FR,RU",LLAMA,42.86982293646294
%s: option '%s%s' is ambiguous; possibilities:,%s: opção '%s%s' ambígua; as hipóteses são :,"%s: a opção ""%s%s"" é ambígua; possibilidades:","FR,RU",LLAMA,18.49070893475462
"%s: unrecognized option '%s%s'
","%s: a opção '%s%s' não é reconhecida
","%s: opção desconhecida ""%s%s""
","FR,RU",LLAMA,20.098339913206324
"%s: option '%s%s' doesn't allow an argument
","%s: a opção '%s%s' não permite argumento
","%s: a opção ""%s%s"" não permite argumento
","FR,RU",LLAMA,44.06401630925027
