original,translated,reference,context_languages,strategy,bleu
invalid argument %s for %s,argumento %s invÃ¡lido para %s,argumento inválido %s para %s,ES,LLAMA,32.17294420803808
ambiguous argument %s for %s,argumento %s ambíguo para %s,argumento ambíguo %s para %s,ES,LLAMA,33.437015248821105
Valid arguments are:,Os argumentos válidos são:,Argumentos válidos são:,ES,LLAMA,39.76353643835252
write error,erro de escritura,erro de escrita,ES,LLAMA,55.03212081491043
Unknown system error,Erro de sistema desconhecido,Erro desconhecido de sistema,ES,LLAMA,37.99178428257963
"%s: option '%s%s' is ambiguous
",%s: a opciÃ³n '%s%s' é ambígua,"%s: a opção ""%s%s"" é ambígua
",ES,LLAMA,31.440065102016753
%s: option '%s%s' is ambiguous; possibilities:,%s: a opciÃ³n '%s%s' é ambigua; possibilidades:,"%s: a opção ""%s%s"" é ambígua; possibilidades:",ES,LLAMA,29.13055375496153
"%s: unrecognized option '%s%s'
",%s: opção '%s%s' não reconhecida,"%s: opção desconhecida ""%s%s""
",ES,LLAMA,33.932513407933634
"%s: option '%s%s' doesn't allow an argument
","%s: a opciÃ³n '%s%s' não permite argumento
","%s: a opção ""%s%s"" não permite um argumento
",ES,LLAMA,27.43937845663834
"%s: option '%s%s' requires an argument
","%s: a opciÃ³n '%s%s' requer um argumento
","%s: a opção ""%s%s"" exige um argumento
",ES,LLAMA,28.863046226018728
"%s: invalid option -- '%c'
",%s: opção inválida -- '%c',"%s: opção inválida -- ""%c""
",ES,LLAMA,18.04438612975343
"%s: option requires an argument -- '%c'
",%s: a opciÃ³n requer um argumento -- '%c',"%s: a opção exige um argumento -- ""%c""
",ES,LLAMA,29.167552921712726
`,`,“,ES,LLAMA,0.0
',',”,ES,LLAMA,0.0
Success,Conseguido,Sucesso,ES,LLAMA,0.0
No match,Sem coincidência,Nenhuma ocorrência do padrão,ES,LLAMA,0.0
Invalid regular expression,ExpresiÃ£o regular inválida,Expressão regular inválida,ES,LLAMA,55.03212081491043
Invalid collation character,Caracter de colação invÃ¡lido,Caractere de combinação inválido,ES,LLAMA,15.97357760615681
Invalid character class name,Nome da classe de caracteres inválido,Nome inválido de categoria de caracteres,ES,LLAMA,19.304869754804482
Trailing backslash,barra invertida no final,Barra invertida no final,ES,LLAMA,59.460355750136046
Invalid back reference,Referência para atrás da inválida,Retrorreferência inválida,ES,LLAMA,10.682175159905848
"Unmatched [, [^, [:, [., or [=","[, [^, [:, [., o [= desemparelhado]}","[, [^, [:, [. ou [= sem correspondente",ES,LLAMA,58.56596027429396
Unmatched ( or \(,( o //( desemparelhado),( ou \( sem correspondente,ES,LLAMA,7.809849842300637
Unmatched \{,\{ desemparelhado,\{ sem correspondente,ES,LLAMA,39.43223765116288
Invalid content of \{\},Contenido invÃ¡lido de \{\},Conteúdo inválido de \{\},ES,LLAMA,61.47881529512643
Invalid range end,Final de rango invÃ¡lido,Fim de intervalo inválido,ES,LLAMA,15.97357760615681
Memory exhausted,Memória insuficiente (ES),Memória esgotada,ES,LLAMA,10.682175159905848
Invalid preceding regular expression,A expressÃ£o regular anterior é inválida,A expressão regular precedente é inválida,ES,LLAMA,19.304869754804482
Premature end of regular expression,Final prematuro da expressÃ£o regular,Fim prematuro da expressão regular,ES,LLAMA,23.643540225079384
Regular expression too big,A expressÃ£o regular é muito grande.,Expressão regular grande demais,ES,LLAMA,7.809849842300637
Unmatched ) or \),o desemparelhado,) ou \) sem correspondente,ES,LLAMA,0.0
No previous regular expression,Não há nenhuma expressÃ£o regular anterior.,Nenhuma expressão regular anterior,ES,LLAMA,13.134549472120788
^[yY],^[sS],^[+1SsyY],ES,LLAMA,27.534765745159184
^[nN],^[nN],^[-0nN],ES,LLAMA,35.35533905932737
"Packaged by %s (%s)
",Empacotado por %s (%s),"Empacotado por %s (%s)
",ES,LLAMA,100.00000000000004
"Packaged by %s
","Empacotado por %s
","Empacotado por %s
",ES,LLAMA,100.00000000000004
(C),©,(C),ES,LLAMA,0.0
"License GPLv3+: GNU GPL version 3 or later <%s>.
This is free software: you are free to change and redistribute it.
There is NO WARRANTY, to the extent permitted by law.
","Licença GPLv3+: GPL de GNU versão 3 ou posterior <%s>. Este é software livre: você está livres para modificá-lo e redistribuí-lo. Não há nenhuma garantia, até onde a lei permite.","Licença GPLv3+: GNU GPL versão 3 ou posterior <%s>
Este é um software livre: você é livre para alterá-lo e redistribuí-lo.
NÃO HÁ QUALQUER GARANTIA, na máxima extensão permitida em lei.
",ES,LLAMA,35.09264784265036
"Written by %s.
",Escrito por %s.,"Escrito por %s.
",ES,LLAMA,100.00000000000004
"Written by %s and %s.
",Escrito por %s e %s.,"Escrito por %s e %s.
",ES,LLAMA,100.00000000000004
