original,translated,reference,context_languages,strategy,bleu
invalid argument %s for %s,argumento %s inválido para %s,argumento inválido %s para %s,VI,LLAMA,33.437015248821105
ambiguous argument %s for %s,argumento %s ambíguo para %s,argumento ambíguo %s para %s,VI,LLAMA,33.437015248821105
Valid arguments are:,Os argumentos válidos são:,Argumentos válidos são:,VI,LLAMA,39.76353643835252
ARGP_HELP_FMT: %s value is less than or equal to %s,ARGP_HELP_FMT: o valor de %s é menor ou igual que %s,ARGP_HELP_FMT: O valor %s é menor do que ou igual a %s,VI,LLAMA,45.234747228733134
%.*s: ARGP_HELP_FMT parameter requires a value,%.*s: o parâmetro ARGP_HELP_FMT necessita de um valor,%.*s: O parâmetro ARGP_HELP_FMT exige um valor,VI,LLAMA,56.81096832337496
%.*s: Unknown ARGP_HELP_FMT parameter,%.*s: Parâmetro ARGP_HELP_FMT desconhecido,%.*s: Parâmetro ARGP_HELP_FMT desconhecido,VI,LLAMA,100.00000000000004
Garbage in ARGP_HELP_FMT: %s,Incongruência em ARGP_HELP_FMT: %s,Lixo em ARGP_HELP_FMT: %s,VI,LLAMA,88.01117367933934
Mandatory or optional arguments to long options are also mandatory or optional for any corresponding short options.,Os argumentos obrigatórios e opcionais para as opções longas são também obrigatórios ou não obrigatórios para as opções curtas correspondentes.,Argumentos obrigatórios ou opcionais para opções longas também o são para quaisquer opções curtas correspondentes.,VI,LLAMA,18.153580712996767
Usage:,Modo de uso:,Uso:,VI,LLAMA,15.97357760615681
  or: ,o bien ou o igual:, ou: ,VI,LLAMA,9.652434877402245
 [OPTION...],[CÁC TÙY CHỌN...], [OPÇÃO...],VI,LLAMA,36.55552228545123
"Try '%s --help' or '%s --usage' for more information.
","Pruebe “%s --help” ou “%s --usage” para más información. 
","Tente ""%s --help"" ou ""%s --usage"" para mais informações.
",VI,LLAMA,8.00859097765977
"Report bugs to %s.
","Comunicar erros a %s. 
Báo cáo lỗi dịch cho: <translation-team-vi@lists.sourceforge.net>.","Relate erros para %s.
",VI,LLAMA,6.908895196867147
Unknown system error,Erro do sistema desconhecido,Erro desconhecido de sistema,VI,LLAMA,21.02241038134286
give this help list,da esta lista de ajuda,fornece esta lista de ajuda,VI,LLAMA,66.87403049764218
give a short usage message,um aviso de uso curto,fornece uma mensagem de uso curta,VI,LLAMA,17.491650626361256
NAME,NOMBRE,NOME,VI,LLAMA,0.0
set the program name,estabeleça o nome do programa,define o nome do programa,VI,LLAMA,66.87403049764218
SECS,GIÂY,SEGS,VI,LLAMA,0.0
hang for SECS seconds (default 3600),"pare por SEGS segundos (por omissão, em média, 3600)",segura por SEGS segundos (padrão 3600),VI,LLAMA,22.997519112894437
