original,translated,reference,context_languages,strategy,bleu
"Usage: fuser [-fIMuvw] [-a|-s] [-4|-6] [-c|-m|-n SPACE]
             [-k [-i] [-SIGNAL]] NAME...
       fuser -l
       fuser -V
Show which processes use the named files, sockets, or filesystems.

  -a,--all              display unused files too
  -i,--interactive      ask before killing (ignored without -k)
  -I,--inode            use always inodes to compare files
  -k,--kill             kill processes accessing the named file
  -l,--list-signals     list available signal names
  -m,--mount            show all processes using the named filesystems or
                        block device
  -M,--ismountpoint     fulfill request only if NAME is a mount point
  -n,--namespace SPACE  search in this name space (file, udp, or tcp)
  -s,--silent           silent operation
  -SIGNAL               send this signal instead of SIGKILL
  -u,--user             display user IDs
  -v,--verbose          verbose output
  -w,--writeonly        kill only processes with write access
  -V,--version          display version information
","Aufruf: fuser [-fIMuvw] [-a|-s] [-4|-6] [-c|-m|-n RÁUMEO] \
[-k [-i] [-SIGNALE]] NOMÉRIS...
        fuser -l
        fuser -V","Uso:   fuser [-fMuv] [-a|-s] [-4|-6] [-c|-m|-n ESPAÇO]
             [-k [-i] [-SINAL]] NOME...
       fuser -l
       fuser -V
Mostra quais processos usam os arquivos, sockets ou sistema de arquivos especificados.

  -a,--all              exibe também arquivos sem uso
  -i,--interactive      pergunta antes de matar (ignorado sem -k)
  -k,--kill             mata processos acessando o arquivo especificado
  -l,--list-signals     lista os nomes de sinal disponíveis
  -m,--mount            mostra todos processos usando o sistema de arquivos
                        ou dispositivo de bloco especificado
  -M,--ismountpoint     realiza solicitação apenas se NOME for um ponto
                        de montagem
  -n,--namespace ESPAÇO pesquisa neste espaço de nome (file, udp ou tcp)
  -s,--silent           operação silenciosa
  -SINAL                envia este sinal em vez de SIGKILL
  -u,--user             exibe IDs de usuário
  -v,--verbose          saída detalhada
  -w,--writeonly        mata apenas processos com acesso de gravação
  -V,--version          exibe informações de versão
","ZH_CN,DE",LLAMA,2.5359386626834586
"  -4,--ipv4             search IPv4 sockets only
  -6,--ipv6             search IPv6 sockets only
","[{'key': '-4,--ipv4', 'value': 'champeiramente para IPv4'}, {'key': '-6,--ipv6', 'value': 'champeiramente para IPv6'}]","  -4,--ipv4             pesquisa apenas sockets IPv4
  -6,--ipv6             pesquisa apenas sockets IPv6
","ZH_CN,DE",LLAMA,1.5301683686839007
"  udp/tcp names: [local_port][,[rmt_host][,[rmt_port]]]

","Các tên udp/tcp: [cổng_cục_bộ][,[máy_chủ][,[cổng_máy_chủ]]]","  -                     redefine opções

  nomes udp/tcp: [porta_local][,[maq_rmt][,[porta_rmt]]]

","ZH_CN,DE",LLAMA,31.351726500517874
"fuser (PSmisc) %s
","fuser (PSmisc) %s
","fuser (PSmisc) %s
","ZH_CN,DE",LLAMA,100.00000000000004
"Copyright (C) 1993-2024 Werner Almesberger and Craig Small

",Privacidade reservada por Werner Almesberger e Craig Small. Copyright (C) 1993-2024.,"Copyright (C) 1993-2020 Werner Almesberger and Craig Small

","ZH_CN,DE",LLAMA,34.82352832757853
"PSmisc comes with ABSOLUTELY NO WARRANTY.
This is free software, and you are welcome to redistribute it under
the terms of the GNU General Public License.
For more information about these matters, see the files named COPYING.
","PSmisc NÃO PROVIDE ANY GUARANTEES. Este programa é software livre, e você pode reutilizá-lo sob a licença da GNU General Public License (GPL). Para obter mais informações, consulte o arquivo COPYING.","PSmisc vem com ABSOLUTAMENTE NENHUMA GARANTIA.
Este é um software livre, e você é bem-vindo em redistribuí-lo dentro
dos termos da Licença Pública Geral GNU (GPL).
Para mais informações a respeito, veja os arquivos com o nome COPYING.
","ZH_CN,DE",LLAMA,20.125299825640752
"Cannot open /proc directory: %s
",Não foi possível abrir o diretório /proc: %s,"Não foi possível abrir o diretório /proc: %s
","ZH_CN,DE",LLAMA,100.00000000000004
"Cannot allocate memory for matched proc: %s
",Não é possível alocar memória para o processo associado ao arquivo %s,"Não foi possível alocar memória ao proc equiparado: %s
","ZH_CN,DE",LLAMA,15.727800941615351
"Specified filename %s does not exist.
",O nome do arquivo %s não existe.,"O nome de arquivo especificado %s não existe.
","ZH_CN,DE",LLAMA,47.49549533009781
"Cannot stat %s: %s
","Não foi possível obter informações sobre %s: %s
","Não foi possível analisar %s: %s
","ZH_CN,DE",LLAMA,46.92470064105599
"Cannot resolve local port %s: %s
",Não foi possível encontrar o nome do módulo de unidade local %s: %s,"Não foi possível resolver a porta local %s: %s
","ZH_CN,DE",LLAMA,38.35193624233828
"Unknown local port AF %d
",Não é possível determinar o endereço do soquete AF %d,"Família de endereços da porta local %d desconhecida
","ZH_CN,DE",LLAMA,7.495553473355842
"Cannot open protocol file ""%s"": %s
",Não foi possível abrir o arquivo de protocolo %s: falha na abertura do socket.,"Não foi possível abrir o arquivo de protocolo ""%s"": %s
","ZH_CN,DE",LLAMA,46.36645919987621
"Specified filename %s is not a mountpoint.
",O nome do arquivo %s não é um ponto de montagem.,"O nome de arquivo especificado %s não é um ponto de montagem.
","ZH_CN,DE",LLAMA,66.3944339660576
"%s: Invalid option %s
","%s: Opção %s inválida
","%s: Opção inválida %s
","ZH_CN,DE",LLAMA,50.81327481546149
Namespace option requires an argument.,Escolha um número inteiro para o espaço de nomes.,"A opção de ""--namespace"" requer um argumento.","ZH_CN,DE",LLAMA,5.522397783539471
Invalid namespace name,Nome do espaço de nomes não é válido.,Nome de espaço de nomes inválido,"ZH_CN,DE",LLAMA,19.070828081828378
You can only use files with mountpoint options,Você pode utilizar o arquivo apenas com a opção de montagem em pontos específicos.,Você pode apenas usar arquivos com opções de pontos de montagem,"ZH_CN,DE",LLAMA,8.549161846379198
No process specification given,Não foi possível obter estado (stat) do arquivo %s,Nenhuma especificação de processo fornecida,"ZH_CN,DE",LLAMA,0.0
all option cannot be used with silent option.,todos os campos de seleção não podem ser utilizados ao mesmo tempo que a opção 'sem saída'.,"a opção ""--all"" não pode ser usada com a opção ""--silent"".","ZH_CN,DE",LLAMA,5.401157445454033
You cannot search for only IPv4 and only IPv6 sockets at the same time,Não é permitido procurar simultaneamente por soquetes IPv4 e IPv6.,Você não pode pesquisar apenas por sockets IPv4 e IPv6 ao mesmo tempo,"ZH_CN,DE",LLAMA,12.498879161997976
"%*s USER        PID ACCESS COMMAND
","%*s NGƯỞI_DÙNG PID TRUY_CẬP LỆNH
","%*s USUÁRIO     PID ACESSO COMANDO
","ZH_CN,DE",LLAMA,14.991106946711685
(unknown),(desconhecido),(desconhecido),"ZH_CN,DE",LLAMA,100.00000000000004
"Cannot stat file %s: %s
",Não foi possível obter estado (stat) do arquivo %s: %s,"Não foi possível analisar o arquivo %s: %s
","ZH_CN,DE",LLAMA,41.211837513230265
"Cannot open /proc/net/unix: %s
",Não foi possível abrir o diretório /proc/net/unix: %s,"Não foi possível abrir /proc/net/unix: %s
","ZH_CN,DE",LLAMA,72.41577342575832
Kill process %d ? (y/N) ,Você deseja encerrar o processo %d? (s/N) ,Matar o processo %d? (y/N) ,"ZH_CN,DE",LLAMA,48.44273237963865
"Could not kill process %d: %s
","Não foi possível encerrar o processo %d: %s
","Não foi possível matar o processo %d: %s
","ZH_CN,DE",LLAMA,70.16879391277372
"Cannot open a network socket.
",Não é possível abrir um soquete de rede.,"Não foi possível abrir um socket de rede.
","ZH_CN,DE",LLAMA,31.02016197007
"Cannot find socket's device number.
",Não foi possível encontrar o número de identificação do soquete.,"Não foi possível localizar o número de dispositivo do socket.
","ZH_CN,DE",LLAMA,25.211936184349828
Kill %s(%s%d) ? (y/N) ,CÓ BUÓC KÊT THÚC %s(%s%d) KHÔNG? (c/K) (y/N) ,Matar %s(%s%d)? (y/N) ,"ZH_CN,DE",LLAMA,45.13538948725567
Signal %s(%s%d) ? (y/N) ,Signal ZH_CN(%s%d) ? (y/N) ,Enviar sinal para %s(%s%d)? (y/N) ,"ZH_CN,DE",LLAMA,67.84065738153005
"killall: Cannot get UID from process status
","killall: Não é possível obter o UID do estado atual do processo
","killall: Não foi possível obter UID do status do processo
","ZH_CN,DE",LLAMA,19.029015008374724
