original,translated,reference,context_languages,strategy,bleu
invalid argument %s for %s,argumento %s inválido para %s,argumento inválido %s para %s,"ES,FR",LLAMA,33.437015248821105
ambiguous argument %s for %s,argumento %s ambíguo para %s,argumento ambíguo %s para %s,"ES,FR",LLAMA,33.437015248821105
Valid arguments are:,Os argumentos válidos são:,Argumentos válidos são:,"ES,FR",LLAMA,39.76353643835252
ARGP_HELP_FMT: %s value is less than or equal to %s,ARGP_HELP_FMT: o valor de %s é menor ou igual que %s,ARGP_HELP_FMT: O valor %s é menor do que ou igual a %s,"ES,FR",LLAMA,45.234747228733134
%.*s: ARGP_HELP_FMT parameter requires a value,%.*s : o parâmetro ARGP_HELP_FMT precisa de um valor,%.*s: O parâmetro ARGP_HELP_FMT exige um valor,"ES,FR",LLAMA,56.81096832337496
%.*s: Unknown ARGP_HELP_FMT parameter,%.*s: Parâmetro ARGP_HELP_FMT desconhecido,%.*s: Parâmetro ARGP_HELP_FMT desconhecido,"ES,FR",LLAMA,100.00000000000004
Garbage in ARGP_HELP_FMT: %s,Incongruência em ARGP_HELP_FMT: %s,Lixo em ARGP_HELP_FMT: %s,"ES,FR",LLAMA,88.01117367933934
Mandatory or optional arguments to long options are also mandatory or optional for any corresponding short options.,Os argumentos obrigatórios ou facultativos para as opções longas também são obrigatórios ou facultativos para as opções curtas correspondentes.,Argumentos obrigatórios ou opcionais para opções longas também o são para quaisquer opções curtas correspondentes.,"ES,FR",LLAMA,20.76047003130265
Usage:,Modo de utilização:,Uso:,"ES,FR",LLAMA,15.97357760615681
  or: ,o bem:, ou: ,"ES,FR",LLAMA,27.516060407455225
 [OPTION...],[OPÇÃO...], [OPÇÃO...],"ES,FR",LLAMA,100.00000000000004
"Try '%s --help' or '%s --usage' for more information.
",Pruebe '%s --help' o '%s --uso' para mais informações.,"Tente ""%s --help"" ou ""%s --usage"" para mais informações.
","ES,FR",LLAMA,20.824237013689764
"Report bugs to %s.
",Comunicar erros a %s.,"Relate erros para %s.
","ES,FR",LLAMA,32.46679154750991
Unknown system error,Erro do sistema desconhecido,Erro desconhecido de sistema,"ES,FR",LLAMA,21.02241038134286
give this help list,da esta lista de ajuda,fornece esta lista de ajuda,"ES,FR",LLAMA,66.87403049764218
give a short usage message,da un mensagem de uso corto,fornece uma mensagem de uso curta,"ES,FR",LLAMA,30.213753973567677
NAME,NOMBRE,NOME,"ES,FR",LLAMA,0.0
set the program name,estabeleça o nome do programa,define o nome do programa,"ES,FR",LLAMA,66.87403049764218
SECS,SEGS,SEGS,"ES,FR",LLAMA,100.00000000000004
hang for SECS seconds (default 3600),cuelga durante SEGS segundos (por omissão de 3600),segura por SEGS segundos (padrão 3600),"ES,FR",LLAMA,20.556680845025987
print program version,exibe a versão do programa,mostra a versão do programa,"ES,FR",LLAMA,66.87403049764218
