original,translated,reference,context_languages,strategy,bleu
Usage: iconv [-c] [-s] [-f fromcode] [-t tocode] [file ...],"Aceitação do comando 'iconv': '-c' para continuar após erros, '-s' para ignorar falhas e opções de conversão entre codificações. Opcionalmente especifique a codificação de entrada (-f) e saída (-t). Exemplo: iconv -f AUSGANGS-KODIERUNG -t ZIEL-KODIERUNG [DATEI …]",Uso: iconv [-c] [-s] [-f fromcode] [-t tocode] [arquivo ...],DE,LLAMA,2.151159633747987
or:    iconv -l,"ou:
iconv -l",ou:  iconv -l,DE,LLAMA,100.00000000000004
"Try '%s --help' for more information.
",Tente ‘%s --help’ para obter mais informações.,"Tente ""%s --help"" para mais informações.
",DE,LLAMA,21.36435031981171
"Usage: %s [OPTION...] [-f ENCODING] [-t ENCODING] [INPUTFILE...]
","Aufruf: %s [OPTION...] [-f ENCODING] [-t ENCODING] [EINBABEDATEI …]
","Uso: %s [OPÇÃO...] [-f CODIFICAÇÃO] [-t CODIFICAÇÃO] [ENTRADA...]
",DE,LLAMA,37.374893620471745
"or:    %s -l
","ou:   %s -l
","ou:    %s -l
",DE,LLAMA,100.00000000000004
"Converts text from one encoding to another encoding.
",Converta o texto de uma codificação para outra.,"Converte texto de uma codificação para outra.
",DE,LLAMA,72.59795291154772
"Options controlling the input and output format:
",Opções para formatos de entrada e saída: 'DE',"Opções para controlar os formatos de entrada e saída:
",DE,LLAMA,59.11602603314155
"  -f ENCODING, --from-code=ENCODING
                              the encoding of the input
","  -f ENCODING, --from-code=ENCODING
                               a codificação da entrada","  -f CODIFICAÇÃO, --from-code=CODIFICAÇÃO
                              a codificação de entrada
",DE,LLAMA,21.36435031981171
"  -t ENCODING, --to-code=ENCODING
                              the encoding of the output
","  -t ENCODING, --to-code=ENCODING
                               a codificação de saída","  -t CODIFICAÇÃO, --to-code=CODIFICAÇÃO
                              a codificação da saída
",DE,LLAMA,21.36435031981171
"Options controlling conversion problems:
","控制字符转换的选项:
","Opções para controlar problemas de conversão:
",DE,LLAMA,4.104249931194939
"  -c                          discard unconvertible characters
"," -c                           Ignorar caracteres que não podem ser convertidos 
","  -c                          descarta caracteres não conversíveis
",DE,LLAMA,7.267884212102741
"  --unicode-subst=FORMATSTRING
                              substitution for unconvertible Unicode characters
",DE --unicode-subst=FORMATSTRING Substitui caracteres Unicode que não podem ser convertidos.,"  --unicode-subst=TEXTOFORMATO
                              substituição de caracteres Unicode no conversíveis
",DE,LLAMA,8.73716785171588
