original,translated,reference,context_languages,strategy,bleu
Applications,Aplicações do sistema operacional,Aplicativos,"DE,ID",LLAMA,0.0
applications,aplicação,aplicativos,"DE,ID",LLAMA,0.0
Desktop,máquina de trabalho em oficina manual,Área de trabalho,"DE,ID",LLAMA,16.233395773754953
desktop,mão de trabalho digital,área de trabalho,"DE,ID",LLAMA,31.947155212313625
Documents,Tài liệu,Documentos,"DE,ID",LLAMA,0.0
documents,documentos,documentos,"DE,ID",LLAMA,100.00000000000004
Download,Downloadar,Download,"DE,ID",LLAMA,0.0
download,tá na hora de baixar o arquivo.,download,"DE,ID",LLAMA,0.0
Downloads,Baixar arquivos,Downloads,"DE,ID",LLAMA,0.0
downloads,bản tải về,downloads,"DE,ID",LLAMA,0.0
Movies,Filme,Filmes,"DE,ID",LLAMA,0.0
movies,filme,filmes,"DE,ID",LLAMA,0.0
Music,Nhạc,Músicas,"DE,ID",LLAMA,0.0
music,música,músicas,"DE,ID",LLAMA,0.0
Photos,Área de imagens digitais,Fotos,"DE,ID",LLAMA,0.0
photos,imagem de câmera fotográfica,fotos,"DE,ID",LLAMA,0.0
Pictures,"Área de trabalho do sistema operacional GNU/Linux, utilizada para acessar e gerenciar arquivos diretamente pelo terminal.",Imagens,"DE,ID",LLAMA,0.0
pictures,imagem,imagens,"DE,ID",LLAMA,0.0
Projects,Projeto,Projetos,"DE,ID",LLAMA,0.0
projects,projeto,projetos,"DE,ID",LLAMA,0.0
Public,Công,Público,"DE,ID",LLAMA,0.0
public,công,público,"DE,ID",LLAMA,0.0
Share,Chia sẻ,Compartilhados,"DE,ID",LLAMA,0.0
share,falha na verificação: a linha %<PRIuMAX> possui %<PRIuMAX> campos (esperado %<PRIuMAX>),compartilhados,"DE,ID",LLAMA,0.0
Templates,Mẫu,Modelos,"DE,ID",LLAMA,0.0
templates,mẫu,modelos,"DE,ID",LLAMA,0.0
Videos,Vídeos em movimento,Vídeos,"DE,ID",LLAMA,27.516060407455225
videos,área de trabalho,vídeos,"DE,ID",LLAMA,0.0
