original,translated,reference,context_languages,strategy,bleu
(dir),(cadeia),(dir),"RU,DE",LLAMA,34.66806371753173
(parent dir),(ród. kat.),(dir acima),"RU,DE",LLAMA,9.652434877402245
(huge),(більше),gigante,"RU,DE",LLAMA,0.0
Search Wrapped,Pesquisa continuada desde o começo,Pesquisa recomeçou,"RU,DE",LLAMA,10.682175159905848
This is the only occurrence,Este é o único acaso coincidente.,Esta é a única ocorrência,"RU,DE",LLAMA,6.567274736060395
Search,Pesquisa,Pesquisa,"RU,DE",LLAMA,100.00000000000004
 [Backwards],Voltar, [Retroceder],"RU,DE",LLAMA,0.0
Cancelled,Отменено,Cancelado,"RU,DE",LLAMA,0.0
No current search pattern,Não há necessidade de procurar.,Nenhum padrão de pesquisa atualmente,"RU,DE",LLAMA,8.116697886877475
Cannot open directory: %s,Não foi possível abrir o diretório %s,Não foi possível abrir o diretório: %s,"RU,DE",LLAMA,67.5291821812656
Go To Directory,Acesse o diretório,Ir para o diretório,"RU,DE",LLAMA,39.43223765116288
Can't go outside of %s,Não é possível sair de %s,Não é possível sair de %s,"RU,DE",LLAMA,100.00000000000004
Can't move up a directory,Não é possível mover o diretório,Não é possível subir um diretório,"RU,DE",LLAMA,32.46679154750991
Error reading %s: %s,Erro de leitura %s: %s,Erro ao ler %s: %s,"RU,DE",LLAMA,54.10822690539397
The working directory has disappeared,O catálogo de trabalho desapareceu.,O diretório de trabalho desapareceu,"RU,DE",LLAMA,32.46679154750991
Unknown syntax name: %s,Nome desconhecido do sintaxe: %s,Nome de sintaxe desconhecido: %s,"RU,DE",LLAMA,29.071536848410968
magic_load() failed: %s,Erro magic_load(): %s,magic_load() falhou: %s,"RU,DE",LLAMA,59.694917920196445
magic_file(%s) failed: %s,Erro em magic_file(%s): %s,magic_file(%s) falhou: %s,"RU,DE",LLAMA,63.40466277046863
Nothing was cut,Nada foi cortado,Nada foi cortado,"RU,DE",LLAMA,100.00000000000004
Copied nothing,Nenhum arquivo foi copiado,Nada foi copiado,"RU,DE",LLAMA,31.947155212313625
Cutbuffer is empty,O buffer de troca está vazio,buffer-de-transferência está vazio,"RU,DE",LLAMA,16.233395773754953
Error deleting lock file %s: %s,Erro ao remover o arquivo de bloqueio %s: %s,Erro ao excluir o arquivo de trava %s: %s,"RU,DE",LLAMA,46.59538415189962
Couldn't determine my identity for lock file,Não foi possível determinar o arquivo de bloqueio pessoal.,Falha ao determinar minha ID para arquivo de trava,"RU,DE",LLAMA,9.287528999566801
Couldn't determine hostname: %s,Não foi possível determinar o nome do nó: %s,Falha ao determinar nome de máquina: %s,"RU,DE",LLAMA,15.851165692617148
Error writing lock file %s: %s,Erro ao escrever o arquivo de bloqueio %s: %s,Erro ao escrever o arquivo de trava %s: %s,"RU,DE",LLAMA,73.48889200874659
