original,translated,reference,context_languages,strategy,bleu
Print the GStreamer version,Exibir a versão do GStreamer,Exibe a versão do GStreamer,RU,LLAMA,66.87403049764218
Make all warnings fatal,Trate todas as advertências como erros críticos.,Trata todos avisos como fatais,RU,LLAMA,5.522397783539471
Print available debug categories and exit,Exibir categorias de diagnóstico de erros disponíveis e encerrar o programa.,Exibe as categorias de depuração disponíveis e sair,RU,LLAMA,9.578464408619821
Default debug level from 1 (only error) to 9 (anything) or 0 for no output,"Vorgegebene Fehlerdiagnosestufe von 1 (somente erros) até 9 (todo o sistema), ou 0 para nenhum registro impresso.",Níveis de depuração predefinidos de 1 (apenas erros) até 9 (tudo) ou 0 para nenhuma saída,RU,LLAMA,23.203058032469897
LEVEL,Estágio de desenvolvimento,NÍVEL,RU,LLAMA,0.0
"Comma-separated list of category_name:level pairs to set specific levels for the individual categories. Example: GST_AUTOPLUG:5,GST_ELEMENT_*:3","Lista separada por vírgulas de pares em formato 'Categoria_Name:Level', para atribuir níveis específicos a cada categoria. Exemplo: GST_AUTOPLUG:5,GST_ELEMENT_*:3","Lista de ""categoria_nome:nível"" separados por vírgulas, para definir níveis específicos para as categorias individuais. Exemplo: GST_AUTOPLUG:5,GST_ELEMENT_*:3",RU,LLAMA,48.60311650320964
LIST,LISTA,LISTA,RU,LLAMA,100.00000000000004
Disable colored debugging output,Desabilitar a exibição de mensagens de diagnóstico em cores para saída do sistema operacional,Desabilita saída de depuração colorida,RU,LLAMA,3.377156414337854
"Changes coloring mode of the debug log. Possible modes: off, on, disable, auto, unix","Alterar o modo de cores do protocolo de diagnóstico de erro. Modos possíveis: off (desligado), on (ligado), disable (deactivado), auto e unix","Altera o modo de cor do log de depuração. Modos possíveis: off (desligado), on (ligado), disable (desabilitado), auto (automático) e unix",RU,LLAMA,55.88812171505356
Disable debugging,Desabilitar diagnóstico de erros,Desabilita depuração,RU,LLAMA,0.0
Colon-separated paths containing plugins,"Por meio de dois pontos, separados por vírgula, listagem dos caminhos para os plugins","Caminhos, separados por dois-pontos, de plug-ins",RU,LLAMA,10.343603005129705
PATHS,PFADE,CAMINHOS,RU,LLAMA,0.0
Comma-separated list of plugins to preload in addition to the list stored in environment variable GST_PLUGIN_PATH,"Lista de plugins separados por vírgula, que serão carregados adicionais à lista contida na variável ambiente GST_PLUGIN_PATH","Lista, separada por vírgulas, de plug-ins para pré-carregar além da lista armazenada na variável de ambiente GST_PLUGIN_PATH",RU,LLAMA,25.820931816304146
PLUGINS,Módulos,PLUG-INS,RU,LLAMA,0.0
Disable trapping of segmentation faults during plugin loading,Desligue o seguimento de erros de acesso ao armazenamento durante a carregamento de plugins,Desabilita intercepção das falhas de segmentação durante o carregamento do plug-in,RU,LLAMA,4.016138436407654
