original,translated,reference,context_languages,strategy,bleu
write error,erro de escritura,erro de escrita,"ES,DE",LLAMA,55.03212081491043
preserving permissions for %s,preservar as permissões de %s,preservando permissões de %s,"ES,DE",LLAMA,50.81327481546149
unbalanced [,[ descompensado},[ sem correspondente,"ES,DE",LLAMA,27.516060407455225
invalid character class,classe de caracteres inválida,classe de caracteres inválida,"ES,DE",LLAMA,100.00000000000004
"character class syntax is [[:space:]], not [:space:]","A sintaxe desta classe de caracteres é [[:space:]], não [:space:].","a sintaxe de classe de caracteres é [[:space:]], e não [:space:]","ES,DE",LLAMA,73.4411253978718
unfinished \ escape,"sequência de escape 
 não concluída",escape \ não terminado,"ES,DE",LLAMA,12.703318703865365
? at start of expression,? no começo da expressão,? no início da expressão,"ES,DE",LLAMA,30.213753973567677
* at start of expression,* ao início da expressão,* no início da expressão,"ES,DE",LLAMA,42.72870063962342
+ at start of expression,+ ao início da expressão,+ no início da expressão,"ES,DE",LLAMA,42.72870063962342
invalid content of \{\},conteúdo inválido de \{\},conteúdo inválido de \{\},"ES,DE",LLAMA,100.00000000000004
regular expression too big,expressão regular excessivamente grande,expressão regular grande demais,"ES,DE",LLAMA,35.35533905932737
unbalanced (,( descompensado),( sem correspondente,"ES,DE",LLAMA,27.516060407455225
no syntax specified,sem sintaxe especificada,nenhuma sintaxe especificada,"ES,DE",LLAMA,55.03212081491043
unbalanced ),nível não alcançado,) sem correspondente,"ES,DE",LLAMA,0.0
Unknown system error,Erro do sistema desconhecido,Erro desconhecido de sistema,"ES,DE",LLAMA,21.02241038134286
memory exhausted,memória esgotada,memória esgotada,"ES,DE",LLAMA,100.00000000000004
`,«,“,"ES,DE",LLAMA,0.0
',»,”,"ES,DE",LLAMA,0.0
Success,Éxito,Sucesso,"ES,DE",LLAMA,0.0
No match,Não há concordância,Nenhuma ocorrência do padrão,"ES,DE",LLAMA,0.0
Invalid regular expression,Expressão regular inválida,Expressão regular inválida,"ES,DE",LLAMA,100.00000000000004
Invalid collation character,Carácter de reorganização inválido,Caractere de combinação inválido,"ES,DE",LLAMA,18.99589214128981
Invalid character class name,Nome da classe de caracteres inválido,Nome inválido de classe de caracteres,"ES,DE",LLAMA,34.32945239845197
Trailing backslash,barra oblíqua invertida apenas no final,Barra invertida no final,"ES,DE",LLAMA,17.965205598154213
Invalid back reference,Referência arriscada inválida,Retrorreferência inválida,"ES,DE",LLAMA,27.516060407455225
"Unmatched [, [^, [:, [., or [=","[, [^, [:, [. o [= sin pareja","[, [^, [:, [. ou [= sem correspondente","ES,DE",LLAMA,67.29864884660302
Unmatched ( or \(,( ou \( non apparié,( ou \( sem correspondente,"ES,DE",LLAMA,50.81327481546149
Unmatched \{,{ não há parária},\{ sem correspondente,"ES,DE",LLAMA,10.682175159905848
Invalid content of \{\},Contenido inválido de \{\},Conteúdo inválido no \{\},"ES,DE",LLAMA,43.47208719449914
Invalid range end,Fim de intervalo inválido,Fim de intervalo inválido,"ES,DE",LLAMA,100.00000000000004
Memory exhausted,Memória esgotada,Memória esgotada,"ES,DE",LLAMA,100.00000000000004
Invalid preceding regular expression,A expressão regular anterior é inválida,A expressão regular precedente é inválida,"ES,DE",LLAMA,37.99178428257963
Premature end of regular expression,Fim prematuro de uma expressão regular,Fim prematuro da expressão regular,"ES,DE",LLAMA,22.957488466614336
Regular expression too big,Expresão regular excessivamente grande,Expressão regular grande demais,"ES,DE",LLAMA,18.99589214128981
Unmatched ) or \),) ou ) não assinados,) ou \) sem correspondente,"ES,DE",LLAMA,19.3576934939088
No previous regular expression,Não há uma expressão regular previamente definida.,Nenhuma expressão regular anterior,"ES,DE",LLAMA,11.044795567078939
setting permissions for %s,estabelecendo permissões para %s,definindo permissões de %s,"ES,DE",LLAMA,23.643540225079384
"Packaged by %s (%s)
","Empacotado por %s (%s) 
","Empacotado por %s (%s)
","ES,DE",LLAMA,100.00000000000004
"Packaged by %s
","Empacotado por %s
","Empacotado por %s
","ES,DE",LLAMA,100.00000000000004
(C),©,(C),"ES,DE",LLAMA,0.0
"License GPLv3+: GNU GPL version 3 or later <%s>.
This is free software: you are free to change and redistribute it.
There is NO WARRANTY, to the extent permitted by law.
","Licença GPLv3+: GNU GPL versão 3 ou posterior <%s>. Este é um software livre: você está livres de modificá-lo e redistribuí-lo. Não há nenhuma garantia, dentro dos limites legais.","Licença GPLv3+: GNU GPL versão 3 ou posterior <%s>
Este é um software livre: você é livre para alterá-lo e redistribuí-lo.
NÃO HÁ QUALQUER GARANTIA, na máxima extensão permitida em lei.
","ES,DE",LLAMA,50.952469612722574
