original,translated,reference,context_languages,strategy,bleu
Usage: iconv [-c] [-s] [-f fromcode] [-t tocode] [file ...],CÓDIGO DE USE: iconv [-c] [-s] [-f cod_entrada] [-t cod_saida] [arquivos …],Uso: iconv [-c] [-s] [-f fromcode] [-t tocode] [arquivo ...],VI,LLAMA,41.16597006597376
or:    iconv -l,"ou:
iconv -l",ou:  iconv -l,VI,LLAMA,100.00000000000004
"Try '%s --help' for more information.
",Tente ‘%s --help’ para saber mais.,"Tente ""%s --help"" para mais informações.
",VI,LLAMA,11.229616543472382
"Usage: %s [OPTION...] [-f ENCODING] [-t ENCODING] [INPUTFILE...]
",CÓDIGO DE USE: %s [OPTUÇÃO...] [-f ENCODING] [-t ENCODING] [INPUTFILE...],"Uso: %s [OPÇÃO...] [-f CODIFICAÇÃO] [-t CODIFICAÇÃO] [ENTRADA...]
",VI,LLAMA,42.73762942511532
"or:    %s -l
","hoje ou à noite: %s -l
","ou:    %s -l
",VI,LLAMA,36.55552228545123
"Converts text from one encoding to another encoding.
",Converta o texto de um código para outro.,"Converte texto de uma codificação para outra.
",VI,LLAMA,11.339582221952005
"Options controlling the input and output format:
","Các tùy chọn de format para entrada e saída: 
	'--input_format=<FORMAT>'
	'--output_format=<FORMAT>
","Opções para controlar os formatos de entrada e saída:
",VI,LLAMA,10.435185733665413
"  -f ENCODING, --from-code=ENCODING
                              the encoding of the input
","  -f ENCODING, --from-code=ENCODING
                              Entrada em código","  -f CODIFICAÇÃO, --from-code=CODIFICAÇÃO
                              a codificação de entrada
",VI,LLAMA,17.0653267718276
"  -t ENCODING, --to-code=ENCODING
                              the encoding of the output
","  -t ENCODING, --to_code=ENCODING
                              Saída de codificação","  -t CODIFICAÇÃO, --to-code=CODIFICAÇÃO
                              a codificação da saída
",VI,LLAMA,5.300156689756295
"Options controlling conversion problems:
","Opções de controle para conversão de caracteres: 
	'Các tùy chọn điều khiển vấn đề chuyển đổi': 
	- 'VI': Opção VI, que permite a transformação dos tipos de dados. Para obter mais informações sobre como utilizar essa opção e seus parâmetros associados, digite `vi --help`.","Opções para controlar problemas de conversão:
",VI,LLAMA,1.0268160753681452
"  -c                          discard unconvertible characters
", -c                           ignora os caracteres que não podem ser convertidos,"  -c                          descarta caracteres não conversíveis
",VI,LLAMA,6.27465531099474
"  --unicode-subst=FORMATSTRING
                              substitution for unconvertible Unicode characters
","--unicode-subst=SUBSTITUIÇÃO_UNICODE_INVALORÁVEL
                              substitui caracteres Unicode inválidos que não podem ser convertidos.","  --unicode-subst=TEXTOFORMATO
                              substituição de caracteres Unicode no conversíveis
",VI,LLAMA,6.468490584192431
"  --byte-subst=FORMATSTRING   substitution for unconvertible bytes
",--byte-subst=SUBSTITUIÇÃO_DE_BYTE      substitui bytes que não podem ser convertidos,"  --byte-subst=TEXTOFORMATO   substituição para bytes não conversíveis
",VI,LLAMA,6.754312828675707
"  --widechar-subst=FORMATSTRING
                              substitution for unconvertible wide characters
","--widechar-subst=CHUỖI_ĐỊNH_DẠNG
                              substitui caracteres de largura variável que não podem ser convertidos.","  --widechar-subst=TEXTOFORMATO
                              substituição para caracteres amplos não conversíveis
",VI,LLAMA,5.10809933294318
"Options controlling error output:
","Các tùy chọn điều khiển kết xuất lỗi: 
	- 'VI': Trigger error output for invalid input options. Usage example: `vi --invalid`.","Opções para controlar saída de erro:
",VI,LLAMA,1.3353534059549443
"  -s, --silent                suppress error messages about conversion problems
","  -s, --silent                Não exibir mensagens relacionadas aos erros de conversão
","  -s, --silent                suprime mensagens de erro sobre problemas de conversão
",VI,LLAMA,18.36028134946796
"Informative output:
",Xuất thông tin:,"Saída informativa:
",VI,LLAMA,15.97357760615681
"  -l, --list                  list the supported encodings
","  -l, --list                   Lista das codificações suportadas","  -l, --list                  lista das codificações com suporte
",VI,LLAMA,26.647313141084275
"  --help                      display this help and exit
"," --help                       Mostra este ajuda e sai
","  --help                      exibe esta ajuda e sai
",VI,LLAMA,32.46679154750991
"  --version                   output version information and exit
","--versao                   Mostrar versão e sair
","  --version                   exibe informação da versão e sai
",VI,LLAMA,14.320952289897704
"License GPLv3+: GNU GPL version 3 or later <%s>
This is free software: you are free to change and redistribute it.
There is NO WARRANTY, to the extent permitted by law.
","Autorização GPLv3+: Licença Pública Geral GNU versão 3 ou posterior <%s> 
Este software é de código aberto:
Você tem permissão para modificar e reimprimir.
Dentro dos limites legais, não fazer nenhum acordo.","Licença GPLv3+: GNU GPL versão 3 ou posterior <%s>
Este é um software livre: você é livre para alterá-lo e redistribuí-lo.
NÃO HÁ QUALQUER GARANTIA, na máxima extensão permitida em lei.
",VI,LLAMA,25.673966289337425
"Written by %s.
","Escrito por %s. 
","Escrito por %s.
",VI,LLAMA,100.00000000000004
%s argument: A format directive with a variable width is not allowed here.,%s 参数: 此处不允许用可变长度的命令格式。,argumento de %s: Uma diretiva de formato com uma variável de largura não permitida aqui.,VI,LLAMA,1.7560903341711829
%s argument: A format directive with a variable precision is not allowed here.,%s 参数: 在此处不允许使用可变精度的命令格式。,argumento de %s: Uma diretiva de formato com uma variável de precisão não permitida aqui.,VI,LLAMA,1.7560903341711829
%s argument: A format directive with a size is not allowed here.,Đối số %s: ở đây không cho phép chỉ thị định dạng có kích cỡ.,argumento de %s: Uma diretiva de formato com um tamanho não permitida aqui.,VI,LLAMA,8.59076483566362
%s argument: The string ends in the middle of a directive.,%s parâmetro: stringa encerra a linha entre chaves.,argumento de %s: A string termina no meio de uma diretiva.,VI,LLAMA,6.786053138365654
%s argument: The character '%c' is not a valid conversion specifier.,%s 参数: 字符‘%c’不是有效的转义符。,"argumento de %s: O caractere ""%c"" não é uma especificação de conversão válida.",VI,LLAMA,2.8129878312564873
%s argument: The character that terminates the format directive is not a valid conversion specifier.,%s 参数: 用于终止命令格式的字符不是有效的转义符。,argumento de %s: O caractere que termina a diretiva de formato não é uma especificação de conversão válida.,VI,LLAMA,0.9637628094253924
cannot convert byte substitution to Unicode: %s,não foi possível converter os bytes para Unicode: %s,não foi possível converter substituição de bytes para Unicode: %s,VI,LLAMA,64.07117598241614
cannot convert unicode substitution to target encoding: %s,não foi possível converter as substituições Unicode para a codificação alvo: %s,não foi possível converter unicode para codificação desejada: %s,VI,LLAMA,27.379285619165262
cannot convert byte substitution to wide string: %s,não foi possível converter os bytes para uma string aninhada (widening): %s,não foi possível converter substituição de bytes para texto amplo: %s,VI,LLAMA,24.677894099899667
cannot convert widechar substitution to target encoding: %s,não é possível converter o carácter de substituição ampla para a codificação alvo: %s,não foi possível converter widechar para codificação desejada: %s,VI,LLAMA,12.874330508144842
cannot convert byte substitution to target encoding: %s,não foi possível converter os bytes para a codificação alvo: %s,não foi possível converter substituição de bytes para codificação desejada: %s,VI,LLAMA,32.00286101270288
%s:%u:%u: cannot convert,%s:%d:%d: nenhum resultado encontrado para a conversão,%s:%u:%u: impossível converter,VI,LLAMA,20.333448190047886
%s:%u:%u: incomplete character or shift sequence,%s:%d:%d: dây kiểu ký tự hay dịch chưa hoàn thành,%s:%u:%u: sequência de caracteres ou deslocamentos incompleta,VI,LLAMA,16.61742929957894
%s:%u:%u,%s:%d:%d,%s:%u:%u,VI,LLAMA,41.11336169005198
%s: I/O error,%s: erro de entrada/saída,%s: erro de E/S,VI,LLAMA,54.10822690539397
conversion from %s unsupported,não há suporte para conversão de %s,não há suporte à conversão de %s,VI,LLAMA,50.000000000000014
conversion to %s unsupported,não há suporte para conversão para %s,não há suporte à conversão para %s,VI,LLAMA,50.000000000000014
conversion from %s to %s unsupported,não há suporte para converter do %s para o %s,não há suporte à conversão de %s para %s,VI,LLAMA,24.08856270485351
try '%s -l' to get the list of supported encodings,Tente usar ‘%s -l’ para ver a lista de codificações suportadas.,"tente ""%s -l"" para obter a lista de codificações sem suporte",VI,LLAMA,21.97281387499715
(stdin),(entrada padrão),(stdin),VI,LLAMA,18.99589214128981
%s,%s,%s,VI,LLAMA,100.00000000000004
I/O error,Erro de entrada/saída,erro de E/S,VI,LLAMA,12.703318703865365
