original,translated,reference,context_languages,strategy,bleu
invalid argument %s for %s,argumento %s inválido para %s,argumento inválido %s para %s,"ES,DE",LLAMA,33.437015248821105
ambiguous argument %s for %s,argumento %s ambíguo para %s,argumento ambíguo %s para %s,"ES,DE",LLAMA,33.437015248821105
Valid arguments are:,Os argumentos válidos são:,Argumentos válidos são:,"ES,DE",LLAMA,39.76353643835252
ARGP_HELP_FMT: %s value is less than or equal to %s,ARGP_HELP_FMT: o valor de %s é menor ou igual a %s,ARGP_HELP_FMT: O valor %s é menor do que ou igual a %s,"ES,DE",LLAMA,57.984659185367214
%.*s: ARGP_HELP_FMT parameter requires a value,%.*s: O parâmetro ARGP_HELP_FMT precisa de um valor,%.*s: O parâmetro ARGP_HELP_FMT exige um valor,"ES,DE",LLAMA,76.70387248467661
%.*s: Unknown ARGP_HELP_FMT parameter,%.*s: Parâmetro ARGP_HELP_FMT desconhecido,%.*s: Parâmetro ARGP_HELP_FMT desconhecido,"ES,DE",LLAMA,100.00000000000004
Garbage in ARGP_HELP_FMT: %s,Incongruência em ARGP_HELP_FMT: %s,Lixo em ARGP_HELP_FMT: %s,"ES,DE",LLAMA,88.01117367933934
Mandatory or optional arguments to long options are also mandatory or optional for any corresponding short options.,Os argumentos obrigatórios e opcionais para as opções longas também são obrigatórios ou opcionais para as opções curtas correspondentes.,Argumentos obrigatórios ou opcionais para opções longas também o são para quaisquer opções curtas correspondentes.,"ES,DE",LLAMA,30.752616970214323
Usage:,Modo de uso:,Uso:,"ES,DE",LLAMA,15.97357760615681
  or: ,o bem:, ou: ,"ES,DE",LLAMA,27.516060407455225
 [OPTION...],[OPCIÓN...], [OPÇÃO...],"ES,DE",LLAMA,53.7284965911771
"Try '%s --help' or '%s --usage' for more information.
",Pruebe '%s --help' ou '%s --uso' para mais informações.,"Tente ""%s --help"" ou ""%s --usage"" para mais informações.
","ES,DE",LLAMA,21.446539598866316
"Report bugs to %s.
",Comunicar erros a %s.,"Relate erros para %s.
","ES,DE",LLAMA,32.46679154750991
Unknown system error,Erro do sistema desconhecido,Erro desconhecido de sistema,"ES,DE",LLAMA,21.02241038134286
give this help list,da esta lista de ajuda,fornece esta lista de ajuda,"ES,DE",LLAMA,66.87403049764218
give a short usage message,uma mensagem de uso curto,fornece uma mensagem de uso curta,"ES,DE",LLAMA,54.75182535069452
NAME,NOMBRE,NOME,"ES,DE",LLAMA,0.0
set the program name,estabeleça o nome do programa,define o nome do programa,"ES,DE",LLAMA,66.87403049764218
SECS,SEGS,SEGS,"ES,DE",LLAMA,100.00000000000004
hang for SECS seconds (default 3600),cuelga durante SEGS segundos (por omissão de 3600),segura por SEGS segundos (padrão 3600),"ES,DE",LLAMA,20.556680845025987
print program version,exibe a versão do programa,mostra a versão do programa,"ES,DE",LLAMA,66.87403049764218
(PROGRAM ERROR) No version known!?,(PROGRAMA ERRO) Qual é a versão desse programa?,(ERRO NO PROGRAMA) Nenhuma versão conhecida!?,"ES,DE",LLAMA,5.865587580131999
"%s: Too many arguments
",%s: Demasiados argumentos,"%s: Número excessivo de argumentos
","ES,DE",LLAMA,28.641904579795423
(PROGRAM ERROR) Option should have been recognized!?,(ERRO DO PROGRAMA) Por que não deveria ter reconhecido a opção?!,(ERRO NO PROGRAMA) A opção deveria ter sido reconhecida!?,"ES,DE",LLAMA,10.074708078532293
write error,erro de escritura,erro de escrita,"ES,DE",LLAMA,55.03212081491043
"%s: option '%s%s' is ambiguous
","%s: a opção '%s%s' é ambígua
","%s: a opção ""%s%s"" é ambígua
","ES,DE",LLAMA,42.86982293646294
%s: option '%s%s' is ambiguous; possibilities:,%s: a opção '%s%s' é ambígua; possibilidades:,"%s: a opção ""%s%s"" é ambígua; possibilidades:","ES,DE",LLAMA,54.01152096367801
"%s: unrecognized option '%s%s'
",%s: Opção não reconhecida '%s%s',"%s: opção desconhecida ""%s%s""
","ES,DE",LLAMA,23.462350320527996
"%s: option '%s%s' doesn't allow an argument
","%s: a opção '%s%s' não permite argumento
","%s: a opção ""%s%s"" não permite um argumento
","ES,DE",LLAMA,37.32083238656446
"%s: option '%s%s' requires an argument
","%s: a opção '%s%s' não permite argumento
","%s: a opção ""%s%s"" exige um argumento
","ES,DE",LLAMA,36.883688707312125
"%s: invalid option -- '%c'
",%s: opção inválida -- '%c',"%s: opção inválida -- ""%c""
","ES,DE",LLAMA,54.627576446464936
"%s: option requires an argument -- '%c'
",%s: a opção requer um argumento -- '%c',"%s: a opção exige um argumento -- ""%c""
","ES,DE",LLAMA,40.17682558797496
memory exhausted,memória esgotada,memória esgotada,"ES,DE",LLAMA,100.00000000000004
unable to record current working directory,não é possível obter o diretório de trabalho atual,não foi possível registrar o diretório de trabalho atual,"ES,DE",LLAMA,48.54917717073236
failed to return to initial working directory,falha ao retornar ao diretório de trabalho inicial.,falha em retornar ao diretório de trabalho inicial,"ES,DE",LLAMA,61.04735835807847
`,«,“,"ES,DE",LLAMA,0.0
',»,”,"ES,DE",LLAMA,0.0
^[yY],ES,^[+1SsyY],"ES,DE",LLAMA,0.0
^[nN],^[nN],^[-0nN],"ES,DE",LLAMA,35.35533905932737
"Packaged by %s (%s)
","Embalado por %s (%s) 
","Empacotado por %s (%s)
","ES,DE",LLAMA,84.08964152537145
"Packaged by %s
","Empacotado por %s
","Empacotado por %s
","ES,DE",LLAMA,100.00000000000004
(C),©,(C),"ES,DE",LLAMA,0.0
