original,translated,reference,context_languages,strategy,bleu
invalid argument %s for %s,argumento %s inválido para %s,argumento inválido %s para %s,"DE,ID",LLAMA,33.437015248821105
ambiguous argument %s for %s,argumento %s ambíguo para %s,argumento ambíguo %s para %s,"DE,ID",LLAMA,33.437015248821105
Valid arguments are:,Os argumentos válidos são:,Argumentos válidos são:,"DE,ID",LLAMA,39.76353643835252
ARGP_HELP_FMT: %s value is less than or equal to %s,ARGP_HELP_FMT: o valor de %s é menor ou igual que %s,ARGP_HELP_FMT: O valor %s é menor do que ou igual a %s,"DE,ID",LLAMA,45.234747228733134
%.*s: ARGP_HELP_FMT parameter requires a value,%.*s: O parâmetro ARGP_HELP_FMT precisa de um valor,%.*s: O parâmetro ARGP_HELP_FMT exige um valor,"DE,ID",LLAMA,76.70387248467661
%.*s: Unknown ARGP_HELP_FMT parameter,%.*s: parâmetro ARGP_HELP_FMT desconhecido,%.*s: Parâmetro ARGP_HELP_FMT desconhecido,"DE,ID",LLAMA,73.48889200874659
Garbage in ARGP_HELP_FMT: %s,Incongruência em ARGP_HELP_FMT: %s,Lixo em ARGP_HELP_FMT: %s,"DE,ID",LLAMA,88.01117367933934
Mandatory or optional arguments to long options are also mandatory or optional for any corresponding short options.,Os argumentos obrigatórios ou opcionais para as opções longas também são obrigatórios e/ou opcionais para as opções curtas correspondentes.,Argumentos obrigatórios ou opcionais para opções longas também o são para quaisquer opções curtas correspondentes.,"DE,ID",LLAMA,27.74290545068997
Usage:,Modo de uso:,Uso:,"DE,ID",LLAMA,15.97357760615681
  or: ,ou DE, ou: ,"DE,ID",LLAMA,49.99999999999999
 [OPTION...],[OPTION...], [OPÇÃO...],"DE,ID",LLAMA,53.7284965911771
"Try '%s --help' or '%s --usage' for more information.
",Tente `%s --help' ou `%s --usage' para mais informações.,"Tente ""%s --help"" ou ""%s --usage"" para mais informações.
","DE,ID",LLAMA,22.0189498013509
"Report bugs to %s.
",Comunicar erros a %s.,"Relate erros para %s.
","DE,ID",LLAMA,32.46679154750991
Unknown system error,Erro do sistema desconhecido,Erro desconhecido de sistema,"DE,ID",LLAMA,21.02241038134286
give this help list,da esta lista de ajuda,fornece esta lista de ajuda,"DE,ID",LLAMA,66.87403049764218
give a short usage message,um breve aviso sobre o uso do software,fornece uma mensagem de uso curta,"DE,ID",LLAMA,5.522397783539471
NAME,Nome,NOME,"DE,ID",LLAMA,0.0
set the program name,estabeleça o nome do programa,define o nome do programa,"DE,ID",LLAMA,66.87403049764218
SECS,SEGUEM (seguem),SEGS,"DE,ID",LLAMA,0.0
hang for SECS seconds (default 3600),"pare por SEGS segundos (por omissão, em média, 3600)",segura por SEGS segundos (padrão 3600),"DE,ID",LLAMA,22.997519112894437
print program version,exibe a versão do programa,mostra a versão do programa,"DE,ID",LLAMA,66.87403049764218
(PROGRAM ERROR) No version known!?,(PROGRAMMFEHLER) Keine Version bekannt!?,(ERRO NO PROGRAMA) Nenhuma versão conhecida!?,"DE,ID",LLAMA,10.229197414177778
"%s: Too many arguments
",%s: Demasiados argumentos,"%s: Número excessivo de argumentos
","DE,ID",LLAMA,28.641904579795423
(PROGRAM ERROR) Option should have been recognized!?,(PROGRAMMFEHLER) Opção deveria ter sido reconhecida!?,(ERRO NO PROGRAMA) A opção deveria ter sido reconhecida!?,"DE,ID",LLAMA,41.15421581016571
write error,erro de escritura,erro de escrita,"DE,ID",LLAMA,55.03212081491043
"%s: option '%s%s' is ambiguous
","%s: a opção '%s%s' é ambígua
","%s: a opção ""%s%s"" é ambígua
","DE,ID",LLAMA,42.86982293646294
%s: option '%s%s' is ambiguous; possibilities:,%s: a opção '%s%s' é ambígua; possibilidades:,"%s: a opção ""%s%s"" é ambígua; possibilidades:","DE,ID",LLAMA,54.01152096367801
"%s: unrecognized option '%s%s'
",%s: Opção não reconhecida '%s%s',"%s: opção desconhecida ""%s%s""
","DE,ID",LLAMA,23.462350320527996
"%s: option '%s%s' doesn't allow an argument
","%s: a opção '%s%s' não permite argumento
","%s: a opção ""%s%s"" não permite um argumento
","DE,ID",LLAMA,37.32083238656446
"%s: option '%s%s' requires an argument
","%s: a opção '%s%s' não permite argumento
","%s: a opção ""%s%s"" exige um argumento
","DE,ID",LLAMA,36.883688707312125
"%s: invalid option -- '%c'
","%s: opção inválida -- ""%c""","%s: opção inválida -- ""%c""
","DE,ID",LLAMA,100.00000000000004
"%s: option requires an argument -- '%c'
",%s: a opção requer um argumento -- '%c',"%s: a opção exige um argumento -- ""%c""
","DE,ID",LLAMA,40.17682558797496
memory exhausted,memória esgotada,memória esgotada,"DE,ID",LLAMA,100.00000000000004
unable to record current working directory,não é possível obter o diretório de trabalho atual.,não foi possível registrar o diretório de trabalho atual,"DE,ID",LLAMA,42.7287006396234
failed to return to initial working directory,falha ao retornar ao diretório de trabalho inicial.,falha em retornar ao diretório de trabalho inicial,"DE,ID",LLAMA,61.04735835807847
`,"""DE",“,"DE,ID",LLAMA,0.0
',»,”,"DE,ID",LLAMA,0.0
^[yY],^[sSyY],^[+1SsyY],"DE,ID",LLAMA,27.534765745159184
^[nN],^[nN],^[-0nN],"DE,ID",LLAMA,35.35533905932737
"Packaged by %s (%s)
","Embalado por %s (%s) 
","Empacotado por %s (%s)
","DE,ID",LLAMA,84.08964152537145
"Packaged by %s
","Empacotado por %s
","Empacotado por %s
","DE,ID",LLAMA,100.00000000000004
(C),©,(C),"DE,ID",LLAMA,0.0
