original,translated,reference,context_languages,strategy,bleu
invalid argument %s for %s,argumento %s inválido para a opção %s,argumento inválido %s para %s,,LLAMA,15.510080985034998
ambiguous argument %s for %s,argumento %s ambíguo para %s,argumento ambíguo %s para %s,,LLAMA,33.437015248821105
Valid arguments are:,Os argumentos válidos são:,Argumentos válidos são:,,LLAMA,39.76353643835252
ARGP_HELP_FMT: %s value is less than or equal to %s,ARGP_HELP_FMT: o valor de %s é menor ou igual a %s,ARGP_HELP_FMT: O valor %s é menor do que ou igual a %s,,LLAMA,57.984659185367214
%.*s: ARGP_HELP_FMT parameter requires a value,%.*s: O parâmetro ARGP_HELP_FMT precisa de um valor,%.*s: O parâmetro ARGP_HELP_FMT exige um valor,,LLAMA,76.70387248467661
%.*s: Unknown ARGP_HELP_FMT parameter,%.*s: Parâmetro ARGP_HELP_FMT desconhecido,%.*s: Parâmetro ARGP_HELP_FMT desconhecido,,LLAMA,100.00000000000004
Garbage in ARGP_HELP_FMT: %s,Incongruência em ARGP_HELP_FMT: %s,Lixo em ARGP_HELP_FMT: %s,,LLAMA,88.01117367933934
Mandatory or optional arguments to long options are also mandatory or optional for any corresponding short options.,Os argumentos obrigatórios e opcionais para as opções longas também são obrigatórios ou opcionais para as correspondentes opções curtas.,Argumentos obrigatórios ou opcionais para opções longas também o são para quaisquer opções curtas correspondentes.,,LLAMA,21.180085482357107
Usage:,Modo de uso:,Uso:,,LLAMA,15.97357760615681
  or: ,o bem da Terra, ou: ,,LLAMA,0.0
 [OPTION...],Opção [OPCIÓN...], [OPÇÃO...],,LLAMA,43.47208719449914
"Try '%s --help' or '%s --usage' for more information.
","Pressione `%s --help' ou `%s --uso' para mais informações.
","Tente ""%s --help"" ou ""%s --usage"" para mais informações.
",,LLAMA,21.446539598866316
"Report bugs to %s.
",Comunicar erros a %s.,"Relate erros para %s.
",,LLAMA,32.46679154750991
Unknown system error,Erro do sistema desconhecido,Erro desconhecido de sistema,,LLAMA,21.02241038134286
give this help list,da esta lista de ajuda,fornece esta lista de ajuda,,LLAMA,66.87403049764218
give a short usage message,mensagem de uso curta,fornece uma mensagem de uso curta,,LLAMA,60.653065971263366
NAME,Nome,NOME,,LLAMA,0.0
set the program name,estabeleça o nome do programa,define o nome do programa,,LLAMA,66.87403049764218
SECS,SEGS,SEGS,,LLAMA,100.00000000000004
hang for SECS seconds (default 3600),"fica em espera por SEGS segundos (por omissão, padrão é 3600 segundos)",segura por SEGS segundos (padrão 3600),,LLAMA,18.92240568795936
print program version,mostra a versão do programa,mostra a versão do programa,,LLAMA,100.00000000000004
(PROGRAM ERROR) No version known!?,Erro do programa (Não se sabe qual é a versão!),(ERRO NO PROGRAMA) Nenhuma versão conhecida!?,,LLAMA,4.368583925857938
"%s: Too many arguments
",%s: Argumentos em excesso,"%s: Número excessivo de argumentos
",,LLAMA,25.57539057896621
(PROGRAM ERROR) Option should have been recognized!?,Erro do programa (Opção não reconhecida),(ERRO NO PROGRAMA) A opção deveria ter sido reconhecida!?,,LLAMA,3.8902180856807296
write error,erro de escritura,erro de escrita,,LLAMA,55.03212081491043
"%s: option '%s%s' is ambiguous
","%s: a opção '%s%s' é ambígua
","%s: a opção ""%s%s"" é ambígua
",,LLAMA,42.86982293646294
%s: option '%s%s' is ambiguous; possibilities:,%s: a opção '%s%s' é ambígua; possibilidades:,"%s: a opção ""%s%s"" é ambígua; possibilidades:",,LLAMA,54.01152096367801
"%s: unrecognized option '%s%s'
",%s: opção não reconhecida '%s%s',"%s: opção desconhecida ""%s%s""
",,LLAMA,33.932513407933634
"%s: option '%s%s' doesn't allow an argument
","%s: a opção '%s%s' não permite argumento
","%s: a opção ""%s%s"" não permite um argumento
",,LLAMA,37.32083238656446
"%s: option '%s%s' requires an argument
","%s: a opção '%s%s' requer um argumento
","%s: a opção ""%s%s"" exige um argumento
",,LLAMA,39.355951621009716
"%s: invalid option -- '%c'
","%s: a opção '%c' não permite argumento
","%s: opção inválida -- ""%c""
",,LLAMA,15.851165692617148
"%s: option requires an argument -- '%c'
",%s: a opção '%c' requer um argumento.,"%s: a opção exige um argumento -- ""%c""
",,LLAMA,34.68626146171918
memory exhausted,memória insuficiente,memória esgotada,,LLAMA,49.99999999999999
unable to record current working directory,não é possível obter o diretório de trabalho atual,não foi possível registrar o diretório de trabalho atual,,LLAMA,48.54917717073236
failed to return to initial working directory,falha ao retornar ao diretório de trabalho inicial,falha em retornar ao diretório de trabalho inicial,,LLAMA,70.71067811865478
`,«,“,,LLAMA,0.0
',»,”,,LLAMA,0.0
^[yY],^[sSyY],^[+1SsyY],,LLAMA,27.534765745159184
^[nN],^[nN],^[-0nN],,LLAMA,35.35533905932737
"Packaged by %s (%s)
",Embalado por %s (%s),"Empacotado por %s (%s)
",,LLAMA,84.08964152537145
"Packaged by %s
",Embalado por %s,"Empacotado por %s
",,LLAMA,59.460355750136046
(C),©,(C),,LLAMA,0.0
"License GPLv3+: GNU GPL version 3 or later <%s>.
This is free software: you are free to change and redistribute it.
There is NO WARRANTY, to the extent permitted by law.
","Licença GPLv3+: Licença Pública Geral do GNU versão 3 ou posterior <%s>. Este é software livre. Ele lhe permite modificar e redistribuir o código fonte sem restrições, exceto pelas leis aplicáveis.","Licença GPLv3+: GNU GPL versão 3 ou posterior <%s>
Este é um software livre: você é livre para alterá-lo e redistribuí-lo.
NÃO HÁ QUALQUER GARANTIA, na máxima extensão permitida em lei.
",,LLAMA,27.251032694563282
"Written by %s.
",Escrito por %s.,"Escrito por %s.
",,LLAMA,100.00000000000004
"Written by %s and %s.
",Escrito por %s e %s.,"Escrito por %s e %s.
",,LLAMA,100.00000000000004
"Written by %s, %s, and %s.
","Escrito por %s, %s e %s. 
","Escrito por %s, %s e %s.
",,LLAMA,100.00000000000004
"Written by %s, %s, %s,
and %s.
","Escrito por %s, %s, %s, e %s. 
","Escrito por %s, %s, %s
e %s.
",,LLAMA,80.03203203845001
"Written by %s, %s, %s,
%s, and %s.
","Escrito por %s, %s, %s, %d, e %s. 
","Escrito por %s, %s, %s
%s, e %s.
",,LLAMA,75.75909471367454
"Written by %s, %s, %s,
%s, %s, and %s.
","Escrito por %s, %s, %s, %d, %<PRIuMAX>, y %s. 
","Escrito por %s, %s, %s
%s, %s, e %s.
",,LLAMA,56.64439143400162
"Written by %s, %s, %s,
%s, %s, %s, and %s.
","Escrito por %s, %s, %s, %d, %<PRIuMAX>, y %s. 
","Escrito por %s, %s, %s
%s, %s, %s, e %s.
",,LLAMA,58.53410496728347
"Written by %s, %s, %s,
%s, %s, %s, %s,
and %s.
","Escrito por %s, %s, %s, %d, %<PRIuMAX>, y %s. 
","Escrito por %s, %s, %s
%s, %s, %s, %s,
e %s.
",,LLAMA,51.37618779516551
"Written by %s, %s, %s,
%s, %s, %s, %s,
%s, and %s.
","Escrito por %s, %s, %s, %d, %<PRIuMAX>, %s, y %s.","Escrito por %s, %s, %s
%s, %s, %s, %s,
%s, e %s.
",,LLAMA,53.43537748721217
"Written by %s, %s, %s,
%s, %s, %s, %s,
%s, %s, and others.
","Escrito por %s, %s, %s, ... y otros.","Escrito por %s, %s, %s
%s, %s, %s, %s,
%s, %s, e outros.
",,LLAMA,27.37014553672055
