original,translated,reference,context_languages,strategy,bleu
invalid argument %s for %s,argumento %s invÃ¡lido para %s,argumento inválido %s para %s,"ES,RU",LLAMA,32.17294420803808
ambiguous argument %s for %s,argumento %s ambíguo para %s,argumento ambíguo %s para %s,"ES,RU",LLAMA,33.437015248821105
Valid arguments are:,Os argumentos válidos são:,Argumentos válidos são:,"ES,RU",LLAMA,39.76353643835252
write error,erro de escritura,erro de escrita,"ES,RU",LLAMA,55.03212081491043
Unknown system error,Erro de sistema desconhecido,Erro desconhecido de sistema,"ES,RU",LLAMA,37.99178428257963
"%s: option '%s%s' is ambiguous
","%s: a opciÃ³n '%s%s' é ambígua
","%s: a opção ""%s%s"" é ambígua
","ES,RU",LLAMA,31.440065102016753
%s: option '%s%s' is ambiguous; possibilities:,%s: a opciÃ³n '%s%s' é ambígua; possÃ­veis alternativas:,"%s: a opção ""%s%s"" é ambígua; possibilidades:","ES,RU",LLAMA,28.977907494497117
"%s: unrecognized option '%s%s'
","%s: opção '%s%s' não reconhecida
","%s: opção desconhecida ""%s%s""
","ES,RU",LLAMA,33.932513407933634
"%s: option '%s%s' doesn't allow an argument
","%s: a opciÃ³n '%s%s' não permite argumento
","%s: a opção ""%s%s"" não permite um argumento
","ES,RU",LLAMA,27.43937845663834
"%s: option '%s%s' requires an argument
","%s: a opciÃ³n '%s%s' requer um argumento
","%s: a opção ""%s%s"" exige um argumento
","ES,RU",LLAMA,28.863046226018728
"%s: invalid option -- '%c'
",%s: opção inválida -- '%c',"%s: opção inválida -- ""%c""
","ES,RU",LLAMA,18.04438612975343
"%s: option requires an argument -- '%c'
",%s: a opciÃ³n requer um argumento -- '%c',"%s: a opção exige um argumento -- ""%c""
","ES,RU",LLAMA,29.167552921712726
`,`,“,"ES,RU",LLAMA,0.0
',',”,"ES,RU",LLAMA,0.0
Success,Conseguido,Sucesso,"ES,RU",LLAMA,0.0
No match,Sem coincidência,Nenhuma ocorrência do padrão,"ES,RU",LLAMA,0.0
Invalid regular expression,Ex ExpressÃ£o regular inválida,Expressão regular inválida,"ES,RU",LLAMA,31.947155212313625
Invalid collation character,Caracter de colação inválido,Caractere de combinação inválido,"ES,RU",LLAMA,18.99589214128981
Invalid character class name,Nome da classe de caracteres inválido,Nome inválido de categoria de caracteres,"ES,RU",LLAMA,19.304869754804482
Trailing backslash,Barra invertida no final,Barra invertida no final,"ES,RU",LLAMA,100.00000000000004
Invalid back reference,Referência inválida para atrás do mesmo endereço IP,Retrorreferência inválida,"ES,RU",LLAMA,5.522397783539471
"Unmatched [, [^, [:, [., or [=","[, [^, [:, [., o [= desemparejado","[, [^, [:, [. ou [= sem correspondente","ES,RU",LLAMA,67.29864884660302
Unmatched ( or \(,( o //( desemparelhado),( ou \( sem correspondente,"ES,RU",LLAMA,7.809849842300637
Unmatched \{,\{ desemparelhado,\{ sem correspondente,"ES,RU",LLAMA,39.43223765116288
Invalid content of \{\},Contenido invÃ¡lido de \{\},Conteúdo inválido de \{\},"ES,RU",LLAMA,61.47881529512643
Invalid range end,Final de rango invÃ¡lido,Fim de intervalo inválido,"ES,RU",LLAMA,15.97357760615681
Memory exhausted,Memória esgotada,Memória esgotada,"ES,RU",LLAMA,100.00000000000004
Invalid preceding regular expression,A expressÃ£o regular anterior é inválida,A expressão regular precedente é inválida,"ES,RU",LLAMA,19.304869754804482
Premature end of regular expression,Fim prematuro da expressão regular,Fim prematuro da expressão regular,"ES,RU",LLAMA,100.00000000000004
Regular expression too big,A expressÃ£o regular é excessivamente grande.,Expressão regular grande demais,"ES,RU",LLAMA,7.809849842300637
Unmatched ) or \),o ) desemparelhado,) ou \) sem correspondente,"ES,RU",LLAMA,10.122592925934278
