original,translated,reference,context_languages,strategy,bleu
(dir),(categorizado),(dir),"DE,FR",LLAMA,34.66806371753173
(parent dir),(região católica),(dir acima),"DE,FR",LLAMA,18.99589214128981
(huge),(> 1TB),gigante,"DE,FR",LLAMA,0.0
Search Wrapped,A busca continua desde o começo,Pesquisa recomeçou,"DE,FR",LLAMA,0.0
This is the only occurrence,É a única ocorrência de coincidência.,Esta é a única ocorrência,"DE,FR",LLAMA,24.446151121745054
Search,Pesquisar,Pesquisa,"DE,FR",LLAMA,0.0
 [Backwards],Voltar para a página anterior., [Retroceder],"DE,FR",LLAMA,0.0
Cancelled,Отменено,Cancelado,"DE,FR",LLAMA,0.0
No current search pattern,Não há motivo para buscar.,Nenhum padrão de pesquisa atualmente,"DE,FR",LLAMA,0.0
Cannot open directory: %s,Não foi possível abrir o diretório %s,Não foi possível abrir o diretório: %s,"DE,FR",LLAMA,67.5291821812656
Go To Directory,Acesse o diretório,Ir para o diretório,"DE,FR",LLAMA,39.43223765116288
Can't go outside of %s,não é possível sair de %s,Não é possível sair de %s,"DE,FR",LLAMA,80.91067115702207
Can't move up a directory,não é possível mover o diretório,Não é possível subir um diretório,"DE,FR",LLAMA,17.965205598154213
Error reading %s: %s,Erro ao ler %s: %s,Erro ao ler %s: %s,"DE,FR",LLAMA,100.00000000000004
The working directory has disappeared,O catálogo de trabalho desapareceu.,O diretório de trabalho desapareceu,"DE,FR",LLAMA,32.46679154750991
Unknown syntax name: %s,Nome desconhecido de sintaxe : %s,Nome de sintaxe desconhecido: %s,"DE,FR",LLAMA,33.437015248821105
magic_load() failed: %s,Erro ao carregar o magic_load(): %s,magic_load() falhou: %s,"DE,FR",LLAMA,42.40125351805035
magic_file(%s) failed: %s,falha na verificação do arquivo %s: %s,magic_file(%s) falhou: %s,"DE,FR",LLAMA,17.771669724375847
Nothing was cut,Não há nada cortado.,Nada foi cortado,"DE,FR",LLAMA,10.682175159905848
Copied nothing,Nenhum foi copiado,Nada foi copiado,"DE,FR",LLAMA,55.03212081491043
Cutbuffer is empty,O buffer de troca está vazio,buffer-de-transferência está vazio,"DE,FR",LLAMA,16.233395773754953
Error deleting lock file %s: %s,Erro ao remover a arquivo de bloqueio %s: %s,Erro ao excluir o arquivo de trava %s: %s,"DE,FR",LLAMA,40.637982820134425
Couldn't determine my identity for lock file,Не foi possível determinar o arquivo de bloqueio pessoal atual,Falha ao determinar minha ID para arquivo de trava,"DE,FR",LLAMA,9.287528999566801
Couldn't determine hostname: %s,não foi possível determinar o nome do nó : %s,Falha ao determinar nome de máquina: %s,"DE,FR",LLAMA,15.851165692617148
Error writing lock file %s: %s,Erro ao escrever a arquivo de bloqueio %s: %s,Erro ao escrever o arquivo de trava %s: %s,"DE,FR",LLAMA,46.59538415189962
Someone else is also editing this file,Alguém mais está editando este arquivo agora.,Outra pessoa também está editando esse arquivo,"DE,FR",LLAMA,12.22307556087252
Error opening lock file %s: %s,Erro ao abrir a arquivo de bloqueio %s: %s,Erro ao abrir o arquivo de trava %s: %s,"DE,FR",LLAMA,46.59538415189962
Bad lock file is ignored: %s,Arquivo de bloqueio inválido ignorado: %s,Arquivo de trava inválido é ignorado: %s,"DE,FR",LLAMA,37.70794596593207
"File %s is being edited by %s (with %s, PID %s); open anyway?","Arquivo %s está atualmente sendo editado pelo usuário %s (com o auxílio de %s, PID %s); ainda assim, deseja-se abrir?","Arquivo %s sendo editado (por %s com %s, PID %s). Abrir mesmo assim?","DE,FR",LLAMA,28.468243684377647
Directory '%s' does not exist,"O catálogo ""%s"" não existe","O diretório ""%s"" não existe","DE,FR",LLAMA,70.71067811865478
Path '%s': %s,"Caminho ""%s"": %s","Caminho ""%s"": %s","DE,FR",LLAMA,100.00000000000004
Path '%s' is not a directory,"O caminho ""%s"" não é um diretório","O caminho ""%s"" não é um diretório","DE,FR",LLAMA,100.00000000000004
Path '%s' is not accessible,"O caminho ""%s"" não está disponível para acesso.","O caminho ""%s"" não é acessível","DE,FR",LLAMA,51.56626918239821
Directory '%s' is not writable,"Catalogo ""%s"" não está disponível para gravação.","O diretório ""%s"" não é gravável","DE,FR",LLAMA,35.08439695638686
Can't read file from outside of %s,não foi possível obter estado (stat) do arquivo %s,Não foi possível ler arquivo de fora de %s,"DE,FR",LLAMA,10.127993013562818
"""%s"" is a directory","O arquivo ""%s"" é um diretório","""%s"" é um diretório","DE,FR",LLAMA,72.59795291154772
"""%s"" is a device file","O arquivo ""%s"" é um dispositivo de armazenamento lógico (logical device storage file)","""%s"" é um arquivo dispositivo","DE,FR",LLAMA,28.43329181530769
"""%s"" is a FIFO","O arquivo ""%s"" é um FIFO","""%s"" é um FIFO","DE,FR",LLAMA,72.59795291154772
%s is meant to be read-only,%s considerado como somente leitura (SOL),%s tem a intenção de ser somente leitura,"DE,FR",LLAMA,13.485111859503691
New Buffer,novo buffer,Novo buffer,"DE,FR",LLAMA,49.99999999999999
DOS,DO Sistema Operacional (DOS),DOS,"DE,FR",LLAMA,8.116697886877475
Mac,Mac,Mac,"DE,FR",LLAMA,100.00000000000004
No more open file buffers,Não há mais buffers de arquivos abertos.,Não há mais nenhum buffer de arquivos abertos,"DE,FR",LLAMA,34.57207846419412
Interrupted,Interrompido,Interrompido,"DE,FR",LLAMA,100.00000000000004
File '%s' is unwritable,"Arquivo ""%s"" não está disponível para escrita.","O arquivo ""%s"" não é gravável","DE,FR",LLAMA,35.08439695638686
New File,Novo arquivo,Novo arquivo,"DE,FR",LLAMA,100.00000000000004
"File ""%s"" not found","Arquivo ""%s"" não encontrado","Arquivo ""%s"" não encontrado","DE,FR",LLAMA,100.00000000000004
Reading from FIFO...,Lectura de FIFO...,Lendo de FIFO...,"DE,FR",LLAMA,75.98356856515926
Reading...,Leitura ...,Lendo...,"DE,FR",LLAMA,59.460355750136046
Could not create pipe: %s,Não foi possível criar o canal de fluxo (conveyor): %s,Não foi possível criar o pipe: %s,"DE,FR",LLAMA,35.55670235668696
Could not fork: %s,não foi possível criar um processo filho: %s,Não foi possível bifurcar: %s,"DE,FR",LLAMA,19.64073254502565
Executing...,É executado...,Executando...,"DE,FR",LLAMA,39.76353643835252
filtering,filtração,filtragem,"DE,FR",LLAMA,0.0
Failed to open pipe: %s,Não foi possível abrir o canal de dados: %s,Falha ao abrir o pipe: %s,"DE,FR",LLAMA,17.542198478193427
Error: %s,Erro de leitura %s: %s,Erro: %s,"DE,FR",LLAMA,22.089591134157878
Command to execute in new buffer,Comando para executar em novo buffer,Comando para execução no novo buffer,"DE,FR",LLAMA,22.957488466614336
Command to execute,Comando para execução,Comando para execução,"DE,FR",LLAMA,100.00000000000004
File to read unconverted into new buffer [from %s],Arquivo para leitura sem conversão em novo buffer [de %s],Arquivo para ler não convertido no novo buffer [de %s],"DE,FR",LLAMA,52.055103630534376
File to read into new buffer [from %s],Arquivo para leitura no novo buffer [de %s],Arquivo para leitura no novo buffer [de %s],"DE,FR",LLAMA,100.00000000000004
File to insert unconverted [from %s],Arquivo para inserção sem conversão [de %s],Arquivo para inserção não convertido [de %s],"DE,FR",LLAMA,52.53819788848316
File to insert [from %s],Arquivo para inserção [de %s],Arquivo para inserção [de %s],"DE,FR",LLAMA,100.00000000000004
"Invalid operating directory: %s
",Não é permitido trabalhar neste diretório de trabalho: %s,"Diretório de operação inválido: %s
","DE,FR",LLAMA,14.991106946711685
"Invalid backup directory: %s
",Não é permitido o uso do seguinte diretório de backup: %s,"Diretório reserva inválido: %s
","DE,FR",LLAMA,11.498759556447217
Making backup...,Criando cópias de segurança...,Criando arquivo reserva...,"DE,FR",LLAMA,26.269098944241588
Too many existing backup files,Existe uma quantidade excessiva de arquivos de backup,Muitos arquivos reserva existentes,"DE,FR",LLAMA,5.522397783539471
