original,translated,reference,context_languages,strategy,bleu
Applications,Aplicações,Aplicativos,"FR,ID",LLAMA,0.0
applications,aplicações,aplicativos,"FR,ID",LLAMA,0.0
Desktop,máquina de trabalho em escritório virtual,Área de trabalho,"FR,ID",LLAMA,16.233395773754953
desktop,máquina de trabalho em escritório,área de trabalho,"FR,ID",LLAMA,21.3643503198117
Documents,Tài liệu,Documentos,"FR,ID",LLAMA,0.0
documents,documentos,documentos,"FR,ID",LLAMA,100.00000000000004
Download,Downloadar,Download,"FR,ID",LLAMA,0.0
download,tarefa concluída com sucesso.,download,"FR,ID",LLAMA,0.0
Downloads,Baixar arquivo,Downloads,"FR,ID",LLAMA,0.0
downloads,bản tải về,downloads,"FR,ID",LLAMA,0.0
Movies,Filmes,Filmes,"FR,ID",LLAMA,100.00000000000004
movies,filme,filmes,"FR,ID",LLAMA,0.0
Music,Música,Músicas,"FR,ID",LLAMA,0.0
music,música francesa (FR),músicas,"FR,ID",LLAMA,0.0
Photos,Área de imagens,Fotos,"FR,ID",LLAMA,0.0
photos,imagem capturada,fotos,"FR,ID",LLAMA,0.0
Pictures,Área de Imagens,Imagens,"FR,ID",LLAMA,27.516060407455225
pictures,imagem,imagens,"FR,ID",LLAMA,0.0
Projects,Projeto,Projetos,"FR,ID",LLAMA,0.0
projects,projeto,projetos,"FR,ID",LLAMA,0.0
Public,Công,Público,"FR,ID",LLAMA,0.0
public,công,público,"FR,ID",LLAMA,0.0
Share,Compartilhar,Compartilhados,"FR,ID",LLAMA,0.0
share,share this chia seed,compartilhados,"FR,ID",LLAMA,0.0
Templates,Mẫu,Modelos,"FR,ID",LLAMA,0.0
templates,modelos,modelos,"FR,ID",LLAMA,100.00000000000004
Videos,Vídeos em movimento,Vídeos,"FR,ID",LLAMA,27.516060407455225
videos,área de trabalho em movimento,vídeos,"FR,ID",LLAMA,0.0
