original,translated,reference,context_languages,strategy,bleu
(dir),(cadeado),(dir),"RU,ES",LLAMA,34.66806371753173
(parent dir),(РОД. КАТ.),(dir acima),"RU,ES",LLAMA,9.652434877402245
(huge),(extremamente),gigante,"RU,ES",LLAMA,0.0
Search Wrapped,Pesquisa continuada desde o começo,Pesquisa recomeçou,"RU,ES",LLAMA,10.682175159905848
This is the only occurrence,Este é o único acaso coincidente.,Esta é a única ocorrência,"RU,ES",LLAMA,6.567274736060395
Search,Procuração,Pesquisa,"RU,ES",LLAMA,0.0
 [Backwards],Voltar, [Retroceder],"RU,ES",LLAMA,0.0
Cancelled,Отменено,Cancelado,"RU,ES",LLAMA,0.0
No current search pattern,Não há motivo para buscar.,Nenhum padrão de pesquisa atualmente,"RU,ES",LLAMA,0.0
Cannot open directory: %s,Não foi possível abrir o diretório: %s,Não foi possível abrir o diretório: %s,"RU,ES",LLAMA,100.00000000000004
Go To Directory,Praça de estacionamento,Ir para o diretório,"RU,ES",LLAMA,0.0
Can't go outside of %s,Não é possível sair do %s,Não é possível sair de %s,"RU,ES",LLAMA,48.892302243490086
Can't move up a directory,Não é possível mover o diretório,Não é possível subir um diretório,"RU,ES",LLAMA,32.46679154750991
Error reading %s: %s,Erro lendo %s: %s,Erro ao ler %s: %s,"RU,ES",LLAMA,55.780028607687655
The working directory has disappeared,O catálogo de trabalho desapareceu.,O diretório de trabalho desapareceu,"RU,ES",LLAMA,32.46679154750991
Unknown syntax name: %s,Nome desconhecido de sintaxe: %s,Nome de sintaxe desconhecido: %s,"RU,ES",LLAMA,33.437015248821105
magic_load() failed: %s,Erro na chamada de magic_load(): %s,magic_load() falhou: %s,"RU,ES",LLAMA,42.40125351805035
magic_file(%s) failed: %s,Erro em magic_file(%s): %s,magic_file(%s) falhou: %s,"RU,ES",LLAMA,63.40466277046863
Nothing was cut,Nenhum item foi cortado,Nada foi cortado,"RU,ES",LLAMA,31.947155212313625
Copied nothing,Nenhum arquivo foi copiado,Nada foi copiado,"RU,ES",LLAMA,31.947155212313625
Cutbuffer is empty,O buffer de troca está vazio,buffer-de-transferência está vazio,"RU,ES",LLAMA,16.233395773754953
Error deleting lock file %s: %s,Erro ao remover o arquivo de bloqueio '%s': %s,Erro ao excluir o arquivo de trava %s: %s,"RU,ES",LLAMA,22.62944003945279
