original,translated,reference,context_languages,strategy,bleu
(dir),(cadeia),(dir),"VI,ES",LLAMA,34.66806371753173
(parent dir),(nível católico),(dir acima),"VI,ES",LLAMA,18.99589214128981
(huge),(grande),gigante,"VI,ES",LLAMA,0.0
Search Wrapped,A busca continua desde o começo.,Pesquisa recomeçou,"VI,ES",LLAMA,0.0
This is the only occurrence,Éste é o único coincidente encontrado até agora.,Esta é a única ocorrência,"VI,ES",LLAMA,4.767707020457095
Search,Buscar,Pesquisa,"VI,ES",LLAMA,0.0
 [Backwards],[Назад], [Retroceder],"VI,ES",LLAMA,34.66806371753173
Cancelled,Отменено,Cancelado,"VI,ES",LLAMA,0.0
No current search pattern,Não há motivo para buscar.,Nenhum padrão de pesquisa atualmente,"VI,ES",LLAMA,0.0
Cannot open directory: %s,Не foi possível abrir o diretório: %s,Não foi possível abrir o diretório: %s,"VI,ES",LLAMA,86.33400213704509
Go To Directory,Caminho para o diretório,Ir para o diretório,"VI,ES",LLAMA,59.460355750136046
Can't go outside of %s,Невозможно вийти з'{variable}далеко,Não é possível sair de %s,"VI,ES",LLAMA,0.0
Can't move up a directory,Не foi possível mover o diretório,Não é possível subir um diretório,"VI,ES",LLAMA,9.652434877402245
Error reading %s: %s,Erro ao ler o arquivo %s: %s,Erro ao ler %s: %s,"VI,ES",LLAMA,52.53819788848316
The working directory has disappeared,O catálogo de trabalho desapareceu,O diretório de trabalho desapareceu,"VI,ES",LLAMA,42.72870063962342
Unknown syntax name: %s,Nome desconhecido de sintaxe: %s,Nome de sintaxe desconhecido: %s,"VI,ES",LLAMA,33.437015248821105
magic_load() failed: %s,falha na função magic_load(): %s,magic_load() falhou: %s,"VI,ES",LLAMA,46.92470064105599
magic_file(%s) failed: %s,"falha ao acessar o arquivo %s
",magic_file(%s) falhou: %s,"VI,ES",LLAMA,7.417318111314057
Nothing was cut,Não há nada cortado,Nada foi cortado,"VI,ES",LLAMA,15.97357760615681
Copied nothing,Nenhum arquivo foi copiado,Nada foi copiado,"VI,ES",LLAMA,31.947155212313625
Cutbuffer is empty,Буфер обмена пуст,buffer-de-transferência está vazio,"VI,ES",LLAMA,0.0
Error deleting lock file %s: %s,Erro ao remover o arquivo bloqueado %s: %s,Erro ao excluir o arquivo de trava %s: %s,"VI,ES",LLAMA,41.06517147271933
Couldn't determine my identity for lock file,Не foi possível determinar o arquivo de bloqueio pessoal para mim.,Falha ao determinar minha ID para arquivo de trava,"VI,ES",LLAMA,8.054496384843702
Couldn't determine hostname: %s,Не foi possível determinar o nome do nó: %s,Falha ao determinar nome de máquina: %s,"VI,ES",LLAMA,15.851165692617148
Error writing lock file %s: %s,Erro ao escrever o arquivo de bloqueio %s: %s,Erro ao escrever o arquivo de trava %s: %s,"VI,ES",LLAMA,73.48889200874659
Someone else is also editing this file,Alguém mais está editando este arquivo agora.,Outra pessoa também está editando esse arquivo,"VI,ES",LLAMA,12.22307556087252
Error opening lock file %s: %s,Erro ao abrir o arquivo bloqueado %s: %s,Erro ao abrir o arquivo de trava %s: %s,"VI,ES",LLAMA,64.07117598241614
Bad lock file is ignored: %s,Arquivo de bloqueio inválido:%s,Arquivo de trava inválido é ignorado: %s,"VI,ES",LLAMA,24.177237023718654
"File %s is being edited by %s (with %s, PID %s); open anyway?","Ficheiro %s está sendo editado atualmente pelo usuário %s (com o utilitário %s, PID %d); abrir de qualquer forma?","Arquivo %s sendo editado (por %s com %s, PID %s). Abrir mesmo assim?","VI,ES",LLAMA,18.92240568795935
Directory '%s' does not exist,Catalogo «%s» não existe,"O diretório ""%s"" não existe","VI,ES",LLAMA,12.872632311973014
Path '%s': %s,Đường dẫn «%s»: %s,"Caminho ""%s"": %s","VI,ES",LLAMA,22.089591134157878
Path '%s' is not a directory,O caminho «%s» não é um diretório,"O caminho ""%s"" não é um diretório","VI,ES",LLAMA,33.010083098515025
Path '%s' is not accessible,O caminho “%s” não está disponível para acesso.,"O caminho ""%s"" não é acessível","VI,ES",LLAMA,8.913765521398126
Directory '%s' is not writable,"Catalogo ""%s"" não está disponível para gravação.","O diretório ""%s"" não é gravável","VI,ES",LLAMA,35.08439695638686
Can't read file from outside of %s,Не foi possível ler o arquivo fora de %s,Não foi possível ler arquivo de fora de %s,"VI,ES",LLAMA,39.281465090051285
"""%s"" is a directory","O arquivo ""%s"" é um diretório","""%s"" é um diretório","VI,ES",LLAMA,72.59795291154772
"""%s"" is a device file","O arquivo ""%s"" é um arquivo de dispositivo","""%s"" é um arquivo dispositivo","VI,ES",LLAMA,59.00468726392806
"""%s"" is a FIFO","O arquivo ""%s"" é FIFO","""%s"" é um FIFO","VI,ES",LLAMA,54.10822690539397
%s is meant to be read-only,%s considerado como acessível apenas para leitura,%s tem a intenção de ser somente leitura,"VI,ES",LLAMA,10.786826322527466
New Buffer,novo buffer,Novo buffer,"VI,ES",LLAMA,49.99999999999999
DOS,DOS,DOS,"VI,ES",LLAMA,100.00000000000004
Mac,Mac,Mac,"VI,ES",LLAMA,100.00000000000004
No more open file buffers,Не há mais buffers de arquivos abertos,Não há mais nenhum buffer de arquivos abertos,"VI,ES",LLAMA,26.647313141084275
Interrupted,Interrompido,Interrompido,"VI,ES",LLAMA,100.00000000000004
File '%s' is unwritable,"Arquivo ""%s"" não está disponível para gravação.","O arquivo ""%s"" não é gravável","VI,ES",LLAMA,35.08439695638686
New File,Novo arquivo,Novo arquivo,"VI,ES",LLAMA,100.00000000000004
"File ""%s"" not found",Arquivo não encontrado,"Arquivo ""%s"" não encontrado","VI,ES",LLAMA,16.605579150202516
Reading from FIFO...,Lendo de FIFO...,Lendo de FIFO...,"VI,ES",LLAMA,100.00000000000004
Reading...,Levantando...,Lendo...,"VI,ES",LLAMA,59.460355750136046
Could not create pipe: %s,Не foi possível criar íntrusão de dados (data pipe): %s,Não foi possível criar o pipe: %s,"VI,ES",LLAMA,18.476860420522186
Could not fork: %s,Не foi possível criar процеpto filho: %s,Não foi possível bifurcar: %s,"VI,ES",LLAMA,22.31618068926665
Executing...,Đang thực hiện...,Executando...,"VI,ES",LLAMA,30.213753973567677
filtering,filtragem,filtragem,"VI,ES",LLAMA,100.00000000000004
Failed to open pipe: %s,Не foi possível abrir canal de dados: %s,Falha ao abrir o pipe: %s,"VI,ES",LLAMA,16.784459625186194
Error: %s,Erro de leitura %s: %s,Erro: %s,"VI,ES",LLAMA,22.089591134157878
Command to execute in new buffer,Comando para executar no novo buffer,Comando para execução no novo buffer,"VI,ES",LLAMA,37.99178428257963
Command to execute,Comando para execução,Comando para execução,"VI,ES",LLAMA,100.00000000000004
File to read unconverted into new buffer [from %s],Arquivo para leitura sem conversão em novo buffer [desde %s].,Arquivo para ler não convertido no novo buffer [de %s],"VI,ES",LLAMA,20.200106912694157
File to read into new buffer [from %s],Arquivo para ler no novo buffer [de %s],Arquivo para leitura no novo buffer [de %s],"VI,ES",LLAMA,74.19446627365011
File to insert unconverted [from %s],Arquivo para inserção sem conversão [de %s],Arquivo para inserção não convertido [de %s],"VI,ES",LLAMA,52.53819788848316
File to insert [from %s],Arquivo para inserção [desde %s],Arquivo para inserção [de %s],"VI,ES",LLAMA,50.000000000000014
"Invalid operating directory: %s
",Thư mục thao tác không hợp lệ: %s,"Diretório de operação inválido: %s
","VI,ES",LLAMA,15.619699684601283
"Invalid backup directory: %s
",Недопустимый резервный каталог: %s,"Diretório reserva inválido: %s
","VI,ES",LLAMA,30.213753973567677
Making backup...,Создається резервная копия...,Criando arquivo reserva...,"VI,ES",LLAMA,30.213753973567677
Too many existing backup files,Existe um excesso de arquivos de backup,Muitos arquivos reserva existentes,"VI,ES",LLAMA,6.567274736060395
Cannot read original file,Не foi possível ler o arquivo original,Não é possível ler o arquivo original,"VI,ES",LLAMA,61.47881529512643
Cannot make regular backup,Не foi possível criar uma cópia de segurança padrão,Não é possível criar um arquivo reserva comum,"VI,ES",LLAMA,9.535414040914192
Trying again in your home directory,Tentando novamente no seu diretório pessoal.,Tentando novamente em seu diretório pessoal,"VI,ES",LLAMA,30.739407647563215
Cannot make backup,Не foi possível criar uma cópia de segurança do arquivo %s,Não foi possível criar o arquivo reserva,"VI,ES",LLAMA,13.545994273378144
Cannot make backup; continue and save actual file? ,Não foi possível criar uma cópia de segurança; deseja continuar e salvar o arquivo original? ,Não foi possível criar o arquivo reserva; continuar e salvar o arquivo atual? ,"VI,ES",LLAMA,37.709297891717654
Cannot make backup: %s,Не foi possível criar a cópia de segurança do arquivo %s,Não foi possível criar o arquivo reserva: %s,"VI,ES",LLAMA,16.59038701421971
Can't write outside of %s,Не foi possível salvar além do limite de %s,Não foi possível escrever fora de %s,"VI,ES",LLAMA,19.64073254502565
Error writing %s: %s,Erro de escrita %s: %s,Erro ao escrever %s: %s,"VI,ES",LLAMA,54.10822690539397
Error writing temp file: %s,Erro ao escrever em arquivo temporário: %s,Erro ao escrever o arquivo temporário: %s,"VI,ES",LLAMA,59.694917920196445
Writing to FIFO...,Escribiendo en FIFO...,Escrevendo para FIFO...,"VI,ES",LLAMA,50.81327481546149
Writing...,Escribiendo...,Escrevendo...,"VI,ES",LLAMA,59.460355750136046
Error reading temp file: %s,falha na leitura do arquivo temporário: %s,Erro ao ler o arquivo temporário: %s,"VI,ES",LLAMA,44.63236137853326
File on disk has been truncated!,O arquivo no disco foi alterado.,O arquivo no disco foi truncado!,"VI,ES",LLAMA,61.47881529512643
 [DOS Format],[ДINHE DOS], [Formato DOS],"VI,ES",LLAMA,35.35533905932737
 [Mac Format],[Формат Mac], [Formato Mac],"VI,ES",LLAMA,35.35533905932737
 [Backup],[Резерв. cópi%C3%A1a], [Arq reserva],"VI,ES",LLAMA,5.669791110976001
Prepend Selection to File,Adicionar seleção ao início do arquivo,Pré-adicionar seleção para o arquivo,"VI,ES",LLAMA,9.652434877402245
Append Selection to File,Adicionar seleção no final do arquivo,Adicionar seleção para o arquivo,"VI,ES",LLAMA,17.965205598154213
Write Selection to File,Escrever seleção no arquivo %s,Escrever a seleção para o arquivo,"VI,ES",LLAMA,10.682175159905853
Prepend to File,Adicionar opção no começo do arquivo,Pré-adicionar para o arquivo,"VI,ES",LLAMA,8.116697886877475
Append to File,Adicionar opção reservada ao final do arquivo,Adicionar para o arquivo,"VI,ES",LLAMA,7.809849842300637
Write to File,Salvar o conteúdo selecionado em um arquivo,Escrever para o arquivo,"VI,ES",LLAMA,7.809849842300637
Too tiny,extremamente pequeno,Pequena demais,"VI,ES",LLAMA,0.0
